Type,Clustering Algorithm,Graph Construction Method,Distance Metric,Connectivity,K Neighbors,Percentile,Model Name,Modularity,Silhouette Score,Davies Bouldin Index,Num Communities,Hierarchical Num Clusters,Hierarchical Linkage,# of Clusters,folder,Spectral Num Clusters,Spectral Affinity,K Means Num Clusters,K Means Num Init,6,girvan_modularity,girvan_communities
Embedded+Clustering,hierarchical,No_Graph,,,,,TimeVAE_model12,,0.23144517838954926,1.500260672251353,,10,complete,10,./experiment_simple_clustering/experiment_simple_clustering_2024-09-25_10-42-22,,,,,,N/A,N/A
Embedded+Clustering,hierarchical,No_Graph,,,,,TimeVAE_model59,,0.29798072576522827,0.4852918120386464,,12,single,12,./experiment_simple_clustering/experiment_simple_clustering_2024-09-25_10-50-34,,,,,,N/A,N/A
Embedded+Clustering,hierarchical,No_Graph,,,,,TimeVAE_model18,,-0.007646551355719566,2.3634062590456346,,9,ward,9,./experiment_simple_clustering/experiment_simple_clustering_2024-09-25_10-38-36,,,,,,N/A,N/A
Embedded+Clustering,spectral,No_Graph,,,,N/A,TimeVAE_model38,,0.2386397421360016,1.1275542021991085,,,,10,./experiment_simple_clustering/experiment_simple_clustering_2024-09-25_11-52-25,24,rbf,,,,N/A,N/A
Embedded+Clustering,hierarchical,No_Graph,,,,,TimeVAE_model53,,0.40101292729377747,0.35906650831520437,,10,single,10,./experiment_simple_clustering/experiment_simple_clustering_2024-09-25_10-44-23,,,,,,N/A,N/A
Embedded+Clustering,spectral,No_Graph,,,,N/A,TimeVAE_model68,,-0.09657932072877884,3.600492239054148,,,,20,./experiment_simple_clustering/experiment_simple_clustering_2024-09-25_11-44-19,20,nearest_neighbors,,,,N/A,N/A
Embedded+Clustering,hierarchical,No_Graph,,,,,TimeVAE_model41,,0.24658724665641785,0.7487772190788785,,8,average,8,./experiment_simple_clustering/experiment_simple_clustering_2024-09-25_10-37-22,,,,,,N/A,N/A
Embedded+Clustering,hierarchical,No_Graph,,,,,TimeVAE_model19,,0.30813339352607727,0.509985587312342,,7,single,7,./experiment_simple_clustering/experiment_simple_clustering_2024-09-25_10-34-53,,,,,,N/A,N/A
Embedded+Clustering,spectral,No_Graph,,,,N/A,TimeVAE_model53,,-0.09263835847377777,2.5995549385045744,,,,17,./experiment_simple_clustering/experiment_simple_clustering_2024-09-25_11-38-33,17,nearest_neighbors,,,,N/A,N/A
Embedded+Clustering,k_means,No_Graph,,,,,TimeVAE_model14,,0.05028468370437622,1.9751204778936082,,,,10,./experiment_simple_clustering/experiment_simple_clustering_2024-09-25_09-26-47,,,10,20,,N/A,N/A
