,Method,Model Name,Number of Clusters,Coverage,Entropy Samples,Entropy Features,Silhouette Samples,Silhouette Features,Modularity,type,Distance Metric
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,4,0.248148148148148,1.38208962351552,1.35280925311766,-0.026819278,-0.040627856,-0.0132837812533774,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,6,0.163518518518519,1.77697690123604,1.76899597920918,-0.043420594,-0.033851724,-0.00804485692176739,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,6,0.163518518518519,1.77697690123604,1.76899597920918,-0.043420594,-0.033851724,-0.00804485692176739,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,4,0.248148148148148,1.38208962351552,1.35280925311766,-0.026819278,-0.040627856,-0.0132837812533774,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,10,0.1025,2.27432764977377,2.1489829981202,-0.10677774,-0.06739482,-0.00523477010760516,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,7,0.144259259259259,1.94248239896611,1.92568793910506,-0.059513465,-0.043833554,-0.00296546709246141,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,5,0.200833333333333,1.58891540023728,1.58769763284171,-0.03507245,-0.023665296,-0.00170555559620542,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,9,0.112314814814815,2.17207136575291,2.1661261851568,-0.07907581,-0.060635943,-0.000436369304088683,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,9,0.112314814814815,2.17207136575291,2.1661261851568,-0.07907581,-0.060635943,-0.000436369304088683,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,10,0.1025,2.27432764977377,2.1489829981202,-0.10677774,-0.06739482,-0.00523477010760516,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,8,0.130185185185185,2.0594119223114,2.00742526071508,-0.04130152,-0.038603645,0.00119594752526556,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,3,0.336111111111111,1.09751292556575,1.05422552246324,-0.016570386,-0.0072818827,-0.00760686001915732,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,10,0.1025,2.27432764977377,2.1489829981202,-0.10677774,-0.06739482,-0.00523477010760516,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,4,0.248148148148148,1.38208962351552,1.35280925311766,-0.026819278,-0.040627856,-0.0132837812533774,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,4,0.248148148148148,1.38208962351552,1.35280925311766,-0.026819278,-0.040627856,-0.0132837812533774,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,10,0.1025,2.27432764977377,2.1489829981202,-0.10677774,-0.06739482,-0.00523477010760516,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,4,0.248148148148148,1.38208962351552,1.35280925311766,-0.026819278,-0.040627856,-0.0132837812533774,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,6,0.163518518518519,1.77697690123604,1.76899597920918,-0.043420594,-0.033851724,-0.00804485692176739,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,5,0.200833333333333,1.58891540023728,1.58769763284171,-0.03507245,-0.023665296,-0.00170555559620542,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,8,0.130185185185185,2.0594119223114,2.00742526071508,-0.04130152,-0.038603645,0.00119594752526556,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,4,0.248148148148148,1.38208962351552,1.35280925311766,-0.026819278,-0.040627856,-0.0132837812533774,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,7,0.144259259259259,1.94248239896611,1.92568793910506,-0.059513465,-0.043833554,-0.00296546709246141,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,3,0.336111111111111,1.09751292556575,1.05422552246324,-0.016570386,-0.0072818827,-0.00760686001915732,BSGP_Embedded,
