Technique,Type,Date,MSE
Clustering,simple_clustering,2024-06-30_23-23-41,1.8600912240498415
Clustering,simple_clustering,2024-06-30_23-25-29,2.6705016589114248
Clustering,simple_clustering,2024-06-30_23-25-26,1.163124016148201
Clustering,simple_clustering,2024-06-30_23-23-49,1.212740124205452
Clustering,simple_clustering,2024-06-30_23-25-36,1.8768821215223181
Clustering,simple_clustering,2024-06-30_23-25-38,1.3246032758788204
Clustering,simple_clustering,2024-06-30_23-23-59,0.9366345307949696
Clustering,simple_clustering,2024-06-30_23-23-45,1.1900393826324116
Clustering,simple_clustering,2024-06-30_23-23-48,1.4093959444325466
Clustering,simple_clustering,2024-06-30_23-23-40,1.7544867854353579
Clustering,simple_clustering,2024-06-30_23-23-46,1.5478458372013173
Clustering,simple_clustering,2024-06-30_23-25-27,1.4458862195454596
Clustering,simple_clustering,2024-06-30_23-24-34,0.8612071994590249
Clustering,simple_clustering,2024-06-30_23-25-33,0.941020798183571
Clustering,simple_clustering,2024-06-30_23-24-03,0.900104336965871
Clustering,simple_clustering,2024-06-30_23-23-28,1.591150663612421
Clustering,simple_clustering,2024-06-30_23-25-43,1.61363415210988
Clustering,simple_clustering,2024-06-30_23-23-35,2.7495533760804154
Clustering,simple_clustering,2024-06-30_23-24-31,0.8747703512940702
Clustering,simple_clustering,2024-06-30_23-24-28,0.8788401226764397
Clustering,simple_clustering,2024-06-30_23-25-32,1.2718987112711653
Clustering,simple_clustering,2024-06-30_23-24-22,0.8833458038255269
Clustering,simple_clustering,2024-06-30_23-23-27,1.0820032351840791
Clustering,simple_clustering,2024-06-30_23-23-15,1.0707262255716825
Clustering,simple_clustering,2024-06-30_23-24-04,1.5844290501202691
Clustering,simple_clustering,2024-06-30_23-23-23,1.0313563041905027
Clustering,simple_clustering,2024-06-30_23-23-33,1.188028212769176
Clustering,simple_clustering,2024-06-30_23-25-31,1.037084442662236
Clustering,simple_clustering,2024-06-30_23-24-21,1.5514593175996185
Clustering,simple_clustering,2024-06-30_23-24-16,0.8815160893535774
Clustering,simple_clustering,2024-06-30_23-25-41,1.5612587314323534
Clustering,simple_clustering,2024-06-30_23-23-24,1.4873037527993296
Clustering,simple_clustering,2024-06-30_23-23-26,1.3628411181613214
Clustering,simple_clustering,2024-06-30_23-23-47,1.652736540417923
Clustering,simple_clustering,2024-06-30_23-24-29,0.8788684379095923
Clustering,simple_clustering,2024-06-30_23-23-54,1.0935640528854778
Clustering,simple_clustering,2024-06-30_23-24-33,1.6177942500547615
Clustering,simple_clustering,2024-06-30_23-23-19,1.448351446117903
Co-Clustering,Embedded,2024-07-01_19-27-44,1.406031611890888
Clustering,simple_clustering,2024-06-30_23-23-22,1.1269598001530678
Clustering,simple_clustering,2024-06-30_23-25-44,1.6845262130478873
Clustering,simple_clustering,2024-06-30_23-24-10,1.519786184308704
Clustering,simple_clustering,2024-06-30_23-24-17,1.9561624498606665
Clustering,simple_clustering,2024-06-30_23-24-20,0.9331134989305724
Clustering,simple_clustering,2024-06-30_23-24-27,0.8776951532786174
Clustering,simple_clustering,2024-06-30_23-24-18,0.8923630621655858
Clustering,simple_clustering,2024-06-30_23-23-56,1.1709436266939077
Clustering,simple_clustering,2024-06-30_23-25-40,1.3224521252104193
Clustering,simple_clustering,2024-06-30_23-25-34,1.646460753652969
Clustering,simple_clustering,2024-06-30_23-24-05,0.9458360236853136
Clustering,simple_clustering,2024-06-30_23-24-06,0.9661568106714776
Clustering,simple_clustering,2024-06-30_23-24-24,2.0918570878471296
Clustering,simple_clustering,2024-06-30_23-23-14,1.0865264433668989
Clustering,simple_clustering,2024-06-30_23-23-50,1.2037431498178104
Clustering,simple_clustering,2024-06-30_23-24-07,0.944753623603942
Clustering,simple_clustering,2024-06-30_23-23-34,2.2663009926502555
Clustering,simple_clustering,2024-06-30_23-23-13,1.4829429196429524
Clustering,simple_clustering,2024-06-30_23-24-15,0.9423014321795172
Clustering,simple_clustering,2024-06-30_23-24-13,1.5752170316589653
Clustering,simple_clustering,2024-06-30_23-23-37,1.1237694210174902
Clustering,simple_clustering,2024-06-30_23-23-51,1.3277742677551159
Clustering,simple_clustering,2024-06-30_23-23-43,1.180596439669668
Clustering,simple_clustering,2024-06-30_23-24-32,1.2955333288324788
Clustering,simple_clustering,2024-06-30_23-23-12,1.6789333637253339
Clustering,simple_clustering,2024-06-30_23-25-30,1.1870781430568778
