model,ks,latent_dim,kl,p_value
TimeVAE_model67,0.3766010802469135,110,0.21820062384868322,4.1993159830626236e-57
TimeVAE_model14,0.2928202160493827,60,0.24038100722600045,1.740620149386398e-65
TimeVAE_model28,0.2868865740740741,30,0.22214259573986914,1.61006994444664e-42
TimeVAE_model46,0.38599729938271604,5,0.21289266955602226,2.082572055588442e-36
TimeVAE_model18,0.18688271604938267,60,0.2502855745156165,1.5754020023175087e-37
TimeVAE_model34,0.28269868827160494,60,0.23828780446611972,7.358719966858668e-63
TimeVAE_model45,0.29757137345679013,120,0.24469591232634458,8.701677182379473e-35
TimeVAE_model9,0.19265046296296293,60,0.24561917805461228,1.5622785175949836e-61
TimeVAE_model25,0.3282291666666666,15,0.23349320901930404,3.0462095202458795e-80
TimeVAE_model33,0.30053819444444435,55,0.24049223241706139,8.194067726532537e-51
TimeVAE_model21,0.2584355709876543,90,0.26302434937150215,2.3671873275604396e-63
TimeVAE_model62,0.3710725308641975,85,0.21676558620898212,5.458053258191488e-60
TimeVAE_model32,0.29930941358024693,50,0.23243815052784358,6.564571118011185e-61
TimeVAE_model57,0.3811188271604937,60,0.21803717988267954,5.14380764997105e-52
TimeVAE_model65,0.36329282407407404,100,0.22267632082279176,1.0579939410654921e-60
TimeVAE_model52,0.4252064043209877,35,0.19647207046837156,4.288067569218793e-68
TimeVAE_model37,0.29943094135802467,75,0.2381573042692824,1.1307457322983341e-56
TimeVAE_model7,0.33427662037037037,80,0.23310556888348352,5.518201857222645e-65
TimeVAE_model39,0.3024922839506173,85,0.2455091041393251,3.1418510293139527e-62
TimeVAE_model53,0.38534722222222223,40,0.20967231730118807,1.4561009162496492e-49
TimeVAE_model58,0.3839699074074074,65,0.214348429054643,1.8959418023577993e-66
TimeVAE_model64,0.36711805555555554,95,0.22003062793150466,5.442750846276267e-59
TimeVAE_model43,0.30068094135802464,105,0.2532871290657184,4.8878113552095386e-40
TimeVAE_model20,0.2771412037037037,80,0.25566938489036145,5.350831993858779e-24
TimeVAE_model22,0.2206597222222222,100,0.26234940659636036,3.73191726887724e-10
TimeVAE_model8,0.16836805555555553,80,0.2683360691247167,6.363102535698313e-10
TimeVAE_model29,0.2937635030864197,35,0.22909611389840032,5.599099410578888e-43
TimeVAE_model55,0.38712577160493833,50,0.21234613685952233,7.330250207096497e-73
TimeVAE_model35,0.28137924382716045,65,0.2399130009519107,1.6319292908339776e-48
TimeVAE_model56,0.40604359567901227,55,0.20541907622024538,2.277111700569087e-62
TimeVAE_model17,0.2950694444444444,30,0.23791762261107272,5.895935849748381e-98
TimeVAE_model10,0.2024614197530864,60,0.24871107495132982,2.0227464274996425e-22
TimeVAE_model63,0.38131558641975305,90,0.21577948912786385,5.955569385651013e-52
TimeVAE_model12,0.24593942901234564,40,0.24672126302094718,2.2477199519077545e-21
TimeVAE_model47,0.42535300925925923,10,0.20914485537538755,2.0646098661658607e-35
TimeVAE_model61,0.37090277777777775,80,0.21532592490790856,5.477683743257744e-64
TimeVAE_model19,0.20440393518518515,70,0.2512817914971886,1.6461191045501343e-67
TimeVAE_model38,0.27540702160493824,80,0.24124600774304059,1.5865873577212954e-41
TimeVAE_model13,0.19381558641975305,30,0.23469491908385173,4.064300433233539e-55
TimeVAE_model36,0.27920331790123454,70,0.2397985579219141,1.0938324981033403e-49
TimeVAE_model30,0.2556327160493827,40,0.2311659913090074,1.5875077114587394e-52
TimeVAE_model68,0.3579359567901234,120,0.22467599524886497,2.4921208969603135e-46
TimeVAE_model26,0.3185243055555555,20,0.23287835280366095,5.146311817319101e-32
TimeVAE_model24,0.35824652777777777,10,0.2290683200541903,5.3508931964862635e-24
TimeVAE_model42,0.3111188271604938,100,0.25007893847429136,9.94796437995175e-68
TimeVAE_model54,0.3929591049382715,45,0.20469619591109223,7.504370472483166e-64
TimeVAE_model60,0.3789255401234568,75,0.22016499810280207,7.75533517774847e-57
TimeVAE_model50,0.41679783950617283,25,0.19789245962364474,2.3672714062968952e-63
TimeVAE_model23,0.3459895833333333,5,0.21896478712084663,1.4855738199354528e-53
TimeVAE_model44,0.30687692901234565,110,0.2500422983241065,1.0647255491242316e-64
TimeVAE_model16,0.29422067901234567,40,0.23424352632112164,1.23948134068273e-60
TimeVAE_model48,0.4461265432098765,15,0.18924737774679012,2.0530992796791576e-65
TimeVAE_model49,0.4353587962962962,20,0.19604588593727654,5.1960027467394016e-70
TimeVAE_model27,0.3271855709876543,25,0.22469059552840046,5.70614185850972e-57
TimeVAE_model11,0.2074691358024691,50,0.2517735981006688,1.3152209878384876e-26
TimeVAE_model40,0.27809606481481475,90,0.24687186548042198,1.0001229448533489e-44
TimeVAE_model41,0.2946566358024691,95,0.250529225663556,1.1634421603562432e-87
TimeVAE_model51,0.4170601851851852,30,0.20130347696128637,4.428767450298919e-76
TimeVAE_model66,0.37380594135802464,105,0.22146888105863552,1.4167298622943323e-48
TimeVAE_model15,0.28802854938271605,50,0.23856660835753063,6.005581722430006e-68
TimeVAE_model59,0.37870563271604935,70,0.21711241972997541,8.592594390949909e-57
TimeVAE_model31,0.27457368827160494,45,0.23188274165150716,2.6020659003234285e-50
