Epoch 1, Train Loss: 1264126.5417, Test Loss: 689627.5417
Epoch 2, Train Loss: 507280.5000, Test Loss: 361265.5382
Epoch 3, Train Loss: 326385.2049, Test Loss: 296253.8333
Epoch 4, Train Loss: 285952.8403, Test Loss: 276109.2170
Epoch 5, Train Loss: 270617.8021, Test Loss: 260326.7708
Epoch 6, Train Loss: 256600.2118, Test Loss: 248250.4306
Epoch 7, Train Loss: 245772.5660, Test Loss: 237401.9340
Epoch 8, Train Loss: 232476.7708, Test Loss: 225274.5903
Epoch 9, Train Loss: 222961.6059, Test Loss: 218109.6024
Epoch 10, Train Loss: 216808.3455, Test Loss: 214744.8056
Epoch 11, Train Loss: 212527.5521, Test Loss: 209558.5087
Epoch 12, Train Loss: 209358.0764, Test Loss: 207233.3837
Epoch 13, Train Loss: 207561.0191, Test Loss: 204894.6042
Epoch 14, Train Loss: 205141.1406, Test Loss: 203215.0295
Epoch 15, Train Loss: 203260.7465, Test Loss: 201240.4323
Epoch 16, Train Loss: 203212.2708, Test Loss: 200321.4236
Epoch 17, Train Loss: 201451.5521, Test Loss: 202652.1337
Epoch 18, Train Loss: 199887.1285, Test Loss: 197533.8646
Epoch 19, Train Loss: 197649.5451, Test Loss: 195353.9462
Epoch 20, Train Loss: 195576.0243, Test Loss: 193683.1181
Epoch 21, Train Loss: 195075.5208, Test Loss: 192513.6302
Epoch 22, Train Loss: 193466.5938, Test Loss: 193716.2448
Epoch 23, Train Loss: 192025.6493, Test Loss: 195501.1667
Epoch 24, Train Loss: 192981.2622, Test Loss: 195091.5104
Epoch 25, Train Loss: 189273.2535, Test Loss: 187560.9340
Epoch 26, Train Loss: 186834.4878, Test Loss: 184387.3872
Epoch 27, Train Loss: 185246.9896, Test Loss: 184743.8542
Epoch 28, Train Loss: 184875.0139, Test Loss: 183650.6910
Epoch 29, Train Loss: 182799.0729, Test Loss: 182465.7795
Epoch 30, Train Loss: 182249.1979, Test Loss: 178773.7049
Epoch 31, Train Loss: 179707.9375, Test Loss: 178261.2274
