Epoch 1, Train Loss: 1160992.4583, Test Loss: 595270.8403
Epoch 2, Train Loss: 447682.5104, Test Loss: 334731.2083
Epoch 3, Train Loss: 306811.8125, Test Loss: 274095.1215
Epoch 4, Train Loss: 266147.6181, Test Loss: 252668.5365
Epoch 5, Train Loss: 246715.9201, Test Loss: 238322.1510
Epoch 6, Train Loss: 234605.9688, Test Loss: 227882.6632
Epoch 7, Train Loss: 225769.5903, Test Loss: 221827.2274
Epoch 8, Train Loss: 220189.0174, Test Loss: 217242.1441
Epoch 9, Train Loss: 216254.4948, Test Loss: 213468.1753
Epoch 10, Train Loss: 213079.1823, Test Loss: 211384.1562
Epoch 11, Train Loss: 210389.8385, Test Loss: 207780.9462
Epoch 12, Train Loss: 207789.4514, Test Loss: 205345.7986
Epoch 13, Train Loss: 205399.6806, Test Loss: 203004.1163
Epoch 14, Train Loss: 204408.7049, Test Loss: 201254.0451
Epoch 15, Train Loss: 202212.7205, Test Loss: 200770.3507
Epoch 16, Train Loss: 200898.8455, Test Loss: 199652.8646
Epoch 17, Train Loss: 198579.9149, Test Loss: 196723.6580
Epoch 18, Train Loss: 197398.7135, Test Loss: 195065.1163
Epoch 19, Train Loss: 195360.7188, Test Loss: 193959.4774
Epoch 20, Train Loss: 194550.3819, Test Loss: 194352.1927
Epoch 21, Train Loss: 194318.7917, Test Loss: 190654.8872
Epoch 22, Train Loss: 191448.0226, Test Loss: 190810.7708
Epoch 23, Train Loss: 190269.5260, Test Loss: 187447.1771
Epoch 24, Train Loss: 188348.5139, Test Loss: 186873.0660
Epoch 25, Train Loss: 187196.7986, Test Loss: 184537.5451
Epoch 26, Train Loss: 185944.7587, Test Loss: 185186.5538
Epoch 27, Train Loss: 185489.8368, Test Loss: 185210.2066
Epoch 28, Train Loss: 183597.3021, Test Loss: 181659.3264
Epoch 29, Train Loss: 180873.2483, Test Loss: 178317.5903
Epoch 30, Train Loss: 179030.9340, Test Loss: 177040.5625
Epoch 31, Train Loss: 178078.4583, Test Loss: 176600.0938
Epoch 32, Train Loss: 175663.1667, Test Loss: 173793.9826
Epoch 33, Train Loss: 174418.6007, Test Loss: 175063.1910
Epoch 34, Train Loss: 174497.4392, Test Loss: 171775.5451
Epoch 35, Train Loss: 174615.0608, Test Loss: 172497.6910
Epoch 36, Train Loss: 173354.8316, Test Loss: 170071.2101
Epoch 37, Train Loss: 170820.1997, Test Loss: 167352.3542
Epoch 38, Train Loss: 169171.4253, Test Loss: 168057.5122
Epoch 39, Train Loss: 167630.9253, Test Loss: 167361.3542
Epoch 40, Train Loss: 166167.1875, Test Loss: 165306.1962
Epoch 41, Train Loss: 165735.4306, Test Loss: 163150.8073
Epoch 42, Train Loss: 164001.6354, Test Loss: 164465.1684
Epoch 43, Train Loss: 165838.3802, Test Loss: 164426.0955
Epoch 44, Train Loss: 163681.8819, Test Loss: 161890.6319
Epoch 45, Train Loss: 160275.4288, Test Loss: 159956.5417
Epoch 46, Train Loss: 160042.9375, Test Loss: 158485.0035
Epoch 47, Train Loss: 157862.2500, Test Loss: 154843.2986
Epoch 48, Train Loss: 156371.6510, Test Loss: 156187.3767
Epoch 49, Train Loss: 155421.2292, Test Loss: 153643.8316
Epoch 50, Train Loss: 153933.8958, Test Loss: 154127.9766
Epoch 51, Train Loss: 152479.5955, Test Loss: 150302.0573
Epoch 52, Train Loss: 150407.8828, Test Loss: 148707.4583
Epoch 53, Train Loss: 149120.7049, Test Loss: 147842.2031
Epoch 54, Train Loss: 148152.5642, Test Loss: 146560.1719
Epoch 55, Train Loss: 147502.7795, Test Loss: 147019.1406
Epoch 56, Train Loss: 146741.6510, Test Loss: 144885.0660
Epoch 57, Train Loss: 145539.8837, Test Loss: 143520.3906
Epoch 58, Train Loss: 145234.0677, Test Loss: 143103.8932
Epoch 59, Train Loss: 146526.0894, Test Loss: 150410.0885
Epoch 60, Train Loss: 145800.1649, Test Loss: 142598.7483
Epoch 61, Train Loss: 143660.5174, Test Loss: 148980.6285
Epoch 62, Train Loss: 149390.7760, Test Loss: 144579.1042
Epoch 63, Train Loss: 144172.6788, Test Loss: 147196.8507
Epoch 64, Train Loss: 142976.8316, Test Loss: 141629.8351
Epoch 65, Train Loss: 145298.9392, Test Loss: 151743.7760
Epoch 66, Train Loss: 149880.5061, Test Loss: 150221.1701
Epoch 67, Train Loss: 145323.3542, Test Loss: 141592.9253
Epoch 68, Train Loss: 142082.5234, Test Loss: 140821.1936
Epoch 69, Train Loss: 140054.6623, Test Loss: 137789.7726
Epoch 70, Train Loss: 137985.3837, Test Loss: 135125.9965
Epoch 71, Train Loss: 136461.5026, Test Loss: 133613.2613
Epoch 72, Train Loss: 134224.1554, Test Loss: 133653.1536
Epoch 73, Train Loss: 134940.7335, Test Loss: 131802.2040
Epoch 74, Train Loss: 133203.7231, Test Loss: 133628.3325
Epoch 75, Train Loss: 132414.4323, Test Loss: 132255.0668
Epoch 76, Train Loss: 132073.9566, Test Loss: 131307.8602
Epoch 77, Train Loss: 130075.6415, Test Loss: 128565.4679
Epoch 78, Train Loss: 129218.0425, Test Loss: 127890.4245
Epoch 79, Train Loss: 128583.8924, Test Loss: 127219.0616
Epoch 80, Train Loss: 128389.4991, Test Loss: 126554.0451
Epoch 81, Train Loss: 126709.6042, Test Loss: 125466.6372
Epoch 82, Train Loss: 125776.5955, Test Loss: 124516.5382
Epoch 83, Train Loss: 124920.4280, Test Loss: 124134.2708
Epoch 84, Train Loss: 124371.2109, Test Loss: 123408.3203
Epoch 85, Train Loss: 123927.7387, Test Loss: 122987.7196
Epoch 86, Train Loss: 123472.4184, Test Loss: 122461.3724
Epoch 87, Train Loss: 123159.9045, Test Loss: 122288.3108
Epoch 88, Train Loss: 122548.0408, Test Loss: 121519.9783
Epoch 89, Train Loss: 122200.4740, Test Loss: 120243.3967
Epoch 90, Train Loss: 120805.1198, Test Loss: 120874.1007
Epoch 91, Train Loss: 121228.4731, Test Loss: 121166.8906
Epoch 92, Train Loss: 121350.6997, Test Loss: 120536.5000
Epoch 93, Train Loss: 121988.8446, Test Loss: 134966.3438
Epoch 94, Train Loss: 130093.8351, Test Loss: 138336.4184
Epoch 95, Train Loss: 137643.0122, Test Loss: 139419.0365
Epoch 96, Train Loss: 131326.7578, Test Loss: 125709.9366
Epoch 97, Train Loss: 129432.5981, Test Loss: 128867.9010
Epoch 98, Train Loss: 125149.9141, Test Loss: 124852.2240
Epoch 99, Train Loss: 122909.9488, Test Loss: 118145.8333
Epoch 100, Train Loss: 119622.5790, Test Loss: 117987.0035
Epoch 101, Train Loss: 116978.0330, Test Loss: 115805.4818
Epoch 102, Train Loss: 115334.6476, Test Loss: 112895.9705
Epoch 103, Train Loss: 113595.9540, Test Loss: 112478.0859
Epoch 104, Train Loss: 112721.5000, Test Loss: 111378.4557
Epoch 105, Train Loss: 112178.3568, Test Loss: 111060.2101
Epoch 106, Train Loss: 111521.8472, Test Loss: 110798.0998
Epoch 107, Train Loss: 110675.1988, Test Loss: 109278.7300
Epoch 108, Train Loss: 109883.5477, Test Loss: 108421.3030
Epoch 109, Train Loss: 108973.0686, Test Loss: 107817.7092
Epoch 110, Train Loss: 108207.7786, Test Loss: 107127.6632
Epoch 111, Train Loss: 107676.8403, Test Loss: 106627.9748
Epoch 112, Train Loss: 107694.9609, Test Loss: 106450.6927
Epoch 113, Train Loss: 107151.2188, Test Loss: 105664.5703
Epoch 114, Train Loss: 107520.0712, Test Loss: 105445.9913
Epoch 115, Train Loss: 107314.0694, Test Loss: 108622.5556
Epoch 116, Train Loss: 107190.1719, Test Loss: 104883.3698
Epoch 117, Train Loss: 105240.2396, Test Loss: 105570.6589
Epoch 118, Train Loss: 105754.0078, Test Loss: 103650.0738
Epoch 119, Train Loss: 105225.7691, Test Loss: 103814.0990
Epoch 120, Train Loss: 105216.8125, Test Loss: 103144.3403
Epoch 121, Train Loss: 104494.7943, Test Loss: 102240.0521
Epoch 122, Train Loss: 103424.4314, Test Loss: 101427.0547
Epoch 123, Train Loss: 102141.9253, Test Loss: 100901.8524
Epoch 124, Train Loss: 101536.4288, Test Loss: 100998.8767
Epoch 125, Train Loss: 100785.9696, Test Loss: 101048.4184
Epoch 126, Train Loss: 100302.4358, Test Loss: 99552.4045
Epoch 127, Train Loss: 99587.1545, Test Loss: 98130.1970
Epoch 128, Train Loss: 99031.2248, Test Loss: 98589.1432
Epoch 129, Train Loss: 98735.5347, Test Loss: 97991.5269
Epoch 130, Train Loss: 98365.4332, Test Loss: 98459.0503
Epoch 131, Train Loss: 98813.1476, Test Loss: 103027.3125
Epoch 132, Train Loss: 100501.8290, Test Loss: 99335.1311
Epoch 133, Train Loss: 101178.2326, Test Loss: 97599.7405
Epoch 134, Train Loss: 98519.3941, Test Loss: 97748.1797
Epoch 135, Train Loss: 98758.6102, Test Loss: 102255.1068
Epoch 136, Train Loss: 100678.7509, Test Loss: 104714.2700
Epoch 137, Train Loss: 103069.3333, Test Loss: 102875.6233
Epoch 138, Train Loss: 101184.7101, Test Loss: 102846.1380
Epoch 139, Train Loss: 104154.2778, Test Loss: 105303.5347
Epoch 140, Train Loss: 109033.9253, Test Loss: 123928.5807
Epoch 141, Train Loss: 165500.2873, Test Loss: 212777.1997
Epoch 142, Train Loss: 360973.6684, Test Loss: 373362.1111
Epoch 143, Train Loss: 285403.5972, Test Loss: 238734.0226
Epoch 144, Train Loss: 223190.1858, Test Loss: 195684.1736
