Epoch 1, Train Loss: 1221723.5139, Test Loss: 631983.5625
Epoch 2, Train Loss: 468343.7847, Test Loss: 338778.8993
Epoch 3, Train Loss: 317142.3507, Test Loss: 294309.4097
Epoch 4, Train Loss: 277602.6250, Test Loss: 261870.8038
Epoch 5, Train Loss: 254174.5052, Test Loss: 243682.4705
Epoch 6, Train Loss: 240383.5868, Test Loss: 232979.5764
Epoch 7, Train Loss: 230044.8889, Test Loss: 225096.2934
Epoch 8, Train Loss: 223776.0712, Test Loss: 221246.4826
Epoch 9, Train Loss: 219508.6285, Test Loss: 217441.0069
Epoch 10, Train Loss: 215961.7587, Test Loss: 212812.0990
Epoch 11, Train Loss: 212234.3872, Test Loss: 210091.2083
Epoch 12, Train Loss: 209411.6424, Test Loss: 207588.5747
Epoch 13, Train Loss: 207704.9549, Test Loss: 204712.2847
Epoch 14, Train Loss: 206663.0938, Test Loss: 207247.1892
Epoch 15, Train Loss: 204797.1719, Test Loss: 203057.7656
Epoch 16, Train Loss: 203381.8906, Test Loss: 200323.5521
Epoch 17, Train Loss: 201832.5052, Test Loss: 199390.7795
Epoch 18, Train Loss: 199774.3663, Test Loss: 199728.5747
Epoch 19, Train Loss: 198586.5417, Test Loss: 196929.4566
Epoch 20, Train Loss: 198573.4653, Test Loss: 196874.5451
Epoch 21, Train Loss: 197635.9861, Test Loss: 193386.8872
Epoch 22, Train Loss: 195238.5260, Test Loss: 193806.3715
Epoch 23, Train Loss: 195459.2135, Test Loss: 193381.7865
Epoch 24, Train Loss: 193435.2691, Test Loss: 194136.6372
Epoch 25, Train Loss: 190744.2587, Test Loss: 187849.3299
Epoch 26, Train Loss: 188647.9757, Test Loss: 187435.0017
Epoch 27, Train Loss: 187622.7448, Test Loss: 185494.1684
Epoch 28, Train Loss: 185619.8108, Test Loss: 183481.0208
Epoch 29, Train Loss: 183715.3472, Test Loss: 182208.8368
Epoch 30, Train Loss: 182858.5486, Test Loss: 180768.4045
Epoch 31, Train Loss: 180297.7361, Test Loss: 178827.8264
Epoch 32, Train Loss: 178714.1424, Test Loss: 177384.7483
Epoch 33, Train Loss: 177341.2361, Test Loss: 176452.9080
Epoch 34, Train Loss: 176214.7014, Test Loss: 175143.7812
Epoch 35, Train Loss: 174834.4514, Test Loss: 173583.5694
Epoch 36, Train Loss: 173491.6215, Test Loss: 172459.5451
Epoch 37, Train Loss: 172217.7517, Test Loss: 170881.0660
Epoch 38, Train Loss: 170547.3142, Test Loss: 169064.4705
Epoch 39, Train Loss: 169280.0486, Test Loss: 166911.8281
Epoch 40, Train Loss: 167881.1927, Test Loss: 166583.7969
Epoch 41, Train Loss: 166460.2847, Test Loss: 164825.9427
Epoch 42, Train Loss: 164688.0469, Test Loss: 162643.8698
Epoch 43, Train Loss: 163401.3021, Test Loss: 162364.2899
Epoch 44, Train Loss: 163528.8003, Test Loss: 160968.2899
Epoch 45, Train Loss: 163424.7830, Test Loss: 160954.8003
Epoch 46, Train Loss: 164914.3941, Test Loss: 161402.5972
Epoch 47, Train Loss: 162120.1823, Test Loss: 160074.5938
Epoch 48, Train Loss: 161367.6545, Test Loss: 161784.3229
Epoch 49, Train Loss: 163107.4132, Test Loss: 164468.8299
Epoch 50, Train Loss: 159028.2153, Test Loss: 156398.0139
Epoch 51, Train Loss: 156298.7917, Test Loss: 157903.5417
Epoch 52, Train Loss: 154621.5530, Test Loss: 151669.7639
Epoch 53, Train Loss: 152977.4688, Test Loss: 150950.9549
Epoch 54, Train Loss: 151447.7934, Test Loss: 151577.4705
Epoch 55, Train Loss: 150803.4306, Test Loss: 148844.5234
Epoch 56, Train Loss: 149328.4219, Test Loss: 147515.3281
Epoch 57, Train Loss: 148460.0833, Test Loss: 146993.0399
Epoch 58, Train Loss: 146761.2708, Test Loss: 144535.0851
Epoch 59, Train Loss: 145564.4306, Test Loss: 143772.9418
Epoch 60, Train Loss: 143923.6623, Test Loss: 142703.5556
Epoch 61, Train Loss: 143305.7196, Test Loss: 142197.3837
Epoch 62, Train Loss: 142309.6250, Test Loss: 141069.0816
Epoch 63, Train Loss: 141530.4931, Test Loss: 140475.8689
Epoch 64, Train Loss: 141066.3672, Test Loss: 142267.7118
Epoch 65, Train Loss: 142179.7595, Test Loss: 146008.7526
Epoch 66, Train Loss: 144057.4097, Test Loss: 141538.5391
Epoch 67, Train Loss: 142466.1519, Test Loss: 145551.1806
Epoch 68, Train Loss: 150664.0503, Test Loss: 145174.8698
Epoch 69, Train Loss: 146713.5156, Test Loss: 147340.7760
Epoch 70, Train Loss: 141852.8108, Test Loss: 138871.6675
Epoch 71, Train Loss: 139954.7266, Test Loss: 137165.9375
Epoch 72, Train Loss: 138457.5851, Test Loss: 142952.5417
Epoch 73, Train Loss: 138513.3620, Test Loss: 136763.8602
Epoch 74, Train Loss: 136780.8446, Test Loss: 135675.1580
Epoch 75, Train Loss: 134998.9991, Test Loss: 132935.6042
Epoch 76, Train Loss: 133221.1675, Test Loss: 131483.8247
Epoch 77, Train Loss: 132053.0938, Test Loss: 130750.0738
Epoch 78, Train Loss: 131663.7248, Test Loss: 129838.5842
Epoch 79, Train Loss: 130808.3090, Test Loss: 130494.4340
Epoch 80, Train Loss: 132459.8160, Test Loss: 134476.9531
Epoch 81, Train Loss: 133247.5130, Test Loss: 135903.8976
Epoch 82, Train Loss: 134331.4861, Test Loss: 131809.6198
Epoch 83, Train Loss: 133709.4297, Test Loss: 130062.6979
Epoch 84, Train Loss: 132932.5469, Test Loss: 138779.8976
Epoch 85, Train Loss: 135317.7205, Test Loss: 138572.3307
Epoch 86, Train Loss: 149211.4800, Test Loss: 143848.4392
Epoch 87, Train Loss: 141527.4644, Test Loss: 135758.1745
Epoch 88, Train Loss: 139045.8385, Test Loss: 132668.4193
Epoch 89, Train Loss: 134460.8038, Test Loss: 128279.8958
Epoch 90, Train Loss: 129748.3976, Test Loss: 126618.2153
Epoch 91, Train Loss: 126199.6797, Test Loss: 124472.1736
Epoch 92, Train Loss: 124398.8047, Test Loss: 122661.5321
Epoch 93, Train Loss: 123020.7917, Test Loss: 121511.3524
Epoch 94, Train Loss: 121812.6042, Test Loss: 120621.1814
Epoch 95, Train Loss: 120847.5686, Test Loss: 119798.6389
Epoch 96, Train Loss: 120314.4340, Test Loss: 119163.1016
Epoch 97, Train Loss: 119544.1137, Test Loss: 118471.1311
Epoch 98, Train Loss: 118941.5859, Test Loss: 118162.6215
Epoch 99, Train Loss: 118580.5503, Test Loss: 117809.0330
Epoch 100, Train Loss: 117809.6997, Test Loss: 117351.2439
Epoch 101, Train Loss: 117114.5929, Test Loss: 115747.3524
Epoch 102, Train Loss: 116394.1901, Test Loss: 115382.2760
Epoch 103, Train Loss: 115818.3932, Test Loss: 115841.7422
Epoch 104, Train Loss: 116352.8542, Test Loss: 114244.5052
Epoch 105, Train Loss: 117279.0608, Test Loss: 114674.7804
Epoch 106, Train Loss: 115356.5894, Test Loss: 115382.2726
Epoch 107, Train Loss: 115177.3446, Test Loss: 114841.0365
Epoch 108, Train Loss: 114579.3594, Test Loss: 113482.0651
Epoch 109, Train Loss: 114560.2170, Test Loss: 114676.8238
Epoch 110, Train Loss: 115401.1146, Test Loss: 111757.8247
Epoch 111, Train Loss: 113582.4852, Test Loss: 111501.9705
Epoch 112, Train Loss: 112296.1545, Test Loss: 110192.7622
Epoch 113, Train Loss: 112046.9835, Test Loss: 117925.5781
Epoch 114, Train Loss: 113415.4314, Test Loss: 109451.4297
Epoch 115, Train Loss: 111365.3151, Test Loss: 111521.4557
Epoch 116, Train Loss: 110080.1710, Test Loss: 108628.5530
Epoch 117, Train Loss: 109172.7023, Test Loss: 107571.2622
Epoch 118, Train Loss: 107861.4497, Test Loss: 106682.4306
Epoch 119, Train Loss: 107338.0469, Test Loss: 106766.1484
Epoch 120, Train Loss: 106409.6372, Test Loss: 105464.2717
Epoch 121, Train Loss: 105922.5078, Test Loss: 104704.2648
Epoch 122, Train Loss: 105239.2700, Test Loss: 104226.6033
Epoch 123, Train Loss: 104961.0174, Test Loss: 105404.7717
Epoch 124, Train Loss: 105561.6241, Test Loss: 104478.8507
Epoch 125, Train Loss: 105082.5755, Test Loss: 106414.3681
Epoch 126, Train Loss: 105492.5200, Test Loss: 104111.4158
Epoch 127, Train Loss: 105522.5477, Test Loss: 103976.9488
Epoch 128, Train Loss: 104541.6597, Test Loss: 102660.2205
Epoch 129, Train Loss: 104990.8733, Test Loss: 102306.3177
Epoch 130, Train Loss: 103096.2422, Test Loss: 107894.1858
Epoch 131, Train Loss: 103865.7812, Test Loss: 100612.9132
Epoch 132, Train Loss: 103941.6988, Test Loss: 100122.4514
Epoch 133, Train Loss: 101536.3003, Test Loss: 100510.0339
Epoch 134, Train Loss: 100754.5651, Test Loss: 101150.8411
Epoch 135, Train Loss: 99671.1866, Test Loss: 98923.0946
Epoch 136, Train Loss: 98641.0929, Test Loss: 98122.7231
Epoch 137, Train Loss: 99058.0087, Test Loss: 98047.6372
Epoch 138, Train Loss: 99079.3368, Test Loss: 101319.0955
Epoch 139, Train Loss: 99632.0894, Test Loss: 100445.8958
Epoch 140, Train Loss: 99477.1172, Test Loss: 102389.8325
Epoch 141, Train Loss: 100856.7326, Test Loss: 96601.8689
Epoch 142, Train Loss: 98184.2378, Test Loss: 99429.8793
Epoch 143, Train Loss: 96976.3160, Test Loss: 96947.8082
Epoch 144, Train Loss: 99225.4931, Test Loss: 96691.0911
Epoch 145, Train Loss: 98838.4167, Test Loss: 97311.0903
Epoch 146, Train Loss: 98075.9002, Test Loss: 95186.3012
Epoch 147, Train Loss: 98261.1875, Test Loss: 97372.2847
Epoch 148, Train Loss: 96033.1849, Test Loss: 93479.6207
Epoch 149, Train Loss: 97531.5929, Test Loss: 94082.2648
Epoch 150, Train Loss: 96133.7396, Test Loss: 96529.1814
Epoch 151, Train Loss: 95395.6319, Test Loss: 97256.0807
Epoch 152, Train Loss: 95577.5868, Test Loss: 96499.7951
Epoch 153, Train Loss: 97393.7648, Test Loss: 95946.0009
Epoch 154, Train Loss: 96207.6207, Test Loss: 93062.8958
Epoch 155, Train Loss: 94068.1979, Test Loss: 91702.5859
Epoch 156, Train Loss: 92508.5451, Test Loss: 91464.1016
Epoch 157, Train Loss: 92727.4601, Test Loss: 89514.1875
Epoch 158, Train Loss: 91075.1302, Test Loss: 89248.7083
Epoch 159, Train Loss: 89908.0078, Test Loss: 88780.8255
Epoch 160, Train Loss: 89036.7378, Test Loss: 88240.4688
Epoch 161, Train Loss: 88313.1450, Test Loss: 86930.2049
Epoch 162, Train Loss: 87052.8741, Test Loss: 85943.3845
Epoch 163, Train Loss: 86146.2899, Test Loss: 84967.3012
Epoch 164, Train Loss: 85391.9618, Test Loss: 84772.8958
Epoch 165, Train Loss: 85000.4062, Test Loss: 84322.8342
Epoch 166, Train Loss: 84797.5260, Test Loss: 83682.5269
Epoch 167, Train Loss: 84140.9115, Test Loss: 83572.5807
Epoch 168, Train Loss: 83640.8203, Test Loss: 82787.3976
Epoch 169, Train Loss: 83205.1840, Test Loss: 82715.6068
Epoch 170, Train Loss: 82936.5703, Test Loss: 82136.8368
Epoch 171, Train Loss: 82486.5599, Test Loss: 81685.2674
Epoch 172, Train Loss: 82219.2318, Test Loss: 81799.1832
Epoch 173, Train Loss: 81889.3524, Test Loss: 80970.9809
Epoch 174, Train Loss: 81331.0833, Test Loss: 80681.3872
Epoch 175, Train Loss: 81014.0295, Test Loss: 80805.3733
Epoch 176, Train Loss: 81190.3299, Test Loss: 81151.9896
Epoch 177, Train Loss: 81243.3655, Test Loss: 81262.7170
Epoch 178, Train Loss: 81061.8220, Test Loss: 79848.7118
Epoch 179, Train Loss: 81601.6545, Test Loss: 80630.8628
Epoch 180, Train Loss: 81073.4896, Test Loss: 80425.9184
Epoch 181, Train Loss: 80906.2075, Test Loss: 84251.2240
Epoch 182, Train Loss: 81729.0755, Test Loss: 80649.1806
Epoch 183, Train Loss: 82575.9227, Test Loss: 79779.9783
Epoch 184, Train Loss: 80617.8238, Test Loss: 80522.3429
Epoch 185, Train Loss: 80471.7040, Test Loss: 78549.7726
Epoch 186, Train Loss: 80063.9705, Test Loss: 82753.6319
Epoch 187, Train Loss: 82128.7014, Test Loss: 79969.0260
Epoch 188, Train Loss: 85603.5477, Test Loss: 98061.9974
Epoch 189, Train Loss: 87783.5582, Test Loss: 83526.5694
