Epoch 1, Train Loss: 1145358.1597, Test Loss: 487616.5903
Epoch 2, Train Loss: 418048.6458, Test Loss: 302365.4236
Epoch 3, Train Loss: 307287.2951, Test Loss: 301813.0278
Epoch 4, Train Loss: 289846.5243, Test Loss: 274954.7899
Epoch 5, Train Loss: 275043.3455, Test Loss: 263954.4462
Epoch 6, Train Loss: 255095.6424, Test Loss: 249752.2674
Epoch 7, Train Loss: 238696.4306, Test Loss: 229039.4149
Epoch 8, Train Loss: 225845.8906, Test Loss: 219589.3038
Epoch 9, Train Loss: 221522.6962, Test Loss: 217298.1233
Epoch 10, Train Loss: 218256.9601, Test Loss: 218088.4080
Epoch 11, Train Loss: 219382.9444, Test Loss: 222004.8177
Epoch 12, Train Loss: 219086.2500, Test Loss: 220072.3021
Epoch 13, Train Loss: 219030.7170, Test Loss: 219065.6250
Epoch 14, Train Loss: 217352.9826, Test Loss: 211038.2066
Epoch 15, Train Loss: 214007.6406, Test Loss: 212142.6736
Epoch 16, Train Loss: 213219.2066, Test Loss: 211227.9653
Epoch 17, Train Loss: 212163.2396, Test Loss: 213153.2986
Epoch 18, Train Loss: 211868.0330, Test Loss: 210481.0399
Epoch 19, Train Loss: 209856.9306, Test Loss: 207610.6458
Epoch 20, Train Loss: 209188.7587, Test Loss: 207103.7986
Epoch 21, Train Loss: 208341.1163, Test Loss: 204723.8698
Epoch 22, Train Loss: 206144.1389, Test Loss: 204671.9045
Epoch 23, Train Loss: 205897.6962, Test Loss: 202451.6267
Epoch 24, Train Loss: 206796.4618, Test Loss: 206435.7917
Epoch 25, Train Loss: 208798.7465, Test Loss: 213952.1771
Epoch 26, Train Loss: 212194.5174, Test Loss: 208385.0590
Epoch 27, Train Loss: 210675.6285, Test Loss: 208377.9132
Epoch 28, Train Loss: 206523.6285, Test Loss: 201319.4826
Epoch 29, Train Loss: 202596.7986, Test Loss: 197314.8264
Epoch 30, Train Loss: 199627.4132, Test Loss: 201385.3663
Epoch 31, Train Loss: 199674.2899, Test Loss: 194794.2743
Epoch 32, Train Loss: 194924.4045, Test Loss: 193532.5295
Epoch 33, Train Loss: 193459.5226, Test Loss: 188983.2431
Epoch 34, Train Loss: 190450.4618, Test Loss: 189560.3594
Epoch 35, Train Loss: 197397.3333, Test Loss: 229786.2101
Epoch 36, Train Loss: 209217.9774, Test Loss: 197153.7170
Epoch 37, Train Loss: 200164.1007, Test Loss: 195159.4045
Epoch 38, Train Loss: 194456.9549, Test Loss: 194094.1615
Epoch 39, Train Loss: 197351.0729, Test Loss: 192616.6128
Epoch 40, Train Loss: 194505.8785, Test Loss: 191869.1545
Epoch 41, Train Loss: 195912.2865, Test Loss: 194709.9132
Epoch 42, Train Loss: 191778.7674, Test Loss: 180819.5608
Epoch 43, Train Loss: 187839.2240, Test Loss: 188272.3646
Epoch 44, Train Loss: 183060.3889, Test Loss: 178314.3090
Epoch 45, Train Loss: 178907.9479, Test Loss: 175582.0816
Epoch 46, Train Loss: 176543.2222, Test Loss: 173227.6701
Epoch 47, Train Loss: 174354.0556, Test Loss: 171085.8576
Epoch 48, Train Loss: 174985.8941, Test Loss: 172720.0833
Epoch 49, Train Loss: 173972.1198, Test Loss: 169473.6302
Epoch 50, Train Loss: 170657.2014, Test Loss: 167454.1337
Epoch 51, Train Loss: 167982.9253, Test Loss: 164797.7396
Epoch 52, Train Loss: 166894.3906, Test Loss: 164796.8212
Epoch 53, Train Loss: 167021.3819, Test Loss: 165558.3941
Epoch 54, Train Loss: 165777.3924, Test Loss: 163375.8490
Epoch 55, Train Loss: 167124.1354, Test Loss: 162183.2378
Epoch 56, Train Loss: 165987.5243, Test Loss: 165941.8212
Epoch 57, Train Loss: 162982.2986, Test Loss: 159629.9531
