Epoch 1, Train Loss: 440870.6493, Test Loss: 175009.5069
Epoch 2, Train Loss: 146869.6254, Test Loss: 126205.8151
Epoch 3, Train Loss: 121789.8685, Test Loss: 115094.5712
Epoch 4, Train Loss: 112726.9618, Test Loss: 110468.6523
Epoch 5, Train Loss: 108923.7504, Test Loss: 105979.9583
Epoch 6, Train Loss: 106175.1454, Test Loss: 104137.0677
Epoch 7, Train Loss: 104284.7166, Test Loss: 102438.8772
Epoch 8, Train Loss: 102778.3958, Test Loss: 101222.1892
Epoch 9, Train Loss: 101710.6254, Test Loss: 99794.3381
Epoch 10, Train Loss: 100805.8902, Test Loss: 99265.5291
Epoch 11, Train Loss: 99365.1115, Test Loss: 97776.1593
Epoch 12, Train Loss: 98410.7439, Test Loss: 97024.1011
Epoch 13, Train Loss: 98906.3077, Test Loss: 95831.3407
Epoch 14, Train Loss: 97052.4507, Test Loss: 95511.4679
Epoch 15, Train Loss: 95709.5286, Test Loss: 104067.8624
Epoch 16, Train Loss: 97541.3924, Test Loss: 93405.8889
Epoch 17, Train Loss: 94609.0082, Test Loss: 95582.3090
Epoch 18, Train Loss: 95452.6306, Test Loss: 91324.4097
Epoch 19, Train Loss: 93664.9123, Test Loss: 90599.6562
Epoch 20, Train Loss: 93478.2370, Test Loss: 90649.8498
Epoch 21, Train Loss: 91219.6784, Test Loss: 89818.2578
Epoch 22, Train Loss: 88838.4766, Test Loss: 87225.0825
Epoch 23, Train Loss: 87371.3928, Test Loss: 86081.3199
Epoch 24, Train Loss: 86365.8372, Test Loss: 84890.5688
Epoch 25, Train Loss: 86316.0681, Test Loss: 85915.8650
Epoch 26, Train Loss: 85847.1241, Test Loss: 84741.9097
Epoch 27, Train Loss: 84234.6957, Test Loss: 82672.5742
Epoch 28, Train Loss: 83818.4566, Test Loss: 82658.9603
Epoch 29, Train Loss: 83405.2387, Test Loss: 80359.5022
Epoch 30, Train Loss: 86387.6044, Test Loss: 87491.9021
Epoch 31, Train Loss: 88662.6682, Test Loss: 84007.0694
Epoch 32, Train Loss: 87061.1506, Test Loss: 82724.6402
Epoch 33, Train Loss: 82934.5213, Test Loss: 79432.5579
Epoch 34, Train Loss: 80507.2222, Test Loss: 78023.6918
Epoch 35, Train Loss: 77619.4017, Test Loss: 76043.1651
Epoch 36, Train Loss: 76514.0582, Test Loss: 76084.3003
Epoch 37, Train Loss: 76336.4579, Test Loss: 74578.9201
Epoch 38, Train Loss: 75215.3079, Test Loss: 73241.1719
Epoch 39, Train Loss: 74241.6207, Test Loss: 74557.0942
Epoch 40, Train Loss: 76284.7075, Test Loss: 80113.0438
Epoch 41, Train Loss: 76731.2279, Test Loss: 77937.9141
Epoch 42, Train Loss: 74677.3752, Test Loss: 71697.1372
Epoch 43, Train Loss: 74219.6204, Test Loss: 71569.5069
Epoch 44, Train Loss: 72816.9768, Test Loss: 70410.6181
Epoch 45, Train Loss: 72275.1730, Test Loss: 70457.6087
Epoch 46, Train Loss: 70350.8294, Test Loss: 68677.0955
Epoch 47, Train Loss: 69034.9240, Test Loss: 68194.3255
Epoch 48, Train Loss: 69385.3166, Test Loss: 70379.1925
Epoch 49, Train Loss: 70545.8227, Test Loss: 68892.2782
Epoch 50, Train Loss: 70415.0228, Test Loss: 71543.2904
Epoch 51, Train Loss: 70312.5484, Test Loss: 75645.0284
Epoch 52, Train Loss: 73968.8702, Test Loss: 71045.5037
Epoch 53, Train Loss: 75126.7409, Test Loss: 72115.3401
Epoch 54, Train Loss: 69911.0849, Test Loss: 66412.3309
Epoch 55, Train Loss: 68304.0814, Test Loss: 65765.6743
Epoch 56, Train Loss: 65657.7324, Test Loss: 63610.7090
Epoch 57, Train Loss: 64191.1000, Test Loss: 62715.9026
Epoch 58, Train Loss: 63405.8084, Test Loss: 62035.5124
Epoch 59, Train Loss: 63083.2795, Test Loss: 62052.2656
Epoch 60, Train Loss: 62566.3069, Test Loss: 61343.6191
Epoch 61, Train Loss: 61710.6840, Test Loss: 60667.8889
Epoch 62, Train Loss: 61036.9253, Test Loss: 60074.9210
Epoch 63, Train Loss: 60905.6417, Test Loss: 59747.2270
Epoch 64, Train Loss: 60868.0226, Test Loss: 59602.0959
Epoch 65, Train Loss: 60304.8885, Test Loss: 58825.8737
Epoch 66, Train Loss: 59351.7880, Test Loss: 58068.1719
Epoch 67, Train Loss: 59098.3214, Test Loss: 57998.3333
Epoch 68, Train Loss: 58975.1795, Test Loss: 58756.0777
Epoch 69, Train Loss: 59016.3631, Test Loss: 57065.9041
Epoch 70, Train Loss: 59006.5124, Test Loss: 62125.0924
Epoch 71, Train Loss: 59108.7046, Test Loss: 56987.7303
Epoch 72, Train Loss: 58746.7986, Test Loss: 58708.9067
Epoch 73, Train Loss: 58771.3071, Test Loss: 57533.6484
Epoch 74, Train Loss: 57447.7760, Test Loss: 57804.1168
Epoch 75, Train Loss: 57658.5996, Test Loss: 56341.8461
Epoch 76, Train Loss: 59007.3971, Test Loss: 62198.0336
Epoch 77, Train Loss: 61032.7491, Test Loss: 56776.3743
Epoch 78, Train Loss: 57859.4755, Test Loss: 56967.8179
Epoch 79, Train Loss: 55945.7250, Test Loss: 55087.4575
Epoch 80, Train Loss: 55320.5054, Test Loss: 53779.4928
Epoch 81, Train Loss: 55289.6170, Test Loss: 54563.8086
Epoch 82, Train Loss: 54532.0720, Test Loss: 53416.4253
Epoch 83, Train Loss: 53038.5569, Test Loss: 51527.2595
Epoch 84, Train Loss: 51919.6018, Test Loss: 51114.6217
Epoch 85, Train Loss: 51358.3967, Test Loss: 50209.1443
Epoch 86, Train Loss: 51086.1923, Test Loss: 50617.5985
Epoch 87, Train Loss: 50863.8092, Test Loss: 49668.7218
Epoch 88, Train Loss: 50228.9457, Test Loss: 49762.0195
Epoch 89, Train Loss: 49879.7300, Test Loss: 49768.9798
Epoch 90, Train Loss: 50416.8053, Test Loss: 48705.1606
Epoch 91, Train Loss: 50278.9065, Test Loss: 52069.9768
Epoch 92, Train Loss: 51578.6699, Test Loss: 50102.2446
Epoch 93, Train Loss: 52801.0586, Test Loss: 52741.5490
Epoch 94, Train Loss: 52789.7227, Test Loss: 50642.9716
Epoch 95, Train Loss: 52953.5189, Test Loss: 50043.9629
Epoch 96, Train Loss: 51137.7439, Test Loss: 48335.9371
Epoch 97, Train Loss: 49032.8711, Test Loss: 47117.1882
Epoch 98, Train Loss: 48074.2843, Test Loss: 48759.0067
Epoch 99, Train Loss: 49293.0419, Test Loss: 50992.8001
Epoch 100, Train Loss: 49267.5825, Test Loss: 47974.5853
Epoch 101, Train Loss: 47887.1756, Test Loss: 45867.4167
Epoch 102, Train Loss: 47080.8123, Test Loss: 46386.6984
Epoch 103, Train Loss: 46936.7602, Test Loss: 45820.0981
Epoch 104, Train Loss: 45917.2454, Test Loss: 44414.0801
Epoch 105, Train Loss: 46962.4418, Test Loss: 49083.6888
Epoch 106, Train Loss: 48898.2478, Test Loss: 47812.9084
Epoch 107, Train Loss: 47546.5412, Test Loss: 49825.2444
Epoch 108, Train Loss: 48907.8676, Test Loss: 45896.3535
Epoch 109, Train Loss: 49673.7467, Test Loss: 46723.2292
Epoch 110, Train Loss: 47848.8924, Test Loss: 44756.3887
Epoch 111, Train Loss: 45847.9559, Test Loss: 43660.6495
Epoch 112, Train Loss: 43896.9835, Test Loss: 42894.2810
Epoch 113, Train Loss: 43003.0584, Test Loss: 42023.5161
Epoch 114, Train Loss: 42518.3012, Test Loss: 41420.9147
Epoch 115, Train Loss: 41930.6801, Test Loss: 41307.2747
Epoch 116, Train Loss: 41726.3711, Test Loss: 41059.8750
Epoch 117, Train Loss: 41484.6369, Test Loss: 40779.5469
Epoch 118, Train Loss: 41083.9533, Test Loss: 40137.6556
Epoch 119, Train Loss: 40702.1582, Test Loss: 39797.8561
Epoch 120, Train Loss: 40416.1098, Test Loss: 39929.9679
Epoch 121, Train Loss: 40222.8774, Test Loss: 39320.9212
Epoch 122, Train Loss: 39940.5678, Test Loss: 39140.7014
Epoch 123, Train Loss: 39785.8550, Test Loss: 38843.1863
Epoch 124, Train Loss: 39499.6378, Test Loss: 38722.3607
Epoch 125, Train Loss: 39707.2589, Test Loss: 38913.8043
Epoch 126, Train Loss: 39755.8276, Test Loss: 38840.8758
Epoch 127, Train Loss: 39450.9885, Test Loss: 39036.3416
Epoch 128, Train Loss: 39709.2932, Test Loss: 38828.8754
Epoch 129, Train Loss: 39492.8006, Test Loss: 38326.1625
Epoch 130, Train Loss: 39445.9401, Test Loss: 39822.9468
Epoch 131, Train Loss: 40583.5208, Test Loss: 40393.8114
Epoch 132, Train Loss: 40121.8644, Test Loss: 38944.7207
Epoch 133, Train Loss: 39407.3301, Test Loss: 39266.8184
Epoch 134, Train Loss: 40085.2448, Test Loss: 41259.9060
Epoch 135, Train Loss: 40252.3933, Test Loss: 38253.2104
Epoch 136, Train Loss: 41931.2630, Test Loss: 41633.6152
Epoch 137, Train Loss: 41682.7741, Test Loss: 39132.5612
Epoch 138, Train Loss: 39858.0870, Test Loss: 38345.1500
Epoch 139, Train Loss: 38235.8673, Test Loss: 36939.9475
Epoch 140, Train Loss: 37429.0443, Test Loss: 36227.1240
Epoch 141, Train Loss: 36892.0739, Test Loss: 36099.9747
Epoch 142, Train Loss: 36621.9408, Test Loss: 35922.2390
Epoch 143, Train Loss: 36466.1816, Test Loss: 35621.5786
Epoch 144, Train Loss: 36306.6484, Test Loss: 35782.8885
Epoch 145, Train Loss: 36151.7687, Test Loss: 35313.4070
Epoch 146, Train Loss: 35889.5254, Test Loss: 34957.3192
Epoch 147, Train Loss: 35549.3961, Test Loss: 34897.4001
Epoch 148, Train Loss: 35806.9733, Test Loss: 34914.8239
Epoch 149, Train Loss: 35639.5819, Test Loss: 35497.5447
Epoch 150, Train Loss: 36140.2363, Test Loss: 34861.6900
Epoch 151, Train Loss: 36546.3385, Test Loss: 35122.9666
Epoch 152, Train Loss: 36157.1671, Test Loss: 34781.7872
Epoch 153, Train Loss: 36928.5888, Test Loss: 36758.5399
Epoch 154, Train Loss: 38616.3702, Test Loss: 38689.1483
Epoch 155, Train Loss: 41645.7459, Test Loss: 40118.9674
Epoch 156, Train Loss: 39453.5143, Test Loss: 37348.7824
Epoch 157, Train Loss: 38098.7208, Test Loss: 36240.3877
Epoch 158, Train Loss: 36306.0911, Test Loss: 34903.6350
Epoch 159, Train Loss: 35011.3524, Test Loss: 33926.4113
Epoch 160, Train Loss: 34296.8114, Test Loss: 33299.6866
Epoch 161, Train Loss: 33966.4363, Test Loss: 33120.2469
Epoch 162, Train Loss: 33680.5837, Test Loss: 33056.4486
Epoch 163, Train Loss: 33773.7629, Test Loss: 33714.1425
Epoch 164, Train Loss: 34002.6136, Test Loss: 33482.6731
Epoch 165, Train Loss: 34158.9808, Test Loss: 33537.8924
Epoch 166, Train Loss: 34417.6080, Test Loss: 33379.5314
Epoch 167, Train Loss: 34019.4459, Test Loss: 33160.7757
Epoch 168, Train Loss: 33319.8658, Test Loss: 32612.7195
Epoch 169, Train Loss: 33280.1037, Test Loss: 33282.2250
Epoch 170, Train Loss: 33572.7797, Test Loss: 32732.4618
Epoch 171, Train Loss: 33409.6775, Test Loss: 33036.8771
Epoch 172, Train Loss: 33103.7424, Test Loss: 32292.3334
Epoch 173, Train Loss: 32917.2104, Test Loss: 32012.3329
Epoch 174, Train Loss: 32643.4154, Test Loss: 31850.7643
Epoch 175, Train Loss: 32467.4423, Test Loss: 32452.4763
Epoch 176, Train Loss: 32539.2333, Test Loss: 32343.6669
Epoch 177, Train Loss: 32641.0760, Test Loss: 32584.8981
Epoch 178, Train Loss: 33557.8726, Test Loss: 32665.1811
Epoch 179, Train Loss: 33512.3945, Test Loss: 32858.9477
Epoch 180, Train Loss: 33950.5067, Test Loss: 32610.3067
Epoch 181, Train Loss: 34084.6451, Test Loss: 34441.2573
