Epoch 1, Train Loss: 434382.0208, Test Loss: 153598.1220
Epoch 2, Train Loss: 145240.4019, Test Loss: 136123.9935
Epoch 3, Train Loss: 132118.1250, Test Loss: 125400.3260
Epoch 4, Train Loss: 120772.3789, Test Loss: 110990.5543
Epoch 5, Train Loss: 113857.1194, Test Loss: 113719.5516
Epoch 6, Train Loss: 110176.3763, Test Loss: 107371.5347
Epoch 7, Train Loss: 109086.1602, Test Loss: 108385.1454
Epoch 8, Train Loss: 110423.1480, Test Loss: 107374.4787
Epoch 9, Train Loss: 108405.6931, Test Loss: 105778.7826
Epoch 10, Train Loss: 107645.2969, Test Loss: 106156.4670
Epoch 11, Train Loss: 107521.5495, Test Loss: 105451.8850
Epoch 12, Train Loss: 108238.1888, Test Loss: 107306.1115
Epoch 13, Train Loss: 107787.2161, Test Loss: 112173.4783
Epoch 14, Train Loss: 110341.6736, Test Loss: 116052.6888
Epoch 15, Train Loss: 110768.1519, Test Loss: 105126.6688
Epoch 16, Train Loss: 108609.8906, Test Loss: 105959.9444
Epoch 17, Train Loss: 106263.7882, Test Loss: 103675.9128
Epoch 18, Train Loss: 103023.6228, Test Loss: 100080.8720
Epoch 19, Train Loss: 101714.9635, Test Loss: 102095.1536
Epoch 20, Train Loss: 107593.4653, Test Loss: 106537.3937
Epoch 21, Train Loss: 106709.8924, Test Loss: 104324.1762
Epoch 22, Train Loss: 103740.2448, Test Loss: 98669.4783
Epoch 23, Train Loss: 101578.3611, Test Loss: 101002.3503
Epoch 24, Train Loss: 102435.4032, Test Loss: 100835.8611
Epoch 25, Train Loss: 98090.2027, Test Loss: 94787.5286
Epoch 26, Train Loss: 96519.5052, Test Loss: 93538.6621
Epoch 27, Train Loss: 94634.9171, Test Loss: 91683.3845
Epoch 28, Train Loss: 93024.8733, Test Loss: 89604.3754
Epoch 29, Train Loss: 94041.3681, Test Loss: 94340.5666
Epoch 30, Train Loss: 92498.3329, Test Loss: 90330.8429
Epoch 31, Train Loss: 92521.3264, Test Loss: 95214.0191
Epoch 32, Train Loss: 91673.5846, Test Loss: 91037.3668
Epoch 33, Train Loss: 90138.2600, Test Loss: 86762.3151
Epoch 34, Train Loss: 90417.7782, Test Loss: 88830.7363
Epoch 35, Train Loss: 92355.6797, Test Loss: 90516.7105
Epoch 36, Train Loss: 96476.9922, Test Loss: 99087.8468
Epoch 37, Train Loss: 105863.5234, Test Loss: 106883.0386
Epoch 38, Train Loss: 101873.0360, Test Loss: 90361.3043
Epoch 39, Train Loss: 91671.2452, Test Loss: 86976.9301
Epoch 40, Train Loss: 88809.0299, Test Loss: 84370.2361
Epoch 41, Train Loss: 86904.5243, Test Loss: 82928.7207
Epoch 42, Train Loss: 84075.2148, Test Loss: 81993.2376
Epoch 43, Train Loss: 81931.3537, Test Loss: 78877.0521
Epoch 44, Train Loss: 80911.8225, Test Loss: 79434.0979
Epoch 45, Train Loss: 79531.0983, Test Loss: 76039.6845
Epoch 46, Train Loss: 78351.5853, Test Loss: 76272.9640
Epoch 47, Train Loss: 79209.1727, Test Loss: 85355.5130
Epoch 48, Train Loss: 84962.0347, Test Loss: 79797.6962
Epoch 49, Train Loss: 80411.9787, Test Loss: 77491.4842
Epoch 50, Train Loss: 78123.2096, Test Loss: 74370.7747
Epoch 51, Train Loss: 76104.4594, Test Loss: 72195.4293
Epoch 52, Train Loss: 73979.3155, Test Loss: 75114.8231
Epoch 53, Train Loss: 74555.9952, Test Loss: 73662.2717
Epoch 54, Train Loss: 73170.6834, Test Loss: 71017.1029
Epoch 55, Train Loss: 73357.8234, Test Loss: 69518.4512
Epoch 56, Train Loss: 74444.1901, Test Loss: 72211.6020
Epoch 57, Train Loss: 75446.7326, Test Loss: 71658.0148
Epoch 58, Train Loss: 71187.7483, Test Loss: 67021.0786
Epoch 59, Train Loss: 69526.7311, Test Loss: 67346.2307
Epoch 60, Train Loss: 69056.1085, Test Loss: 66766.2689
Epoch 61, Train Loss: 68449.4620, Test Loss: 64182.7415
Epoch 62, Train Loss: 67756.9284, Test Loss: 71750.4149
Epoch 63, Train Loss: 74071.2771, Test Loss: 68426.2491
Epoch 64, Train Loss: 70673.7617, Test Loss: 67581.0297
Epoch 65, Train Loss: 68498.2105, Test Loss: 62899.3978
Epoch 66, Train Loss: 63811.6209, Test Loss: 62197.6341
Epoch 67, Train Loss: 63384.9629, Test Loss: 63456.7635
Epoch 68, Train Loss: 63890.4529, Test Loss: 61605.7059
Epoch 69, Train Loss: 61765.2899, Test Loss: 58015.7609
Epoch 70, Train Loss: 63269.2214, Test Loss: 61051.0608
Epoch 71, Train Loss: 61992.4002, Test Loss: 58475.4162
Epoch 72, Train Loss: 60618.9219, Test Loss: 55514.3778
Epoch 73, Train Loss: 56981.4158, Test Loss: 53960.7398
Epoch 74, Train Loss: 55169.4787, Test Loss: 52782.7561
Epoch 75, Train Loss: 54434.5501, Test Loss: 51665.4833
Epoch 76, Train Loss: 53254.7812, Test Loss: 51443.2993
Epoch 77, Train Loss: 52870.8303, Test Loss: 50888.0924
Epoch 78, Train Loss: 52572.7884, Test Loss: 53237.2365
Epoch 79, Train Loss: 53037.1519, Test Loss: 49831.4605
Epoch 80, Train Loss: 51613.1089, Test Loss: 49218.1656
Epoch 81, Train Loss: 52848.0219, Test Loss: 51136.5720
Epoch 82, Train Loss: 53117.0460, Test Loss: 49208.5801
Epoch 83, Train Loss: 51899.3518, Test Loss: 49014.8053
Epoch 84, Train Loss: 50526.2400, Test Loss: 47011.0996
Epoch 85, Train Loss: 48759.8635, Test Loss: 46547.6328
Epoch 86, Train Loss: 47706.0178, Test Loss: 46373.3539
Epoch 87, Train Loss: 47263.6026, Test Loss: 44868.4913
Epoch 88, Train Loss: 47633.1597, Test Loss: 44698.5189
Epoch 89, Train Loss: 47426.0295, Test Loss: 46619.2543
Epoch 90, Train Loss: 48970.2326, Test Loss: 46094.2170
Epoch 91, Train Loss: 49611.1215, Test Loss: 50007.1975
Epoch 92, Train Loss: 49712.4132, Test Loss: 46891.9809
Epoch 93, Train Loss: 48766.0488, Test Loss: 48381.9985
Epoch 94, Train Loss: 56076.1072, Test Loss: 54251.4045
Epoch 95, Train Loss: 55415.9243, Test Loss: 50635.8928
Epoch 96, Train Loss: 51797.3175, Test Loss: 46068.8292
Epoch 97, Train Loss: 47968.0065, Test Loss: 44103.6300
Epoch 98, Train Loss: 45593.2222, Test Loss: 42277.6122
Epoch 99, Train Loss: 44004.3290, Test Loss: 43192.4032
Epoch 100, Train Loss: 43358.2185, Test Loss: 39278.0735
Epoch 101, Train Loss: 41890.4451, Test Loss: 40549.7852
Epoch 102, Train Loss: 41017.9956, Test Loss: 39000.8162
Epoch 103, Train Loss: 40720.2370, Test Loss: 38077.9983
Epoch 104, Train Loss: 39414.3776, Test Loss: 37277.4670
Epoch 105, Train Loss: 38702.4761, Test Loss: 37172.6166
Epoch 106, Train Loss: 38475.0982, Test Loss: 36341.9625
Epoch 107, Train Loss: 37644.6168, Test Loss: 35911.3555
Epoch 108, Train Loss: 37362.3934, Test Loss: 35638.4606
Epoch 109, Train Loss: 37063.3290, Test Loss: 35540.6354
Epoch 110, Train Loss: 37223.0826, Test Loss: 36131.0093
Epoch 111, Train Loss: 37498.6984, Test Loss: 35864.0195
Epoch 112, Train Loss: 38020.8817, Test Loss: 35825.3081
Epoch 113, Train Loss: 39500.0687, Test Loss: 38924.1628
Epoch 114, Train Loss: 42129.7587, Test Loss: 39030.1981
Epoch 115, Train Loss: 41759.0862, Test Loss: 37623.2655
Epoch 116, Train Loss: 39260.4652, Test Loss: 37190.7343
Epoch 117, Train Loss: 39331.9748, Test Loss: 37303.9135
Epoch 118, Train Loss: 38320.8229, Test Loss: 35656.8265
Epoch 119, Train Loss: 37205.5859, Test Loss: 35351.3398
Epoch 120, Train Loss: 36648.2255, Test Loss: 35049.1839
Epoch 121, Train Loss: 36047.3078, Test Loss: 35063.4993
Epoch 122, Train Loss: 35598.7170, Test Loss: 33872.4622
Epoch 123, Train Loss: 35137.1824, Test Loss: 33313.8558
Epoch 124, Train Loss: 34716.6400, Test Loss: 33701.9301
Epoch 125, Train Loss: 34365.7331, Test Loss: 32558.6658
Epoch 126, Train Loss: 33946.7789, Test Loss: 32982.5686
Epoch 127, Train Loss: 34350.3305, Test Loss: 33744.7934
Epoch 128, Train Loss: 34832.5420, Test Loss: 32771.2456
Epoch 129, Train Loss: 34497.7859, Test Loss: 33250.5128
Epoch 130, Train Loss: 34144.5801, Test Loss: 32562.2378
Epoch 131, Train Loss: 33911.6536, Test Loss: 32742.3604
Epoch 132, Train Loss: 33472.6451, Test Loss: 32183.7515
Epoch 133, Train Loss: 33433.9479, Test Loss: 31745.9886
Epoch 134, Train Loss: 33338.4508, Test Loss: 32030.5914
Epoch 135, Train Loss: 34287.3302, Test Loss: 32570.1464
Epoch 136, Train Loss: 34566.1911, Test Loss: 33525.5320
Epoch 137, Train Loss: 34811.9178, Test Loss: 35455.7498
Epoch 138, Train Loss: 35749.4258, Test Loss: 34189.3471
Epoch 139, Train Loss: 36121.6081, Test Loss: 34565.2334
Epoch 140, Train Loss: 35827.4602, Test Loss: 35989.1991
Epoch 141, Train Loss: 36655.2170, Test Loss: 36375.6070
Epoch 142, Train Loss: 36447.7377, Test Loss: 34279.2834
Epoch 143, Train Loss: 36090.9694, Test Loss: 35728.3491
Epoch 144, Train Loss: 34953.4655, Test Loss: 32838.4105
Epoch 145, Train Loss: 34021.8788, Test Loss: 32741.8600
Epoch 146, Train Loss: 34051.6423, Test Loss: 31738.0157
Epoch 147, Train Loss: 35267.9659, Test Loss: 32367.1436
Epoch 148, Train Loss: 34788.0131, Test Loss: 32707.8203
Epoch 149, Train Loss: 33552.9928, Test Loss: 31483.3213
Epoch 150, Train Loss: 33161.8659, Test Loss: 31949.3493
