Epoch 1, Train Loss: 1413673.0764, Test Loss: 515519.9167
Epoch 2, Train Loss: 404649.8438, Test Loss: 297432.1493
Epoch 3, Train Loss: 314796.9757, Test Loss: 290676.9653
Epoch 4, Train Loss: 280638.2049, Test Loss: 268564.1788
Epoch 5, Train Loss: 261175.2066, Test Loss: 248777.4010
Epoch 6, Train Loss: 243643.1163, Test Loss: 236119.1372
Epoch 7, Train Loss: 229663.1910, Test Loss: 222952.8281
Epoch 8, Train Loss: 221810.1823, Test Loss: 219981.0972
Epoch 9, Train Loss: 218204.0642, Test Loss: 216603.5868
Epoch 10, Train Loss: 216716.1615, Test Loss: 213005.9705
Epoch 11, Train Loss: 216455.1875, Test Loss: 212212.1806
Epoch 12, Train Loss: 216267.1701, Test Loss: 217820.5538
Epoch 13, Train Loss: 214034.6719, Test Loss: 212571.5104
Epoch 14, Train Loss: 214100.0434, Test Loss: 212747.7830
Epoch 15, Train Loss: 212131.5451, Test Loss: 211630.1372
Epoch 16, Train Loss: 211985.4774, Test Loss: 208533.9253
Epoch 17, Train Loss: 211541.5521, Test Loss: 211366.8837
Epoch 18, Train Loss: 210134.1667, Test Loss: 206640.8385
Epoch 19, Train Loss: 209133.8941, Test Loss: 207387.5799
Epoch 20, Train Loss: 210904.8507, Test Loss: 209432.6771
Epoch 21, Train Loss: 212809.3038, Test Loss: 206816.6181
Epoch 22, Train Loss: 215904.3663, Test Loss: 228907.1424
Epoch 23, Train Loss: 213735.4132, Test Loss: 204336.5833
Epoch 24, Train Loss: 207505.1944, Test Loss: 203666.4427
Epoch 25, Train Loss: 205765.7378, Test Loss: 202986.8889
Epoch 26, Train Loss: 203627.2378, Test Loss: 200194.8194
Epoch 27, Train Loss: 202444.6094, Test Loss: 200553.2257
Epoch 28, Train Loss: 201272.5208, Test Loss: 197376.6476
Epoch 29, Train Loss: 199480.2691, Test Loss: 196830.3247
Epoch 30, Train Loss: 198575.2448, Test Loss: 196643.0122
Epoch 31, Train Loss: 196011.8264, Test Loss: 194414.2118
Epoch 32, Train Loss: 195820.0608, Test Loss: 192621.0729
Epoch 33, Train Loss: 194168.8247, Test Loss: 193704.5799
Epoch 34, Train Loss: 193885.9774, Test Loss: 191234.7361
Epoch 35, Train Loss: 191186.1233, Test Loss: 188430.8802
Epoch 36, Train Loss: 189893.2222, Test Loss: 187252.2188
Epoch 37, Train Loss: 188316.7865, Test Loss: 187463.5069
Epoch 38, Train Loss: 188784.6701, Test Loss: 186899.1580
Epoch 39, Train Loss: 190402.1267, Test Loss: 186692.0243
Epoch 40, Train Loss: 188367.9167, Test Loss: 183659.8247
Epoch 41, Train Loss: 184568.4271, Test Loss: 182604.9392
Epoch 42, Train Loss: 183550.2500, Test Loss: 183254.1962
Epoch 43, Train Loss: 183506.6424, Test Loss: 180030.7361
Epoch 44, Train Loss: 182141.7517, Test Loss: 179630.1198
Epoch 45, Train Loss: 179977.4653, Test Loss: 178139.5590
Epoch 46, Train Loss: 178336.0312, Test Loss: 178952.2170
Epoch 47, Train Loss: 177478.1632, Test Loss: 176062.8021
Epoch 48, Train Loss: 176915.1615, Test Loss: 173811.6528
