Epoch 1, Train Loss: 1069723.1458, Test Loss: 395128.2708
Epoch 2, Train Loss: 347761.6892, Test Loss: 296917.3142
Epoch 3, Train Loss: 292416.8403, Test Loss: 271702.9531
Epoch 4, Train Loss: 264975.9062, Test Loss: 242986.4271
Epoch 5, Train Loss: 243172.6927, Test Loss: 239228.7691
Epoch 6, Train Loss: 236724.3490, Test Loss: 227344.0017
Epoch 7, Train Loss: 223187.3021, Test Loss: 225750.0955
Epoch 8, Train Loss: 226241.9132, Test Loss: 233878.9740
Epoch 9, Train Loss: 224618.6059, Test Loss: 225360.1510
Epoch 10, Train Loss: 218360.7240, Test Loss: 213790.4201
Epoch 11, Train Loss: 215153.6736, Test Loss: 210749.1267
Epoch 12, Train Loss: 212249.1667, Test Loss: 212152.7604
Epoch 13, Train Loss: 210824.4306, Test Loss: 210576.4080
Epoch 14, Train Loss: 212405.2865, Test Loss: 208715.0347
Epoch 15, Train Loss: 212428.9549, Test Loss: 210302.2240
Epoch 16, Train Loss: 210757.0295, Test Loss: 208244.9410
Epoch 17, Train Loss: 209696.6510, Test Loss: 208131.3299
Epoch 18, Train Loss: 209120.5139, Test Loss: 206645.1493
Epoch 19, Train Loss: 207458.9236, Test Loss: 208262.0069
Epoch 20, Train Loss: 209698.6806, Test Loss: 209651.9705
Epoch 21, Train Loss: 210359.3472, Test Loss: 205539.1528
Epoch 22, Train Loss: 208030.0990, Test Loss: 211607.4149
Epoch 23, Train Loss: 207441.0469, Test Loss: 206434.9931
Epoch 24, Train Loss: 206229.8750, Test Loss: 202604.4167
Epoch 25, Train Loss: 204244.3247, Test Loss: 203924.4948
Epoch 26, Train Loss: 204438.5573, Test Loss: 208906.4653
Epoch 27, Train Loss: 208609.2951, Test Loss: 207829.9774
Epoch 28, Train Loss: 206846.9184, Test Loss: 206164.4618
Epoch 29, Train Loss: 207155.0104, Test Loss: 210253.0712
Epoch 30, Train Loss: 203464.6580, Test Loss: 196856.4861
Epoch 31, Train Loss: 197220.2917, Test Loss: 193993.6476
Epoch 32, Train Loss: 193633.1198, Test Loss: 189920.7309
Epoch 33, Train Loss: 190059.6267, Test Loss: 189832.7604
Epoch 34, Train Loss: 189362.6840, Test Loss: 186569.8941
Epoch 35, Train Loss: 187446.0208, Test Loss: 184439.2465
Epoch 36, Train Loss: 185972.9358, Test Loss: 182276.3160
Epoch 37, Train Loss: 185131.7795, Test Loss: 179467.6302
Epoch 38, Train Loss: 182186.3247, Test Loss: 178538.3906
Epoch 39, Train Loss: 183709.2622, Test Loss: 180137.8229
Epoch 40, Train Loss: 183382.2743, Test Loss: 189411.7413
Epoch 41, Train Loss: 188468.3889, Test Loss: 186340.2656
Epoch 42, Train Loss: 198506.7726, Test Loss: 194106.8021
Epoch 43, Train Loss: 199884.7812, Test Loss: 188883.6562
Epoch 44, Train Loss: 196079.8524, Test Loss: 185747.4340
Epoch 45, Train Loss: 188062.0191, Test Loss: 179898.5625
Epoch 46, Train Loss: 176985.9670, Test Loss: 178039.0694
Epoch 47, Train Loss: 176018.7083, Test Loss: 169377.0556
Epoch 48, Train Loss: 170352.1094, Test Loss: 163813.9670
Epoch 49, Train Loss: 165494.8003, Test Loss: 161773.7153
Epoch 50, Train Loss: 163093.4184, Test Loss: 159847.2309
Epoch 51, Train Loss: 161037.4861, Test Loss: 157075.2882
Epoch 52, Train Loss: 158826.7674, Test Loss: 156743.7726
Epoch 53, Train Loss: 157995.1128, Test Loss: 156019.4861
Epoch 54, Train Loss: 156446.6076, Test Loss: 155328.7882
Epoch 55, Train Loss: 155751.3663, Test Loss: 153925.5556
Epoch 56, Train Loss: 155015.0990, Test Loss: 151922.4288
Epoch 57, Train Loss: 154000.0312, Test Loss: 150957.1493
Epoch 58, Train Loss: 151745.7101, Test Loss: 148992.8872
Epoch 59, Train Loss: 152311.5712, Test Loss: 150098.8212
Epoch 60, Train Loss: 152449.2535, Test Loss: 148576.6111
Epoch 61, Train Loss: 150284.0243, Test Loss: 149347.0712
Epoch 62, Train Loss: 150464.7969, Test Loss: 154916.2292
Epoch 63, Train Loss: 151472.1875, Test Loss: 146267.0720
Epoch 64, Train Loss: 148624.8090, Test Loss: 145736.4905
Epoch 65, Train Loss: 153678.6806, Test Loss: 151811.1372
Epoch 66, Train Loss: 155890.4427, Test Loss: 150419.8663
Epoch 67, Train Loss: 156580.1892, Test Loss: 147562.5260
Epoch 68, Train Loss: 148560.3950, Test Loss: 145509.2865
Epoch 69, Train Loss: 145661.4905, Test Loss: 138286.9948
Epoch 70, Train Loss: 140221.3993, Test Loss: 136687.5495
Epoch 71, Train Loss: 137784.1658, Test Loss: 135805.4210
Epoch 72, Train Loss: 136311.6823, Test Loss: 133360.1389
Epoch 73, Train Loss: 134697.0738, Test Loss: 131096.3385
Epoch 74, Train Loss: 135269.0903, Test Loss: 135696.3950
Epoch 75, Train Loss: 133564.8273, Test Loss: 129404.9080
Epoch 76, Train Loss: 131573.1771, Test Loss: 128052.2700
Epoch 77, Train Loss: 130000.0095, Test Loss: 126945.2908
Epoch 78, Train Loss: 128298.3038, Test Loss: 126062.1059
Epoch 79, Train Loss: 127166.6562, Test Loss: 125151.0356
Epoch 80, Train Loss: 126688.8160, Test Loss: 124074.1016
Epoch 81, Train Loss: 125813.2205, Test Loss: 124020.1597
Epoch 82, Train Loss: 125157.3368, Test Loss: 123308.1701
Epoch 83, Train Loss: 124622.3941, Test Loss: 123899.1788
Epoch 84, Train Loss: 124227.0000, Test Loss: 121304.4375
Epoch 85, Train Loss: 124167.5694, Test Loss: 122243.3385
Epoch 86, Train Loss: 125407.6337, Test Loss: 122722.1901
Epoch 87, Train Loss: 122635.3377, Test Loss: 118711.2292
Epoch 88, Train Loss: 120460.9340, Test Loss: 117093.4470
Epoch 89, Train Loss: 119258.4592, Test Loss: 116126.8924
Epoch 90, Train Loss: 117761.1363, Test Loss: 114772.3880
Epoch 91, Train Loss: 117071.1137, Test Loss: 114835.1302
Epoch 92, Train Loss: 117514.7717, Test Loss: 114614.7865
Epoch 93, Train Loss: 118052.3663, Test Loss: 116205.3325
Epoch 94, Train Loss: 117728.4201, Test Loss: 113972.7214
Epoch 95, Train Loss: 114743.3316, Test Loss: 111636.6458
Epoch 96, Train Loss: 115476.3403, Test Loss: 116303.6085
Epoch 97, Train Loss: 118309.5182, Test Loss: 118358.1068
Epoch 98, Train Loss: 120161.9557, Test Loss: 113889.9800
Epoch 99, Train Loss: 116406.1207, Test Loss: 112598.7101
Epoch 100, Train Loss: 116220.9583, Test Loss: 115117.8655
Epoch 101, Train Loss: 115397.8264, Test Loss: 115916.8194
Epoch 102, Train Loss: 115442.8802, Test Loss: 114951.1745
Epoch 103, Train Loss: 114848.2214, Test Loss: 108009.9592
Epoch 104, Train Loss: 110594.4878, Test Loss: 107918.1632
Epoch 105, Train Loss: 108499.9332, Test Loss: 106751.3377
Epoch 106, Train Loss: 108082.2665, Test Loss: 106593.7734
Epoch 107, Train Loss: 107955.6007, Test Loss: 106444.1719
Epoch 108, Train Loss: 106510.0009, Test Loss: 104383.5330
Epoch 109, Train Loss: 109677.8151, Test Loss: 113637.3993
Epoch 110, Train Loss: 112424.8602, Test Loss: 113761.3073
Epoch 111, Train Loss: 113595.4870, Test Loss: 109085.2908
Epoch 112, Train Loss: 109453.1224, Test Loss: 104398.6753
Epoch 113, Train Loss: 107082.5009, Test Loss: 106430.8845
Epoch 114, Train Loss: 106825.1901, Test Loss: 103462.2934
Epoch 115, Train Loss: 105128.0616, Test Loss: 103862.6832
Epoch 116, Train Loss: 104471.8672, Test Loss: 99422.0000
Epoch 117, Train Loss: 103382.6016, Test Loss: 106612.6441
Epoch 118, Train Loss: 105301.8672, Test Loss: 99013.5530
Epoch 119, Train Loss: 100615.3498, Test Loss: 96081.1215
Epoch 120, Train Loss: 97777.7543, Test Loss: 95622.3021
Epoch 121, Train Loss: 96512.8880, Test Loss: 93708.6918
Epoch 122, Train Loss: 95344.0260, Test Loss: 92878.8472
Epoch 146, Train Loss: 84864.2578, Test Loss: 84025.2448
Epoch 124, Train Loss: 93657.9314, Test Loss: 91612.2075
Epoch 125, Train Loss: 94118.5938, Test Loss: 93662.1189
Epoch 126, Train Loss: 94557.8542, Test Loss: 92972.2092
Epoch 127, Train Loss: 94101.1189, Test Loss: 91824.9175
Epoch 128, Train Loss: 92845.9201, Test Loss: 91289.7674
Epoch 129, Train Loss: 92911.2457, Test Loss: 91068.5486
Epoch 130, Train Loss: 92824.6727, Test Loss: 91059.1797
Epoch 131, Train Loss: 91914.4679, Test Loss: 89492.8351
Epoch 132, Train Loss: 91194.0191, Test Loss: 89760.5990
Epoch 133, Train Loss: 92596.3316, Test Loss: 90014.9123
Epoch 134, Train Loss: 96343.4766, Test Loss: 98909.3906
Epoch 135, Train Loss: 96873.8707, Test Loss: 94182.0200
Epoch 136, Train Loss: 93403.0286, Test Loss: 90836.2682
Epoch 137, Train Loss: 92171.6727, Test Loss: 89224.6441
Epoch 138, Train Loss: 91369.2057, Test Loss: 91563.1632
Epoch 139, Train Loss: 90773.8273, Test Loss: 88604.2908
Epoch 140, Train Loss: 90074.0512, Test Loss: 86785.2144
Epoch 141, Train Loss: 88972.7943, Test Loss: 86436.8628
Epoch 142, Train Loss: 88015.6840, Test Loss: 86113.1024
Epoch 143, Train Loss: 87853.5373, Test Loss: 85267.0955
Epoch 144, Train Loss: 86287.2995, Test Loss: 84623.2535
Epoch 145, Train Loss: 85664.9557, Test Loss: 83546.2795
Epoch 146, Train Loss: 84864.2578, Test Loss: 84025.2448
Epoch 147, Train Loss: 84790.8993, Test Loss: 82598.6059
Epoch 148, Train Loss: 84337.6866, Test Loss: 82201.1380
Epoch 149, Train Loss: 83856.6458, Test Loss: 82480.6181
Epoch 150, Train Loss: 83695.6215, Test Loss: 82441.0009
Epoch 151, Train Loss: 84449.3628, Test Loss: 82973.9375
Epoch 152, Train Loss: 86377.6406, Test Loss: 85083.6111
Epoch 153, Train Loss: 87248.0868, Test Loss: 85410.0043
Epoch 154, Train Loss: 89494.5677, Test Loss: 91428.0451
Epoch 155, Train Loss: 92628.3073, Test Loss: 99063.7361
Epoch 156, Train Loss: 99845.6207, Test Loss: 98287.8950
Epoch 157, Train Loss: 95697.4601, Test Loss: 92026.0122
Epoch 158, Train Loss: 92581.9731, Test Loss: 92110.6554
Epoch 159, Train Loss: 91472.0686, Test Loss: 87346.5139
Epoch 160, Train Loss: 88662.2812, Test Loss: 86509.3932
Epoch 161, Train Loss: 88669.0087, Test Loss: 84309.9653
Epoch 162, Train Loss: 85440.0234, Test Loss: 82554.4045
Epoch 163, Train Loss: 83808.2830, Test Loss: 82913.0573
Epoch 164, Train Loss: 84719.5634, Test Loss: 87178.5616
Epoch 165, Train Loss: 88629.9028, Test Loss: 90525.4115
Epoch 166, Train Loss: 90418.6372, Test Loss: 86517.9314
Epoch 167, Train Loss: 87685.2031, Test Loss: 85214.8220
Epoch 168, Train Loss: 86573.8047, Test Loss: 82403.3359
Epoch 169, Train Loss: 84812.0729, Test Loss: 83006.9479
Epoch 170, Train Loss: 85326.5972, Test Loss: 83747.0582
Epoch 171, Train Loss: 83546.8481, Test Loss: 80853.5616
Epoch 172, Train Loss: 82580.7934, Test Loss: 80615.8090
Epoch 173, Train Loss: 81618.0174, Test Loss: 78861.4149
Epoch 174, Train Loss: 80616.2977, Test Loss: 80974.5477
Epoch 175, Train Loss: 80674.5859, Test Loss: 78089.0582
Epoch 176, Train Loss: 79309.8464, Test Loss: 78214.0734
Epoch 177, Train Loss: 78886.8090, Test Loss: 77139.8646
Epoch 178, Train Loss: 78468.6458, Test Loss: 76845.3637
Epoch 179, Train Loss: 77954.8828, Test Loss: 76444.2934
Epoch 180, Train Loss: 78063.2283, Test Loss: 76705.3524
Epoch 181, Train Loss: 78133.4557, Test Loss: 77327.5946
Epoch 182, Train Loss: 77794.3628, Test Loss: 76247.7743
Epoch 183, Train Loss: 77245.1554, Test Loss: 75777.9488
Epoch 184, Train Loss: 76946.7891, Test Loss: 75544.6033
Epoch 185, Train Loss: 76941.2396, Test Loss: 75482.4071
Epoch 186, Train Loss: 77075.8715, Test Loss: 75979.5104
Epoch 187, Train Loss: 76930.3273, Test Loss: 75503.3993
Epoch 188, Train Loss: 78474.5451, Test Loss: 76238.1276
Epoch 189, Train Loss: 78499.8099, Test Loss: 76863.1398
Epoch 190, Train Loss: 78874.8307, Test Loss: 79678.6745
Epoch 191, Train Loss: 81259.1476, Test Loss: 79308.5616
Epoch 192, Train Loss: 84259.5243, Test Loss: 90129.7318
Epoch 193, Train Loss: 83093.2135, Test Loss: 78817.5065
Epoch 194, Train Loss: 80626.9488, Test Loss: 79187.3316
Epoch 195, Train Loss: 80150.3767, Test Loss: 78367.8490
Epoch 196, Train Loss: 78964.3012, Test Loss: 77084.5451
Epoch 197, Train Loss: 78175.9705, Test Loss: 76376.4809
Epoch 198, Train Loss: 77814.1128, Test Loss: 75879.8212
Epoch 199, Train Loss: 77483.2335, Test Loss: 78010.1345
Epoch 200, Train Loss: 79286.7431, Test Loss: 77421.0130
