Epoch 1, Train Loss: 1209605.3333, Test Loss: 415105.1354
Epoch 2, Train Loss: 476176.3299, Test Loss: 425747.4340
Epoch 3, Train Loss: 326781.1701, Test Loss: 310833.3542
Epoch 4, Train Loss: 289563.7049, Test Loss: 285220.2622
Epoch 5, Train Loss: 279577.5677, Test Loss: 278325.3125
Epoch 6, Train Loss: 271065.2517, Test Loss: 263622.2326
Epoch 7, Train Loss: 262024.3108, Test Loss: 258422.7639
Epoch 8, Train Loss: 255114.0851, Test Loss: 247844.0972
Epoch 9, Train Loss: 240845.6771, Test Loss: 238815.8455
Epoch 10, Train Loss: 229634.0521, Test Loss: 221116.1528
Epoch 11, Train Loss: 221350.2656, Test Loss: 218283.5712
Epoch 12, Train Loss: 217309.1545, Test Loss: 214721.9913
Epoch 13, Train Loss: 215832.7847, Test Loss: 215058.0174
Epoch 14, Train Loss: 214910.1615, Test Loss: 212340.0712
Epoch 15, Train Loss: 213854.2309, Test Loss: 213185.9340
Epoch 16, Train Loss: 213383.3854, Test Loss: 211272.7378
Epoch 17, Train Loss: 212105.1094, Test Loss: 211021.4062
Epoch 18, Train Loss: 211699.2014, Test Loss: 210125.2691
Epoch 19, Train Loss: 211473.8299, Test Loss: 209994.0990
Epoch 20, Train Loss: 210670.2361, Test Loss: 208733.4201
Epoch 21, Train Loss: 209914.4948, Test Loss: 207743.0260
Epoch 22, Train Loss: 210465.2309, Test Loss: 209265.5417
Epoch 23, Train Loss: 208926.4670, Test Loss: 208863.4688
Epoch 24, Train Loss: 209417.0712, Test Loss: 206054.7101
Epoch 25, Train Loss: 207853.6892, Test Loss: 204557.1215
Epoch 26, Train Loss: 206074.3090, Test Loss: 204687.5052
Epoch 27, Train Loss: 205109.3611, Test Loss: 201811.2448
Epoch 28, Train Loss: 202769.4896, Test Loss: 200573.7118
Epoch 29, Train Loss: 201304.5764, Test Loss: 198598.6736
Epoch 30, Train Loss: 200829.8438, Test Loss: 199218.9410
Epoch 31, Train Loss: 201014.9201, Test Loss: 198442.1146
Epoch 32, Train Loss: 198347.4740, Test Loss: 194808.4062
