Epoch 1, Train Loss: 1509698.9861, Test Loss: 837425.0764
Epoch 2, Train Loss: 508671.2188, Test Loss: 405391.3368
Epoch 3, Train Loss: 353368.2361, Test Loss: 343128.0972
Epoch 4, Train Loss: 304290.7500, Test Loss: 288759.4670
Epoch 5, Train Loss: 282203.8889, Test Loss: 267737.8698
Epoch 6, Train Loss: 271543.7622, Test Loss: 267861.6684
Epoch 7, Train Loss: 265312.7934, Test Loss: 259351.1944
Epoch 8, Train Loss: 258640.1094, Test Loss: 253284.1736
Epoch 9, Train Loss: 242781.4340, Test Loss: 231918.7483
Epoch 10, Train Loss: 227950.9462, Test Loss: 223630.2066
Epoch 11, Train Loss: 222032.7240, Test Loss: 221303.5434
Epoch 12, Train Loss: 219808.6250, Test Loss: 216771.7431
Epoch 13, Train Loss: 218680.6823, Test Loss: 215741.6545
Epoch 14, Train Loss: 217955.7847, Test Loss: 213875.9132
Epoch 15, Train Loss: 215921.5608, Test Loss: 219317.1979
Epoch 16, Train Loss: 218133.6562, Test Loss: 215549.9028
Epoch 17, Train Loss: 217680.5990, Test Loss: 213437.8264
Epoch 18, Train Loss: 213630.1007, Test Loss: 215230.5122
Epoch 19, Train Loss: 212985.4028, Test Loss: 212109.0642
Epoch 20, Train Loss: 213005.0312, Test Loss: 213420.8490
Epoch 21, Train Loss: 211840.3924, Test Loss: 210127.6771
Epoch 22, Train Loss: 210744.7031, Test Loss: 209300.2257
Epoch 23, Train Loss: 210138.3715, Test Loss: 209807.0122
Epoch 24, Train Loss: 210513.5069, Test Loss: 210360.8646
Epoch 25, Train Loss: 210389.0833, Test Loss: 209568.2448
Epoch 26, Train Loss: 209854.5417, Test Loss: 210031.7083
Epoch 27, Train Loss: 209433.2760, Test Loss: 207406.1562
Epoch 28, Train Loss: 209265.6701, Test Loss: 207149.0694
Epoch 29, Train Loss: 208578.6042, Test Loss: 206213.3455
Epoch 30, Train Loss: 208008.2188, Test Loss: 206213.3160
Epoch 31, Train Loss: 209324.7830, Test Loss: 206110.8212
Epoch 32, Train Loss: 207648.2587, Test Loss: 205519.5260
Epoch 33, Train Loss: 207312.6389, Test Loss: 206642.8941
Epoch 34, Train Loss: 207112.3785, Test Loss: 205582.9618
Epoch 35, Train Loss: 207258.4948, Test Loss: 204464.9062
Epoch 36, Train Loss: 206400.2448, Test Loss: 204537.4149
Epoch 37, Train Loss: 207422.4757, Test Loss: 203914.8090
Epoch 38, Train Loss: 204303.5191, Test Loss: 201835.3108
