Epoch 1, Train Loss: 1423555.1806, Test Loss: 781363.1389
Epoch 2, Train Loss: 534118.0694, Test Loss: 322794.9236
Epoch 3, Train Loss: 322585.4549, Test Loss: 300819.1302
Epoch 4, Train Loss: 288332.9132, Test Loss: 284915.8021
Epoch 5, Train Loss: 276675.3038, Test Loss: 266834.2396
Epoch 6, Train Loss: 267315.7812, Test Loss: 263573.6285
Epoch 7, Train Loss: 262806.3368, Test Loss: 259298.9028
Epoch 8, Train Loss: 252978.6806, Test Loss: 241199.1840
Epoch 9, Train Loss: 235663.6389, Test Loss: 227115.2153
Epoch 10, Train Loss: 224940.2951, Test Loss: 224063.2865
Epoch 11, Train Loss: 221293.2378, Test Loss: 217022.9844
Epoch 12, Train Loss: 217308.6667, Test Loss: 213190.2569
Epoch 13, Train Loss: 217111.8351, Test Loss: 214951.8490
Epoch 14, Train Loss: 214542.5816, Test Loss: 214116.6042
Epoch 15, Train Loss: 212328.7135, Test Loss: 212704.1858
Epoch 16, Train Loss: 212834.0191, Test Loss: 209389.4948
Epoch 17, Train Loss: 213139.3333, Test Loss: 208441.1458
Epoch 18, Train Loss: 211226.9531, Test Loss: 210800.9531
Epoch 19, Train Loss: 209799.2604, Test Loss: 209805.2691
Epoch 20, Train Loss: 208863.0573, Test Loss: 207505.7483
Epoch 21, Train Loss: 208119.1771, Test Loss: 206843.0104
Epoch 22, Train Loss: 208397.4896, Test Loss: 206899.9983
Epoch 23, Train Loss: 208536.7101, Test Loss: 206207.4792
Epoch 24, Train Loss: 207351.5799, Test Loss: 206090.8559
Epoch 25, Train Loss: 206952.3837, Test Loss: 206701.2917
Epoch 26, Train Loss: 207367.0816, Test Loss: 205150.9983
Epoch 27, Train Loss: 206227.2691, Test Loss: 206094.4323
Epoch 28, Train Loss: 207676.3767, Test Loss: 205225.7240
Epoch 29, Train Loss: 207194.7014, Test Loss: 205528.9236
Epoch 30, Train Loss: 206020.6163, Test Loss: 206134.6215
Epoch 31, Train Loss: 205935.5139, Test Loss: 203750.8455
Epoch 32, Train Loss: 204729.0226, Test Loss: 203416.8142
Epoch 33, Train Loss: 204598.9462, Test Loss: 201359.3993
Epoch 34, Train Loss: 203593.2552, Test Loss: 201082.6250
Epoch 35, Train Loss: 203522.0903, Test Loss: 201488.9219
Epoch 36, Train Loss: 202873.7344, Test Loss: 200818.5278
Epoch 37, Train Loss: 202702.8559, Test Loss: 203746.1615
Epoch 38, Train Loss: 201953.7587, Test Loss: 200976.9566
Epoch 39, Train Loss: 202773.1493, Test Loss: 204434.6927
Epoch 40, Train Loss: 201517.8385, Test Loss: 198338.9375
Epoch 41, Train Loss: 198659.1250, Test Loss: 195520.8854
Epoch 42, Train Loss: 196969.7552, Test Loss: 196757.0799
Epoch 43, Train Loss: 195907.4878, Test Loss: 193054.5208
Epoch 44, Train Loss: 195007.7153, Test Loss: 192953.0069
Epoch 45, Train Loss: 193475.8281, Test Loss: 192118.7830
Epoch 46, Train Loss: 193315.0885, Test Loss: 191434.6562
Epoch 47, Train Loss: 191532.3889, Test Loss: 189575.7257
Epoch 48, Train Loss: 189781.4288, Test Loss: 186898.2604
Epoch 49, Train Loss: 187795.0017, Test Loss: 186642.8785
Epoch 50, Train Loss: 187427.6910, Test Loss: 188732.2795
Epoch 51, Train Loss: 191064.7587, Test Loss: 191339.6354
Epoch 52, Train Loss: 190216.6163, Test Loss: 185645.4983
Epoch 53, Train Loss: 186724.5764, Test Loss: 183654.8559
Epoch 54, Train Loss: 184829.2691, Test Loss: 182990.6458
Epoch 55, Train Loss: 182481.3368, Test Loss: 180639.0174
Epoch 56, Train Loss: 180778.5139, Test Loss: 180795.2153
Epoch 57, Train Loss: 184543.3681, Test Loss: 177162.4080
Epoch 58, Train Loss: 179013.8490, Test Loss: 176814.6424
Epoch 59, Train Loss: 179498.7847, Test Loss: 176737.2969
Epoch 60, Train Loss: 179033.8524, Test Loss: 175513.2326
Epoch 61, Train Loss: 177572.2049, Test Loss: 174008.0156
Epoch 62, Train Loss: 175902.6927, Test Loss: 172404.3003
Epoch 63, Train Loss: 173241.1875, Test Loss: 170448.0191
Epoch 64, Train Loss: 174240.8785, Test Loss: 168637.3177
Epoch 65, Train Loss: 169732.2552, Test Loss: 169325.7240
Epoch 66, Train Loss: 173160.8299, Test Loss: 168292.8802
Epoch 67, Train Loss: 171870.2587, Test Loss: 164643.5764
Epoch 68, Train Loss: 172206.8507, Test Loss: 174539.8854
Epoch 69, Train Loss: 169659.3802, Test Loss: 164048.5747
Epoch 70, Train Loss: 166351.1076, Test Loss: 165369.5677
Epoch 71, Train Loss: 165728.5590, Test Loss: 162729.5642
Epoch 72, Train Loss: 163958.2969, Test Loss: 163889.5642
Epoch 73, Train Loss: 164550.0139, Test Loss: 163915.3785
Epoch 74, Train Loss: 173609.4375, Test Loss: 174433.4965
Epoch 75, Train Loss: 173233.0139, Test Loss: 166856.9705
Epoch 76, Train Loss: 168691.6597, Test Loss: 171465.8976
Epoch 77, Train Loss: 168219.6354, Test Loss: 164236.2344
Epoch 78, Train Loss: 165884.4931, Test Loss: 163282.0139
Epoch 79, Train Loss: 177004.8212, Test Loss: 173256.4531
Epoch 80, Train Loss: 176123.0469, Test Loss: 169893.7431
Epoch 81, Train Loss: 182426.8351, Test Loss: 175647.7865
Epoch 82, Train Loss: 167647.6215, Test Loss: 159370.9497
Epoch 83, Train Loss: 162330.4705, Test Loss: 160011.6649
Epoch 84, Train Loss: 159196.3507, Test Loss: 154934.4340
Epoch 85, Train Loss: 156331.3854, Test Loss: 154923.6372
Epoch 86, Train Loss: 155073.6163, Test Loss: 152669.1997
Epoch 87, Train Loss: 154180.5599, Test Loss: 151617.2292
Epoch 88, Train Loss: 153627.7483, Test Loss: 151412.2083
Epoch 89, Train Loss: 152510.1406, Test Loss: 151294.7795
Epoch 90, Train Loss: 151736.9071, Test Loss: 149200.0825
Epoch 91, Train Loss: 150198.1302, Test Loss: 148086.9887
Epoch 92, Train Loss: 149875.1615, Test Loss: 147759.8420
Epoch 93, Train Loss: 148820.5087, Test Loss: 146798.2023
Epoch 94, Train Loss: 147783.9080, Test Loss: 146023.4149
Epoch 95, Train Loss: 147004.7457, Test Loss: 145213.4410
Epoch 96, Train Loss: 146025.6424, Test Loss: 144293.8785
Epoch 97, Train Loss: 145066.3698, Test Loss: 143541.7049
Epoch 98, Train Loss: 144341.4306, Test Loss: 143108.8229
Epoch 99, Train Loss: 144717.6528, Test Loss: 142960.4323
Epoch 100, Train Loss: 145486.4028, Test Loss: 141818.5434
Epoch 101, Train Loss: 147066.3472, Test Loss: 144090.3264
Epoch 102, Train Loss: 146747.3759, Test Loss: 142648.1918
Epoch 103, Train Loss: 143024.5851, Test Loss: 140152.2812
Epoch 104, Train Loss: 142588.3733, Test Loss: 139917.4688
Epoch 105, Train Loss: 141745.6146, Test Loss: 140701.6615
Epoch 106, Train Loss: 140691.6892, Test Loss: 139181.0009
Epoch 107, Train Loss: 139998.2656, Test Loss: 137507.1319
Epoch 108, Train Loss: 138970.6276, Test Loss: 137793.0321
Epoch 109, Train Loss: 138694.4705, Test Loss: 137104.9731
Epoch 110, Train Loss: 137611.8229, Test Loss: 135776.2370
Epoch 111, Train Loss: 136891.6094, Test Loss: 136279.6684
Epoch 112, Train Loss: 137599.3142, Test Loss: 136375.8377
Epoch 113, Train Loss: 136948.8932, Test Loss: 135135.2014
Epoch 114, Train Loss: 135965.6806, Test Loss: 136719.7422
Epoch 115, Train Loss: 135696.4705, Test Loss: 133261.4965
Epoch 116, Train Loss: 136161.4010, Test Loss: 133606.6467
Epoch 117, Train Loss: 135694.6771, Test Loss: 132475.1797
Epoch 118, Train Loss: 134507.3889, Test Loss: 135527.0365
Epoch 119, Train Loss: 134699.2986, Test Loss: 134957.8342
Epoch 120, Train Loss: 136553.6024, Test Loss: 132791.4262
Epoch 121, Train Loss: 139869.5347, Test Loss: 134100.0781
Epoch 122, Train Loss: 143969.3533, Test Loss: 140870.9036
Epoch 123, Train Loss: 145559.6424, Test Loss: 140304.4661
Epoch 124, Train Loss: 143362.3194, Test Loss: 144753.0373
Epoch 125, Train Loss: 141001.1875, Test Loss: 135399.5877
Epoch 126, Train Loss: 138119.3750, Test Loss: 136483.8707
Epoch 127, Train Loss: 134737.8160, Test Loss: 130815.3420
Epoch 128, Train Loss: 132678.7457, Test Loss: 130093.7917
Epoch 129, Train Loss: 129957.9583, Test Loss: 127855.2500
Epoch 130, Train Loss: 129774.6042, Test Loss: 128689.0972
Epoch 131, Train Loss: 129412.8811, Test Loss: 126961.9635
Epoch 132, Train Loss: 128206.9288, Test Loss: 126573.7517
Epoch 133, Train Loss: 127364.1476, Test Loss: 125561.4366
Epoch 134, Train Loss: 126970.5764, Test Loss: 126329.7873
Epoch 135, Train Loss: 127187.0469, Test Loss: 125794.3516
Epoch 136, Train Loss: 127196.0295, Test Loss: 127480.2474
Epoch 137, Train Loss: 127623.6458, Test Loss: 124972.7422
Epoch 138, Train Loss: 125960.5738, Test Loss: 123588.8168
Epoch 139, Train Loss: 125315.2656, Test Loss: 124327.4861
