Epoch 1, Train Loss: 1178370.2639, Test Loss: 514806.7188
Epoch 2, Train Loss: 416511.4271, Test Loss: 336038.0104
Epoch 3, Train Loss: 307591.5712, Test Loss: 284347.1615
Epoch 4, Train Loss: 277896.1788, Test Loss: 267392.3125
Epoch 5, Train Loss: 261929.4392, Test Loss: 250747.8281
Epoch 6, Train Loss: 245608.3767, Test Loss: 238922.4757
Epoch 7, Train Loss: 236024.8056, Test Loss: 227979.3177
Epoch 8, Train Loss: 228644.2431, Test Loss: 220100.7934
Epoch 9, Train Loss: 219665.0243, Test Loss: 216503.1667
Epoch 10, Train Loss: 215084.5278, Test Loss: 212313.7639
Epoch 11, Train Loss: 212153.4358, Test Loss: 210886.5955
Epoch 12, Train Loss: 211488.7135, Test Loss: 209899.2170
Epoch 13, Train Loss: 210051.3385, Test Loss: 209246.8455
Epoch 14, Train Loss: 209487.9358, Test Loss: 208349.2760
Epoch 15, Train Loss: 208749.8108, Test Loss: 206955.3819
Epoch 16, Train Loss: 207383.7101, Test Loss: 205799.4080
Epoch 17, Train Loss: 206517.4375, Test Loss: 204889.2413
Epoch 18, Train Loss: 206203.2604, Test Loss: 204545.4826
Epoch 19, Train Loss: 204586.9340, Test Loss: 203355.6597
Epoch 20, Train Loss: 202967.5347, Test Loss: 201018.2448
Epoch 21, Train Loss: 201685.7448, Test Loss: 201420.1094
Epoch 22, Train Loss: 201353.1806, Test Loss: 199060.4358
Epoch 23, Train Loss: 201346.8611, Test Loss: 199983.2951
Epoch 24, Train Loss: 204802.2344, Test Loss: 197941.7465
Epoch 25, Train Loss: 200013.0608, Test Loss: 196723.5677
Epoch 26, Train Loss: 197908.2917, Test Loss: 196961.2552
Epoch 27, Train Loss: 196266.9184, Test Loss: 192908.1597
Epoch 28, Train Loss: 194011.4688, Test Loss: 192477.6076
Epoch 29, Train Loss: 191236.6632, Test Loss: 187743.5990
Epoch 30, Train Loss: 188440.4948, Test Loss: 185836.8056
Epoch 31, Train Loss: 188121.2153, Test Loss: 190492.5469
Epoch 32, Train Loss: 187251.7847, Test Loss: 184167.9149
Epoch 33, Train Loss: 184780.6684, Test Loss: 182788.7222
Epoch 34, Train Loss: 182366.9167, Test Loss: 179355.8611
Epoch 35, Train Loss: 180245.2812, Test Loss: 176959.5052
Epoch 36, Train Loss: 180959.1163, Test Loss: 195759.3368
Epoch 37, Train Loss: 191965.8108, Test Loss: 185632.9115
Epoch 38, Train Loss: 181898.0417, Test Loss: 180524.2917
Epoch 39, Train Loss: 177657.9549, Test Loss: 173916.0781
Epoch 40, Train Loss: 175206.8924, Test Loss: 172003.4861
Epoch 41, Train Loss: 174142.5000, Test Loss: 173456.5104
Epoch 42, Train Loss: 172743.9392, Test Loss: 168111.5382
Epoch 43, Train Loss: 169970.5642, Test Loss: 169952.4219
Epoch 44, Train Loss: 170584.9740, Test Loss: 171002.8854
Epoch 45, Train Loss: 170608.5260, Test Loss: 171377.2986
Epoch 46, Train Loss: 168192.0191, Test Loss: 167579.6389
Epoch 47, Train Loss: 167193.5260, Test Loss: 166200.6380
Epoch 48, Train Loss: 168045.6181, Test Loss: 164333.4062
Epoch 49, Train Loss: 162827.0694, Test Loss: 161491.4045
Epoch 50, Train Loss: 162511.8628, Test Loss: 163466.5243
Epoch 51, Train Loss: 162432.1753, Test Loss: 159894.1476
Epoch 52, Train Loss: 159600.2760, Test Loss: 158496.0000
Epoch 53, Train Loss: 157618.3542, Test Loss: 155168.1094
Epoch 54, Train Loss: 156513.8281, Test Loss: 153822.2517
Epoch 55, Train Loss: 155665.6146, Test Loss: 155372.9740
Epoch 56, Train Loss: 155000.7587, Test Loss: 152873.8993
Epoch 57, Train Loss: 153854.6510, Test Loss: 152414.2734
Epoch 58, Train Loss: 152587.6875, Test Loss: 149807.4054
Epoch 59, Train Loss: 151484.9193, Test Loss: 149582.2821
Epoch 60, Train Loss: 152309.9097, Test Loss: 150771.6615
Epoch 61, Train Loss: 154060.7474, Test Loss: 156310.8264
Epoch 62, Train Loss: 161341.5712, Test Loss: 165595.4392
Epoch 63, Train Loss: 157610.0868, Test Loss: 155907.0903
Epoch 64, Train Loss: 154498.0503, Test Loss: 157223.4809
