Epoch 1, Train Loss: 1218487.2500, Test Loss: 549038.5243
Epoch 2, Train Loss: 425681.5278, Test Loss: 322856.5521
Epoch 3, Train Loss: 312618.0573, Test Loss: 292406.6042
Epoch 4, Train Loss: 278957.7378, Test Loss: 261447.1024
Epoch 5, Train Loss: 256071.0521, Test Loss: 246654.4462
Epoch 6, Train Loss: 238071.5191, Test Loss: 230299.2361
Epoch 7, Train Loss: 225073.1163, Test Loss: 219212.2344
Epoch 8, Train Loss: 217298.4809, Test Loss: 213883.1128
Epoch 9, Train Loss: 214036.0990, Test Loss: 211665.3559
Epoch 10, Train Loss: 212654.1406, Test Loss: 210578.0747
Epoch 11, Train Loss: 211063.1858, Test Loss: 209596.2049
Epoch 12, Train Loss: 209337.9722, Test Loss: 207903.0417
Epoch 13, Train Loss: 208495.3125, Test Loss: 208290.0365
Epoch 14, Train Loss: 207518.7517, Test Loss: 205485.1024
Epoch 15, Train Loss: 205918.7604, Test Loss: 209314.2517
Epoch 16, Train Loss: 207865.6580, Test Loss: 205538.0295
Epoch 17, Train Loss: 210030.2830, Test Loss: 211662.1424
Epoch 18, Train Loss: 210669.2812, Test Loss: 203154.9861
Epoch 19, Train Loss: 205822.2066, Test Loss: 207033.5017
Epoch 20, Train Loss: 203594.5017, Test Loss: 200453.7413
Epoch 21, Train Loss: 201454.6250, Test Loss: 199440.2153
Epoch 22, Train Loss: 199812.2049, Test Loss: 198028.2465
Epoch 23, Train Loss: 200364.6163, Test Loss: 199065.2135
Epoch 24, Train Loss: 199620.7483, Test Loss: 197459.3264
Epoch 25, Train Loss: 197312.4201, Test Loss: 195485.4028
Epoch 26, Train Loss: 196146.7622, Test Loss: 194303.7934
Epoch 27, Train Loss: 195733.9427, Test Loss: 196517.1389
Epoch 28, Train Loss: 196608.6128, Test Loss: 202707.2118
Epoch 29, Train Loss: 195095.6927, Test Loss: 192198.1372
Epoch 30, Train Loss: 190675.1875, Test Loss: 187260.3802
Epoch 31, Train Loss: 187837.8837, Test Loss: 187427.7778
Epoch 32, Train Loss: 188119.4618, Test Loss: 188860.1042
Epoch 33, Train Loss: 187069.7587, Test Loss: 184435.2465
Epoch 34, Train Loss: 185210.9219, Test Loss: 184451.3785
Epoch 35, Train Loss: 183467.3924, Test Loss: 180988.9358
Epoch 36, Train Loss: 181649.7135, Test Loss: 179044.1007
Epoch 37, Train Loss: 182413.7135, Test Loss: 186030.2674
Epoch 38, Train Loss: 180753.5608, Test Loss: 179466.2205
Epoch 39, Train Loss: 178530.7517, Test Loss: 178533.7604
Epoch 40, Train Loss: 177283.7622, Test Loss: 174112.2743
Epoch 41, Train Loss: 174881.4115, Test Loss: 172434.8507
Epoch 42, Train Loss: 172681.7135, Test Loss: 171346.7292
Epoch 43, Train Loss: 174702.8819, Test Loss: 172752.4497
Epoch 44, Train Loss: 174325.7795, Test Loss: 172847.9844
Epoch 45, Train Loss: 172526.6337, Test Loss: 175026.9618
Epoch 46, Train Loss: 171036.2604, Test Loss: 166502.6493
Epoch 47, Train Loss: 166698.9340, Test Loss: 165028.3212
Epoch 48, Train Loss: 165492.2569, Test Loss: 163063.6615
Epoch 49, Train Loss: 163840.2257, Test Loss: 162651.3594
Epoch 50, Train Loss: 162428.1128, Test Loss: 160819.6389
Epoch 51, Train Loss: 161887.6128, Test Loss: 159067.3455
Epoch 52, Train Loss: 163440.8316, Test Loss: 168609.6892
Epoch 53, Train Loss: 166109.0017, Test Loss: 174544.4896
Epoch 54, Train Loss: 168358.9410, Test Loss: 158888.8212
Epoch 55, Train Loss: 165347.1944, Test Loss: 158850.4792
Epoch 56, Train Loss: 159932.2517, Test Loss: 157552.5833
Epoch 57, Train Loss: 156414.5799, Test Loss: 154097.6953
Epoch 58, Train Loss: 154585.7413, Test Loss: 152480.5799
Epoch 59, Train Loss: 153492.7257, Test Loss: 151414.1736
Epoch 60, Train Loss: 152607.2474, Test Loss: 151752.6615
Epoch 61, Train Loss: 151422.1701, Test Loss: 149852.4826
Epoch 62, Train Loss: 150554.4948, Test Loss: 150117.1111
Epoch 63, Train Loss: 150564.3299, Test Loss: 147876.9427
Epoch 64, Train Loss: 154090.3785, Test Loss: 149972.3455
Epoch 65, Train Loss: 149546.2622, Test Loss: 146489.5573
Epoch 66, Train Loss: 147648.0833, Test Loss: 145462.3056
Epoch 67, Train Loss: 146916.6580, Test Loss: 145060.7674
Epoch 68, Train Loss: 145568.7925, Test Loss: 144711.7839
Epoch 69, Train Loss: 145486.0755, Test Loss: 145314.3802
Epoch 70, Train Loss: 145500.2743, Test Loss: 150593.4740
Epoch 71, Train Loss: 148136.0729, Test Loss: 151009.8316
Epoch 72, Train Loss: 146772.8550, Test Loss: 143387.9878
Epoch 73, Train Loss: 148295.2760, Test Loss: 143882.7300
Epoch 74, Train Loss: 143954.2986, Test Loss: 140205.3663
Epoch 75, Train Loss: 142506.9497, Test Loss: 141262.1832
Epoch 76, Train Loss: 141019.5425, Test Loss: 139715.2891
Epoch 77, Train Loss: 139620.5938, Test Loss: 137724.5903
Epoch 78, Train Loss: 138342.4123, Test Loss: 138009.1970
Epoch 79, Train Loss: 137717.3333, Test Loss: 135914.3663
Epoch 80, Train Loss: 136744.7734, Test Loss: 134970.0252
Epoch 81, Train Loss: 135942.9271, Test Loss: 135189.2370
Epoch 82, Train Loss: 135402.9766, Test Loss: 134500.9922
