Epoch 1, Train Loss: 1206683.5208, Test Loss: 622596.5833
Epoch 2, Train Loss: 448902.9097, Test Loss: 356432.3264
Epoch 3, Train Loss: 316647.0868, Test Loss: 289553.5330
Epoch 4, Train Loss: 276433.9444, Test Loss: 260091.7031
Epoch 5, Train Loss: 256627.4809, Test Loss: 242027.0712
Epoch 6, Train Loss: 236778.4740, Test Loss: 230393.9774
Epoch 7, Train Loss: 225616.7795, Test Loss: 221023.1545
Epoch 8, Train Loss: 219268.8663, Test Loss: 215215.9062
Epoch 9, Train Loss: 216044.2656, Test Loss: 215094.3872
Epoch 10, Train Loss: 214521.6441, Test Loss: 211222.2431
Epoch 11, Train Loss: 211743.2257, Test Loss: 209534.1510
Epoch 12, Train Loss: 210028.4549, Test Loss: 208643.4358
Epoch 13, Train Loss: 208615.5573, Test Loss: 208022.4948
Epoch 14, Train Loss: 208099.6753, Test Loss: 206150.6354
Epoch 15, Train Loss: 207031.8628, Test Loss: 205341.6024
Epoch 16, Train Loss: 205716.8889, Test Loss: 204452.4010
Epoch 17, Train Loss: 205095.2031, Test Loss: 203620.4861
Epoch 18, Train Loss: 204411.4097, Test Loss: 202553.6111
Epoch 19, Train Loss: 202966.3073, Test Loss: 202431.3455
Epoch 20, Train Loss: 204867.4740, Test Loss: 202812.2951
Epoch 21, Train Loss: 202599.3819, Test Loss: 203487.4878
Epoch 22, Train Loss: 201918.9514, Test Loss: 207658.8576
Epoch 23, Train Loss: 202040.3351, Test Loss: 200170.4913
Epoch 24, Train Loss: 200428.2222, Test Loss: 198441.0122
Epoch 25, Train Loss: 200394.6146, Test Loss: 195516.5955
Epoch 26, Train Loss: 197780.6927, Test Loss: 197424.5642
Epoch 27, Train Loss: 196889.5330, Test Loss: 199328.0868
Epoch 28, Train Loss: 199440.3420, Test Loss: 196817.4271
Epoch 29, Train Loss: 196978.3403, Test Loss: 195164.1354
Epoch 30, Train Loss: 194139.5503, Test Loss: 191041.3524
Epoch 31, Train Loss: 193401.7639, Test Loss: 194089.1406
Epoch 32, Train Loss: 194032.0938, Test Loss: 192740.8038
Epoch 33, Train Loss: 191826.1684, Test Loss: 191571.0347
Epoch 34, Train Loss: 190585.2101, Test Loss: 188499.1823
Epoch 35, Train Loss: 187931.7101, Test Loss: 186291.6580
Epoch 36, Train Loss: 186976.4931, Test Loss: 184008.9271
Epoch 37, Train Loss: 184908.9427, Test Loss: 183242.1597
Epoch 38, Train Loss: 183073.3993, Test Loss: 181252.8038
Epoch 39, Train Loss: 182096.0000, Test Loss: 179610.2969
Epoch 40, Train Loss: 180346.7465, Test Loss: 178430.5608
Epoch 41, Train Loss: 179290.8472, Test Loss: 177399.1493
Epoch 42, Train Loss: 177911.3194, Test Loss: 176649.4618
Epoch 43, Train Loss: 177881.5972, Test Loss: 175563.8733
Epoch 44, Train Loss: 177518.7778, Test Loss: 180283.2726
Epoch 45, Train Loss: 176631.9844, Test Loss: 173262.7951
Epoch 46, Train Loss: 173954.5868, Test Loss: 171862.4670
Epoch 47, Train Loss: 172507.6267, Test Loss: 173092.0382
Epoch 48, Train Loss: 173027.1337, Test Loss: 178490.2760
Epoch 49, Train Loss: 174728.7951, Test Loss: 179001.5017
Epoch 50, Train Loss: 177141.4670, Test Loss: 189769.3160
Epoch 51, Train Loss: 180618.1250, Test Loss: 175251.6372
Epoch 52, Train Loss: 181725.1441, Test Loss: 185684.6215
Epoch 53, Train Loss: 182011.0156, Test Loss: 171741.9688
Epoch 54, Train Loss: 176931.4531, Test Loss: 173976.7274
Epoch 55, Train Loss: 172918.0955, Test Loss: 171044.5677
Epoch 56, Train Loss: 171885.7760, Test Loss: 170329.4861
Epoch 57, Train Loss: 168785.9861, Test Loss: 168898.6319
Epoch 58, Train Loss: 168079.0000, Test Loss: 165444.0660
Epoch 59, Train Loss: 165517.4670, Test Loss: 164864.4688
Epoch 60, Train Loss: 165394.8984, Test Loss: 166335.9184
Epoch 61, Train Loss: 167467.1233, Test Loss: 161630.1753
Epoch 62, Train Loss: 161281.0694, Test Loss: 159114.9705
Epoch 63, Train Loss: 159983.3958, Test Loss: 157923.8889
