Epoch 1, Train Loss: 1408939.3056, Test Loss: 855979.5417
Epoch 2, Train Loss: 619413.8125, Test Loss: 424007.7674
Epoch 3, Train Loss: 373986.4375, Test Loss: 331176.6580
Epoch 4, Train Loss: 307399.3125, Test Loss: 284449.7396
Epoch 5, Train Loss: 273427.9531, Test Loss: 262117.7257
Epoch 6, Train Loss: 254915.0747, Test Loss: 244936.5000
Epoch 7, Train Loss: 241100.7552, Test Loss: 233697.9740
Epoch 8, Train Loss: 229212.9097, Test Loss: 223867.7986
Epoch 9, Train Loss: 221138.6562, Test Loss: 216925.1910
Epoch 10, Train Loss: 215790.6372, Test Loss: 213159.3750
Epoch 11, Train Loss: 213142.8872, Test Loss: 209444.2066
Epoch 12, Train Loss: 210711.8316, Test Loss: 208391.1250
Epoch 13, Train Loss: 209313.9010, Test Loss: 208955.3333
Epoch 14, Train Loss: 208170.9253, Test Loss: 205070.0347
Epoch 15, Train Loss: 208308.5069, Test Loss: 207010.6840
Epoch 16, Train Loss: 211389.1701, Test Loss: 206297.2552
Epoch 17, Train Loss: 204918.6094, Test Loss: 202990.5139
Epoch 18, Train Loss: 202410.2500, Test Loss: 201235.1181
Epoch 19, Train Loss: 201359.7205, Test Loss: 200836.5139
Epoch 20, Train Loss: 199876.1927, Test Loss: 198247.9688
Epoch 21, Train Loss: 199108.6736, Test Loss: 198243.4722
Epoch 22, Train Loss: 198177.6042, Test Loss: 197060.1632
Epoch 23, Train Loss: 198834.0434, Test Loss: 195894.5312
Epoch 24, Train Loss: 196886.0694, Test Loss: 195914.8316
Epoch 25, Train Loss: 195712.2205, Test Loss: 196290.0903
Epoch 26, Train Loss: 196235.2240, Test Loss: 193969.4375
Epoch 27, Train Loss: 195160.4306, Test Loss: 192281.8368
Epoch 28, Train Loss: 193536.5556, Test Loss: 191487.0590
Epoch 29, Train Loss: 192680.3993, Test Loss: 191248.0139
Epoch 30, Train Loss: 191991.5278, Test Loss: 190256.1094
Epoch 31, Train Loss: 190262.8316, Test Loss: 188981.7552
Epoch 32, Train Loss: 189772.0486, Test Loss: 189711.0920
Epoch 33, Train Loss: 189423.2222, Test Loss: 187065.6649
Epoch 34, Train Loss: 187575.7812, Test Loss: 187620.4358
Epoch 35, Train Loss: 187269.6476, Test Loss: 186019.2292
Epoch 36, Train Loss: 185864.0312, Test Loss: 185356.2726
Epoch 37, Train Loss: 185591.9462, Test Loss: 184023.9774
Epoch 38, Train Loss: 185677.5486, Test Loss: 189282.8160
Epoch 39, Train Loss: 185121.8212, Test Loss: 183209.5434
Epoch 40, Train Loss: 184770.9010, Test Loss: 182586.3247
Epoch 41, Train Loss: 183466.0451, Test Loss: 181327.2951
