Epoch 1, Train Loss: 1348065.6667, Test Loss: 1129138.5556
Epoch 2, Train Loss: 662994.6076, Test Loss: 480480.0243
Epoch 3, Train Loss: 375443.5764, Test Loss: 377978.6354
Epoch 4, Train Loss: 313068.0486, Test Loss: 302112.9132
Epoch 5, Train Loss: 284659.6788, Test Loss: 280070.5573
Epoch 6, Train Loss: 276203.0139, Test Loss: 271040.9722
Epoch 7, Train Loss: 271713.0521, Test Loss: 269166.7778
Epoch 8, Train Loss: 269005.9670, Test Loss: 266476.3003
Epoch 9, Train Loss: 263654.9045, Test Loss: 254279.8976
Epoch 10, Train Loss: 248192.8351, Test Loss: 237832.0000
Epoch 11, Train Loss: 232114.6684, Test Loss: 224927.2431
Epoch 12, Train Loss: 223532.8941, Test Loss: 219403.5781
Epoch 13, Train Loss: 218597.6458, Test Loss: 215379.1910
Epoch 14, Train Loss: 215653.5000, Test Loss: 213001.7465
Epoch 15, Train Loss: 214188.8924, Test Loss: 213785.3455
Epoch 16, Train Loss: 213813.1076, Test Loss: 214414.2361
Epoch 17, Train Loss: 213558.8889, Test Loss: 213028.6684
Epoch 18, Train Loss: 212840.7830, Test Loss: 211743.6441
Epoch 19, Train Loss: 212121.9740, Test Loss: 208787.1979
Epoch 20, Train Loss: 210489.2778, Test Loss: 210961.9201
Epoch 21, Train Loss: 210317.7448, Test Loss: 208828.2934
Epoch 22, Train Loss: 210020.1892, Test Loss: 209886.9722
Epoch 23, Train Loss: 209309.2882, Test Loss: 207519.5556
Epoch 24, Train Loss: 207966.4236, Test Loss: 206935.4236
Epoch 25, Train Loss: 207464.3403, Test Loss: 205223.7674
Epoch 26, Train Loss: 207273.7622, Test Loss: 204208.8819
Epoch 27, Train Loss: 207608.7465, Test Loss: 203646.5469
Epoch 28, Train Loss: 203309.9306, Test Loss: 201601.8802
Epoch 29, Train Loss: 202997.0590, Test Loss: 202231.7378
Epoch 30, Train Loss: 201876.0694, Test Loss: 199805.7969
Epoch 31, Train Loss: 201913.0955, Test Loss: 202242.8281
Epoch 32, Train Loss: 201833.2969, Test Loss: 199234.7049
Epoch 33, Train Loss: 199153.6719, Test Loss: 198824.2205
Epoch 34, Train Loss: 200254.9444, Test Loss: 194803.7483
Epoch 35, Train Loss: 197951.6302, Test Loss: 197049.2396
