Epoch 1, Train Loss: 1505833.6528, Test Loss: 624516.6806
Epoch 2, Train Loss: 520853.4688, Test Loss: 399532.0694
Epoch 3, Train Loss: 345859.8299, Test Loss: 310573.9896
Epoch 4, Train Loss: 294539.3229, Test Loss: 280622.4722
Epoch 5, Train Loss: 277808.3958, Test Loss: 266746.9045
Epoch 6, Train Loss: 258079.0885, Test Loss: 242240.9271
Epoch 7, Train Loss: 237832.0694, Test Loss: 225073.2083
Epoch 8, Train Loss: 224049.5503, Test Loss: 219567.3247
Epoch 9, Train Loss: 220277.0052, Test Loss: 216367.2431
Epoch 10, Train Loss: 217069.4774, Test Loss: 219317.5486
Epoch 11, Train Loss: 217747.2257, Test Loss: 217766.4479
Epoch 12, Train Loss: 217905.0590, Test Loss: 213412.4861
Epoch 13, Train Loss: 215708.1840, Test Loss: 214560.3316
Epoch 14, Train Loss: 215445.3733, Test Loss: 212269.3212
Epoch 15, Train Loss: 213421.2153, Test Loss: 212011.6476
Epoch 16, Train Loss: 211894.3767, Test Loss: 209781.7118
Epoch 17, Train Loss: 211074.2674, Test Loss: 209679.8021
Epoch 18, Train Loss: 210744.4826, Test Loss: 208070.9878
Epoch 19, Train Loss: 210524.2153, Test Loss: 208329.4184
Epoch 20, Train Loss: 210142.6441, Test Loss: 208114.4358
Epoch 21, Train Loss: 209703.3125, Test Loss: 208317.9167
Epoch 22, Train Loss: 208221.4028, Test Loss: 205900.2830
Epoch 23, Train Loss: 207338.2153, Test Loss: 204304.6667
Epoch 24, Train Loss: 206086.7969, Test Loss: 204694.9028
Epoch 25, Train Loss: 204461.1632, Test Loss: 202269.0990
Epoch 26, Train Loss: 203716.5764, Test Loss: 205412.0295
Epoch 27, Train Loss: 204532.9948, Test Loss: 200838.1632
Epoch 28, Train Loss: 201670.8646, Test Loss: 201410.1389
Epoch 29, Train Loss: 201291.3194, Test Loss: 197753.6163
Epoch 30, Train Loss: 201643.3125, Test Loss: 204760.8351
Epoch 31, Train Loss: 204989.3976, Test Loss: 212324.8698
Epoch 32, Train Loss: 206536.1979, Test Loss: 203450.0122
Epoch 33, Train Loss: 203819.3021, Test Loss: 199520.8507
Epoch 34, Train Loss: 199561.4410, Test Loss: 193407.7743
Epoch 35, Train Loss: 194329.3802, Test Loss: 189783.5365
Epoch 36, Train Loss: 191141.2135, Test Loss: 189420.1024
Epoch 37, Train Loss: 189236.6372, Test Loss: 188437.5712
Epoch 38, Train Loss: 188744.7326, Test Loss: 185736.4340
Epoch 39, Train Loss: 186990.4740, Test Loss: 187565.1076
Epoch 40, Train Loss: 185775.0000, Test Loss: 188193.4826
Epoch 41, Train Loss: 189353.6528, Test Loss: 182675.1806
Epoch 42, Train Loss: 183972.2031, Test Loss: 178322.1545
Epoch 43, Train Loss: 187074.7517, Test Loss: 181392.6372
Epoch 44, Train Loss: 179308.3194, Test Loss: 174685.1441
Epoch 45, Train Loss: 175370.8819, Test Loss: 171985.4601
Epoch 46, Train Loss: 175021.1510, Test Loss: 173566.7760
Epoch 47, Train Loss: 172777.7257, Test Loss: 169527.0347
Epoch 48, Train Loss: 171555.5330, Test Loss: 166723.4931
Epoch 49, Train Loss: 169950.7812, Test Loss: 165778.3455
Epoch 50, Train Loss: 167579.0365, Test Loss: 165940.5156
Epoch 51, Train Loss: 166231.6458, Test Loss: 161635.6771
Epoch 52, Train Loss: 163496.4358, Test Loss: 161541.1667
Epoch 53, Train Loss: 161707.2465, Test Loss: 158983.1042
Epoch 54, Train Loss: 160744.7986, Test Loss: 159184.3003
Epoch 55, Train Loss: 160442.6233, Test Loss: 155841.0295
Epoch 56, Train Loss: 158702.0382, Test Loss: 155672.9913
Epoch 57, Train Loss: 158179.1042, Test Loss: 155829.0122
Epoch 58, Train Loss: 156982.5260, Test Loss: 155748.0573
Epoch 59, Train Loss: 155663.1771, Test Loss: 153703.8767
Epoch 60, Train Loss: 155306.1476, Test Loss: 151624.9948
Epoch 61, Train Loss: 153763.6788, Test Loss: 154940.6910
Epoch 62, Train Loss: 155849.8542, Test Loss: 151934.8090
Epoch 63, Train Loss: 158554.8403, Test Loss: 153631.4913
Epoch 64, Train Loss: 163590.0590, Test Loss: 156013.5877
Epoch 65, Train Loss: 162124.8160, Test Loss: 157392.4861
Epoch 66, Train Loss: 151577.7205, Test Loss: 145141.8377
Epoch 67, Train Loss: 147351.3872, Test Loss: 146556.1823
Epoch 68, Train Loss: 146356.2899, Test Loss: 149165.1858
Epoch 69, Train Loss: 150957.4575, Test Loss: 144826.0312
Epoch 70, Train Loss: 152162.3733, Test Loss: 142031.0451
Epoch 71, Train Loss: 144120.8628, Test Loss: 143047.6858
Epoch 72, Train Loss: 143257.8021, Test Loss: 139954.4896
Epoch 73, Train Loss: 142333.4123, Test Loss: 138489.3116
Epoch 74, Train Loss: 146165.8394, Test Loss: 141222.7656
Epoch 75, Train Loss: 144596.9714, Test Loss: 140807.0165
Epoch 76, Train Loss: 139056.6450, Test Loss: 133843.5547
Epoch 77, Train Loss: 136691.3351, Test Loss: 133860.3030
Epoch 78, Train Loss: 135386.7569, Test Loss: 135659.8481
Epoch 79, Train Loss: 134057.6198, Test Loss: 129863.3359
Epoch 80, Train Loss: 130914.0234, Test Loss: 127901.0156
Epoch 81, Train Loss: 128506.7578, Test Loss: 125380.0608
Epoch 82, Train Loss: 127485.7257, Test Loss: 124717.0660
Epoch 83, Train Loss: 126621.8160, Test Loss: 123714.7352
Epoch 84, Train Loss: 125989.7569, Test Loss: 122790.4653
Epoch 85, Train Loss: 125446.1380, Test Loss: 124451.0929
Epoch 86, Train Loss: 125444.1667, Test Loss: 124011.2231
Epoch 87, Train Loss: 124616.1120, Test Loss: 121777.7613
Epoch 88, Train Loss: 123586.5243, Test Loss: 119069.8533
Epoch 89, Train Loss: 120744.6476, Test Loss: 118089.4175
Epoch 90, Train Loss: 120931.1259, Test Loss: 118086.4991
Epoch 91, Train Loss: 119281.1389, Test Loss: 116438.1944
Epoch 92, Train Loss: 117606.0304, Test Loss: 116344.8924
Epoch 93, Train Loss: 119198.2969, Test Loss: 116616.0894
Epoch 94, Train Loss: 117643.2951, Test Loss: 119349.9627
Epoch 95, Train Loss: 116402.8429, Test Loss: 113967.8021
Epoch 96, Train Loss: 114955.7231, Test Loss: 113717.8811
Epoch 97, Train Loss: 115487.2899, Test Loss: 113877.9826
Epoch 98, Train Loss: 113568.5981, Test Loss: 110572.0408
Epoch 99, Train Loss: 115139.6606, Test Loss: 111156.5642
Epoch 100, Train Loss: 113708.4609, Test Loss: 111419.1684
Epoch 101, Train Loss: 111463.1493, Test Loss: 107629.6623
Epoch 102, Train Loss: 108508.9167, Test Loss: 105217.4036
Epoch 103, Train Loss: 107015.9132, Test Loss: 104185.4028
Epoch 104, Train Loss: 106033.7891, Test Loss: 104097.8550
Epoch 105, Train Loss: 106217.2378, Test Loss: 102766.0087
Epoch 106, Train Loss: 104516.1502, Test Loss: 103934.7161
Epoch 107, Train Loss: 108036.5677, Test Loss: 105808.6007
Epoch 108, Train Loss: 107824.6840, Test Loss: 106120.4210
Epoch 109, Train Loss: 107444.4080, Test Loss: 104748.1102
Epoch 110, Train Loss: 106161.6571, Test Loss: 102994.1398
Epoch 111, Train Loss: 105934.5017, Test Loss: 106412.7934
Epoch 112, Train Loss: 105372.6771, Test Loss: 101280.6866
Epoch 113, Train Loss: 101008.0278, Test Loss: 98712.7839
Epoch 114, Train Loss: 99749.2457, Test Loss: 98538.1380
Epoch 115, Train Loss: 99121.1085, Test Loss: 96094.3021
Epoch 116, Train Loss: 97638.2161, Test Loss: 95004.4531
Epoch 117, Train Loss: 95993.9306, Test Loss: 93082.9679
Epoch 118, Train Loss: 95646.2917, Test Loss: 94608.3941
Epoch 119, Train Loss: 94728.1033, Test Loss: 92635.1901
Epoch 120, Train Loss: 93385.0312, Test Loss: 91065.8125
Epoch 121, Train Loss: 92860.4696, Test Loss: 93606.7188
Epoch 122, Train Loss: 92834.0755, Test Loss: 90623.1693
Epoch 123, Train Loss: 91376.4280, Test Loss: 89541.1398
Epoch 124, Train Loss: 91019.6753, Test Loss: 88651.5946
Epoch 125, Train Loss: 90155.6128, Test Loss: 88054.3950
Epoch 126, Train Loss: 89751.8568, Test Loss: 87558.7977
Epoch 127, Train Loss: 89250.4540, Test Loss: 88058.7717
Epoch 128, Train Loss: 90841.4149, Test Loss: 88980.2526
Epoch 129, Train Loss: 92777.5061, Test Loss: 89744.8637
Epoch 130, Train Loss: 90434.6736, Test Loss: 89758.8958
Epoch 131, Train Loss: 93033.6519, Test Loss: 91059.4557
Epoch 132, Train Loss: 94693.6111, Test Loss: 94571.6007
Epoch 133, Train Loss: 94091.1780, Test Loss: 93248.1571
Epoch 134, Train Loss: 94710.1068, Test Loss: 90291.5677
Epoch 135, Train Loss: 92052.5460, Test Loss: 88824.0408
Epoch 136, Train Loss: 88401.6875, Test Loss: 85395.4670
Epoch 137, Train Loss: 87758.1128, Test Loss: 85310.2847
Epoch 138, Train Loss: 86362.3090, Test Loss: 89418.3516
Epoch 139, Train Loss: 88590.5981, Test Loss: 86331.7839
Epoch 140, Train Loss: 87444.9852, Test Loss: 87271.6936
Epoch 141, Train Loss: 87565.5321, Test Loss: 87431.9010
Epoch 142, Train Loss: 86344.6024, Test Loss: 83486.8542
Epoch 143, Train Loss: 86265.2248, Test Loss: 86823.5573
Epoch 144, Train Loss: 88277.5807, Test Loss: 82707.5148
Epoch 145, Train Loss: 89877.8863, Test Loss: 86497.2292
Epoch 146, Train Loss: 90503.9002, Test Loss: 88644.2509
Epoch 147, Train Loss: 88193.0191, Test Loss: 84888.4427
Epoch 148, Train Loss: 86575.4991, Test Loss: 85259.6979
Epoch 149, Train Loss: 84416.8672, Test Loss: 82716.7509
Epoch 150, Train Loss: 82622.2474, Test Loss: 79827.0972
Epoch 151, Train Loss: 80421.9097, Test Loss: 78642.4314
Epoch 152, Train Loss: 79452.6554, Test Loss: 77610.9627
Epoch 153, Train Loss: 78479.7075, Test Loss: 76611.6128
Epoch 154, Train Loss: 78364.8168, Test Loss: 76238.7977
Epoch 155, Train Loss: 78243.1649, Test Loss: 78825.0816
Epoch 156, Train Loss: 78377.7986, Test Loss: 76411.2292
Epoch 157, Train Loss: 78143.7517, Test Loss: 77091.1580
Epoch 158, Train Loss: 77711.4661, Test Loss: 75776.5764
Epoch 159, Train Loss: 76705.4688, Test Loss: 75475.4323
Epoch 160, Train Loss: 76699.3880, Test Loss: 74427.9566
Epoch 161, Train Loss: 76266.1753, Test Loss: 74615.3073
Epoch 162, Train Loss: 75502.0946, Test Loss: 74571.2865
Epoch 163, Train Loss: 75603.0547, Test Loss: 74965.9271
Epoch 164, Train Loss: 75452.4896, Test Loss: 73759.2205
Epoch 165, Train Loss: 75485.8516, Test Loss: 75663.5226
Epoch 166, Train Loss: 75980.4436, Test Loss: 73862.1050
Epoch 167, Train Loss: 75161.3906, Test Loss: 73638.8707
Epoch 168, Train Loss: 74879.0994, Test Loss: 73632.1719
Epoch 169, Train Loss: 75328.6033, Test Loss: 74852.2335
Epoch 170, Train Loss: 76742.5434, Test Loss: 77106.5868
Epoch 171, Train Loss: 78947.5260, Test Loss: 76262.1328
Epoch 172, Train Loss: 79598.0564, Test Loss: 79495.4644
Epoch 173, Train Loss: 80790.7005, Test Loss: 78103.0920
Epoch 174, Train Loss: 81600.1771, Test Loss: 80328.8767
Epoch 175, Train Loss: 79651.7240, Test Loss: 78096.0026
Epoch 176, Train Loss: 80371.0243, Test Loss: 77480.6780
Epoch 177, Train Loss: 80717.4080, Test Loss: 84322.9080
Epoch 178, Train Loss: 84552.2318, Test Loss: 79518.6484
Epoch 179, Train Loss: 81813.7352, Test Loss: 77957.3984
Epoch 180, Train Loss: 80767.8507, Test Loss: 79922.9062
Epoch 181, Train Loss: 79080.4245, Test Loss: 74004.0399
Epoch 182, Train Loss: 75977.3880, Test Loss: 74202.5911
Epoch 183, Train Loss: 74341.2569, Test Loss: 71522.4740
Epoch 184, Train Loss: 72515.3681, Test Loss: 70501.6354
Epoch 185, Train Loss: 71867.2591, Test Loss: 70898.3898
Epoch 186, Train Loss: 71904.4340, Test Loss: 71888.3277
Epoch 187, Train Loss: 72299.7509, Test Loss: 70300.9214
Epoch 188, Train Loss: 71940.2005, Test Loss: 70451.6927
Epoch 189, Train Loss: 71584.6871, Test Loss: 69886.7826
Epoch 190, Train Loss: 70950.5898, Test Loss: 69013.8416
Epoch 191, Train Loss: 70793.8411, Test Loss: 69529.1736
Epoch 192, Train Loss: 71409.6063, Test Loss: 70514.7708
Epoch 193, Train Loss: 71497.7622, Test Loss: 70329.6927
Epoch 194, Train Loss: 71514.8889, Test Loss: 69083.4240
Epoch 195, Train Loss: 71379.7713, Test Loss: 70470.9670
Epoch 196, Train Loss: 71405.0859, Test Loss: 69571.3689
Epoch 197, Train Loss: 71932.2209, Test Loss: 70610.3116
Epoch 198, Train Loss: 71490.3984, Test Loss: 69824.2014
Epoch 199, Train Loss: 71235.3390, Test Loss: 69175.5864
Epoch 200, Train Loss: 72059.6428, Test Loss: 69441.3663
Epoch 201, Train Loss: 72086.2691, Test Loss: 71362.5464
Epoch 202, Train Loss: 73004.0460, Test Loss: 72898.5938
Epoch 203, Train Loss: 73578.8941, Test Loss: 70142.6319
Epoch 204, Train Loss: 73361.9601, Test Loss: 70326.7157
Epoch 205, Train Loss: 73372.0781, Test Loss: 70616.6923
Epoch 206, Train Loss: 72855.0651, Test Loss: 71838.9549
Epoch 207, Train Loss: 72753.7717, Test Loss: 71518.8819
Epoch 208, Train Loss: 72241.5069, Test Loss: 72939.7209
Epoch 209, Train Loss: 71428.8125, Test Loss: 69676.5217
Epoch 210, Train Loss: 71333.1003, Test Loss: 68333.5139
Epoch 211, Train Loss: 70878.1094, Test Loss: 69433.8819
Epoch 212, Train Loss: 70891.6732, Test Loss: 68930.9327
Epoch 213, Train Loss: 71382.5503, Test Loss: 70540.1102
Epoch 214, Train Loss: 71972.2396, Test Loss: 70497.6879
Epoch 215, Train Loss: 72383.2917, Test Loss: 68736.8073
Epoch 216, Train Loss: 71716.7305, Test Loss: 71180.8416
Epoch 217, Train Loss: 74222.0747, Test Loss: 79362.9175
Epoch 218, Train Loss: 79819.1918, Test Loss: 77634.4405
Epoch 219, Train Loss: 82987.2240, Test Loss: 82633.4627
Epoch 220, Train Loss: 77782.6727, Test Loss: 74004.0069
