Epoch 1, Train Loss: 1366826.0139, Test Loss: 674566.2639
Epoch 2, Train Loss: 590574.7812, Test Loss: 392363.2674
Epoch 3, Train Loss: 356540.4618, Test Loss: 317011.7604
Epoch 4, Train Loss: 305276.0590, Test Loss: 294279.0938
Epoch 5, Train Loss: 281704.6024, Test Loss: 276413.6076
Epoch 6, Train Loss: 267077.6042, Test Loss: 256633.2465
Epoch 7, Train Loss: 248865.8733, Test Loss: 236547.8924
Epoch 8, Train Loss: 233599.4948, Test Loss: 228055.0000
Epoch 9, Train Loss: 225700.9913, Test Loss: 222049.6667
Epoch 10, Train Loss: 221269.3715, Test Loss: 218115.9792
Epoch 11, Train Loss: 218452.5434, Test Loss: 216801.0122
Epoch 12, Train Loss: 216947.1701, Test Loss: 214851.6962
Epoch 13, Train Loss: 215848.4132, Test Loss: 212714.1597
Epoch 14, Train Loss: 216004.4740, Test Loss: 213105.3333
Epoch 15, Train Loss: 214136.9410, Test Loss: 212707.9444
Epoch 16, Train Loss: 213699.2483, Test Loss: 211263.1059
Epoch 17, Train Loss: 213439.8958, Test Loss: 214791.0764
Epoch 18, Train Loss: 215571.0260, Test Loss: 213884.9653
Epoch 19, Train Loss: 212848.6111, Test Loss: 211975.1701
Epoch 20, Train Loss: 211453.6215, Test Loss: 209463.2535
Epoch 21, Train Loss: 208211.7639, Test Loss: 206508.2535
Epoch 22, Train Loss: 206880.7917, Test Loss: 204670.8142
Epoch 23, Train Loss: 205715.1458, Test Loss: 205975.4219
Epoch 24, Train Loss: 207637.3385, Test Loss: 203882.8819
Epoch 25, Train Loss: 204676.1632, Test Loss: 200526.4774
Epoch 26, Train Loss: 201768.5330, Test Loss: 198621.4705
Epoch 27, Train Loss: 200163.8941, Test Loss: 199022.7483
Epoch 28, Train Loss: 199603.8368, Test Loss: 198552.9115
Epoch 29, Train Loss: 198154.6962, Test Loss: 195807.9566
Epoch 30, Train Loss: 195156.3385, Test Loss: 192760.6476
Epoch 31, Train Loss: 193912.0156, Test Loss: 190819.4132
Epoch 32, Train Loss: 194030.2309, Test Loss: 194667.3715
Epoch 33, Train Loss: 194654.0347, Test Loss: 190848.2205
Epoch 34, Train Loss: 191879.5972, Test Loss: 191945.3941
Epoch 35, Train Loss: 191182.1215, Test Loss: 186125.0608
Epoch 36, Train Loss: 188533.1910, Test Loss: 184116.3611
Epoch 37, Train Loss: 186783.8941, Test Loss: 186008.5729
Epoch 38, Train Loss: 184651.9184, Test Loss: 182212.5000
Epoch 39, Train Loss: 183310.6337, Test Loss: 178815.4670
Epoch 40, Train Loss: 183158.5226, Test Loss: 182353.5868
Epoch 41, Train Loss: 180657.8976, Test Loss: 177131.9740
Epoch 42, Train Loss: 177843.3073, Test Loss: 173393.2604
Epoch 43, Train Loss: 176707.8073, Test Loss: 173590.7135
Epoch 44, Train Loss: 176624.0469, Test Loss: 172724.0642
Epoch 45, Train Loss: 174653.3194, Test Loss: 170829.5608
Epoch 46, Train Loss: 171741.5816, Test Loss: 168633.6615
Epoch 47, Train Loss: 170363.8837, Test Loss: 165824.3212
Epoch 48, Train Loss: 175359.8576, Test Loss: 169916.7274
Epoch 49, Train Loss: 173581.3663, Test Loss: 169662.6667
Epoch 50, Train Loss: 167780.1476, Test Loss: 175398.6146
Epoch 51, Train Loss: 364132.1510, Test Loss: 271137.8073
Epoch 52, Train Loss: 249339.0469, Test Loss: 222564.0243
Epoch 53, Train Loss: 236649.1701, Test Loss: 214063.8368
Epoch 54, Train Loss: 216117.1840, Test Loss: 202344.3247
Epoch 55, Train Loss: 205117.8733, Test Loss: 196609.6215
Epoch 56, Train Loss: 198102.0469, Test Loss: 192732.0035
Epoch 57, Train Loss: 194309.7240, Test Loss: 188493.8438
Epoch 58, Train Loss: 191304.3142, Test Loss: 185245.7656
Epoch 59, Train Loss: 191438.9774, Test Loss: 193845.7708
Epoch 60, Train Loss: 188810.5278, Test Loss: 181732.8490
Epoch 61, Train Loss: 182887.4062, Test Loss: 178875.8316
Epoch 62, Train Loss: 179847.0903, Test Loss: 176069.9392
Epoch 63, Train Loss: 178390.5382, Test Loss: 174955.6111
Epoch 64, Train Loss: 176761.8194, Test Loss: 173769.6285
Epoch 65, Train Loss: 175156.3403, Test Loss: 175077.2274
Epoch 66, Train Loss: 175077.6458, Test Loss: 171209.8472
Epoch 67, Train Loss: 174290.0139, Test Loss: 170703.7587
Epoch 68, Train Loss: 173184.8941, Test Loss: 180805.3108
Epoch 69, Train Loss: 175621.5955, Test Loss: 172378.4271
Epoch 70, Train Loss: 172418.4410, Test Loss: 167045.5521
Epoch 71, Train Loss: 170163.2101, Test Loss: 165956.0608
Epoch 72, Train Loss: 168225.3247, Test Loss: 165568.1788
Epoch 73, Train Loss: 170053.5608, Test Loss: 165918.9062
Epoch 74, Train Loss: 167350.5590, Test Loss: 164378.6181
Epoch 75, Train Loss: 165402.5069, Test Loss: 161292.2812
Epoch 76, Train Loss: 163492.9826, Test Loss: 159816.2222
Epoch 77, Train Loss: 162417.1753, Test Loss: 159082.2969
Epoch 78, Train Loss: 161500.2049, Test Loss: 157318.7257
Epoch 79, Train Loss: 159535.7431, Test Loss: 157059.3958
Epoch 80, Train Loss: 158924.2361, Test Loss: 155842.1510
Epoch 81, Train Loss: 156502.3142, Test Loss: 156525.4167
Epoch 82, Train Loss: 159022.1493, Test Loss: 159017.8247
Epoch 83, Train Loss: 157253.1840, Test Loss: 153287.6363
Epoch 84, Train Loss: 155922.4835, Test Loss: 155721.3108
Epoch 85, Train Loss: 156640.0295, Test Loss: 153562.9948
Epoch 86, Train Loss: 154626.4618, Test Loss: 150835.2326
Epoch 87, Train Loss: 154231.1562, Test Loss: 154248.0191
Epoch 88, Train Loss: 165384.8368, Test Loss: 159631.0816
Epoch 89, Train Loss: 162106.3611, Test Loss: 159375.7743
Epoch 90, Train Loss: 156660.7222, Test Loss: 150473.1684
Epoch 91, Train Loss: 151088.7014, Test Loss: 148060.9358
Epoch 92, Train Loss: 151176.8681, Test Loss: 147770.0052
Epoch 93, Train Loss: 148529.2240, Test Loss: 143234.2717
Epoch 94, Train Loss: 145039.5078, Test Loss: 141926.2951
Epoch 95, Train Loss: 143506.9262, Test Loss: 139354.9080
Epoch 96, Train Loss: 141849.3394, Test Loss: 139248.1936
Epoch 97, Train Loss: 140913.5451, Test Loss: 137236.3281
Epoch 98, Train Loss: 139471.2812, Test Loss: 136329.9158
Epoch 99, Train Loss: 138445.1884, Test Loss: 135625.7135
Epoch 100, Train Loss: 137804.4957, Test Loss: 134375.4453
Epoch 101, Train Loss: 136506.7283, Test Loss: 134108.3021
Epoch 102, Train Loss: 137188.2752, Test Loss: 133171.9531
Epoch 103, Train Loss: 139371.3455, Test Loss: 135070.2561
Epoch 104, Train Loss: 139476.1562, Test Loss: 133719.9123
Epoch 105, Train Loss: 135714.6710, Test Loss: 131925.1780
Epoch 106, Train Loss: 134125.2231, Test Loss: 130323.3559
Epoch 107, Train Loss: 131769.5260, Test Loss: 129631.0712
Epoch 108, Train Loss: 131358.7995, Test Loss: 126938.2760
Epoch 109, Train Loss: 129231.3967, Test Loss: 125281.9479
Epoch 110, Train Loss: 127641.4722, Test Loss: 125265.5095
Epoch 111, Train Loss: 127039.6311, Test Loss: 123863.6727
Epoch 112, Train Loss: 127316.9219, Test Loss: 126781.7899
Epoch 113, Train Loss: 128915.3872, Test Loss: 125583.5573
Epoch 114, Train Loss: 130063.7457, Test Loss: 129302.4974
Epoch 115, Train Loss: 128303.2396, Test Loss: 124776.3490
Epoch 116, Train Loss: 126538.6675, Test Loss: 121172.7031
Epoch 117, Train Loss: 123771.3628, Test Loss: 120876.8872
Epoch 118, Train Loss: 121057.7700, Test Loss: 118385.4644
Epoch 119, Train Loss: 120340.5408, Test Loss: 118623.1510
Epoch 120, Train Loss: 120231.7127, Test Loss: 117206.3672
Epoch 121, Train Loss: 119752.4427, Test Loss: 117288.2717
Epoch 122, Train Loss: 118517.0425, Test Loss: 116390.4097
Epoch 123, Train Loss: 117488.7188, Test Loss: 113904.4089
Epoch 124, Train Loss: 116340.8030, Test Loss: 114173.1701
Epoch 125, Train Loss: 116757.4366, Test Loss: 115282.5885
Epoch 126, Train Loss: 116483.6719, Test Loss: 111697.5998
Epoch 127, Train Loss: 115562.4965, Test Loss: 111787.3134
Epoch 128, Train Loss: 113432.9557, Test Loss: 111837.4896
Epoch 129, Train Loss: 112177.7378, Test Loss: 108832.9201
Epoch 130, Train Loss: 110797.2569, Test Loss: 107676.5903
Epoch 131, Train Loss: 109928.0122, Test Loss: 107551.4184
Epoch 132, Train Loss: 109081.6267, Test Loss: 109397.2257
Epoch 133, Train Loss: 109168.6458, Test Loss: 105948.0503
Epoch 134, Train Loss: 108792.8533, Test Loss: 105561.7899
Epoch 135, Train Loss: 108026.9575, Test Loss: 110786.7422
Epoch 136, Train Loss: 110013.6267, Test Loss: 109997.9080
Epoch 137, Train Loss: 109777.4488, Test Loss: 106145.0946
Epoch 138, Train Loss: 106835.0981, Test Loss: 104761.6832
