Epoch 1, Train Loss: 1573476.7847, Test Loss: 1459334.5278
Epoch 2, Train Loss: 1102088.9028, Test Loss: 645618.1458
Epoch 3, Train Loss: 485520.8576, Test Loss: 368492.2465
Epoch 4, Train Loss: 343406.5556, Test Loss: 322885.4479
Epoch 5, Train Loss: 306832.0052, Test Loss: 284464.9948
Epoch 6, Train Loss: 282426.9444, Test Loss: 276685.4045
Epoch 7, Train Loss: 269732.9479, Test Loss: 263290.2135
Epoch 8, Train Loss: 253813.7257, Test Loss: 249016.4010
Epoch 9, Train Loss: 237238.4531, Test Loss: 227970.4670
Epoch 10, Train Loss: 225118.7326, Test Loss: 221634.3090
Epoch 11, Train Loss: 221424.6319, Test Loss: 218228.5556
Epoch 12, Train Loss: 218646.0087, Test Loss: 216413.6198
Epoch 13, Train Loss: 216533.2431, Test Loss: 216559.8368
Epoch 14, Train Loss: 215084.3438, Test Loss: 213110.8194
Epoch 15, Train Loss: 214324.7917, Test Loss: 212484.8906
Epoch 16, Train Loss: 214323.2969, Test Loss: 211202.8767
Epoch 17, Train Loss: 212244.7778, Test Loss: 209968.5486
Epoch 18, Train Loss: 212330.3733, Test Loss: 213136.5955
Epoch 19, Train Loss: 211749.4271, Test Loss: 209618.9566
Epoch 20, Train Loss: 213056.5660, Test Loss: 213431.8003
Epoch 21, Train Loss: 213391.1059, Test Loss: 208023.6233
Epoch 22, Train Loss: 209046.1510, Test Loss: 204986.6302
Epoch 23, Train Loss: 206352.9392, Test Loss: 202695.5174
Epoch 24, Train Loss: 204754.9444, Test Loss: 202682.7240
Epoch 25, Train Loss: 204132.8108, Test Loss: 201532.3507
Epoch 26, Train Loss: 203225.1059, Test Loss: 198487.1858
Epoch 27, Train Loss: 200245.3264, Test Loss: 197339.4948
Epoch 28, Train Loss: 197627.0399, Test Loss: 194808.8611
Epoch 29, Train Loss: 195040.5781, Test Loss: 193448.0885
Epoch 30, Train Loss: 194451.8021, Test Loss: 191742.6510
Epoch 31, Train Loss: 193111.8663, Test Loss: 189120.4010
Epoch 32, Train Loss: 191143.1510, Test Loss: 186859.5990
Epoch 33, Train Loss: 189603.3524, Test Loss: 186291.7604
Epoch 34, Train Loss: 186914.9028, Test Loss: 184037.0868
Epoch 35, Train Loss: 185626.9219, Test Loss: 183414.8194
Epoch 36, Train Loss: 187601.0035, Test Loss: 188140.8247
Epoch 37, Train Loss: 189666.8455, Test Loss: 189668.1181
Epoch 38, Train Loss: 186987.4601, Test Loss: 181085.4149
Epoch 39, Train Loss: 181457.8663, Test Loss: 176988.7587
Epoch 40, Train Loss: 178829.8681, Test Loss: 175215.4809
Epoch 41, Train Loss: 177793.0833, Test Loss: 179488.1424
Epoch 42, Train Loss: 178477.1858, Test Loss: 173540.3854
Epoch 43, Train Loss: 172984.2969, Test Loss: 170491.0278
Epoch 44, Train Loss: 172231.9653, Test Loss: 174115.1198
Epoch 45, Train Loss: 172810.3229, Test Loss: 171235.3628
Epoch 46, Train Loss: 171333.5694, Test Loss: 167016.0920
Epoch 47, Train Loss: 174739.2014, Test Loss: 170561.4740
Epoch 48, Train Loss: 172514.7049, Test Loss: 170110.6788
Epoch 49, Train Loss: 168685.0538, Test Loss: 162957.9375
Epoch 50, Train Loss: 164318.0139, Test Loss: 161297.7743
Epoch 51, Train Loss: 162275.9583, Test Loss: 157838.3247
Epoch 52, Train Loss: 160164.9618, Test Loss: 157741.0069
Epoch 53, Train Loss: 158266.0417, Test Loss: 156123.0573
Epoch 54, Train Loss: 158301.1667, Test Loss: 157909.3733
Epoch 55, Train Loss: 158429.5191, Test Loss: 155523.2778
Epoch 56, Train Loss: 159165.7951, Test Loss: 157034.8819
Epoch 57, Train Loss: 162879.5816, Test Loss: 159867.3108
Epoch 58, Train Loss: 158308.1528, Test Loss: 154184.1432
Epoch 59, Train Loss: 156147.0417, Test Loss: 152750.6892
Epoch 60, Train Loss: 156038.1753, Test Loss: 155740.0903
Epoch 61, Train Loss: 152945.7396, Test Loss: 148462.7622
Epoch 62, Train Loss: 151685.2396, Test Loss: 147416.8403
Epoch 63, Train Loss: 150763.3472, Test Loss: 146973.7465
Epoch 64, Train Loss: 149337.1736, Test Loss: 144579.9028
Epoch 65, Train Loss: 147381.5790, Test Loss: 145555.4722
Epoch 66, Train Loss: 151800.7240, Test Loss: 146768.1788
Epoch 67, Train Loss: 155733.8733, Test Loss: 148066.5156
