Epoch 1, Train Loss: 1283753.2153, Test Loss: 547555.6701
Epoch 2, Train Loss: 378289.1944, Test Loss: 318976.3403
Epoch 3, Train Loss: 287638.1198, Test Loss: 264144.7188
Epoch 4, Train Loss: 254527.5903, Test Loss: 243007.4965
Epoch 5, Train Loss: 237373.3646, Test Loss: 237832.9653
Epoch 6, Train Loss: 226860.3733, Test Loss: 224051.7378
Epoch 7, Train Loss: 220770.8056, Test Loss: 215576.5903
Epoch 8, Train Loss: 215242.4201, Test Loss: 213208.6007
Epoch 9, Train Loss: 214752.9601, Test Loss: 213279.2587
Epoch 10, Train Loss: 214753.6736, Test Loss: 213091.2153
Epoch 11, Train Loss: 214760.0677, Test Loss: 215580.4670
Epoch 12, Train Loss: 214661.4375, Test Loss: 210843.1128
Epoch 13, Train Loss: 211332.3264, Test Loss: 209464.0694
Epoch 14, Train Loss: 212193.4115, Test Loss: 212132.0920
Epoch 15, Train Loss: 213114.3212, Test Loss: 213210.0677
Epoch 16, Train Loss: 214102.6181, Test Loss: 209865.4184
Epoch 17, Train Loss: 212048.0851, Test Loss: 207053.3872
Epoch 18, Train Loss: 209380.1528, Test Loss: 205494.1007
Epoch 19, Train Loss: 207378.6198, Test Loss: 204781.3281
Epoch 20, Train Loss: 206635.5781, Test Loss: 208075.5087
Epoch 21, Train Loss: 208294.9740, Test Loss: 203698.3438
Epoch 22, Train Loss: 204879.0885, Test Loss: 202185.8646
Epoch 23, Train Loss: 203315.1875, Test Loss: 200743.6580
Epoch 24, Train Loss: 203340.4479, Test Loss: 204447.8924
Epoch 25, Train Loss: 201746.7708, Test Loss: 194899.0781
Epoch 26, Train Loss: 199841.4271, Test Loss: 195649.8681
Epoch 27, Train Loss: 199307.6858, Test Loss: 194451.0434
Epoch 28, Train Loss: 197186.2222, Test Loss: 191140.3125
Epoch 29, Train Loss: 194798.2483, Test Loss: 192906.8194
Epoch 30, Train Loss: 193542.6997, Test Loss: 193165.7431
Epoch 31, Train Loss: 191709.9566, Test Loss: 187473.0538
Epoch 32, Train Loss: 188571.4149, Test Loss: 185348.6354
Epoch 33, Train Loss: 186499.6233, Test Loss: 182668.8420
Epoch 34, Train Loss: 185716.9253, Test Loss: 182121.3247
Epoch 35, Train Loss: 187703.7066, Test Loss: 205616.0486
Epoch 36, Train Loss: 192667.6840, Test Loss: 181857.0156
Epoch 37, Train Loss: 192920.4983, Test Loss: 179191.9514
Epoch 38, Train Loss: 181433.1372, Test Loss: 179129.7986
Epoch 39, Train Loss: 181490.2066, Test Loss: 179144.2899
Epoch 40, Train Loss: 179308.1562, Test Loss: 172938.2535
Epoch 41, Train Loss: 175840.8889, Test Loss: 170297.6875
Epoch 42, Train Loss: 173794.1892, Test Loss: 178460.7847
Epoch 43, Train Loss: 179219.1042, Test Loss: 174625.1024
Epoch 44, Train Loss: 178671.0156, Test Loss: 174096.2639
Epoch 45, Train Loss: 178841.8403, Test Loss: 173104.3802
Epoch 46, Train Loss: 173194.0868, Test Loss: 169014.0885
Epoch 47, Train Loss: 172982.1094, Test Loss: 168546.3698
Epoch 48, Train Loss: 168453.0521, Test Loss: 162642.5816
Epoch 49, Train Loss: 164654.1762, Test Loss: 162969.2986
Epoch 50, Train Loss: 163497.6684, Test Loss: 159711.2899
Epoch 51, Train Loss: 163461.1892, Test Loss: 160616.4219
Epoch 52, Train Loss: 162665.2917, Test Loss: 160717.3021
Epoch 53, Train Loss: 162511.4653, Test Loss: 161907.0573
Epoch 54, Train Loss: 162345.5399, Test Loss: 164329.4722
Epoch 55, Train Loss: 163993.1337, Test Loss: 156848.8507
Epoch 56, Train Loss: 159104.1753, Test Loss: 155242.2083
Epoch 57, Train Loss: 157440.1476, Test Loss: 152663.6840
Epoch 58, Train Loss: 153945.4097, Test Loss: 148929.0122
Epoch 59, Train Loss: 151873.7344, Test Loss: 150277.4688
Epoch 60, Train Loss: 153198.6962, Test Loss: 156497.4219
Epoch 61, Train Loss: 154073.6076, Test Loss: 149246.8941
Epoch 62, Train Loss: 156767.8385, Test Loss: 151988.2917
Epoch 63, Train Loss: 154463.9861, Test Loss: 152664.0243
Epoch 64, Train Loss: 152192.5104, Test Loss: 148018.5365
Epoch 65, Train Loss: 148677.2170, Test Loss: 148578.4861
Epoch 66, Train Loss: 147430.6962, Test Loss: 142004.1840
Epoch 67, Train Loss: 147045.0608, Test Loss: 142019.6832
Epoch 68, Train Loss: 142348.6571, Test Loss: 138849.3759
Epoch 69, Train Loss: 139183.1224, Test Loss: 137722.1155
Epoch 70, Train Loss: 136941.2847, Test Loss: 131612.5894
Epoch 71, Train Loss: 134087.9280, Test Loss: 132996.7118
Epoch 72, Train Loss: 134445.8628, Test Loss: 132673.9236
Epoch 73, Train Loss: 139567.5599, Test Loss: 133307.6536
Epoch 74, Train Loss: 139826.7873, Test Loss: 136897.6076
Epoch 75, Train Loss: 135614.3819, Test Loss: 133936.8811
