Epoch 1, Train Loss: 1696142.7917, Test Loss: 1423161.7778
Epoch 2, Train Loss: 1199374.3611, Test Loss: 951389.2847
Epoch 3, Train Loss: 816359.2292, Test Loss: 682093.2986
Epoch 4, Train Loss: 613972.1389, Test Loss: 543880.1493
Epoch 5, Train Loss: 504623.1146, Test Loss: 469554.3750
Epoch 6, Train Loss: 440098.9479, Test Loss: 407735.3125
Epoch 7, Train Loss: 397707.3194, Test Loss: 393653.8160
Epoch 8, Train Loss: 362942.9097, Test Loss: 335650.6406
Epoch 9, Train Loss: 326408.8889, Test Loss: 310939.4479
Epoch 10, Train Loss: 302811.2257, Test Loss: 291947.4792
Epoch 11, Train Loss: 283981.8889, Test Loss: 274909.7917
Epoch 12, Train Loss: 268845.5052, Test Loss: 261532.4132
Epoch 13, Train Loss: 257143.4340, Test Loss: 250279.8924
Epoch 14, Train Loss: 247012.4792, Test Loss: 241971.9705
Epoch 15, Train Loss: 239952.7656, Test Loss: 236323.2865
Epoch 16, Train Loss: 234391.2344, Test Loss: 232524.8264
Epoch 17, Train Loss: 230375.7934, Test Loss: 228252.5243
Epoch 18, Train Loss: 227143.1233, Test Loss: 224855.6406
Epoch 19, Train Loss: 224862.7153, Test Loss: 221853.8229
Epoch 20, Train Loss: 221715.0764, Test Loss: 220172.2500
Epoch 21, Train Loss: 219453.9705, Test Loss: 218306.1840
Epoch 22, Train Loss: 217905.7205, Test Loss: 216591.7882
Epoch 23, Train Loss: 216788.4896, Test Loss: 214801.3420
Epoch 24, Train Loss: 214889.3403, Test Loss: 216687.9948
Epoch 25, Train Loss: 214960.8160, Test Loss: 212352.8472
Epoch 26, Train Loss: 212729.3090, Test Loss: 212954.4097
Epoch 27, Train Loss: 212294.6927, Test Loss: 210786.7517
Epoch 28, Train Loss: 211201.5017, Test Loss: 211026.3524
Epoch 29, Train Loss: 210714.2535, Test Loss: 208793.6441
Epoch 30, Train Loss: 209502.8785, Test Loss: 209915.0069
Epoch 31, Train Loss: 209714.2118, Test Loss: 208709.2691
Epoch 32, Train Loss: 209448.4219, Test Loss: 208983.0972
Epoch 33, Train Loss: 208726.9392, Test Loss: 207210.0642
Epoch 34, Train Loss: 208283.2500, Test Loss: 207724.8108
Epoch 35, Train Loss: 207216.7049, Test Loss: 206327.2934
Epoch 36, Train Loss: 206273.4931, Test Loss: 206461.9253
Epoch 37, Train Loss: 208631.9010, Test Loss: 208756.5538
Epoch 38, Train Loss: 207405.4340, Test Loss: 205489.4462
Epoch 39, Train Loss: 205849.1823, Test Loss: 205661.9983
Epoch 40, Train Loss: 205023.1597, Test Loss: 204924.3924
Epoch 41, Train Loss: 204720.1615, Test Loss: 203477.3906
