Epoch 1, Train Loss: 1691303.2917, Test Loss: 1400295.6806
Epoch 2, Train Loss: 1170939.5417, Test Loss: 917480.4236
Epoch 3, Train Loss: 787746.6111, Test Loss: 659216.2639
Epoch 4, Train Loss: 599931.9792, Test Loss: 536868.8611
Epoch 5, Train Loss: 501985.0208, Test Loss: 463680.3472
Epoch 6, Train Loss: 437731.5729, Test Loss: 408852.7292
Epoch 7, Train Loss: 389346.7292, Test Loss: 363544.3646
Epoch 8, Train Loss: 348671.1597, Test Loss: 331977.2812
Epoch 9, Train Loss: 319747.7743, Test Loss: 308641.0035
Epoch 10, Train Loss: 297622.8229, Test Loss: 286209.0799
Epoch 11, Train Loss: 278857.4740, Test Loss: 270295.4184
Epoch 12, Train Loss: 265180.7483, Test Loss: 258531.4444
Epoch 13, Train Loss: 256240.4271, Test Loss: 251013.7743
Epoch 14, Train Loss: 248673.7101, Test Loss: 245446.8646
Epoch 15, Train Loss: 245581.8733, Test Loss: 243551.6094
Epoch 16, Train Loss: 240195.4479, Test Loss: 240158.8872
Epoch 17, Train Loss: 243065.1736, Test Loss: 236230.8472
Epoch 18, Train Loss: 237989.8785, Test Loss: 232528.7170
Epoch 19, Train Loss: 231801.6562, Test Loss: 229906.3021
Epoch 20, Train Loss: 228511.5347, Test Loss: 227910.5729
Epoch 21, Train Loss: 227105.9566, Test Loss: 227589.5833
Epoch 22, Train Loss: 224452.2760, Test Loss: 222700.5781
Epoch 23, Train Loss: 222479.9271, Test Loss: 221127.8785
Epoch 24, Train Loss: 220534.2170, Test Loss: 219592.7535
Epoch 25, Train Loss: 219351.9236, Test Loss: 218579.8073
Epoch 26, Train Loss: 218749.5122, Test Loss: 217909.0660
Epoch 27, Train Loss: 217695.6337, Test Loss: 216660.2448
Epoch 28, Train Loss: 216814.8698, Test Loss: 215962.9896
Epoch 29, Train Loss: 216174.5642, Test Loss: 216269.5243
Epoch 30, Train Loss: 216177.1910, Test Loss: 216154.8958
Epoch 31, Train Loss: 215639.4201, Test Loss: 214024.6667
Epoch 32, Train Loss: 214344.9635, Test Loss: 213659.9219
Epoch 33, Train Loss: 213592.6667, Test Loss: 213528.3837
Epoch 34, Train Loss: 213336.9149, Test Loss: 212875.5139
Epoch 35, Train Loss: 213380.9844, Test Loss: 212229.3646
Epoch 36, Train Loss: 212467.3333, Test Loss: 212822.3368
Epoch 37, Train Loss: 212938.5122, Test Loss: 211517.3472
Epoch 38, Train Loss: 215102.8924, Test Loss: 211766.9010
Epoch 39, Train Loss: 216381.1319, Test Loss: 212289.2049
Epoch 40, Train Loss: 216231.7257, Test Loss: 215557.8854
Epoch 41, Train Loss: 213148.6267, Test Loss: 216084.0920
Epoch 42, Train Loss: 213531.9288, Test Loss: 210746.0104
Epoch 43, Train Loss: 212164.9236, Test Loss: 211576.0694
