Epoch 1, Train Loss: 1750282.5556, Test Loss: 1397497.9306
Epoch 2, Train Loss: 1144883.7847, Test Loss: 859596.4236
Epoch 3, Train Loss: 719018.7292, Test Loss: 585729.7188
Epoch 4, Train Loss: 524029.6146, Test Loss: 464119.1597
Epoch 5, Train Loss: 434322.8958, Test Loss: 396490.8438
Epoch 6, Train Loss: 375361.8611, Test Loss: 348400.7014
Epoch 7, Train Loss: 332763.3403, Test Loss: 315376.4514
Epoch 8, Train Loss: 305645.0781, Test Loss: 292808.7517
Epoch 9, Train Loss: 285895.1997, Test Loss: 278046.0764
Epoch 10, Train Loss: 271603.9184, Test Loss: 264850.0955
Epoch 11, Train Loss: 257991.7656, Test Loss: 250813.1458
Epoch 12, Train Loss: 246528.2917, Test Loss: 242827.2396
Epoch 13, Train Loss: 240108.3837, Test Loss: 234157.4306
Epoch 14, Train Loss: 233708.2812, Test Loss: 227494.6753
Epoch 15, Train Loss: 229395.4427, Test Loss: 226544.5955
Epoch 16, Train Loss: 225301.2986, Test Loss: 221081.0434
Epoch 17, Train Loss: 220434.5938, Test Loss: 218454.5712
Epoch 18, Train Loss: 218460.1736, Test Loss: 216453.6354
Epoch 19, Train Loss: 216932.9115, Test Loss: 216835.8958
Epoch 20, Train Loss: 215629.4410, Test Loss: 213604.8073
Epoch 21, Train Loss: 214244.6389, Test Loss: 212641.1823
Epoch 22, Train Loss: 212710.9253, Test Loss: 212346.2083
Epoch 23, Train Loss: 212644.8142, Test Loss: 211431.2951
Epoch 24, Train Loss: 211635.0868, Test Loss: 211006.8281
Epoch 25, Train Loss: 211332.5174, Test Loss: 210803.7691
Epoch 26, Train Loss: 211337.8507, Test Loss: 209098.0556
Epoch 27, Train Loss: 209611.7743, Test Loss: 208411.2483
Epoch 28, Train Loss: 208656.5382, Test Loss: 208541.3003
Epoch 29, Train Loss: 208784.8108, Test Loss: 208831.8125
Epoch 30, Train Loss: 207580.4705, Test Loss: 206783.7431
Epoch 31, Train Loss: 206998.1319, Test Loss: 205827.3542
Epoch 32, Train Loss: 206657.7413, Test Loss: 207464.6615
Epoch 33, Train Loss: 207713.8802, Test Loss: 205222.9479
Epoch 34, Train Loss: 206090.2708, Test Loss: 209435.7101
Epoch 35, Train Loss: 206860.1562, Test Loss: 206542.0642
Epoch 36, Train Loss: 206016.3889, Test Loss: 208324.5451
Epoch 37, Train Loss: 205769.7604, Test Loss: 203896.7066
Epoch 38, Train Loss: 206265.9861, Test Loss: 207192.3819
Epoch 39, Train Loss: 207494.0590, Test Loss: 211515.6788
Epoch 40, Train Loss: 204432.7153, Test Loss: 202370.5764
Epoch 41, Train Loss: 202166.0781, Test Loss: 200907.4844
Epoch 42, Train Loss: 202575.7049, Test Loss: 201763.9497
Epoch 43, Train Loss: 201833.8576, Test Loss: 201090.1962
Epoch 44, Train Loss: 200873.8125, Test Loss: 199804.9774
Epoch 45, Train Loss: 200655.4201, Test Loss: 200046.0955
Epoch 46, Train Loss: 200607.6667, Test Loss: 200894.6372
Epoch 47, Train Loss: 201012.8733, Test Loss: 200925.1962
Epoch 48, Train Loss: 200126.5625, Test Loss: 199797.2951
Epoch 49, Train Loss: 199745.3750, Test Loss: 198115.7795
Epoch 50, Train Loss: 198574.1892, Test Loss: 197929.6632
Epoch 51, Train Loss: 198270.0330, Test Loss: 197968.1111
Epoch 52, Train Loss: 197960.6788, Test Loss: 197339.0573
Epoch 53, Train Loss: 197431.0087, Test Loss: 195967.8906
Epoch 54, Train Loss: 196346.3976, Test Loss: 195397.7708
Epoch 55, Train Loss: 196109.0174, Test Loss: 194740.3160
Epoch 56, Train Loss: 195807.3594, Test Loss: 195284.0972
Epoch 57, Train Loss: 195917.9757, Test Loss: 194051.7691
Epoch 58, Train Loss: 194586.1493, Test Loss: 193327.9653
Epoch 59, Train Loss: 194086.1788, Test Loss: 194472.3681
Epoch 60, Train Loss: 194838.9028, Test Loss: 194151.2934
Epoch 61, Train Loss: 196149.1267, Test Loss: 197559.1545
Epoch 62, Train Loss: 196517.9115, Test Loss: 194028.8594
Epoch 63, Train Loss: 195279.4583, Test Loss: 194092.3733
Epoch 64, Train Loss: 194979.6111, Test Loss: 192058.5729
Epoch 65, Train Loss: 192349.3924, Test Loss: 190872.7604
Epoch 66, Train Loss: 190895.5677, Test Loss: 189523.6094
Epoch 67, Train Loss: 190230.6076, Test Loss: 189378.2309
Epoch 68, Train Loss: 190463.9878, Test Loss: 190709.0747
Epoch 69, Train Loss: 191490.6424, Test Loss: 188509.6545
Epoch 70, Train Loss: 189296.1719, Test Loss: 188565.4757
Epoch 71, Train Loss: 190322.7587, Test Loss: 190926.0729
Epoch 72, Train Loss: 190190.9583, Test Loss: 189291.4983
Epoch 73, Train Loss: 189257.2795, Test Loss: 187558.4809
Epoch 74, Train Loss: 188253.5347, Test Loss: 187287.5608
Epoch 75, Train Loss: 187765.2639, Test Loss: 188223.6910
Epoch 76, Train Loss: 187482.5399, Test Loss: 187381.5226
Epoch 77, Train Loss: 188759.7049, Test Loss: 189140.2847
Epoch 78, Train Loss: 188050.1198, Test Loss: 185509.4479
Epoch 79, Train Loss: 186348.5243, Test Loss: 185066.7552
Epoch 80, Train Loss: 186089.8889, Test Loss: 186272.0885
Epoch 81, Train Loss: 185413.3750, Test Loss: 184850.9983
Epoch 82, Train Loss: 185305.4896, Test Loss: 183859.9740
Epoch 83, Train Loss: 184860.0677, Test Loss: 185024.5712
Epoch 84, Train Loss: 184652.9253, Test Loss: 183214.7083
Epoch 85, Train Loss: 184083.8420, Test Loss: 184408.1024
Epoch 86, Train Loss: 183961.3941, Test Loss: 183508.3872
Epoch 87, Train Loss: 184148.5781, Test Loss: 182065.9792
Epoch 88, Train Loss: 183176.1875, Test Loss: 182413.0312
Epoch 89, Train Loss: 182618.9948, Test Loss: 182125.6875
Epoch 90, Train Loss: 182062.0139, Test Loss: 181295.9740
Epoch 91, Train Loss: 181647.3646, Test Loss: 181589.3594
Epoch 92, Train Loss: 181471.5556, Test Loss: 181042.1840
Epoch 93, Train Loss: 181486.0677, Test Loss: 180277.7014
Epoch 94, Train Loss: 181166.5712, Test Loss: 181983.7778
Epoch 95, Train Loss: 181351.4913, Test Loss: 180433.4340
Epoch 96, Train Loss: 181961.4722, Test Loss: 181554.4115
Epoch 97, Train Loss: 181431.6823, Test Loss: 179932.0347
Epoch 98, Train Loss: 181460.8576, Test Loss: 183492.2413
Epoch 99, Train Loss: 181896.2153, Test Loss: 182071.1493
Epoch 100, Train Loss: 180724.9792, Test Loss: 179329.3767
Epoch 101, Train Loss: 179647.1406, Test Loss: 179778.7066
Epoch 102, Train Loss: 179705.9635, Test Loss: 179953.8767
Epoch 103, Train Loss: 179309.9531, Test Loss: 178368.0469
Epoch 104, Train Loss: 178429.4861, Test Loss: 177612.2500
Epoch 105, Train Loss: 177767.8403, Test Loss: 177186.5694
Epoch 106, Train Loss: 177800.5330, Test Loss: 177333.1458
Epoch 107, Train Loss: 177691.7448, Test Loss: 177219.2361
Epoch 108, Train Loss: 177291.1493, Test Loss: 176783.1823
Epoch 109, Train Loss: 176796.2127, Test Loss: 176530.5174
Epoch 110, Train Loss: 176817.8906, Test Loss: 176207.3038
