Epoch 1, Train Loss: 1502445.2778, Test Loss: 1055162.8681
Epoch 2, Train Loss: 800155.0486, Test Loss: 570977.5903
Epoch 3, Train Loss: 487551.5486, Test Loss: 409009.4306
Epoch 4, Train Loss: 373036.6111, Test Loss: 338960.6667
Epoch 5, Train Loss: 319191.4861, Test Loss: 296149.2344
Epoch 6, Train Loss: 285290.2535, Test Loss: 271676.0712
Epoch 7, Train Loss: 264402.0608, Test Loss: 253355.2830
Epoch 8, Train Loss: 247179.9931, Test Loss: 238218.7639
Epoch 9, Train Loss: 234286.8958, Test Loss: 228179.3750
Epoch 10, Train Loss: 226058.6597, Test Loss: 222690.6753
Epoch 11, Train Loss: 221454.3194, Test Loss: 218870.4219
Epoch 12, Train Loss: 219287.1684, Test Loss: 215793.8160
Epoch 13, Train Loss: 215811.4913, Test Loss: 215724.8750
Epoch 14, Train Loss: 214969.2170, Test Loss: 212862.1476
Epoch 15, Train Loss: 212712.0417, Test Loss: 211295.9722
Epoch 16, Train Loss: 211646.8628, Test Loss: 209173.5399
Epoch 17, Train Loss: 210556.5365, Test Loss: 212331.6372
Epoch 18, Train Loss: 211507.5972, Test Loss: 209798.8733
Epoch 19, Train Loss: 209195.5312, Test Loss: 207324.0035
Epoch 20, Train Loss: 208185.1059, Test Loss: 208342.5243
Epoch 21, Train Loss: 207255.7240, Test Loss: 205502.7066
Epoch 22, Train Loss: 206170.8559, Test Loss: 206751.7708
Epoch 23, Train Loss: 205503.2812, Test Loss: 203957.2795
Epoch 24, Train Loss: 204431.4740, Test Loss: 204205.4167
Epoch 25, Train Loss: 204113.4444, Test Loss: 202984.1910
Epoch 26, Train Loss: 202855.5955, Test Loss: 202591.1823
Epoch 27, Train Loss: 204392.1059, Test Loss: 202671.6684
Epoch 28, Train Loss: 205962.2969, Test Loss: 205181.4722
Epoch 29, Train Loss: 203461.0990, Test Loss: 200388.7656
Epoch 30, Train Loss: 200734.9722, Test Loss: 200847.9271
Epoch 31, Train Loss: 200733.1076, Test Loss: 200490.9549
Epoch 32, Train Loss: 198909.2535, Test Loss: 197496.9688
Epoch 33, Train Loss: 198675.9080, Test Loss: 195998.1528
Epoch 34, Train Loss: 197330.4410, Test Loss: 195576.5399
Epoch 35, Train Loss: 196753.8194, Test Loss: 196718.5156
Epoch 36, Train Loss: 196290.0191, Test Loss: 195505.3924
Epoch 37, Train Loss: 195473.6719, Test Loss: 193539.3490
Epoch 38, Train Loss: 193972.5521, Test Loss: 192557.2309
Epoch 39, Train Loss: 193333.0417, Test Loss: 193105.1111
Epoch 40, Train Loss: 193037.4653, Test Loss: 191595.4774
Epoch 41, Train Loss: 192136.2656, Test Loss: 192588.1667
Epoch 42, Train Loss: 191688.5851, Test Loss: 190369.1215
Epoch 43, Train Loss: 191334.5538, Test Loss: 190916.7188
Epoch 44, Train Loss: 190661.6892, Test Loss: 189834.1632
Epoch 45, Train Loss: 191074.3177, Test Loss: 188141.6771
Epoch 46, Train Loss: 189588.9219, Test Loss: 189302.4080
Epoch 47, Train Loss: 188759.0990, Test Loss: 187880.0069
Epoch 48, Train Loss: 187800.7639, Test Loss: 187273.1997
Epoch 49, Train Loss: 186951.7049, Test Loss: 186605.9948
Epoch 50, Train Loss: 186349.7830, Test Loss: 185638.4427
Epoch 51, Train Loss: 186292.8472, Test Loss: 186092.3021
Epoch 52, Train Loss: 185438.3056, Test Loss: 184226.1042
Epoch 53, Train Loss: 186329.3003, Test Loss: 186875.7812
Epoch 54, Train Loss: 185668.7760, Test Loss: 183326.2118
Epoch 55, Train Loss: 184776.8212, Test Loss: 183385.7986
Epoch 56, Train Loss: 183196.5312, Test Loss: 182585.8056
Epoch 57, Train Loss: 182846.4705, Test Loss: 182092.2639
Epoch 58, Train Loss: 182268.9531, Test Loss: 181507.8333
Epoch 59, Train Loss: 182086.7517, Test Loss: 180728.7031
Epoch 60, Train Loss: 182115.3108, Test Loss: 185492.5590
Epoch 61, Train Loss: 186826.2847, Test Loss: 183707.5208
Epoch 62, Train Loss: 184300.9583, Test Loss: 180907.7153
Epoch 63, Train Loss: 181739.2674, Test Loss: 181491.7431
Epoch 64, Train Loss: 181053.4635, Test Loss: 179770.1076
Epoch 65, Train Loss: 179728.1701, Test Loss: 178834.6979
Epoch 66, Train Loss: 178768.2622, Test Loss: 177765.6146
Epoch 67, Train Loss: 178071.7587, Test Loss: 177446.0729
Epoch 68, Train Loss: 177786.7274, Test Loss: 176955.2934
Epoch 69, Train Loss: 177354.5903, Test Loss: 177111.8090
Epoch 70, Train Loss: 177237.0764, Test Loss: 176612.3038
Epoch 71, Train Loss: 176836.4514, Test Loss: 176361.8490
Epoch 72, Train Loss: 176760.7708, Test Loss: 176294.7882
Epoch 73, Train Loss: 176264.7743, Test Loss: 175113.9306
Epoch 74, Train Loss: 176260.2361, Test Loss: 176287.8299
Epoch 75, Train Loss: 176427.3542, Test Loss: 175783.2448
Epoch 76, Train Loss: 176250.7344, Test Loss: 174801.3212
Epoch 77, Train Loss: 175668.3819, Test Loss: 176468.9566
Epoch 78, Train Loss: 176583.8802, Test Loss: 173871.3490
Epoch 79, Train Loss: 174726.3594, Test Loss: 173388.6840
Epoch 80, Train Loss: 174162.5330, Test Loss: 174320.7378
Epoch 81, Train Loss: 173938.4740, Test Loss: 172673.9115
Epoch 82, Train Loss: 173295.1406, Test Loss: 172279.3906
Epoch 83, Train Loss: 172646.8906, Test Loss: 171421.5816
Epoch 84, Train Loss: 172230.3038, Test Loss: 171236.6944
Epoch 85, Train Loss: 171793.5677, Test Loss: 171008.5990
Epoch 86, Train Loss: 171772.4931, Test Loss: 171349.0226
Epoch 87, Train Loss: 171383.1233, Test Loss: 171339.2830
Epoch 88, Train Loss: 171569.6354, Test Loss: 171554.1380
Epoch 89, Train Loss: 170663.4444, Test Loss: 170574.7205
Epoch 90, Train Loss: 170197.4792, Test Loss: 169275.5660
Epoch 91, Train Loss: 170201.4340, Test Loss: 169929.2031
Epoch 92, Train Loss: 169950.9931, Test Loss: 169464.7413
Epoch 93, Train Loss: 170575.9444, Test Loss: 170116.1094
Epoch 94, Train Loss: 170902.6840, Test Loss: 171010.1285
Epoch 95, Train Loss: 172892.1441, Test Loss: 169825.2361
Epoch 96, Train Loss: 170867.1111, Test Loss: 170508.2240
Epoch 97, Train Loss: 171598.0894, Test Loss: 169772.5174
Epoch 98, Train Loss: 172097.0226, Test Loss: 170188.1372
Epoch 99, Train Loss: 171960.9115, Test Loss: 168208.1424
Epoch 100, Train Loss: 170606.9583, Test Loss: 174671.9184
Epoch 101, Train Loss: 170750.5278, Test Loss: 172752.8385
Epoch 102, Train Loss: 169730.8108, Test Loss: 167058.7205
Epoch 103, Train Loss: 166577.2535, Test Loss: 165416.6198
Epoch 104, Train Loss: 166090.9688, Test Loss: 165150.9375
Epoch 105, Train Loss: 166059.3924, Test Loss: 164984.3576
Epoch 106, Train Loss: 165625.7656, Test Loss: 165288.7205
Epoch 107, Train Loss: 164814.1111, Test Loss: 164297.2413
Epoch 108, Train Loss: 163922.0087, Test Loss: 163440.5434
Epoch 109, Train Loss: 163857.5955, Test Loss: 163460.6944
Epoch 110, Train Loss: 163503.3264, Test Loss: 162756.0347
Epoch 111, Train Loss: 162980.8767, Test Loss: 161967.5903
Epoch 112, Train Loss: 162355.1007, Test Loss: 162006.1615
Epoch 113, Train Loss: 162357.9167, Test Loss: 161815.6910
Epoch 114, Train Loss: 161931.8003, Test Loss: 161261.1354
Epoch 115, Train Loss: 161507.3785, Test Loss: 160562.6840
Epoch 116, Train Loss: 160956.6580, Test Loss: 161089.0417
Epoch 117, Train Loss: 161613.0399, Test Loss: 163299.0781
Epoch 118, Train Loss: 162288.6267, Test Loss: 161968.7535
Epoch 119, Train Loss: 164273.7188, Test Loss: 163030.1528
Epoch 120, Train Loss: 165195.1910, Test Loss: 166830.3767
Epoch 121, Train Loss: 165368.9531, Test Loss: 163461.6875
Epoch 122, Train Loss: 163413.2118, Test Loss: 163280.9392
Epoch 123, Train Loss: 162360.0017, Test Loss: 160396.1319
Epoch 124, Train Loss: 161087.5139, Test Loss: 159789.0156
Epoch 125, Train Loss: 160689.6181, Test Loss: 159785.4201
Epoch 126, Train Loss: 159390.0990, Test Loss: 158543.1927
Epoch 127, Train Loss: 158730.6684, Test Loss: 158068.8889
Epoch 128, Train Loss: 158242.7743, Test Loss: 157312.6042
Epoch 129, Train Loss: 158065.3524, Test Loss: 157316.7448
Epoch 130, Train Loss: 158125.1441, Test Loss: 157120.7188
Epoch 131, Train Loss: 158093.7960, Test Loss: 159184.6719
Epoch 132, Train Loss: 158300.7873, Test Loss: 157308.2587
Epoch 133, Train Loss: 157565.0955, Test Loss: 156847.1910
Epoch 134, Train Loss: 157221.7812, Test Loss: 156513.0330
Epoch 135, Train Loss: 156831.3611, Test Loss: 156349.9054
Epoch 136, Train Loss: 156564.8698, Test Loss: 155680.0035
Epoch 137, Train Loss: 156166.0851, Test Loss: 155265.9080
Epoch 138, Train Loss: 155756.9974, Test Loss: 155220.9427
Epoch 139, Train Loss: 155615.1285, Test Loss: 154991.3958
Epoch 140, Train Loss: 155095.9705, Test Loss: 154390.9062
Epoch 141, Train Loss: 154807.9045, Test Loss: 154501.6927
Epoch 142, Train Loss: 154734.7743, Test Loss: 153914.5365
Epoch 143, Train Loss: 154483.3559, Test Loss: 153799.3351
Epoch 144, Train Loss: 154175.3273, Test Loss: 153675.9705
Epoch 145, Train Loss: 154384.7674, Test Loss: 153719.5382
Epoch 146, Train Loss: 154067.8160, Test Loss: 153297.2847
Epoch 147, Train Loss: 154200.8993, Test Loss: 153539.5573
Epoch 148, Train Loss: 155016.4688, Test Loss: 154857.1493
Epoch 149, Train Loss: 154992.0556, Test Loss: 154026.6267
Epoch 150, Train Loss: 154512.5538, Test Loss: 153923.1354
Epoch 151, Train Loss: 154696.3637, Test Loss: 154563.3177
Epoch 152, Train Loss: 157265.5347, Test Loss: 154700.9479
Epoch 153, Train Loss: 155785.6580, Test Loss: 153978.7465
Epoch 154, Train Loss: 157048.6667, Test Loss: 154931.9618
Epoch 155, Train Loss: 156902.0677, Test Loss: 159500.6753
Epoch 156, Train Loss: 155987.8038, Test Loss: 154646.8576
Epoch 157, Train Loss: 155631.7344, Test Loss: 152429.1406
Epoch 158, Train Loss: 155490.9340, Test Loss: 153359.7005
Epoch 159, Train Loss: 157151.4271, Test Loss: 152934.7986
Epoch 160, Train Loss: 154798.3394, Test Loss: 155001.4080
Epoch 161, Train Loss: 154997.2361, Test Loss: 153654.9566
Epoch 162, Train Loss: 153660.0703, Test Loss: 151913.6476
Epoch 163, Train Loss: 152694.9410, Test Loss: 152076.3594
Epoch 164, Train Loss: 152055.4965, Test Loss: 150967.7135
Epoch 165, Train Loss: 151216.5660, Test Loss: 150863.0451
Epoch 166, Train Loss: 151254.5521, Test Loss: 150798.5720
Epoch 167, Train Loss: 151238.4323, Test Loss: 150090.0781
Epoch 168, Train Loss: 151453.6458, Test Loss: 152569.9271
Epoch 169, Train Loss: 151960.6892, Test Loss: 153091.1823
Epoch 170, Train Loss: 151854.0877, Test Loss: 150264.2674
Epoch 171, Train Loss: 152179.7865, Test Loss: 150318.1962
Epoch 172, Train Loss: 151468.6198, Test Loss: 149289.5781
Epoch 173, Train Loss: 150747.6007, Test Loss: 152461.2535
Epoch 174, Train Loss: 151175.4497, Test Loss: 149243.9627
Epoch 175, Train Loss: 150100.3411, Test Loss: 149502.0035
Epoch 176, Train Loss: 150646.0243, Test Loss: 148850.1111
Epoch 177, Train Loss: 149491.1146, Test Loss: 148684.2587
Epoch 178, Train Loss: 148972.2778, Test Loss: 148776.7760
Epoch 179, Train Loss: 149207.4444, Test Loss: 148297.5035
Epoch 180, Train Loss: 148598.9366, Test Loss: 148137.2196
Epoch 181, Train Loss: 148532.8724, Test Loss: 148306.1337
Epoch 182, Train Loss: 148921.0642, Test Loss: 147483.4948
Epoch 183, Train Loss: 148359.2543, Test Loss: 148287.7760
Epoch 184, Train Loss: 148814.7014, Test Loss: 148029.1510
Epoch 185, Train Loss: 148214.2491, Test Loss: 147229.7257
Epoch 186, Train Loss: 148000.3498, Test Loss: 146964.3507
Epoch 187, Train Loss: 147649.9852, Test Loss: 146983.7457
Epoch 188, Train Loss: 147817.6701, Test Loss: 146861.4332
Epoch 189, Train Loss: 147381.5885, Test Loss: 146459.2240
Epoch 190, Train Loss: 146756.9462, Test Loss: 145957.5642
Epoch 191, Train Loss: 146488.1406, Test Loss: 145650.2361
Epoch 192, Train Loss: 146152.6484, Test Loss: 145801.0955
Epoch 193, Train Loss: 146132.3455, Test Loss: 145492.1910
Epoch 194, Train Loss: 145829.9462, Test Loss: 145309.2474
Epoch 195, Train Loss: 145644.7691, Test Loss: 145306.0903
Epoch 196, Train Loss: 145707.0920, Test Loss: 145160.5599
Epoch 197, Train Loss: 145693.1102, Test Loss: 145307.0556
Epoch 198, Train Loss: 145956.4818, Test Loss: 145197.7075
Epoch 199, Train Loss: 146239.2491, Test Loss: 145502.2873
Epoch 200, Train Loss: 145680.7613, Test Loss: 144794.3689
Epoch 201, Train Loss: 146020.0799, Test Loss: 145867.7144
Epoch 202, Train Loss: 149533.7014, Test Loss: 146570.4332
Epoch 203, Train Loss: 147775.2092, Test Loss: 146000.3411
Epoch 204, Train Loss: 146214.8377, Test Loss: 145546.0582
Epoch 205, Train Loss: 146177.6441, Test Loss: 145454.1241
Epoch 206, Train Loss: 145899.0573, Test Loss: 146926.5356
Epoch 207, Train Loss: 145859.5295, Test Loss: 145061.0903
Epoch 208, Train Loss: 145344.2344, Test Loss: 144104.6415
Epoch 209, Train Loss: 145633.1510, Test Loss: 146416.2847
Epoch 210, Train Loss: 146802.6745, Test Loss: 146461.7378
Epoch 211, Train Loss: 146437.7370, Test Loss: 145767.9436
Epoch 212, Train Loss: 145899.0486, Test Loss: 144027.0599
Epoch 213, Train Loss: 144469.2040, Test Loss: 143623.7075
Epoch 214, Train Loss: 144255.8898, Test Loss: 143411.1207
Epoch 215, Train Loss: 144439.6589, Test Loss: 144444.8160
Epoch 216, Train Loss: 145079.4149, Test Loss: 145344.5312
Epoch 217, Train Loss: 145118.3550, Test Loss: 143765.1259
Epoch 218, Train Loss: 144653.6372, Test Loss: 144729.3194
Epoch 219, Train Loss: 144784.3264, Test Loss: 144962.6780
Epoch 220, Train Loss: 146363.0703, Test Loss: 144623.3507
Epoch 221, Train Loss: 144343.5078, Test Loss: 144960.7465
Epoch 222, Train Loss: 146453.1007, Test Loss: 145943.6085
Epoch 223, Train Loss: 146055.4314, Test Loss: 143604.1684
Epoch 224, Train Loss: 144443.9366, Test Loss: 143574.7448
Epoch 225, Train Loss: 144663.0356, Test Loss: 144057.2986
Epoch 226, Train Loss: 145180.1615, Test Loss: 143301.5252
Epoch 227, Train Loss: 144904.7726, Test Loss: 146933.7691
Epoch 228, Train Loss: 146776.8906, Test Loss: 144544.2899
Epoch 229, Train Loss: 145795.0035, Test Loss: 145844.4861
Epoch 230, Train Loss: 145382.7969, Test Loss: 144275.3255
Epoch 231, Train Loss: 145214.7812, Test Loss: 144728.3507
Epoch 232, Train Loss: 145260.7743, Test Loss: 143443.7396
Epoch 233, Train Loss: 144452.6814, Test Loss: 144491.0920
Epoch 234, Train Loss: 143803.2613, Test Loss: 142459.0660
Epoch 235, Train Loss: 142747.1137, Test Loss: 142206.7066
Epoch 236, Train Loss: 142605.7439, Test Loss: 141622.9566
Epoch 237, Train Loss: 142492.6128, Test Loss: 142731.9219
Epoch 238, Train Loss: 142330.0339, Test Loss: 141350.5929
Epoch 239, Train Loss: 142106.9549, Test Loss: 141372.7101
Epoch 240, Train Loss: 141913.6502, Test Loss: 141474.8628
Epoch 241, Train Loss: 141911.0634, Test Loss: 142623.9366
Epoch 242, Train Loss: 142107.5564, Test Loss: 141086.1649
Epoch 243, Train Loss: 141581.3507, Test Loss: 141288.6858
Epoch 244, Train Loss: 142452.0486, Test Loss: 142007.8976
Epoch 245, Train Loss: 143153.7743, Test Loss: 145636.3472
Epoch 246, Train Loss: 146768.3403, Test Loss: 152361.5000
Epoch 247, Train Loss: 148035.9106, Test Loss: 145990.6059
Epoch 248, Train Loss: 146482.9609, Test Loss: 145334.7448
Epoch 249, Train Loss: 147139.8299, Test Loss: 144501.6710
Epoch 250, Train Loss: 146233.2240, Test Loss: 144882.1163
Epoch 251, Train Loss: 144329.5477, Test Loss: 144399.4931
Epoch 252, Train Loss: 143962.9280, Test Loss: 141966.1510
Epoch 253, Train Loss: 142817.8906, Test Loss: 140993.2569
Epoch 254, Train Loss: 141784.7127, Test Loss: 141428.8255
Epoch 255, Train Loss: 141948.4670, Test Loss: 140625.5486
Epoch 256, Train Loss: 140895.9957, Test Loss: 139918.4922
Epoch 257, Train Loss: 140581.0017, Test Loss: 140227.2613
Epoch 258, Train Loss: 141042.8776, Test Loss: 140152.4332
Epoch 259, Train Loss: 141075.9097, Test Loss: 140373.7344
Epoch 260, Train Loss: 140669.1615, Test Loss: 140763.1892
Epoch 261, Train Loss: 140837.4974, Test Loss: 139607.4844
Epoch 262, Train Loss: 140054.4549, Test Loss: 139748.0946
Epoch 263, Train Loss: 140249.6372, Test Loss: 139616.9340
Epoch 264, Train Loss: 140226.4531, Test Loss: 140045.5503
Epoch 265, Train Loss: 140073.4731, Test Loss: 139228.7561
Epoch 266, Train Loss: 139740.7274, Test Loss: 139117.9948
Epoch 267, Train Loss: 139760.4314, Test Loss: 139039.4123
Epoch 268, Train Loss: 139900.8854, Test Loss: 139123.3273
Epoch 269, Train Loss: 139926.0339, Test Loss: 139584.3507
Epoch 270, Train Loss: 140061.0174, Test Loss: 139367.7266
Epoch 271, Train Loss: 139779.1866, Test Loss: 139217.1068
Epoch 272, Train Loss: 139969.7726, Test Loss: 139648.0356
Epoch 273, Train Loss: 139800.1771, Test Loss: 138765.4219
Epoch 274, Train Loss: 139596.0026, Test Loss: 138980.4592
Epoch 275, Train Loss: 139966.9818, Test Loss: 138596.1372
Epoch 276, Train Loss: 140257.4262, Test Loss: 141757.9297
Epoch 277, Train Loss: 142667.5729, Test Loss: 144301.6102
Epoch 278, Train Loss: 144862.7665, Test Loss: 144697.8307
Epoch 279, Train Loss: 144231.7170, Test Loss: 144002.0859
Epoch 280, Train Loss: 143652.0260, Test Loss: 143631.5608
Epoch 281, Train Loss: 142606.3090, Test Loss: 142204.0625
Epoch 282, Train Loss: 144602.3976, Test Loss: 144910.2292
Epoch 283, Train Loss: 144396.0304, Test Loss: 142711.7196
Epoch 284, Train Loss: 142999.0182, Test Loss: 140646.1528
Epoch 285, Train Loss: 141114.2170, Test Loss: 139979.5859
Epoch 286, Train Loss: 141907.0807, Test Loss: 141582.3915
Epoch 287, Train Loss: 141039.6944, Test Loss: 139811.3698
Epoch 288, Train Loss: 140944.1727, Test Loss: 140919.1823
Epoch 289, Train Loss: 141478.2205, Test Loss: 140052.2613
Epoch 290, Train Loss: 140252.3472, Test Loss: 140694.6033
Epoch 291, Train Loss: 141403.4757, Test Loss: 139914.1806
Epoch 292, Train Loss: 141924.8012, Test Loss: 140701.9410
Epoch 293, Train Loss: 140213.0312, Test Loss: 138577.1840
Epoch 294, Train Loss: 139001.2543, Test Loss: 138753.0590
Epoch 295, Train Loss: 138732.8828, Test Loss: 138089.4818
Epoch 296, Train Loss: 138332.7613, Test Loss: 137706.5443
Epoch 297, Train Loss: 138118.8455, Test Loss: 137643.2387
Epoch 298, Train Loss: 137975.7795, Test Loss: 137504.3568
Epoch 299, Train Loss: 138239.7483, Test Loss: 137767.8403
Epoch 300, Train Loss: 138218.7717, Test Loss: 138020.5373
Epoch 301, Train Loss: 138324.0990, Test Loss: 137968.5408
Epoch 302, Train Loss: 138275.9800, Test Loss: 137622.2804
Epoch 303, Train Loss: 138148.3646, Test Loss: 137364.2066
Epoch 304, Train Loss: 137823.2188, Test Loss: 137082.2622
Epoch 305, Train Loss: 137469.1571, Test Loss: 136901.4010
Epoch 306, Train Loss: 137393.9193, Test Loss: 136726.0286
Epoch 307, Train Loss: 137652.2361, Test Loss: 137688.6562
Epoch 308, Train Loss: 137806.3142, Test Loss: 137600.0234
Epoch 309, Train Loss: 137853.8498, Test Loss: 136818.1545
Epoch 310, Train Loss: 137679.9835, Test Loss: 136983.8464
Epoch 311, Train Loss: 137736.9158, Test Loss: 137711.8490
Epoch 312, Train Loss: 137479.6970, Test Loss: 137248.5825
Epoch 313, Train Loss: 139105.8785, Test Loss: 137785.0946
Epoch 314, Train Loss: 140305.7543, Test Loss: 138526.2734
Epoch 315, Train Loss: 140095.9470, Test Loss: 139530.3108
Epoch 316, Train Loss: 140491.3446, Test Loss: 138305.8203
Epoch 317, Train Loss: 139221.4253, Test Loss: 138509.4627
Epoch 318, Train Loss: 138519.1762, Test Loss: 137482.1615
Epoch 319, Train Loss: 138159.5694, Test Loss: 137209.3212
Epoch 320, Train Loss: 138144.6892, Test Loss: 137543.0260
Epoch 321, Train Loss: 137755.2274, Test Loss: 137101.9861
Epoch 322, Train Loss: 137820.4271, Test Loss: 136511.6970
Epoch 323, Train Loss: 137435.8741, Test Loss: 137219.2682
Epoch 324, Train Loss: 137805.4253, Test Loss: 137703.4523
Epoch 325, Train Loss: 137757.7708, Test Loss: 137069.4045
Epoch 326, Train Loss: 137241.9931, Test Loss: 136846.1198
Epoch 327, Train Loss: 137143.9184, Test Loss: 137149.9974
Epoch 328, Train Loss: 137915.8290, Test Loss: 137595.6997
Epoch 329, Train Loss: 137931.1259, Test Loss: 138811.7760
Epoch 330, Train Loss: 138421.1953, Test Loss: 140021.4818
Epoch 331, Train Loss: 139521.7266, Test Loss: 138650.5868
Epoch 332, Train Loss: 139197.9488, Test Loss: 138151.7569
Epoch 333, Train Loss: 138653.7804, Test Loss: 137734.4253
Epoch 334, Train Loss: 138187.6502, Test Loss: 137004.6667
Epoch 335, Train Loss: 137988.1102, Test Loss: 136816.9601
Epoch 336, Train Loss: 137494.8446, Test Loss: 136534.6155
Epoch 337, Train Loss: 137281.6554, Test Loss: 136301.5799
Epoch 338, Train Loss: 136707.9132, Test Loss: 136205.0104
Epoch 339, Train Loss: 136658.5495, Test Loss: 136208.7726
Epoch 340, Train Loss: 136570.4002, Test Loss: 135842.9262
Epoch 341, Train Loss: 136377.9835, Test Loss: 135666.9306
Epoch 342, Train Loss: 136146.5408, Test Loss: 135358.9167
Epoch 343, Train Loss: 135922.9783, Test Loss: 135201.1970
Epoch 344, Train Loss: 135779.6832, Test Loss: 135189.0200
Epoch 345, Train Loss: 135758.1832, Test Loss: 135147.1502
Epoch 346, Train Loss: 135865.9097, Test Loss: 135756.6788
Epoch 347, Train Loss: 135928.8073, Test Loss: 135120.3021
Epoch 348, Train Loss: 135878.7743, Test Loss: 135555.4089
Epoch 349, Train Loss: 135892.6884, Test Loss: 135602.9175
Epoch 350, Train Loss: 137298.3663, Test Loss: 136589.6866
Epoch 351, Train Loss: 136814.8932, Test Loss: 135949.4297
Epoch 352, Train Loss: 136966.2083, Test Loss: 136180.1137
Epoch 353, Train Loss: 137071.3750, Test Loss: 136546.9635
Epoch 354, Train Loss: 137195.5668, Test Loss: 136110.1562
Epoch 355, Train Loss: 137125.9418, Test Loss: 136179.4913
Epoch 356, Train Loss: 137104.4653, Test Loss: 136467.9418
Epoch 357, Train Loss: 136928.1137, Test Loss: 136016.1615
Epoch 358, Train Loss: 136629.4245, Test Loss: 136162.3368
Epoch 359, Train Loss: 136460.5130, Test Loss: 135296.3082
Epoch 360, Train Loss: 136260.2561, Test Loss: 136186.3281
Epoch 361, Train Loss: 136097.1745, Test Loss: 135285.2057
Epoch 362, Train Loss: 135873.2882, Test Loss: 135068.3351
Epoch 363, Train Loss: 136240.6372, Test Loss: 135301.0460
Epoch 364, Train Loss: 135746.7535, Test Loss: 135218.7691
Epoch 365, Train Loss: 135784.7682, Test Loss: 135880.0547
Epoch 366, Train Loss: 135927.3655, Test Loss: 135390.4905
Epoch 367, Train Loss: 135742.6024, Test Loss: 134816.1502
