Epoch 1, Train Loss: 1444588.2569, Test Loss: 966380.3125
Epoch 2, Train Loss: 732936.0694, Test Loss: 529107.6042
Epoch 3, Train Loss: 461589.8125, Test Loss: 395417.3021
Epoch 4, Train Loss: 368213.8542, Test Loss: 327670.0625
Epoch 5, Train Loss: 321600.5295, Test Loss: 308518.8889
Epoch 6, Train Loss: 288550.3542, Test Loss: 272772.7483
Epoch 7, Train Loss: 268586.5851, Test Loss: 262309.3958
Epoch 8, Train Loss: 255900.6406, Test Loss: 248271.9722
Epoch 9, Train Loss: 241233.6753, Test Loss: 234182.7292
Epoch 10, Train Loss: 231839.5069, Test Loss: 226781.9601
Epoch 11, Train Loss: 225813.4080, Test Loss: 223253.8872
Epoch 12, Train Loss: 222123.6319, Test Loss: 219237.1337
Epoch 13, Train Loss: 219418.9271, Test Loss: 218009.5017
Epoch 14, Train Loss: 217958.3021, Test Loss: 215165.5017
Epoch 15, Train Loss: 215197.3594, Test Loss: 213149.5573
Epoch 16, Train Loss: 213448.1372, Test Loss: 211720.9427
Epoch 17, Train Loss: 211792.4219, Test Loss: 210510.6858
Epoch 18, Train Loss: 211011.1389, Test Loss: 209528.8073
Epoch 19, Train Loss: 210053.7153, Test Loss: 208904.2708
Epoch 20, Train Loss: 208821.2847, Test Loss: 207357.7656
Epoch 21, Train Loss: 208375.1476, Test Loss: 207703.5052
Epoch 22, Train Loss: 209082.6615, Test Loss: 206784.4306
Epoch 23, Train Loss: 211119.5781, Test Loss: 205817.6806
Epoch 24, Train Loss: 208326.6840, Test Loss: 206301.6337
Epoch 25, Train Loss: 207157.8524, Test Loss: 205118.6580
Epoch 26, Train Loss: 204555.5174, Test Loss: 204506.5920
Epoch 27, Train Loss: 203759.8056, Test Loss: 202827.2118
Epoch 28, Train Loss: 201984.3924, Test Loss: 201060.7986
Epoch 29, Train Loss: 200954.6319, Test Loss: 199786.5799
Epoch 30, Train Loss: 200216.2135, Test Loss: 198935.3681
Epoch 31, Train Loss: 199627.8490, Test Loss: 197831.5017
Epoch 32, Train Loss: 198076.7535, Test Loss: 197199.0851
Epoch 33, Train Loss: 197837.4010, Test Loss: 196524.8802
Epoch 34, Train Loss: 196666.0764, Test Loss: 195248.8177
Epoch 35, Train Loss: 196165.8993, Test Loss: 195282.3212
Epoch 36, Train Loss: 195700.1302, Test Loss: 195342.0174
Epoch 37, Train Loss: 195388.0868, Test Loss: 195182.0590
Epoch 38, Train Loss: 195069.4271, Test Loss: 192805.0104
Epoch 39, Train Loss: 194326.2274, Test Loss: 192787.7483
Epoch 40, Train Loss: 192935.7812, Test Loss: 192993.3663
Epoch 41, Train Loss: 193248.5139, Test Loss: 191099.8611
Epoch 42, Train Loss: 194727.9757, Test Loss: 195694.9618
Epoch 43, Train Loss: 197618.8889, Test Loss: 193391.3715
Epoch 44, Train Loss: 192402.4601, Test Loss: 191497.3056
Epoch 45, Train Loss: 191529.6892, Test Loss: 189012.0312
Epoch 46, Train Loss: 190151.9757, Test Loss: 187910.2517
Epoch 47, Train Loss: 189048.9201, Test Loss: 189285.2830
Epoch 48, Train Loss: 188050.4566, Test Loss: 187152.6927
Epoch 49, Train Loss: 187689.2917, Test Loss: 186109.2465
Epoch 50, Train Loss: 186440.8819, Test Loss: 187284.9792
Epoch 51, Train Loss: 186281.7726, Test Loss: 184264.9792
Epoch 52, Train Loss: 185264.9514, Test Loss: 184503.2448
Epoch 53, Train Loss: 186979.7326, Test Loss: 186526.0764
Epoch 54, Train Loss: 188443.8993, Test Loss: 186963.2101
Epoch 55, Train Loss: 185493.9497, Test Loss: 183657.2153
Epoch 56, Train Loss: 183930.8403, Test Loss: 182886.8594
Epoch 57, Train Loss: 183244.6701, Test Loss: 182142.5156
Epoch 58, Train Loss: 182196.1354, Test Loss: 181025.9444
Epoch 59, Train Loss: 181217.7951, Test Loss: 180264.8142
Epoch 60, Train Loss: 180305.6510, Test Loss: 179284.5799
Epoch 61, Train Loss: 179503.1458, Test Loss: 178820.3316
Epoch 62, Train Loss: 178836.4236, Test Loss: 178679.8368
Epoch 63, Train Loss: 178754.2396, Test Loss: 177690.4149
Epoch 64, Train Loss: 178234.8368, Test Loss: 176978.4514
Epoch 65, Train Loss: 178038.0642, Test Loss: 177456.3594
Epoch 66, Train Loss: 178910.6406, Test Loss: 178340.3854
Epoch 67, Train Loss: 178053.9896, Test Loss: 181926.1615
Epoch 68, Train Loss: 179656.5312, Test Loss: 184014.7622
Epoch 69, Train Loss: 195061.9826, Test Loss: 183505.0295
Epoch 70, Train Loss: 196290.7760, Test Loss: 201584.3438
Epoch 71, Train Loss: 191579.5347, Test Loss: 193189.7135
Epoch 72, Train Loss: 183899.4375, Test Loss: 181446.5330
Epoch 73, Train Loss: 179834.1684, Test Loss: 176558.3715
Epoch 74, Train Loss: 177929.0174, Test Loss: 177008.1285
Epoch 75, Train Loss: 176230.3316, Test Loss: 174177.7396
Epoch 76, Train Loss: 175383.2448, Test Loss: 173651.4340
Epoch 77, Train Loss: 174413.7049, Test Loss: 172445.8385
Epoch 78, Train Loss: 173194.0712, Test Loss: 173178.3021
Epoch 79, Train Loss: 172425.8455, Test Loss: 171906.7118
Epoch 80, Train Loss: 172056.1302, Test Loss: 170105.0469
Epoch 81, Train Loss: 170514.9045, Test Loss: 169308.4948
Epoch 82, Train Loss: 170070.0938, Test Loss: 169001.6024
Epoch 83, Train Loss: 169197.8802, Test Loss: 168290.5642
Epoch 84, Train Loss: 168844.6493, Test Loss: 168362.4531
Epoch 85, Train Loss: 168214.0156, Test Loss: 167227.1962
Epoch 86, Train Loss: 167835.9740, Test Loss: 167379.0781
Epoch 87, Train Loss: 167610.8802, Test Loss: 166361.8368
Epoch 88, Train Loss: 166677.1094, Test Loss: 165872.6163
Epoch 89, Train Loss: 166196.8229, Test Loss: 165465.9097
Epoch 90, Train Loss: 165763.6007, Test Loss: 164975.4670
Epoch 91, Train Loss: 165146.1024, Test Loss: 164188.5208
Epoch 92, Train Loss: 164598.3351, Test Loss: 164205.2795
Epoch 93, Train Loss: 164208.1094, Test Loss: 163279.0451
Epoch 94, Train Loss: 163993.8941, Test Loss: 163313.8802
Epoch 95, Train Loss: 163528.6372, Test Loss: 162298.1059
Epoch 96, Train Loss: 163084.4062, Test Loss: 162176.4253
Epoch 97, Train Loss: 162872.0990, Test Loss: 161770.5625
Epoch 98, Train Loss: 162454.3229, Test Loss: 162458.0174
Epoch 99, Train Loss: 161654.0312, Test Loss: 160618.4479
Epoch 100, Train Loss: 161616.7118, Test Loss: 161010.1267
Epoch 101, Train Loss: 161334.0833, Test Loss: 160850.6181
Epoch 102, Train Loss: 161947.1389, Test Loss: 160539.3993
Epoch 103, Train Loss: 162799.3576, Test Loss: 161952.9219
