Epoch 1, Train Loss: 1316412.4375, Test Loss: 771934.3611
Epoch 2, Train Loss: 563850.3993, Test Loss: 420591.2708
Epoch 3, Train Loss: 365953.5764, Test Loss: 318953.4062
Epoch 4, Train Loss: 301856.2413, Test Loss: 282910.9601
Epoch 5, Train Loss: 271243.3142, Test Loss: 258584.2205
Epoch 6, Train Loss: 252861.7691, Test Loss: 244343.7413
Epoch 7, Train Loss: 239413.0868, Test Loss: 232153.6840
Epoch 8, Train Loss: 229153.7535, Test Loss: 225897.9236
Epoch 9, Train Loss: 224353.4878, Test Loss: 221189.7431
Epoch 10, Train Loss: 220049.1858, Test Loss: 218108.5174
Epoch 11, Train Loss: 216750.3906, Test Loss: 216343.7101
Epoch 12, Train Loss: 214741.8490, Test Loss: 213664.4965
Epoch 13, Train Loss: 213181.9271, Test Loss: 214387.3681
Epoch 14, Train Loss: 211589.1059, Test Loss: 209915.9271
Epoch 15, Train Loss: 210937.5243, Test Loss: 209212.5903
Epoch 16, Train Loss: 208811.6875, Test Loss: 208930.0990
Epoch 17, Train Loss: 208921.6840, Test Loss: 207231.1250
Epoch 18, Train Loss: 208596.9479, Test Loss: 204999.8090
Epoch 19, Train Loss: 207153.6302, Test Loss: 207950.8160
Epoch 20, Train Loss: 209502.4462, Test Loss: 204237.5503
Epoch 21, Train Loss: 205943.0903, Test Loss: 203390.4167
Epoch 22, Train Loss: 202788.6562, Test Loss: 201422.6875
Epoch 23, Train Loss: 201863.7257, Test Loss: 201777.7639
Epoch 24, Train Loss: 201806.2326, Test Loss: 198726.2865
Epoch 25, Train Loss: 199413.5764, Test Loss: 197682.5017
Epoch 26, Train Loss: 198459.1372, Test Loss: 195617.2639
Epoch 27, Train Loss: 196772.4722, Test Loss: 198250.7083
Epoch 28, Train Loss: 195618.4965, Test Loss: 193725.7760
Epoch 29, Train Loss: 194457.4913, Test Loss: 192965.7431
Epoch 30, Train Loss: 198827.7066, Test Loss: 196781.7292
Epoch 31, Train Loss: 202322.9149, Test Loss: 202250.0660
Epoch 32, Train Loss: 199910.5017, Test Loss: 192455.6858
Epoch 33, Train Loss: 193053.4306, Test Loss: 190492.6042
Epoch 34, Train Loss: 190567.0556, Test Loss: 189925.6302
Epoch 35, Train Loss: 189567.1302, Test Loss: 187815.8247
Epoch 36, Train Loss: 188091.8698, Test Loss: 186149.0885
Epoch 37, Train Loss: 186313.5590, Test Loss: 185168.2622
Epoch 38, Train Loss: 185546.1979, Test Loss: 184077.9653
Epoch 39, Train Loss: 184379.2882, Test Loss: 183866.7031
Epoch 40, Train Loss: 183708.2535, Test Loss: 183013.7396
Epoch 41, Train Loss: 182954.1823, Test Loss: 181182.5764
Epoch 42, Train Loss: 181327.1562, Test Loss: 180487.8403
Epoch 43, Train Loss: 180298.9826, Test Loss: 179096.5486
Epoch 44, Train Loss: 180702.7691, Test Loss: 180528.9722
Epoch 45, Train Loss: 180221.9288, Test Loss: 180599.0955
Epoch 46, Train Loss: 182534.5903, Test Loss: 178437.1493
Epoch 47, Train Loss: 184890.4844, Test Loss: 186012.3854
Epoch 48, Train Loss: 185803.4149, Test Loss: 187125.1528
Epoch 49, Train Loss: 183775.6927, Test Loss: 181326.5017
Epoch 50, Train Loss: 178823.1389, Test Loss: 177157.1458
Epoch 51, Train Loss: 178427.5399, Test Loss: 176779.7135
Epoch 52, Train Loss: 176116.6042, Test Loss: 174344.8264
Epoch 53, Train Loss: 175012.8750, Test Loss: 172911.0469
Epoch 54, Train Loss: 173462.9149, Test Loss: 171931.3420
Epoch 55, Train Loss: 172527.5972, Test Loss: 171874.4236
Epoch 56, Train Loss: 172909.5104, Test Loss: 173012.0052
Epoch 57, Train Loss: 172154.3455, Test Loss: 172406.0260
