Epoch 1, Train Loss: 1193356.5347, Test Loss: 625250.2708
Epoch 2, Train Loss: 474504.3368, Test Loss: 364191.8542
Epoch 3, Train Loss: 325013.4826, Test Loss: 302824.0729
Epoch 4, Train Loss: 278594.5972, Test Loss: 264126.1198
Epoch 5, Train Loss: 255052.2500, Test Loss: 244238.2656
Epoch 6, Train Loss: 238561.9219, Test Loss: 231372.8142
Epoch 7, Train Loss: 229297.9705, Test Loss: 225423.3785
Epoch 8, Train Loss: 222865.7101, Test Loss: 218454.6632
Epoch 9, Train Loss: 220322.0451, Test Loss: 216203.7170
Epoch 10, Train Loss: 217288.7517, Test Loss: 213694.7969
Epoch 11, Train Loss: 214752.7795, Test Loss: 212155.8160
Epoch 12, Train Loss: 212690.0035, Test Loss: 210866.8958
Epoch 13, Train Loss: 211415.3750, Test Loss: 212187.7691
Epoch 14, Train Loss: 211667.0920, Test Loss: 208596.4236
Epoch 15, Train Loss: 208962.6181, Test Loss: 207654.5139
Epoch 16, Train Loss: 207756.9115, Test Loss: 205940.9497
Epoch 17, Train Loss: 206161.8403, Test Loss: 205396.0243
Epoch 18, Train Loss: 205950.9045, Test Loss: 205612.2708
Epoch 19, Train Loss: 205880.6076, Test Loss: 203455.0694
Epoch 20, Train Loss: 203979.4444, Test Loss: 201577.3802
Epoch 21, Train Loss: 202219.1302, Test Loss: 201408.0122
Epoch 22, Train Loss: 200714.1840, Test Loss: 199704.3993
Epoch 23, Train Loss: 199675.3420, Test Loss: 197574.2431
Epoch 24, Train Loss: 198528.0920, Test Loss: 196706.0972
Epoch 25, Train Loss: 197337.3247, Test Loss: 196296.0243
Epoch 26, Train Loss: 196321.9253, Test Loss: 194820.6094
Epoch 27, Train Loss: 195370.5868, Test Loss: 194188.6198
Epoch 28, Train Loss: 195061.4236, Test Loss: 192810.8854
Epoch 29, Train Loss: 193624.6250, Test Loss: 196676.3542
Epoch 30, Train Loss: 192730.6528, Test Loss: 190087.4566
Epoch 31, Train Loss: 190675.8837, Test Loss: 190522.2431
Epoch 32, Train Loss: 190245.2465, Test Loss: 189443.5087
Epoch 33, Train Loss: 190117.2396, Test Loss: 192681.7969
Epoch 34, Train Loss: 199478.2552, Test Loss: 190144.5434
Epoch 35, Train Loss: 193751.7292, Test Loss: 191972.5538
Epoch 36, Train Loss: 190116.1094, Test Loss: 186002.9740
Epoch 37, Train Loss: 186765.3142, Test Loss: 184504.8090
Epoch 38, Train Loss: 185034.9566, Test Loss: 183007.2569
Epoch 39, Train Loss: 183835.1215, Test Loss: 182569.8854
Epoch 40, Train Loss: 183967.1545, Test Loss: 183006.4340
Epoch 41, Train Loss: 182581.5938, Test Loss: 180667.2795
Epoch 42, Train Loss: 181305.0556, Test Loss: 179967.5868
Epoch 43, Train Loss: 181913.6476, Test Loss: 178565.7778
Epoch 44, Train Loss: 182253.2309, Test Loss: 180871.8889
Epoch 45, Train Loss: 179450.8576, Test Loss: 177086.5781
Epoch 46, Train Loss: 178567.0365, Test Loss: 177889.5035
Epoch 47, Train Loss: 178199.1128, Test Loss: 176996.3576
Epoch 48, Train Loss: 176779.1701, Test Loss: 175597.4010
Epoch 49, Train Loss: 176120.1458, Test Loss: 174395.7795
Epoch 50, Train Loss: 175286.7917, Test Loss: 173437.7222
Epoch 51, Train Loss: 174737.0729, Test Loss: 172943.3438
Epoch 52, Train Loss: 173464.1319, Test Loss: 171286.0885
Epoch 53, Train Loss: 174287.6510, Test Loss: 173935.1233
Epoch 54, Train Loss: 174599.5781, Test Loss: 171788.5139
Epoch 55, Train Loss: 176792.5972, Test Loss: 176497.3611
Epoch 56, Train Loss: 178054.8420, Test Loss: 172404.8976
Epoch 57, Train Loss: 178596.6181, Test Loss: 180506.9497
Epoch 58, Train Loss: 177465.6285, Test Loss: 175242.8438
Epoch 59, Train Loss: 172927.5122, Test Loss: 168351.2378
Epoch 60, Train Loss: 170025.1528, Test Loss: 167821.5764
Epoch 61, Train Loss: 167413.2413, Test Loss: 166301.7865
Epoch 62, Train Loss: 166225.2031, Test Loss: 165194.5538
Epoch 63, Train Loss: 165439.9601, Test Loss: 164359.1649
Epoch 64, Train Loss: 164272.0226, Test Loss: 163196.1997
Epoch 65, Train Loss: 165791.4253, Test Loss: 165100.9271
Epoch 66, Train Loss: 163671.4931, Test Loss: 161848.6632
Epoch 67, Train Loss: 162071.8229, Test Loss: 161299.4913
Epoch 68, Train Loss: 161618.0712, Test Loss: 160256.6753
Epoch 69, Train Loss: 160464.9097, Test Loss: 159686.5868
Epoch 70, Train Loss: 159604.8924, Test Loss: 158480.5556
Epoch 71, Train Loss: 158836.5486, Test Loss: 157820.2135
Epoch 72, Train Loss: 159135.0295, Test Loss: 157584.2760
Epoch 73, Train Loss: 159953.1441, Test Loss: 166444.6510
Epoch 74, Train Loss: 164426.0347, Test Loss: 160462.3316
Epoch 75, Train Loss: 161663.5538, Test Loss: 158274.2344
Epoch 76, Train Loss: 159173.7292, Test Loss: 156535.7726
Epoch 77, Train Loss: 157892.1181, Test Loss: 157223.9080
Epoch 78, Train Loss: 156105.1233, Test Loss: 153783.2899
Epoch 79, Train Loss: 155803.8802, Test Loss: 153391.9262
Epoch 80, Train Loss: 156313.5590, Test Loss: 154868.0035
Epoch 81, Train Loss: 155364.3854, Test Loss: 152938.8125
Epoch 82, Train Loss: 153465.7535, Test Loss: 151508.8707
Epoch 83, Train Loss: 152512.8872, Test Loss: 151801.2830
Epoch 84, Train Loss: 151855.2726, Test Loss: 150134.6337
Epoch 85, Train Loss: 151594.9740, Test Loss: 149794.2865
Epoch 86, Train Loss: 150720.3438, Test Loss: 150568.4566
