Epoch 1, Train Loss: 1331098.0347, Test Loss: 724861.0972
Epoch 2, Train Loss: 533215.4792, Test Loss: 383817.2188
Epoch 3, Train Loss: 339216.4375, Test Loss: 294487.5521
Epoch 4, Train Loss: 277256.0816, Test Loss: 261993.6701
Epoch 5, Train Loss: 252922.2934, Test Loss: 236727.5938
Epoch 6, Train Loss: 235242.5781, Test Loss: 222634.7309
Epoch 7, Train Loss: 223791.2812, Test Loss: 217481.3646
Epoch 8, Train Loss: 216961.3056, Test Loss: 213256.5729
Epoch 9, Train Loss: 214270.0365, Test Loss: 212128.0868
Epoch 10, Train Loss: 212010.2882, Test Loss: 211634.4167
Epoch 11, Train Loss: 210442.7778, Test Loss: 208545.3524
Epoch 12, Train Loss: 209844.9340, Test Loss: 209141.0365
Epoch 13, Train Loss: 209451.8299, Test Loss: 207332.3472
Epoch 14, Train Loss: 208011.9618, Test Loss: 205832.0399
Epoch 15, Train Loss: 206243.5139, Test Loss: 204481.0851
Epoch 16, Train Loss: 205054.7292, Test Loss: 204260.6198
Epoch 17, Train Loss: 204599.9653, Test Loss: 204250.7743
Epoch 18, Train Loss: 204991.2622, Test Loss: 201747.5069
Epoch 19, Train Loss: 203537.6997, Test Loss: 202531.7795
Epoch 20, Train Loss: 201722.7066, Test Loss: 200784.3281
Epoch 21, Train Loss: 202055.2049, Test Loss: 200248.8316
Epoch 22, Train Loss: 202534.9670, Test Loss: 202425.1597
Epoch 23, Train Loss: 201311.9062, Test Loss: 199134.0052
Epoch 24, Train Loss: 198622.1128, Test Loss: 195908.7639
Epoch 25, Train Loss: 196659.0885, Test Loss: 196132.5347
Epoch 26, Train Loss: 196041.4896, Test Loss: 193471.8785
Epoch 27, Train Loss: 194412.0312, Test Loss: 192454.9479
Epoch 28, Train Loss: 193730.7465, Test Loss: 195367.2222
Epoch 29, Train Loss: 193557.1840, Test Loss: 194085.5503
Epoch 30, Train Loss: 192474.9427, Test Loss: 192642.0799
Epoch 31, Train Loss: 192253.4844, Test Loss: 189831.9844
Epoch 32, Train Loss: 192143.4618, Test Loss: 189879.6094
Epoch 33, Train Loss: 192118.2274, Test Loss: 188635.2760
Epoch 34, Train Loss: 192006.7188, Test Loss: 185597.8941
Epoch 35, Train Loss: 187348.0885, Test Loss: 185034.8299
Epoch 36, Train Loss: 186181.6406, Test Loss: 186611.9427
Epoch 37, Train Loss: 187215.1927, Test Loss: 190382.9444
Epoch 38, Train Loss: 188185.0208, Test Loss: 184642.9358
Epoch 39, Train Loss: 184050.9983, Test Loss: 180960.7882
Epoch 40, Train Loss: 181745.1615, Test Loss: 180192.1667
Epoch 41, Train Loss: 180705.8472, Test Loss: 178956.7830
Epoch 42, Train Loss: 179721.0469, Test Loss: 179963.2691
Epoch 43, Train Loss: 178054.7431, Test Loss: 175180.5868
Epoch 44, Train Loss: 176057.7517, Test Loss: 175389.4479
Epoch 45, Train Loss: 176639.5104, Test Loss: 174979.8368
Epoch 46, Train Loss: 174113.0243, Test Loss: 171288.1424
Epoch 47, Train Loss: 171866.8385, Test Loss: 170643.8872
Epoch 48, Train Loss: 174572.7951, Test Loss: 171322.0000
Epoch 49, Train Loss: 171364.6094, Test Loss: 168168.1128
Epoch 50, Train Loss: 169012.3438, Test Loss: 167616.5122
Epoch 51, Train Loss: 168409.4236, Test Loss: 166039.8385
Epoch 52, Train Loss: 167783.9028, Test Loss: 169439.5729
Epoch 53, Train Loss: 167083.9375, Test Loss: 165211.0521
Epoch 54, Train Loss: 166490.0677, Test Loss: 167676.6580
Epoch 55, Train Loss: 167070.1042, Test Loss: 169258.9080
Epoch 56, Train Loss: 169380.8698, Test Loss: 176722.0677
Epoch 57, Train Loss: 172478.9705, Test Loss: 172872.1406
Epoch 58, Train Loss: 174974.4688, Test Loss: 187839.7257
Epoch 59, Train Loss: 171646.9340, Test Loss: 166149.4809
Epoch 60, Train Loss: 166031.6962, Test Loss: 162932.9253
Epoch 61, Train Loss: 162521.9948, Test Loss: 160116.6337
Epoch 62, Train Loss: 162305.5122, Test Loss: 160270.9913
Epoch 63, Train Loss: 159811.5729, Test Loss: 158645.1667
Epoch 64, Train Loss: 159395.0087, Test Loss: 158567.7726
Epoch 65, Train Loss: 157854.7153, Test Loss: 155877.4288
Epoch 66, Train Loss: 156277.0243, Test Loss: 156303.2656
Epoch 67, Train Loss: 155957.5521, Test Loss: 154402.7214
