Epoch 1, Train Loss: 1123182.4514, Test Loss: 554747.4931
Epoch 2, Train Loss: 424617.5625, Test Loss: 357825.8611
Epoch 3, Train Loss: 312196.2153, Test Loss: 280181.0069
Epoch 4, Train Loss: 272743.5781, Test Loss: 255297.8924
Epoch 5, Train Loss: 249177.8056, Test Loss: 237516.4080
Epoch 6, Train Loss: 230848.0104, Test Loss: 223976.4132
Epoch 7, Train Loss: 223122.0469, Test Loss: 219011.0399
Epoch 8, Train Loss: 217119.4757, Test Loss: 218190.8403
Epoch 9, Train Loss: 213973.7014, Test Loss: 210266.4253
Epoch 10, Train Loss: 210697.3403, Test Loss: 209287.6649
Epoch 11, Train Loss: 208897.1615, Test Loss: 207487.3698
Epoch 12, Train Loss: 208612.7309, Test Loss: 207341.1840
Epoch 13, Train Loss: 208576.6111, Test Loss: 207639.1840
Epoch 14, Train Loss: 207295.5365, Test Loss: 205325.2135
Epoch 15, Train Loss: 208263.8750, Test Loss: 204845.9670
Epoch 16, Train Loss: 208104.5764, Test Loss: 203757.7222
Epoch 17, Train Loss: 203713.8646, Test Loss: 201600.0000
Epoch 18, Train Loss: 202463.8142, Test Loss: 200475.5833
Epoch 19, Train Loss: 200714.5382, Test Loss: 199190.0868
Epoch 20, Train Loss: 199101.2882, Test Loss: 198617.7622
Epoch 21, Train Loss: 198587.2240, Test Loss: 195714.9323
Epoch 22, Train Loss: 196731.3594, Test Loss: 194251.6267
Epoch 23, Train Loss: 195064.7951, Test Loss: 193359.2188
Epoch 24, Train Loss: 194881.4306, Test Loss: 202081.9149
Epoch 25, Train Loss: 197883.4774, Test Loss: 197357.4983
Epoch 26, Train Loss: 195560.3767, Test Loss: 190419.9653
Epoch 27, Train Loss: 191561.3646, Test Loss: 189661.0625
Epoch 28, Train Loss: 189454.8663, Test Loss: 188084.5799
Epoch 29, Train Loss: 187705.2899, Test Loss: 186238.9375
Epoch 30, Train Loss: 190559.7135, Test Loss: 190686.1771
Epoch 31, Train Loss: 190000.6337, Test Loss: 187108.3420
Epoch 32, Train Loss: 186434.5365, Test Loss: 185069.7674
Epoch 33, Train Loss: 188022.4566, Test Loss: 183044.4184
Epoch 34, Train Loss: 185574.5069, Test Loss: 188493.9983
Epoch 35, Train Loss: 184099.5226, Test Loss: 182873.5955
Epoch 36, Train Loss: 183594.1927, Test Loss: 183618.0955
Epoch 37, Train Loss: 184252.2066, Test Loss: 180259.4080
Epoch 38, Train Loss: 181457.6146, Test Loss: 178812.3750
Epoch 39, Train Loss: 179235.4740, Test Loss: 176630.0729
Epoch 40, Train Loss: 177213.6319, Test Loss: 174411.2378
Epoch 41, Train Loss: 175671.2309, Test Loss: 173606.5139
Epoch 42, Train Loss: 174369.6927, Test Loss: 174353.4479
Epoch 43, Train Loss: 173248.3490, Test Loss: 171281.5694
Epoch 44, Train Loss: 172552.1493, Test Loss: 175340.6927
Epoch 45, Train Loss: 175277.7882, Test Loss: 177287.8333
Epoch 46, Train Loss: 176008.4010, Test Loss: 175862.9149
Epoch 47, Train Loss: 176190.3628, Test Loss: 173275.7118
Epoch 48, Train Loss: 171793.6684, Test Loss: 171024.0590
Epoch 49, Train Loss: 170621.2934, Test Loss: 171243.1389
Epoch 50, Train Loss: 170685.2049, Test Loss: 168904.9097
Epoch 51, Train Loss: 170087.8594, Test Loss: 168253.6510
Epoch 52, Train Loss: 168061.0191, Test Loss: 165741.6753
Epoch 53, Train Loss: 165816.5399, Test Loss: 165698.6042
Epoch 54, Train Loss: 166404.5677, Test Loss: 167972.1997
Epoch 55, Train Loss: 164967.4358, Test Loss: 161929.9531
Epoch 56, Train Loss: 164332.0486, Test Loss: 161831.6667
Epoch 57, Train Loss: 161420.9184, Test Loss: 160813.7396
Epoch 58, Train Loss: 160847.4375, Test Loss: 158303.3368
Epoch 59, Train Loss: 159524.3333, Test Loss: 156972.4184
Epoch 60, Train Loss: 157820.4826, Test Loss: 158061.6128
Epoch 61, Train Loss: 159018.7431, Test Loss: 157623.4748
Epoch 62, Train Loss: 156055.2083, Test Loss: 154368.7795
Epoch 63, Train Loss: 154736.9748, Test Loss: 153152.8177
Epoch 64, Train Loss: 154265.8646, Test Loss: 152740.1250
Epoch 65, Train Loss: 153172.9670, Test Loss: 151623.9809
Epoch 66, Train Loss: 152333.3333, Test Loss: 150798.1285
Epoch 67, Train Loss: 151483.6094, Test Loss: 149375.2899
Epoch 68, Train Loss: 150409.3472, Test Loss: 154811.6302
Epoch 69, Train Loss: 152974.9722, Test Loss: 151069.4549
