Epoch 1, Train Loss: 1145245.8750, Test Loss: 531237.1007
Epoch 2, Train Loss: 404342.4097, Test Loss: 310522.0729
Epoch 3, Train Loss: 288777.5799, Test Loss: 269058.1476
Epoch 4, Train Loss: 257525.9913, Test Loss: 243541.5382
Epoch 5, Train Loss: 237899.8819, Test Loss: 230217.0469
Epoch 6, Train Loss: 224327.7656, Test Loss: 219894.1597
Epoch 7, Train Loss: 218913.2483, Test Loss: 215893.1146
Epoch 8, Train Loss: 214890.1285, Test Loss: 215098.2708
Epoch 9, Train Loss: 211668.2413, Test Loss: 210177.6146
Epoch 10, Train Loss: 210799.8281, Test Loss: 215074.5052
Epoch 11, Train Loss: 208548.1302, Test Loss: 205948.9531
Epoch 12, Train Loss: 206797.9792, Test Loss: 204170.4722
Epoch 13, Train Loss: 205041.7622, Test Loss: 203144.5868
Epoch 14, Train Loss: 203636.8090, Test Loss: 201078.7135
Epoch 15, Train Loss: 202496.3507, Test Loss: 199516.7604
Epoch 16, Train Loss: 202266.9601, Test Loss: 198049.5521
Epoch 17, Train Loss: 201016.2326, Test Loss: 201274.9444
Epoch 18, Train Loss: 200408.7378, Test Loss: 196328.6215
Epoch 19, Train Loss: 197404.5243, Test Loss: 194529.4097
Epoch 20, Train Loss: 195429.9792, Test Loss: 194270.6441
Epoch 21, Train Loss: 193189.8194, Test Loss: 192236.9826
Epoch 22, Train Loss: 192417.4653, Test Loss: 190120.7118
Epoch 23, Train Loss: 190479.0903, Test Loss: 188946.4566
Epoch 24, Train Loss: 195144.2899, Test Loss: 202752.1910
Epoch 25, Train Loss: 220334.2986, Test Loss: 207819.7465
Epoch 26, Train Loss: 213754.4896, Test Loss: 199200.3194
Epoch 27, Train Loss: 196278.5295, Test Loss: 188924.2344
Epoch 28, Train Loss: 190378.7760, Test Loss: 185253.0347
Epoch 29, Train Loss: 186019.9132, Test Loss: 184314.3941
Epoch 30, Train Loss: 183676.6562, Test Loss: 180974.6458
Epoch 31, Train Loss: 181182.3438, Test Loss: 178938.6476
Epoch 32, Train Loss: 179543.0226, Test Loss: 177376.5139
Epoch 33, Train Loss: 177756.6858, Test Loss: 176262.3073
Epoch 34, Train Loss: 176212.2465, Test Loss: 174196.9028
Epoch 35, Train Loss: 174468.6684, Test Loss: 172368.0859
Epoch 36, Train Loss: 172954.3819, Test Loss: 171289.5052
Epoch 37, Train Loss: 171502.1198, Test Loss: 169759.3733
Epoch 38, Train Loss: 169870.5451, Test Loss: 168605.5677
Epoch 39, Train Loss: 169001.3941, Test Loss: 167653.8542
Epoch 40, Train Loss: 167730.1007, Test Loss: 165950.3733
Epoch 41, Train Loss: 166565.9010, Test Loss: 164512.8837
Epoch 42, Train Loss: 165272.9219, Test Loss: 164798.7812
Epoch 43, Train Loss: 164867.7153, Test Loss: 162446.6597
Epoch 44, Train Loss: 163228.2969, Test Loss: 161362.3976
Epoch 45, Train Loss: 162676.4358, Test Loss: 165416.1319
Epoch 46, Train Loss: 163116.3663, Test Loss: 159880.4288
Epoch 47, Train Loss: 160787.1997, Test Loss: 161840.9201
Epoch 48, Train Loss: 171083.7361, Test Loss: 164820.3368
Epoch 49, Train Loss: 166000.4583, Test Loss: 165798.0000
Epoch 50, Train Loss: 170119.1736, Test Loss: 167832.6632
Epoch 51, Train Loss: 177566.2205, Test Loss: 164052.4774
Epoch 52, Train Loss: 166360.1545, Test Loss: 158953.6181
