Epoch 1, Train Loss: 1156461.4167, Test Loss: 523950.0069
Epoch 2, Train Loss: 401693.9931, Test Loss: 320817.3264
Epoch 3, Train Loss: 293407.9149, Test Loss: 270156.7951
Epoch 4, Train Loss: 259872.2778, Test Loss: 246731.0226
Epoch 5, Train Loss: 238800.2535, Test Loss: 227805.8142
Epoch 6, Train Loss: 225840.0556, Test Loss: 221430.9792
Epoch 7, Train Loss: 223081.7917, Test Loss: 214938.9340
Epoch 8, Train Loss: 216617.1910, Test Loss: 212646.4045
Epoch 9, Train Loss: 211564.1094, Test Loss: 210097.8524
Epoch 10, Train Loss: 209689.2031, Test Loss: 207338.6788
Epoch 11, Train Loss: 207040.6823, Test Loss: 206073.6667
Epoch 12, Train Loss: 206284.9792, Test Loss: 203568.0573
Epoch 13, Train Loss: 204377.1059, Test Loss: 203346.5799
Epoch 14, Train Loss: 203505.0434, Test Loss: 200470.6233
Epoch 15, Train Loss: 201651.2743, Test Loss: 201426.5174
Epoch 16, Train Loss: 202558.9080, Test Loss: 208924.3906
Epoch 17, Train Loss: 201578.1927, Test Loss: 197332.3420
Epoch 18, Train Loss: 197950.5556, Test Loss: 200395.5260
Epoch 19, Train Loss: 199489.4497, Test Loss: 197350.4184
Epoch 20, Train Loss: 197633.3733, Test Loss: 194671.1372
Epoch 21, Train Loss: 196713.4896, Test Loss: 204021.3889
Epoch 22, Train Loss: 200258.0243, Test Loss: 194912.0278
Epoch 23, Train Loss: 194903.9062, Test Loss: 193082.8021
Epoch 24, Train Loss: 194139.4531, Test Loss: 188344.8941
Epoch 25, Train Loss: 190929.9306, Test Loss: 194278.0451
Epoch 26, Train Loss: 191571.3281, Test Loss: 187969.5608
Epoch 27, Train Loss: 190837.6753, Test Loss: 189608.1111
Epoch 28, Train Loss: 188326.3021, Test Loss: 184287.4566
Epoch 29, Train Loss: 185268.3941, Test Loss: 184236.3090
Epoch 30, Train Loss: 184180.5469, Test Loss: 181017.0694
Epoch 31, Train Loss: 181431.5052, Test Loss: 179694.0625
Epoch 32, Train Loss: 180650.7101, Test Loss: 185199.6337
Epoch 33, Train Loss: 182604.3264, Test Loss: 176583.5573
Epoch 34, Train Loss: 179160.2569, Test Loss: 176209.3472
Epoch 35, Train Loss: 178031.9948, Test Loss: 179660.3802
Epoch 36, Train Loss: 176531.2535, Test Loss: 173325.4149
Epoch 37, Train Loss: 178780.8316, Test Loss: 177185.6441
Epoch 38, Train Loss: 180277.2257, Test Loss: 172717.6545
Epoch 39, Train Loss: 175085.2726, Test Loss: 171249.9167
Epoch 40, Train Loss: 174296.7969, Test Loss: 169464.4670
Epoch 41, Train Loss: 169629.3628, Test Loss: 168161.0139
Epoch 42, Train Loss: 168429.3316, Test Loss: 167576.2951
Epoch 43, Train Loss: 167442.5972, Test Loss: 165062.4375
Epoch 44, Train Loss: 165031.3333, Test Loss: 162278.7378
Epoch 45, Train Loss: 163233.7396, Test Loss: 161025.5799
Epoch 46, Train Loss: 161938.9635, Test Loss: 160169.0347
Epoch 47, Train Loss: 162052.5469, Test Loss: 159851.6510
Epoch 48, Train Loss: 160972.3021, Test Loss: 158836.1701
Epoch 49, Train Loss: 161495.9792, Test Loss: 160508.6354
Epoch 50, Train Loss: 164970.4340, Test Loss: 162883.6962
Epoch 51, Train Loss: 162568.4705, Test Loss: 157937.2083
Epoch 52, Train Loss: 159297.9410, Test Loss: 156038.0625
Epoch 53, Train Loss: 157376.4931, Test Loss: 155602.0486
Epoch 54, Train Loss: 155245.0920, Test Loss: 153212.2726
Epoch 55, Train Loss: 153933.0278, Test Loss: 151575.1519
Epoch 56, Train Loss: 155240.9514, Test Loss: 154797.3733
Epoch 57, Train Loss: 155332.3125, Test Loss: 153783.8212
Epoch 58, Train Loss: 152449.9774, Test Loss: 149914.7587
Epoch 59, Train Loss: 149869.9340, Test Loss: 147763.9132
Epoch 60, Train Loss: 148487.2170, Test Loss: 146156.2630
Epoch 61, Train Loss: 147179.0217, Test Loss: 145029.5807
Epoch 62, Train Loss: 147015.7925, Test Loss: 146836.9340
Epoch 63, Train Loss: 147774.7231, Test Loss: 143901.4887
Epoch 64, Train Loss: 148106.0938, Test Loss: 147181.6780
Epoch 65, Train Loss: 147134.0330, Test Loss: 146500.7483
Epoch 66, Train Loss: 145330.8003, Test Loss: 142503.8524
Epoch 67, Train Loss: 143036.8733, Test Loss: 142594.4644
Epoch 68, Train Loss: 142342.1771, Test Loss: 141355.3220
Epoch 69, Train Loss: 141750.5755, Test Loss: 139646.7283
Epoch 70, Train Loss: 140410.8507, Test Loss: 139341.7127
Epoch 71, Train Loss: 139413.9132, Test Loss: 137485.6424
Epoch 72, Train Loss: 138105.7292, Test Loss: 136811.5677
Epoch 73, Train Loss: 137534.9462, Test Loss: 141065.7674
Epoch 74, Train Loss: 140451.3021, Test Loss: 136654.0955
Epoch 75, Train Loss: 139299.5087, Test Loss: 136704.3550
Epoch 76, Train Loss: 139570.1024, Test Loss: 146200.9375
Epoch 77, Train Loss: 149081.5156, Test Loss: 156670.1962
Epoch 78, Train Loss: 153967.6302, Test Loss: 160407.0816
Epoch 79, Train Loss: 151538.6233, Test Loss: 149642.4479
Epoch 80, Train Loss: 149305.0677, Test Loss: 146316.5208
Epoch 81, Train Loss: 144272.4549, Test Loss: 140402.1927
Epoch 82, Train Loss: 140333.1554, Test Loss: 134662.7188
Epoch 83, Train Loss: 136245.9141, Test Loss: 134236.4210
