Epoch 1, Train Loss: 1173179.7014, Test Loss: 571073.8264
Epoch 2, Train Loss: 456793.5486, Test Loss: 341988.3924
Epoch 3, Train Loss: 323472.0833, Test Loss: 305539.2604
Epoch 4, Train Loss: 287835.8420, Test Loss: 272038.2031
Epoch 5, Train Loss: 267150.7865, Test Loss: 260914.6493
Epoch 6, Train Loss: 249460.8003, Test Loss: 238693.8837
Epoch 7, Train Loss: 234295.9149, Test Loss: 227073.1007
Epoch 8, Train Loss: 224851.8264, Test Loss: 219709.4045
Epoch 9, Train Loss: 220069.2569, Test Loss: 216312.2795
Epoch 10, Train Loss: 215578.7847, Test Loss: 213849.5347
Epoch 11, Train Loss: 213791.7083, Test Loss: 211362.0208
Epoch 12, Train Loss: 211882.4965, Test Loss: 211878.4497
Epoch 13, Train Loss: 210808.4219, Test Loss: 208951.6441
Epoch 14, Train Loss: 208963.5799, Test Loss: 207725.2014
Epoch 15, Train Loss: 209210.2083, Test Loss: 206577.1962
Epoch 16, Train Loss: 208127.3247, Test Loss: 205637.7708
Epoch 17, Train Loss: 207855.3559, Test Loss: 205871.1753
Epoch 18, Train Loss: 206019.3125, Test Loss: 206332.1667
Epoch 19, Train Loss: 206415.0885, Test Loss: 203810.6076
Epoch 20, Train Loss: 204290.0295, Test Loss: 202243.3767
Epoch 21, Train Loss: 202776.3924, Test Loss: 201237.5278
Epoch 22, Train Loss: 202202.9757, Test Loss: 200866.0747
Epoch 23, Train Loss: 201178.3264, Test Loss: 200416.5417
Epoch 24, Train Loss: 200635.9965, Test Loss: 198789.4983
Epoch 25, Train Loss: 198886.5226, Test Loss: 196921.2066
Epoch 26, Train Loss: 197284.0122, Test Loss: 195379.1128
Epoch 27, Train Loss: 196970.4167, Test Loss: 197888.1892
Epoch 28, Train Loss: 197949.8177, Test Loss: 195401.5174
Epoch 29, Train Loss: 195854.6944, Test Loss: 192368.3281
Epoch 30, Train Loss: 193521.7743, Test Loss: 191300.7500
Epoch 31, Train Loss: 191898.2899, Test Loss: 189594.9097
Epoch 32, Train Loss: 190286.8941, Test Loss: 188060.5122
Epoch 33, Train Loss: 188584.1181, Test Loss: 186493.5781
Epoch 34, Train Loss: 187145.0590, Test Loss: 186628.1840
Epoch 35, Train Loss: 186007.7257, Test Loss: 183667.1979
Epoch 36, Train Loss: 184656.5660, Test Loss: 194012.8802
Epoch 37, Train Loss: 192750.0139, Test Loss: 189124.3299
Epoch 38, Train Loss: 185565.9549, Test Loss: 182911.7622
Epoch 39, Train Loss: 182900.4132, Test Loss: 181660.1892
Epoch 40, Train Loss: 182504.1823, Test Loss: 178690.7465
