Epoch 1, Train Loss: 1184573.3056, Test Loss: 599746.9861
Epoch 2, Train Loss: 423976.3854, Test Loss: 315180.6736
Epoch 3, Train Loss: 307324.3594, Test Loss: 288315.7292
Epoch 4, Train Loss: 280607.0712, Test Loss: 272217.8299
Epoch 5, Train Loss: 268168.0955, Test Loss: 259731.9080
Epoch 6, Train Loss: 255412.5642, Test Loss: 243197.1354
Epoch 7, Train Loss: 239780.5729, Test Loss: 231783.2760
Epoch 8, Train Loss: 228364.8628, Test Loss: 222273.7795
Epoch 9, Train Loss: 220647.5174, Test Loss: 217521.8611
Epoch 10, Train Loss: 217148.2465, Test Loss: 214636.3420
Epoch 11, Train Loss: 214497.9167, Test Loss: 213040.1059
Epoch 12, Train Loss: 213093.8958, Test Loss: 210481.8924
Epoch 13, Train Loss: 210938.7517, Test Loss: 209423.4583
Epoch 14, Train Loss: 210024.0139, Test Loss: 208376.4826
Epoch 15, Train Loss: 210017.0330, Test Loss: 208506.4375
Epoch 16, Train Loss: 209044.2413, Test Loss: 209515.4931
Epoch 17, Train Loss: 208789.5503, Test Loss: 208772.5243
Epoch 18, Train Loss: 207341.0312, Test Loss: 206918.6840
Epoch 19, Train Loss: 206642.5955, Test Loss: 205211.7812
Epoch 20, Train Loss: 204334.0781, Test Loss: 202800.5625
Epoch 21, Train Loss: 203639.0608, Test Loss: 201930.3333
Epoch 22, Train Loss: 202263.0191, Test Loss: 200716.7083
Epoch 23, Train Loss: 201304.0851, Test Loss: 200843.5069
Epoch 24, Train Loss: 200336.1997, Test Loss: 198379.4913
Epoch 25, Train Loss: 199353.5990, Test Loss: 197741.7170
Epoch 26, Train Loss: 198266.2604, Test Loss: 197096.4844
Epoch 27, Train Loss: 197878.1024, Test Loss: 195686.8125
Epoch 28, Train Loss: 197005.0625, Test Loss: 194224.9219
Epoch 29, Train Loss: 195362.2656, Test Loss: 194300.9115
Epoch 30, Train Loss: 195051.1875, Test Loss: 193289.7188
Epoch 31, Train Loss: 193933.7535, Test Loss: 192121.2274
Epoch 32, Train Loss: 192175.7882, Test Loss: 191997.4722
Epoch 33, Train Loss: 190450.0556, Test Loss: 188759.1389
Epoch 34, Train Loss: 188862.7847, Test Loss: 186409.6562
Epoch 35, Train Loss: 187105.0972, Test Loss: 185703.4931
Epoch 36, Train Loss: 186424.0747, Test Loss: 185758.9514
Epoch 37, Train Loss: 185797.0035, Test Loss: 183586.4844
Epoch 38, Train Loss: 184385.6962, Test Loss: 182133.1441
Epoch 39, Train Loss: 186330.9705, Test Loss: 189070.0521
Epoch 40, Train Loss: 183721.2378, Test Loss: 181561.5781
Epoch 41, Train Loss: 180351.6962, Test Loss: 177494.2535
Epoch 42, Train Loss: 177461.8073, Test Loss: 177167.4931
Epoch 43, Train Loss: 178786.2483, Test Loss: 179023.4670
Epoch 44, Train Loss: 177268.4080, Test Loss: 173658.8681
Epoch 45, Train Loss: 174484.4601, Test Loss: 172044.5469
Epoch 46, Train Loss: 172550.6580, Test Loss: 171022.1701
Epoch 47, Train Loss: 171343.1181, Test Loss: 168626.7622
Epoch 48, Train Loss: 169261.0694, Test Loss: 168992.0295
Epoch 49, Train Loss: 169140.0122, Test Loss: 167103.1076
Epoch 50, Train Loss: 167002.9253, Test Loss: 165328.9141
Epoch 51, Train Loss: 166118.4722, Test Loss: 164808.7431
Epoch 52, Train Loss: 166189.8802, Test Loss: 169159.4618
Epoch 53, Train Loss: 170618.2274, Test Loss: 180140.5017
Epoch 54, Train Loss: 182029.3264, Test Loss: 166563.4670
Epoch 55, Train Loss: 172782.1597, Test Loss: 164495.0885
Epoch 56, Train Loss: 166522.7656, Test Loss: 161065.1866
Epoch 57, Train Loss: 161715.3090, Test Loss: 161934.9219
Epoch 58, Train Loss: 160285.5399, Test Loss: 158342.4878
Epoch 59, Train Loss: 159681.2656, Test Loss: 157483.0738
Epoch 60, Train Loss: 159997.9340, Test Loss: 155633.9392
Epoch 61, Train Loss: 160030.9965, Test Loss: 161534.4757
Epoch 62, Train Loss: 160148.8438, Test Loss: 156401.7786
Epoch 63, Train Loss: 157191.7604, Test Loss: 159249.6840
Epoch 64, Train Loss: 156293.4392, Test Loss: 152456.4653
Epoch 65, Train Loss: 153811.9167, Test Loss: 150803.4418
Epoch 66, Train Loss: 154086.4531, Test Loss: 149771.4809
Epoch 67, Train Loss: 154133.0799, Test Loss: 151518.4635
