Epoch 1, Train Loss: 1103388.8264, Test Loss: 501228.6250
Epoch 2, Train Loss: 390046.4167, Test Loss: 312517.4722
Epoch 3, Train Loss: 305149.1632, Test Loss: 295295.2396
Epoch 4, Train Loss: 284725.9653, Test Loss: 273692.6667
Epoch 5, Train Loss: 276813.4375, Test Loss: 274452.1823
Epoch 6, Train Loss: 269658.4444, Test Loss: 266541.7448
Epoch 7, Train Loss: 265197.1372, Test Loss: 260453.4931
Epoch 8, Train Loss: 255883.6250, Test Loss: 246958.0712
Epoch 9, Train Loss: 241285.3889, Test Loss: 230187.1510
Epoch 10, Train Loss: 226216.7830, Test Loss: 219172.3472
Epoch 11, Train Loss: 218400.9549, Test Loss: 214723.6667
Epoch 12, Train Loss: 215650.3194, Test Loss: 213765.3750
Epoch 13, Train Loss: 213258.6406, Test Loss: 211439.1007
Epoch 14, Train Loss: 210939.6007, Test Loss: 209342.8802
Epoch 15, Train Loss: 209333.0781, Test Loss: 207613.3611
Epoch 16, Train Loss: 208341.2622, Test Loss: 207436.1806
Epoch 17, Train Loss: 207696.1649, Test Loss: 206415.0573
Epoch 18, Train Loss: 206821.7674, Test Loss: 206468.6163
Epoch 19, Train Loss: 206947.4549, Test Loss: 204301.2674
Epoch 20, Train Loss: 205207.2396, Test Loss: 204750.7865
Epoch 21, Train Loss: 204896.9062, Test Loss: 203139.4149
Epoch 22, Train Loss: 203976.2344, Test Loss: 202071.0104
Epoch 23, Train Loss: 202719.0903, Test Loss: 201665.1823
Epoch 24, Train Loss: 202099.7188, Test Loss: 199888.7639
Epoch 25, Train Loss: 200855.3611, Test Loss: 199049.3785
Epoch 26, Train Loss: 199453.0816, Test Loss: 197173.0260
Epoch 27, Train Loss: 198303.3420, Test Loss: 196986.9184
Epoch 28, Train Loss: 197350.4392, Test Loss: 195848.6458
Epoch 29, Train Loss: 196317.9844, Test Loss: 194023.6424
Epoch 30, Train Loss: 194587.9809, Test Loss: 193199.0920
Epoch 31, Train Loss: 193818.9392, Test Loss: 191712.4167
Epoch 32, Train Loss: 193760.8177, Test Loss: 190533.2326
Epoch 33, Train Loss: 191374.3733, Test Loss: 203356.9844
Epoch 34, Train Loss: 195259.0000, Test Loss: 192629.8125
Epoch 35, Train Loss: 192002.8611, Test Loss: 190264.1059
Epoch 36, Train Loss: 191941.5069, Test Loss: 187171.5069
Epoch 37, Train Loss: 200253.8889, Test Loss: 193723.3889
Epoch 38, Train Loss: 195446.3125, Test Loss: 192552.1007
Epoch 39, Train Loss: 190972.2257, Test Loss: 184264.8003
Epoch 40, Train Loss: 184081.1285, Test Loss: 180650.2240
Epoch 41, Train Loss: 182173.0764, Test Loss: 182610.6719
Epoch 42, Train Loss: 180542.3576, Test Loss: 179744.2344
Epoch 43, Train Loss: 178706.8264, Test Loss: 179992.9861
Epoch 44, Train Loss: 177375.5000, Test Loss: 173522.3542
Epoch 45, Train Loss: 173741.9514, Test Loss: 173870.9931
Epoch 46, Train Loss: 172852.8438, Test Loss: 169267.9097
Epoch 47, Train Loss: 172067.8906, Test Loss: 169616.7830
Epoch 48, Train Loss: 170911.1476, Test Loss: 170789.0365
Epoch 49, Train Loss: 170364.4861, Test Loss: 165895.0312
Epoch 50, Train Loss: 169415.9549, Test Loss: 166448.2222
Epoch 51, Train Loss: 167717.3750, Test Loss: 163087.0104
Epoch 52, Train Loss: 164011.7934, Test Loss: 162841.6198
Epoch 53, Train Loss: 162868.3073, Test Loss: 160793.8316
Epoch 54, Train Loss: 161774.5972, Test Loss: 160151.5955
Epoch 55, Train Loss: 162131.9497, Test Loss: 165216.8056
Epoch 56, Train Loss: 163071.5764, Test Loss: 165591.5312
Epoch 57, Train Loss: 161284.7170, Test Loss: 157443.7674
Epoch 58, Train Loss: 158367.6997, Test Loss: 156680.8455
Epoch 59, Train Loss: 156876.8733, Test Loss: 153378.8958
Epoch 60, Train Loss: 154165.7882, Test Loss: 151986.8628
Epoch 61, Train Loss: 152725.8767, Test Loss: 151160.7049
Epoch 62, Train Loss: 153159.0434, Test Loss: 149885.2240
Epoch 63, Train Loss: 151570.3108, Test Loss: 150230.4601
Epoch 64, Train Loss: 150946.7031, Test Loss: 148825.4809
Epoch 65, Train Loss: 149146.1910, Test Loss: 147518.8681
Epoch 66, Train Loss: 147881.9583, Test Loss: 149983.7552
Epoch 67, Train Loss: 148217.2309, Test Loss: 144908.1736
Epoch 68, Train Loss: 146137.8524, Test Loss: 144975.5035
Epoch 69, Train Loss: 147209.8108, Test Loss: 144790.0382
Epoch 70, Train Loss: 150850.9792, Test Loss: 148403.3307
Epoch 71, Train Loss: 149685.9080, Test Loss: 147255.0712
Epoch 72, Train Loss: 146715.0191, Test Loss: 144227.5269
Epoch 73, Train Loss: 144849.2370, Test Loss: 140965.2535
Epoch 74, Train Loss: 142260.8646, Test Loss: 140111.8516
Epoch 75, Train Loss: 149084.9297, Test Loss: 149492.4089
Epoch 76, Train Loss: 149892.8594, Test Loss: 148554.6675
Epoch 77, Train Loss: 148280.8655, Test Loss: 143019.3932
Epoch 78, Train Loss: 143951.5668, Test Loss: 140141.4835
Epoch 79, Train Loss: 143608.1745, Test Loss: 140221.1615
Epoch 80, Train Loss: 142896.7934, Test Loss: 142953.6806
Epoch 81, Train Loss: 143874.0425, Test Loss: 139848.6146
Epoch 82, Train Loss: 139483.8142, Test Loss: 137355.7561
Epoch 83, Train Loss: 136874.9340, Test Loss: 134256.7839
Epoch 84, Train Loss: 134421.0469, Test Loss: 132635.1866
Epoch 85, Train Loss: 133905.9062, Test Loss: 131340.0087
Epoch 86, Train Loss: 132314.5139, Test Loss: 131654.1337
Epoch 87, Train Loss: 132173.5938, Test Loss: 132188.3750
Epoch 88, Train Loss: 131370.2839, Test Loss: 130676.1693
Epoch 89, Train Loss: 130114.9323, Test Loss: 127998.8464
Epoch 90, Train Loss: 131248.8316, Test Loss: 129686.9358
Epoch 91, Train Loss: 132593.2474, Test Loss: 128329.5720
Epoch 92, Train Loss: 130708.6875, Test Loss: 132522.7804
Epoch 93, Train Loss: 129570.2023, Test Loss: 127449.6137
Epoch 94, Train Loss: 128098.9106, Test Loss: 125256.0564
Epoch 95, Train Loss: 126073.1094, Test Loss: 124258.4826
Epoch 96, Train Loss: 125167.7908, Test Loss: 123669.6554
Epoch 97, Train Loss: 124292.3724, Test Loss: 122530.1866
Epoch 98, Train Loss: 124577.7917, Test Loss: 123049.2092
Epoch 99, Train Loss: 124779.1944, Test Loss: 123848.1224
Epoch 100, Train Loss: 122779.3438, Test Loss: 121245.8325
Epoch 101, Train Loss: 121588.4349, Test Loss: 121630.4028
Epoch 102, Train Loss: 121717.2630, Test Loss: 119933.7595
Epoch 103, Train Loss: 121098.9497, Test Loss: 119719.9418
Epoch 104, Train Loss: 120504.8411, Test Loss: 118929.8385
Epoch 105, Train Loss: 120811.7205, Test Loss: 118056.0903
Epoch 106, Train Loss: 120903.6510, Test Loss: 132268.6068
Epoch 107, Train Loss: 129355.6910, Test Loss: 126181.8793
Epoch 108, Train Loss: 125439.8533, Test Loss: 125120.1432
Epoch 109, Train Loss: 128614.2977, Test Loss: 121743.1424
Epoch 110, Train Loss: 125706.5234, Test Loss: 123667.7161
Epoch 111, Train Loss: 125049.5434, Test Loss: 120160.5564
Epoch 112, Train Loss: 122361.8542, Test Loss: 120635.5365
Epoch 113, Train Loss: 118854.8689, Test Loss: 115745.1424
Epoch 114, Train Loss: 117090.2439, Test Loss: 117168.7422
Epoch 115, Train Loss: 116427.6597, Test Loss: 115389.0660
Epoch 116, Train Loss: 114320.0208, Test Loss: 113086.4592
Epoch 117, Train Loss: 114210.4453, Test Loss: 113866.2431
Epoch 118, Train Loss: 113702.2101, Test Loss: 114390.5078
Epoch 119, Train Loss: 115561.4523, Test Loss: 115840.3377
Epoch 120, Train Loss: 115192.9488, Test Loss: 112602.1684
Epoch 121, Train Loss: 112357.1979, Test Loss: 110383.8090
Epoch 122, Train Loss: 111557.4991, Test Loss: 110017.4201
Epoch 123, Train Loss: 110705.6016, Test Loss: 109476.8507
Epoch 124, Train Loss: 109207.3932, Test Loss: 107915.8186
Epoch 125, Train Loss: 108681.3837, Test Loss: 107100.3707
Epoch 126, Train Loss: 108032.9219, Test Loss: 107131.6892
Epoch 127, Train Loss: 107517.0304, Test Loss: 107364.2786
Epoch 128, Train Loss: 107947.2118, Test Loss: 104816.2969
Epoch 129, Train Loss: 106573.1224, Test Loss: 105618.3915
Epoch 130, Train Loss: 106912.4957, Test Loss: 105387.6832
Epoch 131, Train Loss: 105602.4106, Test Loss: 103812.2734
Epoch 132, Train Loss: 105403.3359, Test Loss: 103518.5330
Epoch 133, Train Loss: 104151.1762, Test Loss: 107923.2214
Epoch 134, Train Loss: 105066.6918, Test Loss: 102073.0356
Epoch 135, Train Loss: 107236.6589, Test Loss: 107732.4635
Epoch 136, Train Loss: 109652.5078, Test Loss: 110205.1085
Epoch 137, Train Loss: 107943.1571, Test Loss: 108754.8099
Epoch 138, Train Loss: 105071.6736, Test Loss: 102172.1658
Epoch 139, Train Loss: 102638.1007, Test Loss: 101602.0356
Epoch 140, Train Loss: 101988.6172, Test Loss: 99606.4097
Epoch 141, Train Loss: 100992.0781, Test Loss: 100286.5365
Epoch 142, Train Loss: 99591.4583, Test Loss: 97785.2405
Epoch 143, Train Loss: 98509.7960, Test Loss: 96929.9488
Epoch 144, Train Loss: 98068.1684, Test Loss: 98493.2422
Epoch 145, Train Loss: 99104.2734, Test Loss: 97522.5825
Epoch 146, Train Loss: 99139.0616, Test Loss: 99518.8811
Epoch 147, Train Loss: 99888.8203, Test Loss: 98118.4149
Epoch 148, Train Loss: 98488.3898, Test Loss: 96893.3880
Epoch 149, Train Loss: 98182.3559, Test Loss: 97763.0174
Epoch 150, Train Loss: 98273.7977, Test Loss: 95354.7378
Epoch 151, Train Loss: 97198.3811, Test Loss: 95923.6997
Epoch 152, Train Loss: 97496.6007, Test Loss: 99095.2674
Epoch 153, Train Loss: 98162.0495, Test Loss: 94306.7830
Epoch 154, Train Loss: 96085.4054, Test Loss: 95358.7509
Epoch 155, Train Loss: 94725.0660, Test Loss: 92376.1293
Epoch 156, Train Loss: 93727.9661, Test Loss: 91657.7014
Epoch 157, Train Loss: 92523.4340, Test Loss: 92354.8585
Epoch 158, Train Loss: 92590.8229, Test Loss: 91190.4358
Epoch 159, Train Loss: 92610.5564, Test Loss: 92220.1736
Epoch 160, Train Loss: 94064.8342, Test Loss: 96575.7726
Epoch 161, Train Loss: 92661.7977, Test Loss: 89581.3976
Epoch 162, Train Loss: 90823.8377, Test Loss: 89333.3854
Epoch 163, Train Loss: 89911.2543, Test Loss: 88194.1389
Epoch 164, Train Loss: 89385.5312, Test Loss: 88520.1597
Epoch 165, Train Loss: 89215.9227, Test Loss: 88237.5312
Epoch 166, Train Loss: 89524.7760, Test Loss: 89084.8090
Epoch 167, Train Loss: 90482.4219, Test Loss: 90479.2917
Epoch 168, Train Loss: 93628.3472, Test Loss: 96568.5946
Epoch 169, Train Loss: 93237.5738, Test Loss: 93400.4323
Epoch 170, Train Loss: 93222.1927, Test Loss: 91527.8932
Epoch 171, Train Loss: 91908.4896, Test Loss: 89546.8576
Epoch 172, Train Loss: 90174.9253, Test Loss: 88276.6493
Epoch 173, Train Loss: 88947.6024, Test Loss: 87411.6111
Epoch 174, Train Loss: 88269.3889, Test Loss: 87421.4158
Epoch 175, Train Loss: 87499.8273, Test Loss: 87998.4592
Epoch 176, Train Loss: 88204.5208, Test Loss: 85215.1762
Epoch 177, Train Loss: 87511.8750, Test Loss: 85235.9219
Epoch 178, Train Loss: 86175.0095, Test Loss: 85355.7578
Epoch 179, Train Loss: 85447.2378, Test Loss: 85095.5347
Epoch 180, Train Loss: 86698.0964, Test Loss: 87030.3064
Epoch 181, Train Loss: 85810.4705, Test Loss: 85639.0286
Epoch 182, Train Loss: 85857.8238, Test Loss: 83291.4297
Epoch 183, Train Loss: 84377.1823, Test Loss: 84488.3368
Epoch 184, Train Loss: 85106.4366, Test Loss: 86584.7665
Epoch 185, Train Loss: 84418.3247, Test Loss: 82748.1970
Epoch 186, Train Loss: 83711.3698, Test Loss: 82801.0113
Epoch 187, Train Loss: 83351.7865, Test Loss: 82145.3290
Epoch 188, Train Loss: 82894.0929, Test Loss: 81456.1944
Epoch 189, Train Loss: 82800.6345, Test Loss: 82416.2934
Epoch 190, Train Loss: 83636.8316, Test Loss: 81865.5799
Epoch 191, Train Loss: 82798.0590, Test Loss: 82432.8941
Epoch 192, Train Loss: 82798.0911, Test Loss: 80578.7318
