Epoch 1, Train Loss: 1063702.3403, Test Loss: 581866.4132
Epoch 2, Train Loss: 404830.8785, Test Loss: 306006.5833
Epoch 3, Train Loss: 307708.3125, Test Loss: 278395.7812
Epoch 4, Train Loss: 274527.5052, Test Loss: 266018.4549
Epoch 5, Train Loss: 253408.2691, Test Loss: 237782.3507
Epoch 6, Train Loss: 234003.2986, Test Loss: 224662.7865
Epoch 7, Train Loss: 224161.0052, Test Loss: 218416.3681
Epoch 8, Train Loss: 218124.8212, Test Loss: 214075.7309
Epoch 9, Train Loss: 214692.4861, Test Loss: 210883.8802
Epoch 10, Train Loss: 211949.0851, Test Loss: 210069.4219
Epoch 11, Train Loss: 210797.6302, Test Loss: 210432.2483
Epoch 12, Train Loss: 209865.7101, Test Loss: 208222.5191
Epoch 13, Train Loss: 208588.2674, Test Loss: 206848.3681
Epoch 14, Train Loss: 207633.2361, Test Loss: 206095.8316
Epoch 15, Train Loss: 207515.8385, Test Loss: 205118.2656
Epoch 16, Train Loss: 207226.0382, Test Loss: 205000.5312
Epoch 17, Train Loss: 206394.5278, Test Loss: 204292.3993
Epoch 18, Train Loss: 205792.6476, Test Loss: 201531.3438
Epoch 19, Train Loss: 202708.3854, Test Loss: 200493.6493
Epoch 20, Train Loss: 200225.7812, Test Loss: 197523.4462
Epoch 21, Train Loss: 197891.0365, Test Loss: 195492.5365
Epoch 22, Train Loss: 196558.5052, Test Loss: 193319.5365
Epoch 23, Train Loss: 194378.4149, Test Loss: 192658.3125
Epoch 24, Train Loss: 192036.4115, Test Loss: 190431.9983
Epoch 25, Train Loss: 191864.1840, Test Loss: 186639.9062
Epoch 26, Train Loss: 192547.4201, Test Loss: 194690.1771
Epoch 27, Train Loss: 189374.1493, Test Loss: 184457.3021
Epoch 28, Train Loss: 185059.5451, Test Loss: 182908.3385
Epoch 29, Train Loss: 182194.1285, Test Loss: 177943.0417
Epoch 30, Train Loss: 179087.0885, Test Loss: 177629.5451
Epoch 31, Train Loss: 177613.7726, Test Loss: 176220.3194
Epoch 32, Train Loss: 175520.9080, Test Loss: 174937.6406
Epoch 33, Train Loss: 173771.0191, Test Loss: 171456.9809
Epoch 34, Train Loss: 171096.4462, Test Loss: 168327.4896
Epoch 35, Train Loss: 168992.7448, Test Loss: 167689.7951
Epoch 36, Train Loss: 167863.0955, Test Loss: 167132.0833
Epoch 37, Train Loss: 167128.9844, Test Loss: 163442.3073
Epoch 38, Train Loss: 164619.8351, Test Loss: 160914.2465
Epoch 39, Train Loss: 163107.8351, Test Loss: 163238.8056
Epoch 40, Train Loss: 162165.5295, Test Loss: 162281.5712
Epoch 41, Train Loss: 160349.8403, Test Loss: 159856.0642
Epoch 42, Train Loss: 157612.0920, Test Loss: 154991.0052
Epoch 43, Train Loss: 155378.6736, Test Loss: 159490.1250
Epoch 44, Train Loss: 156023.6172, Test Loss: 153283.3733
Epoch 45, Train Loss: 156560.6042, Test Loss: 160028.2682
