Epoch 1, Train Loss: 1225987.0000, Test Loss: 605917.0000
Epoch 2, Train Loss: 410486.0868, Test Loss: 303521.2986
Epoch 3, Train Loss: 305596.1302, Test Loss: 287279.6059
Epoch 4, Train Loss: 278723.6163, Test Loss: 267296.9566
Epoch 5, Train Loss: 264942.6615, Test Loss: 252758.0573
Epoch 6, Train Loss: 246045.7431, Test Loss: 235683.0833
Epoch 7, Train Loss: 230514.6997, Test Loss: 223382.4115
Epoch 8, Train Loss: 220781.6875, Test Loss: 217095.3316
Epoch 9, Train Loss: 216323.5035, Test Loss: 215329.0295
Epoch 10, Train Loss: 214321.6250, Test Loss: 213368.7448
Epoch 11, Train Loss: 212596.0590, Test Loss: 210862.7812
Epoch 12, Train Loss: 211142.5590, Test Loss: 208613.9740
Epoch 13, Train Loss: 210099.0399, Test Loss: 208936.2951
Epoch 14, Train Loss: 209595.5035, Test Loss: 206746.1233
Epoch 15, Train Loss: 207806.1649, Test Loss: 205508.0451
Epoch 16, Train Loss: 206855.7396, Test Loss: 206863.1337
Epoch 17, Train Loss: 207530.5694, Test Loss: 206443.6840
Epoch 18, Train Loss: 205376.9826, Test Loss: 202926.0087
Epoch 19, Train Loss: 202507.7622, Test Loss: 199946.7344
Epoch 20, Train Loss: 201028.9010, Test Loss: 200560.7483
Epoch 21, Train Loss: 200405.4097, Test Loss: 198226.4583
Epoch 22, Train Loss: 198710.8854, Test Loss: 198086.7969
Epoch 23, Train Loss: 198051.1736, Test Loss: 196288.9201
Epoch 24, Train Loss: 195070.0885, Test Loss: 192194.7153
Epoch 25, Train Loss: 193186.2622, Test Loss: 191367.6215
Epoch 26, Train Loss: 192672.8993, Test Loss: 191005.6076
Epoch 27, Train Loss: 190874.4080, Test Loss: 190065.5191
Epoch 28, Train Loss: 189921.4132, Test Loss: 187052.1302
Epoch 29, Train Loss: 193474.1094, Test Loss: 193564.6840
Epoch 30, Train Loss: 196634.4635, Test Loss: 193178.6302
Epoch 31, Train Loss: 194149.1875, Test Loss: 187969.3281
Epoch 32, Train Loss: 186958.6076, Test Loss: 182187.7535
Epoch 33, Train Loss: 183667.7413, Test Loss: 185406.5469
Epoch 34, Train Loss: 183150.2413, Test Loss: 181569.6962
Epoch 35, Train Loss: 181629.2309, Test Loss: 177496.5556
Epoch 36, Train Loss: 177012.0000, Test Loss: 174486.1406
Epoch 37, Train Loss: 177038.6701, Test Loss: 178751.9097
Epoch 38, Train Loss: 180118.0347, Test Loss: 176789.2587
Epoch 39, Train Loss: 175426.3733, Test Loss: 170568.2795
Epoch 40, Train Loss: 174528.8802, Test Loss: 179689.2205
Epoch 41, Train Loss: 180565.8958, Test Loss: 169264.3351
Epoch 42, Train Loss: 175365.8194, Test Loss: 170948.1042
Epoch 43, Train Loss: 169556.1806, Test Loss: 166288.7899
Epoch 44, Train Loss: 167677.1892, Test Loss: 164270.2500
Epoch 45, Train Loss: 164281.9635, Test Loss: 161362.9722
Epoch 46, Train Loss: 161593.4913, Test Loss: 159861.2969
Epoch 47, Train Loss: 159924.8837, Test Loss: 157952.7604
Epoch 48, Train Loss: 158096.5677, Test Loss: 156029.3333
Epoch 49, Train Loss: 156626.8681, Test Loss: 154361.0677
Epoch 50, Train Loss: 155286.1736, Test Loss: 153337.4809
Epoch 51, Train Loss: 154308.7535, Test Loss: 151635.5851
Epoch 52, Train Loss: 153101.5069, Test Loss: 150915.4896
Epoch 53, Train Loss: 153749.1432, Test Loss: 151567.9392
Epoch 54, Train Loss: 153738.7674, Test Loss: 151880.6094
Epoch 55, Train Loss: 153648.1007, Test Loss: 177984.1215
Epoch 56, Train Loss: 164713.9809, Test Loss: 165943.4983
Epoch 57, Train Loss: 157640.8073, Test Loss: 151873.7743
Epoch 58, Train Loss: 151313.3403, Test Loss: 148295.7743
Epoch 59, Train Loss: 150419.4167, Test Loss: 146574.6076
Epoch 60, Train Loss: 148363.9531, Test Loss: 152038.0156
Epoch 61, Train Loss: 148063.4028, Test Loss: 150308.6285
Epoch 62, Train Loss: 150936.4740, Test Loss: 143930.6432
Epoch 63, Train Loss: 152770.9514, Test Loss: 143056.2552
Epoch 64, Train Loss: 148355.4549, Test Loss: 147284.3872
Epoch 65, Train Loss: 147242.1944, Test Loss: 144711.8611
Epoch 66, Train Loss: 147948.7830, Test Loss: 144913.3715
Epoch 67, Train Loss: 144195.2934, Test Loss: 140388.9974
Epoch 68, Train Loss: 141222.4219, Test Loss: 138185.7153
Epoch 69, Train Loss: 139593.9549, Test Loss: 138799.3611
Epoch 70, Train Loss: 138636.1059, Test Loss: 138480.6432
Epoch 71, Train Loss: 137442.7031, Test Loss: 134774.3898
Epoch 72, Train Loss: 136524.1042, Test Loss: 136294.7977
Epoch 73, Train Loss: 135847.7578, Test Loss: 133455.5790
Epoch 74, Train Loss: 134103.4852, Test Loss: 132727.5000
Epoch 75, Train Loss: 132381.4392, Test Loss: 130903.2708
Epoch 76, Train Loss: 130977.1259, Test Loss: 129026.2318
Epoch 77, Train Loss: 129655.7144, Test Loss: 127470.2500
Epoch 78, Train Loss: 128559.0460, Test Loss: 127008.5087
Epoch 79, Train Loss: 128056.2639, Test Loss: 126222.1285
Epoch 80, Train Loss: 126717.9175, Test Loss: 126950.1753
Epoch 81, Train Loss: 127215.6580, Test Loss: 124869.0599
Epoch 82, Train Loss: 126303.8932, Test Loss: 124415.4054
Epoch 83, Train Loss: 125099.4123, Test Loss: 123414.6363
Epoch 84, Train Loss: 124232.7535, Test Loss: 123743.2804
Epoch 85, Train Loss: 124051.6293, Test Loss: 124966.2109
Epoch 86, Train Loss: 126327.1910, Test Loss: 125855.4184
Epoch 87, Train Loss: 126463.4878, Test Loss: 123630.2066
Epoch 88, Train Loss: 124208.3333, Test Loss: 123137.5938
Epoch 89, Train Loss: 123560.8038, Test Loss: 120515.9861
Epoch 90, Train Loss: 122938.5755, Test Loss: 119124.4080
Epoch 91, Train Loss: 123594.0573, Test Loss: 122530.6832
Epoch 92, Train Loss: 123575.7179, Test Loss: 123449.7352
Epoch 93, Train Loss: 122338.7595, Test Loss: 123271.8047
Epoch 94, Train Loss: 121891.0208, Test Loss: 119921.9054
Epoch 95, Train Loss: 121345.3472, Test Loss: 116698.9115
Epoch 96, Train Loss: 121042.7535, Test Loss: 117600.3550
Epoch 97, Train Loss: 121387.7335, Test Loss: 119730.9479
Epoch 98, Train Loss: 125545.1458, Test Loss: 120595.8047
Epoch 99, Train Loss: 123438.5816, Test Loss: 121469.3203
Epoch 100, Train Loss: 121590.6398, Test Loss: 128769.9566
Epoch 101, Train Loss: 119128.3082, Test Loss: 113811.7378
Epoch 102, Train Loss: 114335.8889, Test Loss: 111855.7943
Epoch 103, Train Loss: 112002.3863, Test Loss: 111260.0217
Epoch 104, Train Loss: 112840.0252, Test Loss: 110933.9722
Epoch 105, Train Loss: 111533.2309, Test Loss: 109326.2656
Epoch 106, Train Loss: 109640.9384, Test Loss: 107958.7292
Epoch 107, Train Loss: 108467.0903, Test Loss: 106632.6953
Epoch 108, Train Loss: 107391.4809, Test Loss: 105916.5460
Epoch 109, Train Loss: 107483.8403, Test Loss: 106364.0365
Epoch 110, Train Loss: 107403.5017, Test Loss: 105976.8307
Epoch 111, Train Loss: 106288.5391, Test Loss: 105637.7839
Epoch 112, Train Loss: 106715.8681, Test Loss: 107562.7266
Epoch 113, Train Loss: 107103.6580, Test Loss: 103277.2587
