Epoch 1, Train Loss: 896555.6424, Test Loss: 368181.1701
Epoch 2, Train Loss: 324891.0642, Test Loss: 286590.2969
Epoch 3, Train Loss: 271407.5087, Test Loss: 252634.3906
Epoch 4, Train Loss: 246205.0208, Test Loss: 229708.2014
Epoch 5, Train Loss: 226561.5868, Test Loss: 225090.1111
Epoch 6, Train Loss: 220847.2465, Test Loss: 216252.2778
Epoch 7, Train Loss: 215768.7170, Test Loss: 211482.3438
Epoch 8, Train Loss: 212692.1267, Test Loss: 212284.7344
Epoch 9, Train Loss: 211498.8611, Test Loss: 208840.2847
Epoch 10, Train Loss: 211571.8264, Test Loss: 211635.6910
Epoch 11, Train Loss: 211272.1944, Test Loss: 208062.1528
Epoch 12, Train Loss: 208904.0955, Test Loss: 206303.2014
Epoch 13, Train Loss: 207923.1771, Test Loss: 205831.5243
Epoch 14, Train Loss: 207540.1007, Test Loss: 207957.0434
Epoch 15, Train Loss: 208585.0191, Test Loss: 203939.9809
Epoch 16, Train Loss: 204263.5885, Test Loss: 202440.2743
Epoch 17, Train Loss: 201669.5365, Test Loss: 197764.0347
Epoch 18, Train Loss: 199349.5955, Test Loss: 197329.1806
Epoch 19, Train Loss: 197938.5712, Test Loss: 196124.3924
Epoch 20, Train Loss: 195297.3073, Test Loss: 195364.7865
Epoch 21, Train Loss: 193398.9375, Test Loss: 190704.0243
Epoch 22, Train Loss: 190492.8681, Test Loss: 188404.9497
Epoch 23, Train Loss: 188634.4965, Test Loss: 185496.1372
Epoch 24, Train Loss: 185495.9062, Test Loss: 181934.5312
Epoch 25, Train Loss: 182988.2257, Test Loss: 180258.8316
Epoch 26, Train Loss: 179457.7257, Test Loss: 176768.9757
Epoch 27, Train Loss: 178300.0955, Test Loss: 175734.8212
Epoch 28, Train Loss: 175453.3073, Test Loss: 171784.9132
Epoch 29, Train Loss: 182169.6250, Test Loss: 179231.1094
Epoch 30, Train Loss: 180442.1007, Test Loss: 173639.4410
Epoch 31, Train Loss: 174854.4219, Test Loss: 172136.2517
Epoch 32, Train Loss: 175342.1823, Test Loss: 175772.1927
Epoch 33, Train Loss: 173756.1024, Test Loss: 165853.0451
Epoch 34, Train Loss: 166212.6285, Test Loss: 164168.0729
Epoch 35, Train Loss: 162866.3403, Test Loss: 163219.0816
Epoch 36, Train Loss: 161338.6944, Test Loss: 160305.5052
Epoch 37, Train Loss: 163093.8767, Test Loss: 161806.7083
Epoch 38, Train Loss: 159803.6354, Test Loss: 155452.9722
Epoch 39, Train Loss: 157193.3038, Test Loss: 155877.4531
Epoch 40, Train Loss: 157178.7778, Test Loss: 156449.6875
