Epoch 1, Train Loss: 891732.3819, Test Loss: 349619.0903
Epoch 2, Train Loss: 332560.4688, Test Loss: 309775.7118
Epoch 3, Train Loss: 288010.1510, Test Loss: 273878.4896
Epoch 4, Train Loss: 260159.6424, Test Loss: 248720.1441
Epoch 5, Train Loss: 238493.2778, Test Loss: 231509.4705
Epoch 6, Train Loss: 224823.7934, Test Loss: 218731.5608
Epoch 7, Train Loss: 217933.3264, Test Loss: 214211.1406
Epoch 8, Train Loss: 215068.0608, Test Loss: 214270.2101
Epoch 9, Train Loss: 213613.7135, Test Loss: 210853.6458
Epoch 10, Train Loss: 211924.5642, Test Loss: 210567.9722
Epoch 11, Train Loss: 211353.3802, Test Loss: 211250.3542
Epoch 12, Train Loss: 211231.9740, Test Loss: 208935.7726
Epoch 13, Train Loss: 209107.6910, Test Loss: 208074.2483
Epoch 14, Train Loss: 207838.6597, Test Loss: 206396.0208
Epoch 15, Train Loss: 207522.0312, Test Loss: 205360.9010
Epoch 16, Train Loss: 207995.0955, Test Loss: 205075.0556
Epoch 17, Train Loss: 206529.3924, Test Loss: 208720.5990
Epoch 18, Train Loss: 205846.9427, Test Loss: 202239.9427
Epoch 19, Train Loss: 203339.3715, Test Loss: 200701.0260
Epoch 20, Train Loss: 204983.0625, Test Loss: 200700.1649
Epoch 21, Train Loss: 203334.9497, Test Loss: 203292.3819
Epoch 22, Train Loss: 203309.9878, Test Loss: 205227.2795
Epoch 23, Train Loss: 210549.1406, Test Loss: 214754.7951
Epoch 24, Train Loss: 204103.4184, Test Loss: 198198.4618
Epoch 25, Train Loss: 199004.9635, Test Loss: 193076.8003
Epoch 26, Train Loss: 194160.8611, Test Loss: 189991.0243
Epoch 27, Train Loss: 191075.0139, Test Loss: 188368.5712
Epoch 28, Train Loss: 189378.6528, Test Loss: 187503.1493
Epoch 29, Train Loss: 187363.3941, Test Loss: 183847.9306
Epoch 30, Train Loss: 184650.8351, Test Loss: 182163.6979
Epoch 31, Train Loss: 183457.5417, Test Loss: 180316.5000
Epoch 32, Train Loss: 180531.9566, Test Loss: 178280.3003
Epoch 33, Train Loss: 178509.3021, Test Loss: 176012.6146
Epoch 34, Train Loss: 176750.4635, Test Loss: 180168.5764
Epoch 35, Train Loss: 176397.7240, Test Loss: 173693.4861
Epoch 36, Train Loss: 175117.4722, Test Loss: 174251.0590
Epoch 37, Train Loss: 182796.1615, Test Loss: 177524.3715
Epoch 38, Train Loss: 180386.9358, Test Loss: 180640.1285
Epoch 39, Train Loss: 174118.1354, Test Loss: 169443.3611
Epoch 40, Train Loss: 170177.1753, Test Loss: 168854.9757
Epoch 41, Train Loss: 173178.4566, Test Loss: 185824.5538
Epoch 42, Train Loss: 174177.1233, Test Loss: 171461.1458
Epoch 43, Train Loss: 167735.1146, Test Loss: 165191.8715
Epoch 44, Train Loss: 164111.0747, Test Loss: 162047.7378
Epoch 45, Train Loss: 163068.6510, Test Loss: 158431.7361
Epoch 46, Train Loss: 160756.4288, Test Loss: 156789.2483
Epoch 47, Train Loss: 159440.9375, Test Loss: 158962.7552
Epoch 48, Train Loss: 158014.2066, Test Loss: 153429.5538
Epoch 49, Train Loss: 155563.1736, Test Loss: 154284.4948
Epoch 50, Train Loss: 155366.5677, Test Loss: 150822.8524
Epoch 51, Train Loss: 152301.0000, Test Loss: 150136.5625
Epoch 52, Train Loss: 149966.8073, Test Loss: 147931.0365
Epoch 53, Train Loss: 147729.2726, Test Loss: 145552.1016
Epoch 54, Train Loss: 146325.8585, Test Loss: 145085.2569
Epoch 55, Train Loss: 145983.3628, Test Loss: 144458.0417
Epoch 56, Train Loss: 146842.5069, Test Loss: 143459.6623
Epoch 57, Train Loss: 146509.9323, Test Loss: 144728.4931
Epoch 58, Train Loss: 145643.1354, Test Loss: 142097.6424
Epoch 59, Train Loss: 144096.7622, Test Loss: 141112.0885
Epoch 60, Train Loss: 143512.5026, Test Loss: 140497.5226
Epoch 61, Train Loss: 140583.9705, Test Loss: 138039.8490
Epoch 62, Train Loss: 139498.0625, Test Loss: 137788.8420
Epoch 63, Train Loss: 138500.4253, Test Loss: 137240.1363
Epoch 64, Train Loss: 138039.1901, Test Loss: 135674.2361
Epoch 65, Train Loss: 135769.9227, Test Loss: 134372.5747
Epoch 66, Train Loss: 137247.0365, Test Loss: 135537.8446
Epoch 67, Train Loss: 138052.2352, Test Loss: 133755.7743
Epoch 68, Train Loss: 135087.6380, Test Loss: 131798.7474
Epoch 69, Train Loss: 134116.1997, Test Loss: 143111.3368
Epoch 70, Train Loss: 141449.0495, Test Loss: 145488.0000
Epoch 71, Train Loss: 136977.1432, Test Loss: 144045.1476
Epoch 72, Train Loss: 136117.7031, Test Loss: 133773.7717
