Epoch 1, Train Loss: 940584.3229, Test Loss: 371614.1493
Epoch 2, Train Loss: 326544.8056, Test Loss: 289047.9774
Epoch 3, Train Loss: 282265.9149, Test Loss: 269661.2292
Epoch 4, Train Loss: 258133.5503, Test Loss: 246203.3646
Epoch 5, Train Loss: 235919.4670, Test Loss: 225403.7812
Epoch 6, Train Loss: 226424.4462, Test Loss: 225228.2135
Epoch 7, Train Loss: 222788.0573, Test Loss: 221985.5104
Epoch 8, Train Loss: 217578.6944, Test Loss: 216407.7257
Epoch 9, Train Loss: 214781.2188, Test Loss: 211743.0208
Epoch 10, Train Loss: 209858.4896, Test Loss: 210997.3403
Epoch 11, Train Loss: 209075.4861, Test Loss: 207958.9479
Epoch 12, Train Loss: 206679.0191, Test Loss: 202960.4479
Epoch 13, Train Loss: 203493.3003, Test Loss: 201335.8351
Epoch 14, Train Loss: 202330.8229, Test Loss: 202564.1771
Epoch 15, Train Loss: 200808.4358, Test Loss: 196177.8542
Epoch 16, Train Loss: 197387.6788, Test Loss: 195805.0156
Epoch 17, Train Loss: 196494.2309, Test Loss: 200365.9375
Epoch 18, Train Loss: 196170.9306, Test Loss: 192974.2708
Epoch 19, Train Loss: 192162.2170, Test Loss: 188100.6094
Epoch 20, Train Loss: 189019.7344, Test Loss: 190767.8542
Epoch 21, Train Loss: 187710.5990, Test Loss: 186091.3507
Epoch 22, Train Loss: 184227.8750, Test Loss: 181313.6233
Epoch 23, Train Loss: 183459.3663, Test Loss: 180970.7830
Epoch 24, Train Loss: 180639.1840, Test Loss: 177201.1997
Epoch 25, Train Loss: 178215.2917, Test Loss: 175208.7552
Epoch 26, Train Loss: 176265.8490, Test Loss: 173960.0833
Epoch 27, Train Loss: 173899.0451, Test Loss: 170208.0000
Epoch 28, Train Loss: 176906.6250, Test Loss: 183891.0608
Epoch 29, Train Loss: 179277.1146, Test Loss: 174797.8767
Epoch 30, Train Loss: 172056.4722, Test Loss: 165723.9913
Epoch 31, Train Loss: 170615.6823, Test Loss: 170194.6337
Epoch 32, Train Loss: 171570.6528, Test Loss: 172702.1267
Epoch 33, Train Loss: 169332.8368, Test Loss: 166825.7569
Epoch 34, Train Loss: 167759.5938, Test Loss: 167570.5590
Epoch 35, Train Loss: 167631.0816, Test Loss: 164643.0000
Epoch 36, Train Loss: 164230.3889, Test Loss: 169601.8073
Epoch 37, Train Loss: 165786.4045, Test Loss: 163576.9497
Epoch 38, Train Loss: 171892.4271, Test Loss: 185812.1892
Epoch 39, Train Loss: 188161.6458, Test Loss: 183532.8316
Epoch 40, Train Loss: 174916.1910, Test Loss: 167860.8646
Epoch 41, Train Loss: 166377.9826, Test Loss: 158372.3576
Epoch 42, Train Loss: 160481.7812, Test Loss: 153712.9340
Epoch 43, Train Loss: 157093.0668, Test Loss: 158632.8611
Epoch 44, Train Loss: 155769.7760, Test Loss: 150553.3576
Epoch 45, Train Loss: 150797.8151, Test Loss: 149047.1701
Epoch 46, Train Loss: 148990.3134, Test Loss: 147320.5035
Epoch 47, Train Loss: 146039.7569, Test Loss: 143113.1224
Epoch 48, Train Loss: 144022.7691, Test Loss: 141679.3177
Epoch 49, Train Loss: 142735.0868, Test Loss: 140265.2240
Epoch 50, Train Loss: 141556.4809, Test Loss: 139766.3316
Epoch 51, Train Loss: 141227.1797, Test Loss: 139659.1267
Epoch 52, Train Loss: 139863.5651, Test Loss: 137577.4861
Epoch 53, Train Loss: 138068.5408, Test Loss: 135952.9627
Epoch 54, Train Loss: 136873.8594, Test Loss: 134988.8611
Epoch 55, Train Loss: 135956.3420, Test Loss: 134161.4349
Epoch 56, Train Loss: 135100.3255, Test Loss: 134235.5582
Epoch 57, Train Loss: 134806.6319, Test Loss: 132084.1137
Epoch 58, Train Loss: 135232.4036, Test Loss: 138749.9401
Epoch 59, Train Loss: 140069.0347, Test Loss: 140983.7188
Epoch 60, Train Loss: 142083.4410, Test Loss: 147019.6970
Epoch 61, Train Loss: 140225.0990, Test Loss: 134164.8950
Epoch 62, Train Loss: 134261.9939, Test Loss: 133391.3455
Epoch 63, Train Loss: 132513.3602, Test Loss: 129602.4210
Epoch 64, Train Loss: 130517.6163, Test Loss: 128407.8542
Epoch 65, Train Loss: 129092.7127, Test Loss: 129422.1068
Epoch 66, Train Loss: 128162.4722, Test Loss: 124898.1484
Epoch 67, Train Loss: 126419.0747, Test Loss: 124066.1858
Epoch 68, Train Loss: 124935.9323, Test Loss: 123075.5417
Epoch 69, Train Loss: 123855.8950, Test Loss: 122453.8802
Epoch 70, Train Loss: 124928.5486, Test Loss: 124754.0365
Epoch 71, Train Loss: 125681.4479, Test Loss: 129461.7847
Epoch 72, Train Loss: 128009.8542, Test Loss: 124768.0321
Epoch 73, Train Loss: 126997.8333, Test Loss: 122287.0564
Epoch 74, Train Loss: 126934.4705, Test Loss: 120637.0330
Epoch 75, Train Loss: 127244.7101, Test Loss: 121252.6918
Epoch 76, Train Loss: 125668.4531, Test Loss: 122602.0929
Epoch 77, Train Loss: 121815.9722, Test Loss: 117201.6727
Epoch 78, Train Loss: 119309.7743, Test Loss: 116230.0009
Epoch 79, Train Loss: 115745.1528, Test Loss: 112769.9132
Epoch 80, Train Loss: 114755.1050, Test Loss: 112447.3160
Epoch 81, Train Loss: 113932.6528, Test Loss: 110913.5312
Epoch 82, Train Loss: 111649.4427, Test Loss: 110541.3429
Epoch 83, Train Loss: 111410.0460, Test Loss: 108664.7170
Epoch 84, Train Loss: 110167.6502, Test Loss: 107601.0634
Epoch 85, Train Loss: 109013.4271, Test Loss: 107619.3646
Epoch 86, Train Loss: 109069.0582, Test Loss: 107443.3316
Epoch 87, Train Loss: 109902.4913, Test Loss: 110558.0885
Epoch 88, Train Loss: 110109.8663, Test Loss: 107621.8967
Epoch 89, Train Loss: 109593.6224, Test Loss: 106999.3299
