Epoch 1, Train Loss: 986947.0139, Test Loss: 395637.4826
Epoch 2, Train Loss: 341535.3438, Test Loss: 295575.3524
Epoch 3, Train Loss: 288506.1493, Test Loss: 259487.6597
Epoch 4, Train Loss: 258463.3542, Test Loss: 245693.4774
Epoch 5, Train Loss: 234654.9097, Test Loss: 228546.9861
Epoch 6, Train Loss: 223531.2517, Test Loss: 218040.0174
Epoch 7, Train Loss: 216953.1250, Test Loss: 214538.0260
Epoch 8, Train Loss: 213570.6944, Test Loss: 211426.6875
Epoch 9, Train Loss: 211478.5608, Test Loss: 213231.9306
Epoch 10, Train Loss: 211066.7222, Test Loss: 207566.4236
Epoch 11, Train Loss: 209593.9045, Test Loss: 208560.8351
Epoch 12, Train Loss: 209661.3142, Test Loss: 208870.6424
Epoch 13, Train Loss: 208192.5781, Test Loss: 203830.7847
Epoch 14, Train Loss: 205694.1059, Test Loss: 204176.3628
Epoch 15, Train Loss: 204096.6788, Test Loss: 202081.1962
Epoch 16, Train Loss: 203640.3333, Test Loss: 203979.1927
Epoch 17, Train Loss: 202455.1806, Test Loss: 200530.8872
Epoch 18, Train Loss: 200889.6250, Test Loss: 207165.1111
Epoch 19, Train Loss: 203073.3646, Test Loss: 206103.5035
Epoch 20, Train Loss: 203113.4149, Test Loss: 198009.4375
Epoch 21, Train Loss: 198637.8299, Test Loss: 194418.8160
Epoch 22, Train Loss: 194419.5955, Test Loss: 191893.4410
Epoch 23, Train Loss: 192802.3872, Test Loss: 195538.8733
Epoch 24, Train Loss: 190627.0208, Test Loss: 188146.2153
Epoch 25, Train Loss: 187050.0608, Test Loss: 185143.2049
Epoch 26, Train Loss: 184561.8698, Test Loss: 181369.3281
Epoch 27, Train Loss: 183074.8160, Test Loss: 184005.7292
Epoch 28, Train Loss: 183173.6163, Test Loss: 184705.9913
Epoch 29, Train Loss: 183168.0747, Test Loss: 178128.8663
Epoch 30, Train Loss: 179508.5538, Test Loss: 176272.8542
Epoch 31, Train Loss: 177235.8507, Test Loss: 174673.6406
Epoch 32, Train Loss: 175357.6719, Test Loss: 171671.2257
Epoch 33, Train Loss: 173935.2083, Test Loss: 170931.1042
Epoch 34, Train Loss: 177863.8785, Test Loss: 174364.6233
Epoch 35, Train Loss: 178219.2951, Test Loss: 170616.9306
Epoch 36, Train Loss: 181162.1024, Test Loss: 186174.7188
Epoch 37, Train Loss: 187484.7795, Test Loss: 174266.3750
Epoch 38, Train Loss: 177041.0781, Test Loss: 169305.9635
Epoch 39, Train Loss: 170666.6597, Test Loss: 167448.5347
Epoch 40, Train Loss: 167293.5573, Test Loss: 168643.9045
Epoch 41, Train Loss: 164997.0938, Test Loss: 159698.0399
Epoch 42, Train Loss: 164626.8594, Test Loss: 159960.0712
Epoch 43, Train Loss: 160513.5764, Test Loss: 161442.6250
Epoch 44, Train Loss: 159117.4080, Test Loss: 154989.1146
Epoch 45, Train Loss: 157085.8924, Test Loss: 156064.1406
Epoch 46, Train Loss: 156043.5399, Test Loss: 154494.4653
Epoch 47, Train Loss: 153616.6536, Test Loss: 150919.7109
Epoch 48, Train Loss: 152330.2865, Test Loss: 151898.1059
Epoch 49, Train Loss: 153512.8750, Test Loss: 149109.2387
Epoch 50, Train Loss: 151119.9601, Test Loss: 148578.4635
Epoch 51, Train Loss: 148904.2917, Test Loss: 146888.8333
Epoch 52, Train Loss: 148814.0538, Test Loss: 147672.4410
Epoch 53, Train Loss: 148186.9705, Test Loss: 144741.1372
