Epoch 1, Train Loss: 970301.1042, Test Loss: 382945.8472
Epoch 2, Train Loss: 327498.7986, Test Loss: 291285.2743
Epoch 3, Train Loss: 278514.8142, Test Loss: 259647.8628
Epoch 4, Train Loss: 249291.7170, Test Loss: 237073.5781
Epoch 5, Train Loss: 232464.8854, Test Loss: 221995.0382
Epoch 6, Train Loss: 219528.0122, Test Loss: 214800.5747
Epoch 7, Train Loss: 215299.7865, Test Loss: 212758.2066
Epoch 8, Train Loss: 212318.3507, Test Loss: 210477.1476
Epoch 9, Train Loss: 210305.9931, Test Loss: 207999.6719
Epoch 10, Train Loss: 207934.9323, Test Loss: 206362.5000
Epoch 11, Train Loss: 206626.7031, Test Loss: 204582.4618
Epoch 12, Train Loss: 204563.1580, Test Loss: 202368.0278
Epoch 13, Train Loss: 202753.1840, Test Loss: 200111.4427
Epoch 14, Train Loss: 201560.7465, Test Loss: 199998.7969
Epoch 15, Train Loss: 200693.0625, Test Loss: 196447.5660
Epoch 16, Train Loss: 211580.5608, Test Loss: 213357.6441
Epoch 17, Train Loss: 206102.4167, Test Loss: 195778.6753
Epoch 18, Train Loss: 203689.7674, Test Loss: 196611.1476
Epoch 19, Train Loss: 201695.1406, Test Loss: 192706.0365
Epoch 20, Train Loss: 197747.2674, Test Loss: 195792.5972
Epoch 21, Train Loss: 192834.6076, Test Loss: 188610.1215
Epoch 22, Train Loss: 190167.4132, Test Loss: 186976.9271
Epoch 23, Train Loss: 188173.5104, Test Loss: 183567.5521
Epoch 24, Train Loss: 185158.1545, Test Loss: 182557.3646
Epoch 25, Train Loss: 182010.0399, Test Loss: 180856.2674
Epoch 26, Train Loss: 179643.3733, Test Loss: 175487.0990
Epoch 27, Train Loss: 178612.2378, Test Loss: 176241.1302
Epoch 28, Train Loss: 182094.8733, Test Loss: 180474.0903
Epoch 29, Train Loss: 177147.4948, Test Loss: 175846.1771
Epoch 30, Train Loss: 174425.1215, Test Loss: 170196.4740
Epoch 31, Train Loss: 172393.7899, Test Loss: 169871.7517
