Epoch 1, Train Loss: 929698.7014, Test Loss: 418861.4306
Epoch 2, Train Loss: 333264.1597, Test Loss: 292828.0816
Epoch 3, Train Loss: 291052.7639, Test Loss: 278019.2778
Epoch 4, Train Loss: 268987.9358, Test Loss: 259609.9757
Epoch 5, Train Loss: 248136.2465, Test Loss: 232803.1354
Epoch 6, Train Loss: 231525.8594, Test Loss: 221778.7292
Epoch 7, Train Loss: 219821.8819, Test Loss: 216284.1302
Epoch 8, Train Loss: 215420.0625, Test Loss: 213009.6302
Epoch 9, Train Loss: 213658.8924, Test Loss: 212695.8038
Epoch 10, Train Loss: 212379.8385, Test Loss: 210337.0365
Epoch 11, Train Loss: 211033.4983, Test Loss: 208949.7257
Epoch 12, Train Loss: 210646.0712, Test Loss: 210207.2569
Epoch 13, Train Loss: 209805.5312, Test Loss: 206865.8247
Epoch 14, Train Loss: 208159.9479, Test Loss: 206863.8247
Epoch 15, Train Loss: 207120.7465, Test Loss: 204938.2309
Epoch 16, Train Loss: 206089.0208, Test Loss: 204556.5208
Epoch 17, Train Loss: 204226.2986, Test Loss: 201509.8090
Epoch 18, Train Loss: 201775.8941, Test Loss: 200495.5486
Epoch 19, Train Loss: 199966.6267, Test Loss: 196867.7865
Epoch 20, Train Loss: 197980.3264, Test Loss: 196992.1493
Epoch 21, Train Loss: 199294.6233, Test Loss: 194022.1372
Epoch 22, Train Loss: 197111.9844, Test Loss: 192699.9757
Epoch 23, Train Loss: 195122.4931, Test Loss: 189794.6042
Epoch 24, Train Loss: 190983.4896, Test Loss: 188608.6701
Epoch 25, Train Loss: 191274.7830, Test Loss: 187287.8403
Epoch 26, Train Loss: 189720.0868, Test Loss: 184698.6441
Epoch 27, Train Loss: 188802.2604, Test Loss: 183399.6372
Epoch 28, Train Loss: 186028.9323, Test Loss: 185164.7431
Epoch 29, Train Loss: 185638.3872, Test Loss: 180378.1094
Epoch 30, Train Loss: 180046.4479, Test Loss: 177818.2639
Epoch 31, Train Loss: 176172.5851, Test Loss: 170943.5365
Epoch 32, Train Loss: 172078.8229, Test Loss: 168266.5443
Epoch 33, Train Loss: 171495.5833, Test Loss: 172171.8681
Epoch 34, Train Loss: 170788.0503, Test Loss: 167206.6719
Epoch 35, Train Loss: 169332.3247, Test Loss: 163900.8160
Epoch 36, Train Loss: 165530.9757, Test Loss: 162607.2274
Epoch 37, Train Loss: 162834.6753, Test Loss: 159547.5486
Epoch 38, Train Loss: 159721.0122, Test Loss: 156963.4444
Epoch 39, Train Loss: 161716.2413, Test Loss: 158052.9201
Epoch 40, Train Loss: 164744.0521, Test Loss: 168678.2708
Epoch 41, Train Loss: 176769.8420, Test Loss: 159091.0035
Epoch 42, Train Loss: 164112.3872, Test Loss: 160960.0903
Epoch 43, Train Loss: 160687.1024, Test Loss: 159493.3924
Epoch 44, Train Loss: 157434.9418, Test Loss: 151602.3438
Epoch 45, Train Loss: 151481.1597, Test Loss: 148729.3802
Epoch 46, Train Loss: 149551.1997, Test Loss: 146359.2118
Epoch 47, Train Loss: 146798.6493, Test Loss: 143828.1892
Epoch 48, Train Loss: 143986.9852, Test Loss: 140785.5677
