Epoch 1, Train Loss: 937302.0347, Test Loss: 342200.5382
Epoch 2, Train Loss: 340294.1736, Test Loss: 293625.2066
Epoch 3, Train Loss: 295818.8420, Test Loss: 284876.3212
Epoch 4, Train Loss: 269665.5191, Test Loss: 254838.0799
Epoch 5, Train Loss: 247957.9965, Test Loss: 234303.2830
Epoch 6, Train Loss: 228846.0521, Test Loss: 220066.0451
Epoch 7, Train Loss: 218413.1024, Test Loss: 215517.0330
Epoch 8, Train Loss: 214913.2135, Test Loss: 211312.3750
Epoch 9, Train Loss: 212796.0799, Test Loss: 210809.6250
Epoch 10, Train Loss: 211129.6233, Test Loss: 208900.9236
Epoch 11, Train Loss: 209185.9427, Test Loss: 206222.3750
Epoch 12, Train Loss: 208094.8733, Test Loss: 205078.3646
Epoch 13, Train Loss: 205683.1562, Test Loss: 202249.0556
Epoch 14, Train Loss: 203457.9948, Test Loss: 204743.2778
Epoch 15, Train Loss: 202079.2552, Test Loss: 211720.0347
Epoch 16, Train Loss: 209388.3559, Test Loss: 210711.2413
Epoch 17, Train Loss: 207534.1319, Test Loss: 211730.5556
Epoch 18, Train Loss: 205332.5556, Test Loss: 199455.0191
Epoch 19, Train Loss: 199066.2708, Test Loss: 193482.4514
Epoch 20, Train Loss: 197470.7552, Test Loss: 200530.1875
Epoch 21, Train Loss: 197688.8177, Test Loss: 191304.0625
Epoch 22, Train Loss: 193243.2326, Test Loss: 190166.2882
Epoch 23, Train Loss: 190386.6771, Test Loss: 185885.9219
Epoch 24, Train Loss: 185950.7795, Test Loss: 182983.4896
Epoch 25, Train Loss: 183763.3073, Test Loss: 184254.2170
Epoch 26, Train Loss: 183426.7812, Test Loss: 180948.1372
Epoch 27, Train Loss: 180997.5972, Test Loss: 178935.9358
Epoch 28, Train Loss: 177775.3299, Test Loss: 173962.2396
Epoch 29, Train Loss: 174154.9896, Test Loss: 172020.1215
Epoch 30, Train Loss: 171998.4826, Test Loss: 170315.8715
Epoch 31, Train Loss: 170152.6146, Test Loss: 167784.2066
Epoch 32, Train Loss: 169412.3750, Test Loss: 170922.1233
Epoch 33, Train Loss: 171169.1267, Test Loss: 165375.2795
Epoch 34, Train Loss: 168235.6389, Test Loss: 166678.9392
Epoch 35, Train Loss: 167203.1476, Test Loss: 165497.6632
Epoch 36, Train Loss: 163754.3524, Test Loss: 158970.4444
Epoch 37, Train Loss: 161547.2899, Test Loss: 159111.1562
Epoch 38, Train Loss: 160366.2222, Test Loss: 156542.1059
Epoch 39, Train Loss: 158385.7639, Test Loss: 156013.7587
Epoch 40, Train Loss: 156180.5330, Test Loss: 156834.5590
Epoch 41, Train Loss: 158012.2986, Test Loss: 155920.2743
Epoch 42, Train Loss: 161110.2899, Test Loss: 156762.6354
Epoch 43, Train Loss: 160305.8733, Test Loss: 150821.5330
Epoch 44, Train Loss: 154652.8281, Test Loss: 155423.8455
Epoch 45, Train Loss: 152521.6016, Test Loss: 145981.0451
Epoch 46, Train Loss: 149271.4045, Test Loss: 146093.9115
Epoch 47, Train Loss: 146456.6701, Test Loss: 143081.5972
Epoch 48, Train Loss: 145379.0000, Test Loss: 142507.3681
Epoch 49, Train Loss: 143122.7257, Test Loss: 140178.9149
Epoch 50, Train Loss: 140855.9010, Test Loss: 137690.2344
Epoch 51, Train Loss: 139281.5729, Test Loss: 136969.2457
