Epoch 1, Train Loss: 1269722.9097, Test Loss: 470745.4722
Epoch 2, Train Loss: 456951.0972, Test Loss: 314755.8906
Epoch 3, Train Loss: 330235.2240, Test Loss: 285503.6562
Epoch 4, Train Loss: 288467.0434, Test Loss: 271131.7396
Epoch 5, Train Loss: 269463.6302, Test Loss: 260386.1146
Epoch 6, Train Loss: 256301.4618, Test Loss: 245484.9861
Epoch 7, Train Loss: 238569.9132, Test Loss: 229636.2240
Epoch 8, Train Loss: 226055.7222, Test Loss: 220777.1771
Epoch 9, Train Loss: 219350.4410, Test Loss: 216641.5399
Epoch 10, Train Loss: 216544.2309, Test Loss: 214619.8333
Epoch 11, Train Loss: 215128.4271, Test Loss: 213502.5191
Epoch 12, Train Loss: 214337.5208, Test Loss: 212332.7222
Epoch 13, Train Loss: 213501.7413, Test Loss: 212314.7292
Epoch 14, Train Loss: 213294.0799, Test Loss: 211544.0312
Epoch 15, Train Loss: 212887.1215, Test Loss: 210501.9271
Epoch 16, Train Loss: 211883.4826, Test Loss: 210208.8958
Epoch 17, Train Loss: 211264.5538, Test Loss: 209583.1979
Epoch 18, Train Loss: 210806.2413, Test Loss: 208353.7847
Epoch 19, Train Loss: 209801.0920, Test Loss: 209737.8194
Epoch 20, Train Loss: 209308.9722, Test Loss: 206781.4844
Epoch 21, Train Loss: 207901.7049, Test Loss: 204032.1632
Epoch 22, Train Loss: 205370.7413, Test Loss: 202291.4931
Epoch 23, Train Loss: 202047.6788, Test Loss: 200089.1632
Epoch 24, Train Loss: 203288.6267, Test Loss: 201901.5347
Epoch 25, Train Loss: 200299.5365, Test Loss: 195966.4236
Epoch 26, Train Loss: 197076.0469, Test Loss: 194522.0938
Epoch 27, Train Loss: 196808.8229, Test Loss: 193090.8819
Epoch 28, Train Loss: 196170.4774, Test Loss: 192757.9045
Epoch 29, Train Loss: 191744.9913, Test Loss: 188502.4080
Epoch 30, Train Loss: 186881.5712, Test Loss: 185525.2951
Epoch 31, Train Loss: 185301.9028, Test Loss: 182349.4149
Epoch 32, Train Loss: 182116.7500, Test Loss: 178861.4149
Epoch 33, Train Loss: 179224.9010, Test Loss: 176493.3090
Epoch 34, Train Loss: 176493.9844, Test Loss: 173206.8229
Epoch 35, Train Loss: 174024.1250, Test Loss: 171191.4740
Epoch 36, Train Loss: 171544.5087, Test Loss: 168334.9115
Epoch 37, Train Loss: 168864.0625, Test Loss: 166610.1545
Epoch 38, Train Loss: 166842.7448, Test Loss: 164139.0347
Epoch 39, Train Loss: 164256.1632, Test Loss: 161214.9410
Epoch 40, Train Loss: 162381.4792, Test Loss: 160607.0139
Epoch 41, Train Loss: 161298.9809, Test Loss: 162847.7344
Epoch 42, Train Loss: 165102.9375, Test Loss: 174509.9514
Epoch 43, Train Loss: 166361.5104, Test Loss: 158771.8941
Epoch 44, Train Loss: 158683.0972, Test Loss: 158539.6267
Epoch 45, Train Loss: 164906.4219, Test Loss: 158023.8941
Epoch 46, Train Loss: 163004.8767, Test Loss: 160275.1302
Epoch 47, Train Loss: 159955.5521, Test Loss: 158957.5503
Epoch 48, Train Loss: 157590.0833, Test Loss: 152461.3906
Epoch 49, Train Loss: 153194.0503, Test Loss: 150082.0694
Epoch 50, Train Loss: 154314.9062, Test Loss: 156325.1354
Epoch 51, Train Loss: 152718.1502, Test Loss: 148616.4575
Epoch 52, Train Loss: 150550.9488, Test Loss: 147167.2083
Epoch 53, Train Loss: 145505.0174, Test Loss: 142935.5642
Epoch 54, Train Loss: 143505.2552, Test Loss: 140948.7578
Epoch 55, Train Loss: 141657.8385, Test Loss: 139290.5642
Epoch 56, Train Loss: 140094.7951, Test Loss: 138351.2969
Epoch 57, Train Loss: 139015.1997, Test Loss: 137315.2005
Epoch 58, Train Loss: 138756.4670, Test Loss: 135213.8941
Epoch 59, Train Loss: 138043.4592, Test Loss: 137270.3203
Epoch 60, Train Loss: 139804.7786, Test Loss: 135574.0825
Epoch 61, Train Loss: 138543.1293, Test Loss: 138334.0365
