Epoch 1, Train Loss: 1723977.4722, Test Loss: 1558743.8611
Epoch 2, Train Loss: 1428906.9444, Test Loss: 1261483.4722
Epoch 3, Train Loss: 1136828.9792, Test Loss: 992396.5556
Epoch 4, Train Loss: 902242.0764, Test Loss: 799113.6597
Epoch 5, Train Loss: 742447.5000, Test Loss: 679792.7917
Epoch 6, Train Loss: 640562.2569, Test Loss: 593369.0382
Epoch 7, Train Loss: 568718.5938, Test Loss: 534598.2188
Epoch 8, Train Loss: 514489.4549, Test Loss: 489949.0521
Epoch 9, Train Loss: 472847.2257, Test Loss: 453213.3090
Epoch 10, Train Loss: 438171.0486, Test Loss: 420548.7396
Epoch 11, Train Loss: 408013.2986, Test Loss: 392883.2049
Epoch 12, Train Loss: 382133.3299, Test Loss: 369684.1076
Epoch 13, Train Loss: 360108.6979, Test Loss: 348148.4479
Epoch 14, Train Loss: 340522.1389, Test Loss: 329965.2326
Epoch 15, Train Loss: 324375.3507, Test Loss: 316182.1771
Epoch 16, Train Loss: 310654.2222, Test Loss: 303102.3889
Epoch 17, Train Loss: 297683.6788, Test Loss: 292586.5451
Epoch 18, Train Loss: 288693.0278, Test Loss: 281134.0729
Epoch 19, Train Loss: 277884.3108, Test Loss: 272263.5330
Epoch 20, Train Loss: 269675.4392, Test Loss: 265307.0972
Epoch 21, Train Loss: 262962.8646, Test Loss: 259623.3264
Epoch 22, Train Loss: 257096.2795, Test Loss: 254395.3924
Epoch 23, Train Loss: 252863.7569, Test Loss: 249705.6684
Epoch 24, Train Loss: 248027.6615, Test Loss: 246127.7708
Epoch 25, Train Loss: 244195.7882, Test Loss: 242163.5903
Epoch 26, Train Loss: 241295.7431, Test Loss: 238679.1354
Epoch 27, Train Loss: 238791.5764, Test Loss: 238005.4080
Epoch 28, Train Loss: 237648.2292, Test Loss: 236195.9531
Epoch 29, Train Loss: 235061.3142, Test Loss: 232047.9028
Epoch 30, Train Loss: 231892.0677, Test Loss: 229711.4462
Epoch 31, Train Loss: 229500.6302, Test Loss: 228757.9323
Epoch 32, Train Loss: 228190.4826, Test Loss: 226716.9201
Epoch 33, Train Loss: 225912.4271, Test Loss: 224626.0625
Epoch 34, Train Loss: 224456.3472, Test Loss: 223287.5694
Epoch 35, Train Loss: 222902.5816, Test Loss: 222044.0174
Epoch 36, Train Loss: 221703.1615, Test Loss: 221448.4340
Epoch 37, Train Loss: 220734.2396, Test Loss: 219963.2674
Epoch 38, Train Loss: 219704.9531, Test Loss: 218810.1997
Epoch 39, Train Loss: 218507.3976, Test Loss: 217925.1406
Epoch 40, Train Loss: 217660.4931, Test Loss: 217165.1476
Epoch 41, Train Loss: 216851.2396, Test Loss: 216327.5469
Epoch 42, Train Loss: 216148.7292, Test Loss: 215557.5677
Epoch 43, Train Loss: 215521.0243, Test Loss: 215721.2639
Epoch 44, Train Loss: 214944.4444, Test Loss: 215172.7795
Epoch 45, Train Loss: 214443.2656, Test Loss: 214169.4844
Epoch 46, Train Loss: 213971.6476, Test Loss: 214344.1875
Epoch 47, Train Loss: 213464.4965, Test Loss: 212654.9948
Epoch 48, Train Loss: 212317.1979, Test Loss: 211819.0330
Epoch 49, Train Loss: 211797.0017, Test Loss: 212090.7240
Epoch 50, Train Loss: 211662.7691, Test Loss: 211836.8542
Epoch 51, Train Loss: 210946.0087, Test Loss: 211117.1927
Epoch 52, Train Loss: 210714.8750, Test Loss: 210441.8681
Epoch 53, Train Loss: 210516.5677, Test Loss: 210283.4149
Epoch 54, Train Loss: 209972.1128, Test Loss: 209755.7170
Epoch 55, Train Loss: 209416.8837, Test Loss: 208628.1649
Epoch 56, Train Loss: 208827.3628, Test Loss: 208538.3958
Epoch 57, Train Loss: 208480.1406, Test Loss: 207656.1788
Epoch 58, Train Loss: 208339.5260, Test Loss: 207624.8819
Epoch 59, Train Loss: 207719.8490, Test Loss: 206944.1372
Epoch 60, Train Loss: 207421.9757, Test Loss: 207097.6615
Epoch 61, Train Loss: 206963.5156, Test Loss: 206445.4132
Epoch 62, Train Loss: 206301.7153, Test Loss: 205625.5694
Epoch 63, Train Loss: 206064.5990, Test Loss: 207074.9931
Epoch 64, Train Loss: 206407.1406, Test Loss: 206840.9149
Epoch 65, Train Loss: 208494.9410, Test Loss: 206814.5017
Epoch 66, Train Loss: 206020.6910, Test Loss: 205028.4306
Epoch 67, Train Loss: 204842.9340, Test Loss: 204058.4931
Epoch 68, Train Loss: 204134.6493, Test Loss: 203629.3160
Epoch 69, Train Loss: 203679.9306, Test Loss: 203384.6753
Epoch 70, Train Loss: 203345.0903, Test Loss: 203178.8490
Epoch 71, Train Loss: 202951.0347, Test Loss: 203241.3142
Epoch 72, Train Loss: 202726.7708, Test Loss: 202235.8142
Epoch 73, Train Loss: 202261.5885, Test Loss: 201977.9757
Epoch 74, Train Loss: 202116.3125, Test Loss: 201892.1406
Epoch 75, Train Loss: 202046.9010, Test Loss: 201985.3941
Epoch 76, Train Loss: 201959.5833, Test Loss: 201511.1684
Epoch 77, Train Loss: 201717.4045, Test Loss: 201449.0347
Epoch 78, Train Loss: 201259.2257, Test Loss: 200927.7292
Epoch 79, Train Loss: 201138.5833, Test Loss: 200981.7309
Epoch 80, Train Loss: 200985.3802, Test Loss: 201068.2153
Epoch 81, Train Loss: 200511.8646, Test Loss: 200075.3403
Epoch 82, Train Loss: 200330.0677, Test Loss: 199848.7656
Epoch 83, Train Loss: 200131.8090, Test Loss: 199178.4618
Epoch 84, Train Loss: 199353.4722, Test Loss: 199750.0243
Epoch 85, Train Loss: 199196.7830, Test Loss: 198663.4271
Epoch 86, Train Loss: 198885.9948, Test Loss: 198781.5990
Epoch 87, Train Loss: 198722.4392, Test Loss: 198228.8802
Epoch 88, Train Loss: 198644.2135, Test Loss: 197930.2691
Epoch 89, Train Loss: 198044.8490, Test Loss: 197707.3038
Epoch 90, Train Loss: 197816.4965, Test Loss: 197400.0174
Epoch 91, Train Loss: 197484.1424, Test Loss: 197279.4948
Epoch 92, Train Loss: 197440.1042, Test Loss: 197025.7934
Epoch 93, Train Loss: 197161.2951, Test Loss: 197277.8056
Epoch 94, Train Loss: 197303.7795, Test Loss: 197215.4583
Epoch 95, Train Loss: 197108.4479, Test Loss: 196803.2830
Epoch 96, Train Loss: 197282.2066, Test Loss: 196566.6094
Epoch 97, Train Loss: 196815.4062, Test Loss: 196261.0816
Epoch 98, Train Loss: 196401.1285, Test Loss: 196234.1858
Epoch 99, Train Loss: 196774.1337, Test Loss: 197708.8281
Epoch 100, Train Loss: 197088.8524, Test Loss: 196012.5885
