Epoch 1, Train Loss: 1561739.6111, Test Loss: 1301226.7500
Epoch 2, Train Loss: 1121282.8125, Test Loss: 925619.1250
Epoch 3, Train Loss: 799813.7847, Test Loss: 672806.4722
Epoch 4, Train Loss: 603135.1736, Test Loss: 531616.7743
Epoch 5, Train Loss: 490419.7708, Test Loss: 450578.4375
Epoch 6, Train Loss: 426015.9792, Test Loss: 396748.0833
Epoch 7, Train Loss: 379047.4618, Test Loss: 359452.7396
Epoch 8, Train Loss: 347702.1944, Test Loss: 333685.2639
Epoch 9, Train Loss: 322062.2014, Test Loss: 309403.1181
Epoch 10, Train Loss: 300993.7743, Test Loss: 291333.8524
Epoch 11, Train Loss: 284497.5660, Test Loss: 276085.8229
Epoch 12, Train Loss: 270767.8368, Test Loss: 263573.5764
Epoch 13, Train Loss: 259895.9566, Test Loss: 254660.6701
Epoch 14, Train Loss: 250864.4045, Test Loss: 246565.6910
Epoch 15, Train Loss: 243556.3785, Test Loss: 240052.8316
Epoch 16, Train Loss: 238699.8003, Test Loss: 235335.2326
Epoch 17, Train Loss: 234483.2778, Test Loss: 231614.0660
Epoch 18, Train Loss: 231089.8299, Test Loss: 229262.5417
Epoch 19, Train Loss: 228372.6753, Test Loss: 226869.6858
Epoch 20, Train Loss: 225603.8368, Test Loss: 224074.6528
Epoch 21, Train Loss: 223724.4097, Test Loss: 223301.5174
Epoch 22, Train Loss: 222347.0799, Test Loss: 221771.2101
Epoch 23, Train Loss: 221307.2934, Test Loss: 220240.5365
Epoch 24, Train Loss: 221487.7257, Test Loss: 221801.4010
Epoch 25, Train Loss: 219567.3073, Test Loss: 218674.8333
Epoch 26, Train Loss: 218494.0156, Test Loss: 217168.8837
Epoch 27, Train Loss: 216768.7205, Test Loss: 216283.5972
Epoch 28, Train Loss: 216096.2708, Test Loss: 216142.4167
Epoch 29, Train Loss: 215898.9062, Test Loss: 214275.8281
Epoch 30, Train Loss: 214771.5573, Test Loss: 213599.0191
Epoch 31, Train Loss: 213918.8767, Test Loss: 212855.7274
Epoch 32, Train Loss: 212494.4358, Test Loss: 211641.8559
Epoch 33, Train Loss: 211827.1406, Test Loss: 211054.9983
Epoch 34, Train Loss: 211027.6667, Test Loss: 210148.4583
Epoch 35, Train Loss: 210673.9149, Test Loss: 211696.7413
Epoch 36, Train Loss: 210477.9097, Test Loss: 209805.2656
Epoch 37, Train Loss: 209333.1146, Test Loss: 208531.1892
Epoch 38, Train Loss: 209163.6424, Test Loss: 208246.6649
Epoch 39, Train Loss: 208271.2274, Test Loss: 207776.1562
Epoch 40, Train Loss: 208906.3056, Test Loss: 207487.1389
Epoch 41, Train Loss: 208770.7587, Test Loss: 208949.1979
Epoch 42, Train Loss: 208093.3872, Test Loss: 206578.5885
Epoch 43, Train Loss: 207402.7760, Test Loss: 208555.3194
Epoch 44, Train Loss: 206824.8403, Test Loss: 207059.6094
Epoch 45, Train Loss: 207167.8351, Test Loss: 209597.5399
Epoch 46, Train Loss: 208210.0191, Test Loss: 207386.2587
Epoch 47, Train Loss: 206401.8299, Test Loss: 207015.6128
Epoch 48, Train Loss: 205958.4010, Test Loss: 204707.6823
Epoch 49, Train Loss: 204326.6771, Test Loss: 203876.7118
Epoch 50, Train Loss: 204121.3715, Test Loss: 202832.4549
Epoch 51, Train Loss: 203838.9931, Test Loss: 203963.0885
Epoch 52, Train Loss: 203308.0156, Test Loss: 202891.1823
Epoch 53, Train Loss: 202142.3420, Test Loss: 201344.8854
Epoch 54, Train Loss: 201463.5278, Test Loss: 201087.1615
Epoch 55, Train Loss: 201078.2170, Test Loss: 200827.1128
Epoch 56, Train Loss: 200526.9670, Test Loss: 199899.4375
Epoch 57, Train Loss: 200129.6458, Test Loss: 199566.0174
Epoch 58, Train Loss: 199758.3108, Test Loss: 199228.2951
Epoch 59, Train Loss: 199270.0278, Test Loss: 198571.0295
Epoch 60, Train Loss: 198804.9184, Test Loss: 198084.7292
Epoch 61, Train Loss: 198341.2170, Test Loss: 197930.0486
Epoch 62, Train Loss: 198662.3576, Test Loss: 199007.0503
Epoch 63, Train Loss: 198179.0347, Test Loss: 197494.2101
Epoch 64, Train Loss: 197701.7049, Test Loss: 196705.2066
Epoch 65, Train Loss: 196613.5174, Test Loss: 196200.1215
Epoch 66, Train Loss: 196386.2743, Test Loss: 195891.3819
Epoch 67, Train Loss: 196004.5486, Test Loss: 195803.9931
Epoch 68, Train Loss: 195848.6684, Test Loss: 195294.4549
Epoch 69, Train Loss: 195210.0104, Test Loss: 194654.0642
Epoch 70, Train Loss: 194843.2257, Test Loss: 194527.8646
Epoch 71, Train Loss: 194501.0069, Test Loss: 194146.0417
Epoch 72, Train Loss: 194444.4653, Test Loss: 193605.6858
Epoch 73, Train Loss: 193918.6250, Test Loss: 193863.0747
Epoch 74, Train Loss: 194005.1701, Test Loss: 194309.7812
Epoch 75, Train Loss: 193432.7378, Test Loss: 192855.6198
Epoch 76, Train Loss: 192959.1424, Test Loss: 193434.5208
Epoch 77, Train Loss: 192651.0260, Test Loss: 191767.9323
Epoch 78, Train Loss: 191931.9618, Test Loss: 191426.6701
Epoch 79, Train Loss: 191564.9201, Test Loss: 190927.7483
Epoch 80, Train Loss: 191224.5538, Test Loss: 190586.6632
Epoch 81, Train Loss: 191343.7483, Test Loss: 191170.6441
Epoch 82, Train Loss: 191106.6076, Test Loss: 190525.8038
Epoch 83, Train Loss: 190593.9618, Test Loss: 190405.4358
Epoch 84, Train Loss: 190192.5208, Test Loss: 190014.9167
Epoch 85, Train Loss: 190016.9028, Test Loss: 189576.8802
Epoch 86, Train Loss: 189556.7569, Test Loss: 188851.7674
Epoch 87, Train Loss: 189129.8854, Test Loss: 188752.5365
Epoch 88, Train Loss: 188959.3160, Test Loss: 188329.8767
Epoch 89, Train Loss: 188765.4861, Test Loss: 188763.1910
Epoch 90, Train Loss: 188783.8316, Test Loss: 188131.6562
Epoch 91, Train Loss: 188442.1354, Test Loss: 187681.6372
Epoch 92, Train Loss: 187988.1997, Test Loss: 187470.4167
Epoch 93, Train Loss: 187760.5903, Test Loss: 187795.6337
Epoch 94, Train Loss: 188168.5694, Test Loss: 187596.5260
Epoch 95, Train Loss: 187631.4028, Test Loss: 187486.0226
Epoch 96, Train Loss: 187396.2587, Test Loss: 187240.5312
Epoch 97, Train Loss: 187043.0868, Test Loss: 186315.0278
Epoch 98, Train Loss: 187221.8524, Test Loss: 186293.9583
Epoch 99, Train Loss: 186957.2188, Test Loss: 186599.2101
Epoch 100, Train Loss: 186614.7465, Test Loss: 186331.1007
Epoch 101, Train Loss: 187068.8819, Test Loss: 186438.1042
Epoch 102, Train Loss: 186414.4948, Test Loss: 186505.4861
Epoch 103, Train Loss: 187000.1146, Test Loss: 186414.4653
Epoch 104, Train Loss: 186313.7951, Test Loss: 185452.3316
Epoch 105, Train Loss: 185772.8281, Test Loss: 186366.0382
Epoch 106, Train Loss: 185892.3003, Test Loss: 184752.8316
Epoch 107, Train Loss: 185151.5868, Test Loss: 184810.4392
Epoch 108, Train Loss: 184916.3542, Test Loss: 184442.2639
Epoch 109, Train Loss: 184671.5972, Test Loss: 184607.5035
Epoch 110, Train Loss: 184579.0260, Test Loss: 183737.9132
Epoch 111, Train Loss: 184579.4167, Test Loss: 185825.2517
Epoch 112, Train Loss: 184780.6128, Test Loss: 183848.4167
Epoch 113, Train Loss: 184384.6267, Test Loss: 184297.9410
Epoch 114, Train Loss: 184395.9288, Test Loss: 183017.7691
Epoch 115, Train Loss: 184164.9948, Test Loss: 183241.8368
Epoch 116, Train Loss: 183456.9010, Test Loss: 182779.5469
Epoch 117, Train Loss: 183030.5365, Test Loss: 182480.7257
Epoch 118, Train Loss: 182824.0399, Test Loss: 182443.4028
Epoch 119, Train Loss: 182826.0677, Test Loss: 182456.1389
Epoch 120, Train Loss: 182940.1736, Test Loss: 182764.3073
Epoch 121, Train Loss: 183100.4219, Test Loss: 181846.1684
Epoch 122, Train Loss: 182660.7778, Test Loss: 181821.2587
Epoch 123, Train Loss: 182058.3333, Test Loss: 182262.6215
Epoch 124, Train Loss: 182275.0799, Test Loss: 181937.6736
Epoch 125, Train Loss: 182837.5920, Test Loss: 181735.0556
Epoch 126, Train Loss: 182858.3455, Test Loss: 183820.2361
Epoch 127, Train Loss: 183517.6979, Test Loss: 181454.1944
Epoch 128, Train Loss: 182221.6719, Test Loss: 181235.6319
Epoch 129, Train Loss: 181823.3958, Test Loss: 181791.3212
Epoch 130, Train Loss: 181418.5312, Test Loss: 180723.8889
Epoch 131, Train Loss: 180894.3646, Test Loss: 180592.9080
Epoch 132, Train Loss: 180797.9931, Test Loss: 180501.2708
Epoch 133, Train Loss: 180491.9071, Test Loss: 180003.9253
Epoch 134, Train Loss: 180325.3924, Test Loss: 179837.9826
Epoch 135, Train Loss: 180036.8941, Test Loss: 179596.6406
Epoch 136, Train Loss: 179902.5816, Test Loss: 179583.5538
Epoch 137, Train Loss: 179723.9497, Test Loss: 179308.8750
Epoch 138, Train Loss: 179708.9010, Test Loss: 179250.3559
Epoch 139, Train Loss: 179448.4844, Test Loss: 179056.9514
Epoch 140, Train Loss: 179443.7049, Test Loss: 178910.0729
Epoch 141, Train Loss: 179235.4219, Test Loss: 178817.9844
Epoch 142, Train Loss: 179056.6181, Test Loss: 178715.6719
Epoch 143, Train Loss: 178989.3924, Test Loss: 178787.3333
Epoch 144, Train Loss: 179067.0556, Test Loss: 178978.7639
Epoch 145, Train Loss: 179277.4358, Test Loss: 178467.2483
Epoch 146, Train Loss: 179046.4149, Test Loss: 178232.8472
Epoch 147, Train Loss: 178694.8559, Test Loss: 178213.3976
Epoch 148, Train Loss: 178658.2205, Test Loss: 178927.1580
Epoch 149, Train Loss: 178930.8247, Test Loss: 178799.7101
Epoch 150, Train Loss: 179311.4479, Test Loss: 178179.1146
Epoch 151, Train Loss: 178989.1389, Test Loss: 179027.1319
Epoch 152, Train Loss: 179596.1780, Test Loss: 178670.1354
Epoch 153, Train Loss: 178713.9201, Test Loss: 177689.8194
Epoch 154, Train Loss: 178326.8698, Test Loss: 177604.1302
Epoch 155, Train Loss: 178244.5451, Test Loss: 177968.9375
Epoch 156, Train Loss: 178674.7448, Test Loss: 178163.1510
Epoch 157, Train Loss: 178219.6927, Test Loss: 177375.2431
Epoch 158, Train Loss: 177579.3368, Test Loss: 177065.6719
Epoch 159, Train Loss: 177600.3073, Test Loss: 177466.1823
Epoch 160, Train Loss: 177526.4340, Test Loss: 177220.8507
Epoch 161, Train Loss: 177297.8247, Test Loss: 177177.3542
Epoch 162, Train Loss: 176993.3333, Test Loss: 176793.5885
Epoch 163, Train Loss: 177033.5330, Test Loss: 176625.5382
Epoch 164, Train Loss: 176918.9479, Test Loss: 176466.7760
Epoch 165, Train Loss: 176743.1389, Test Loss: 176433.7274
Epoch 166, Train Loss: 176372.6406, Test Loss: 175979.9965
Epoch 167, Train Loss: 176136.4757, Test Loss: 175568.9323
Epoch 168, Train Loss: 175984.4670, Test Loss: 175826.4410
Epoch 169, Train Loss: 175883.9392, Test Loss: 175572.2292
Epoch 170, Train Loss: 175753.2066, Test Loss: 175344.0469
Epoch 171, Train Loss: 175906.2951, Test Loss: 175521.7517
Epoch 172, Train Loss: 175866.2552, Test Loss: 175606.6979
Epoch 173, Train Loss: 176026.7552, Test Loss: 175865.2882
Epoch 174, Train Loss: 176285.6059, Test Loss: 176525.6528
Epoch 175, Train Loss: 176125.5573, Test Loss: 175808.7795
Epoch 176, Train Loss: 175890.4184, Test Loss: 175082.9635
Epoch 177, Train Loss: 175814.2483, Test Loss: 175132.2465
Epoch 178, Train Loss: 175390.4323, Test Loss: 174968.1858
Epoch 179, Train Loss: 175478.1910, Test Loss: 175700.6076
Epoch 180, Train Loss: 175549.0816, Test Loss: 175614.4948
Epoch 181, Train Loss: 175060.7101, Test Loss: 174697.0347
Epoch 182, Train Loss: 174763.9444, Test Loss: 174050.3247
Epoch 183, Train Loss: 174585.5087, Test Loss: 174335.9167
Epoch 184, Train Loss: 174621.5747, Test Loss: 174134.4826
Epoch 185, Train Loss: 174458.6215, Test Loss: 174082.2569
Epoch 186, Train Loss: 174180.4080, Test Loss: 173838.4444
Epoch 187, Train Loss: 173886.2378, Test Loss: 173620.4635
