Epoch 1, Train Loss: 1607165.3194, Test Loss: 1298884.9722
Epoch 2, Train Loss: 1085655.6319, Test Loss: 846696.4375
Epoch 3, Train Loss: 721588.2708, Test Loss: 593143.0347
Epoch 4, Train Loss: 529423.3924, Test Loss: 463431.9688
Epoch 5, Train Loss: 428910.4583, Test Loss: 392940.9549
Epoch 6, Train Loss: 370891.8715, Test Loss: 345125.0764
Epoch 7, Train Loss: 330490.2292, Test Loss: 312906.0938
Epoch 8, Train Loss: 302107.3715, Test Loss: 288608.8003
Epoch 9, Train Loss: 280676.3264, Test Loss: 270198.5434
Epoch 10, Train Loss: 263785.7517, Test Loss: 256190.7448
Epoch 11, Train Loss: 251616.4097, Test Loss: 244823.6858
Epoch 12, Train Loss: 242415.4392, Test Loss: 236952.6736
Epoch 13, Train Loss: 235794.1128, Test Loss: 233589.8438
Epoch 14, Train Loss: 230811.1823, Test Loss: 226851.1771
Epoch 15, Train Loss: 225446.2326, Test Loss: 223125.1719
Epoch 16, Train Loss: 222147.6476, Test Loss: 219473.1806
Epoch 17, Train Loss: 218879.7622, Test Loss: 216784.3715
Epoch 18, Train Loss: 216412.5486, Test Loss: 214768.0920
Epoch 19, Train Loss: 214607.1684, Test Loss: 213215.9427
Epoch 20, Train Loss: 214038.1076, Test Loss: 211794.9826
Epoch 21, Train Loss: 213071.0608, Test Loss: 214881.1128
Epoch 22, Train Loss: 213411.9549, Test Loss: 211211.9913
Epoch 23, Train Loss: 211267.1076, Test Loss: 208961.2170
Epoch 24, Train Loss: 208524.2986, Test Loss: 208856.5781
Epoch 25, Train Loss: 208152.8021, Test Loss: 206706.3316
Epoch 26, Train Loss: 206668.7795, Test Loss: 205376.9392
Epoch 27, Train Loss: 205678.5885, Test Loss: 204898.2326
Epoch 28, Train Loss: 204779.6979, Test Loss: 203888.1094
Epoch 29, Train Loss: 204546.2865, Test Loss: 205826.8767
Epoch 30, Train Loss: 204063.3038, Test Loss: 203706.1545
Epoch 31, Train Loss: 202953.4896, Test Loss: 201710.2049
Epoch 32, Train Loss: 201707.1997, Test Loss: 201057.8941
Epoch 33, Train Loss: 201240.5712, Test Loss: 200229.8976
Epoch 34, Train Loss: 200330.3264, Test Loss: 199691.7257
Epoch 35, Train Loss: 200020.5608, Test Loss: 199267.0660
Epoch 36, Train Loss: 199522.2674, Test Loss: 198617.2830
Epoch 37, Train Loss: 198707.1406, Test Loss: 197839.1649
Epoch 38, Train Loss: 198604.6979, Test Loss: 197652.0399
Epoch 39, Train Loss: 197872.9861, Test Loss: 197846.5156
Epoch 40, Train Loss: 197563.7101, Test Loss: 196577.9045
Epoch 41, Train Loss: 196803.6146, Test Loss: 196263.4149
Epoch 42, Train Loss: 196506.8889, Test Loss: 195828.3715
Epoch 43, Train Loss: 195755.5885, Test Loss: 196553.3333
Epoch 44, Train Loss: 195718.8194, Test Loss: 194843.8073
Epoch 45, Train Loss: 194678.2431, Test Loss: 194241.8281
Epoch 46, Train Loss: 194298.5312, Test Loss: 193453.7535
Epoch 47, Train Loss: 193680.9323, Test Loss: 193143.4132
Epoch 48, Train Loss: 193133.2760, Test Loss: 192413.5556
Epoch 49, Train Loss: 193265.1701, Test Loss: 192633.7882
Epoch 50, Train Loss: 192876.0625, Test Loss: 194064.3472
Epoch 51, Train Loss: 194515.6771, Test Loss: 193495.6944
Epoch 52, Train Loss: 194378.7274, Test Loss: 192635.0799
Epoch 53, Train Loss: 193352.0139, Test Loss: 195144.4392
Epoch 54, Train Loss: 193254.6042, Test Loss: 191725.9462
Epoch 55, Train Loss: 191494.1319, Test Loss: 191218.9514
Epoch 56, Train Loss: 190600.7812, Test Loss: 189507.0885
Epoch 57, Train Loss: 190202.8194, Test Loss: 189527.4722
Epoch 58, Train Loss: 189524.4549, Test Loss: 189563.4878
Epoch 59, Train Loss: 189855.7535, Test Loss: 189600.4566
Epoch 60, Train Loss: 189429.2014, Test Loss: 188909.6753
Epoch 61, Train Loss: 188767.4167, Test Loss: 188651.6476
Epoch 62, Train Loss: 189299.9392, Test Loss: 191089.2066
Epoch 63, Train Loss: 192094.8767, Test Loss: 191179.9514
Epoch 64, Train Loss: 190888.6319, Test Loss: 189547.0122
Epoch 65, Train Loss: 188845.5260, Test Loss: 188471.2361
Epoch 66, Train Loss: 188235.3403, Test Loss: 187312.7986
Epoch 67, Train Loss: 187221.8438, Test Loss: 186808.4288
Epoch 68, Train Loss: 187259.6562, Test Loss: 186437.1806
Epoch 69, Train Loss: 186456.6615, Test Loss: 186084.8524
Epoch 70, Train Loss: 186210.9653, Test Loss: 185792.6736
Epoch 71, Train Loss: 186362.2691, Test Loss: 185542.2917
Epoch 72, Train Loss: 186646.8681, Test Loss: 185350.1597
Epoch 73, Train Loss: 185857.7535, Test Loss: 184979.6875
Epoch 74, Train Loss: 185582.8038, Test Loss: 185324.9219
Epoch 75, Train Loss: 185324.8576, Test Loss: 185222.6441
Epoch 76, Train Loss: 185190.1215, Test Loss: 184703.2726
Epoch 77, Train Loss: 185003.6111, Test Loss: 183770.6545
Epoch 78, Train Loss: 183834.4271, Test Loss: 183654.9045
Epoch 79, Train Loss: 183595.8142, Test Loss: 182992.6042
Epoch 80, Train Loss: 183305.2569, Test Loss: 182739.1337
Epoch 81, Train Loss: 182978.5087, Test Loss: 182577.5122
Epoch 82, Train Loss: 182834.2170, Test Loss: 182104.2743
Epoch 83, Train Loss: 182429.7760, Test Loss: 181859.1233
Epoch 84, Train Loss: 182125.2049, Test Loss: 181715.7326
Epoch 85, Train Loss: 182182.7413, Test Loss: 181888.7778
Epoch 86, Train Loss: 181863.1181, Test Loss: 181348.2760
Epoch 87, Train Loss: 181638.4531, Test Loss: 181197.0052
Epoch 88, Train Loss: 181472.6163, Test Loss: 180788.7465
Epoch 89, Train Loss: 181213.5174, Test Loss: 180820.3038
Epoch 90, Train Loss: 180838.3681, Test Loss: 180408.0694
Epoch 91, Train Loss: 180473.7812, Test Loss: 179862.7969
Epoch 92, Train Loss: 180286.2865, Test Loss: 179827.8663
Epoch 93, Train Loss: 180137.6944, Test Loss: 179602.1198
Epoch 94, Train Loss: 180008.1927, Test Loss: 179436.5174
Epoch 95, Train Loss: 179622.2188, Test Loss: 179294.2535
Epoch 96, Train Loss: 179596.8507, Test Loss: 179221.4844
Epoch 97, Train Loss: 179784.1545, Test Loss: 180026.9566
Epoch 98, Train Loss: 180842.5139, Test Loss: 183347.8299
Epoch 99, Train Loss: 181588.1771, Test Loss: 180104.0451
Epoch 100, Train Loss: 180124.3802, Test Loss: 178774.2361
Epoch 101, Train Loss: 178989.5451, Test Loss: 179487.4514
Epoch 102, Train Loss: 179348.4948, Test Loss: 178472.1632
Epoch 103, Train Loss: 178739.4045, Test Loss: 177879.6076
Epoch 104, Train Loss: 177918.0000, Test Loss: 177602.6215
Epoch 105, Train Loss: 177847.8767, Test Loss: 177270.2726
Epoch 106, Train Loss: 177317.0399, Test Loss: 177620.3056
Epoch 107, Train Loss: 177300.8507, Test Loss: 176610.0868
Epoch 108, Train Loss: 176838.2292, Test Loss: 176304.4323
Epoch 109, Train Loss: 176635.1441, Test Loss: 176185.5556
Epoch 110, Train Loss: 176521.1562, Test Loss: 176097.1667
Epoch 111, Train Loss: 176454.4184, Test Loss: 176718.5521
Epoch 112, Train Loss: 176492.0590, Test Loss: 175537.2031
Epoch 113, Train Loss: 176747.9167, Test Loss: 178443.8854
Epoch 114, Train Loss: 176623.0729, Test Loss: 176514.6675
Epoch 115, Train Loss: 177637.8611, Test Loss: 175509.6875
Epoch 116, Train Loss: 177465.3941, Test Loss: 177614.1788
Epoch 117, Train Loss: 179841.5243, Test Loss: 175633.7691
Epoch 118, Train Loss: 176913.3698, Test Loss: 177709.2812
Epoch 119, Train Loss: 177154.8073, Test Loss: 177275.1424
Epoch 120, Train Loss: 176367.6007, Test Loss: 175538.8351
Epoch 121, Train Loss: 175429.8993, Test Loss: 174798.2153
Epoch 122, Train Loss: 175124.7778, Test Loss: 174434.2188
Epoch 123, Train Loss: 175401.1562, Test Loss: 175407.8663
Epoch 124, Train Loss: 174964.4583, Test Loss: 173760.7205
Epoch 125, Train Loss: 174638.9167, Test Loss: 178539.9635
Epoch 126, Train Loss: 177575.7951, Test Loss: 179733.3177
Epoch 127, Train Loss: 175942.0382, Test Loss: 174766.6389
Epoch 128, Train Loss: 174512.4271, Test Loss: 174064.3229
Epoch 129, Train Loss: 173702.9288, Test Loss: 173045.5712
Epoch 130, Train Loss: 173405.2847, Test Loss: 173978.8247
Epoch 131, Train Loss: 173457.9618, Test Loss: 173609.2448
Epoch 132, Train Loss: 174077.6510, Test Loss: 175612.3385
Epoch 133, Train Loss: 174191.7066, Test Loss: 172646.1910
Epoch 134, Train Loss: 173017.8160, Test Loss: 172398.5729
Epoch 135, Train Loss: 172260.2830, Test Loss: 172399.9045
Epoch 136, Train Loss: 172070.3073, Test Loss: 171486.1094
Epoch 137, Train Loss: 171406.0122, Test Loss: 171209.3229
Epoch 138, Train Loss: 171654.8698, Test Loss: 170644.0694
