Epoch 1, Train Loss: 1628165.2500, Test Loss: 1287579.1667
Epoch 2, Train Loss: 1062366.4583, Test Loss: 813621.5000
Epoch 3, Train Loss: 679615.7222, Test Loss: 543921.2882
Epoch 4, Train Loss: 479517.3958, Test Loss: 414498.4618
Epoch 5, Train Loss: 382326.7708, Test Loss: 352877.4861
Epoch 6, Train Loss: 334186.6597, Test Loss: 311336.5851
Epoch 7, Train Loss: 301827.7743, Test Loss: 290256.5365
Epoch 8, Train Loss: 279049.8733, Test Loss: 268117.8976
Epoch 9, Train Loss: 261192.6719, Test Loss: 253231.3455
Epoch 10, Train Loss: 249048.4740, Test Loss: 243102.3646
Epoch 11, Train Loss: 239937.9844, Test Loss: 234979.3663
Epoch 12, Train Loss: 233209.1024, Test Loss: 230223.7604
Epoch 13, Train Loss: 229433.9444, Test Loss: 224840.7795
Epoch 14, Train Loss: 225362.6476, Test Loss: 225719.0226
Epoch 15, Train Loss: 223217.1892, Test Loss: 218473.7969
Epoch 16, Train Loss: 218885.8611, Test Loss: 215748.7986
Epoch 17, Train Loss: 215480.4201, Test Loss: 214051.8351
Epoch 18, Train Loss: 213747.7656, Test Loss: 212462.1580
Epoch 19, Train Loss: 212003.2795, Test Loss: 211084.3924
Epoch 20, Train Loss: 210743.6823, Test Loss: 209594.9375
Epoch 21, Train Loss: 209643.5122, Test Loss: 208534.7031
Epoch 22, Train Loss: 208705.8333, Test Loss: 207777.6111
Epoch 23, Train Loss: 207809.3403, Test Loss: 206488.5399
Epoch 24, Train Loss: 206880.2847, Test Loss: 208229.9618
Epoch 25, Train Loss: 206372.7465, Test Loss: 205350.6111
Epoch 26, Train Loss: 206023.7378, Test Loss: 207561.7639
Epoch 27, Train Loss: 205236.2188, Test Loss: 203332.9896
Epoch 28, Train Loss: 203788.1684, Test Loss: 202677.4566
Epoch 29, Train Loss: 202769.5243, Test Loss: 202494.6823
Epoch 30, Train Loss: 202749.8385, Test Loss: 202421.3663
Epoch 31, Train Loss: 201609.0486, Test Loss: 200608.8003
