Epoch 1, Train Loss: 1566536.4722, Test Loss: 1223923.3889
Epoch 2, Train Loss: 988120.2292, Test Loss: 740439.6806
Epoch 3, Train Loss: 619625.9826, Test Loss: 501175.0104
Epoch 4, Train Loss: 442313.4062, Test Loss: 385809.4549
Epoch 5, Train Loss: 352818.1562, Test Loss: 318915.2847
Epoch 6, Train Loss: 300966.8785, Test Loss: 278351.9184
Epoch 7, Train Loss: 266887.3125, Test Loss: 253644.3941
Epoch 8, Train Loss: 247777.0208, Test Loss: 239745.1771
Epoch 9, Train Loss: 236472.1632, Test Loss: 230669.5139
Epoch 10, Train Loss: 228126.8628, Test Loss: 222973.7118
Epoch 11, Train Loss: 222152.4844, Test Loss: 220402.1181
Epoch 12, Train Loss: 218178.0694, Test Loss: 215381.8316
Epoch 13, Train Loss: 215257.3472, Test Loss: 212933.6545
Epoch 14, Train Loss: 212713.5312, Test Loss: 211536.4392
Epoch 15, Train Loss: 210648.0955, Test Loss: 209482.3385
Epoch 16, Train Loss: 209047.8038, Test Loss: 207506.0694
Epoch 17, Train Loss: 207705.7812, Test Loss: 206335.1059
Epoch 18, Train Loss: 206434.0938, Test Loss: 205547.0243
Epoch 19, Train Loss: 205280.4896, Test Loss: 204224.5764
Epoch 20, Train Loss: 204627.7969, Test Loss: 203396.8403
Epoch 21, Train Loss: 204339.3021, Test Loss: 202662.4340
Epoch 22, Train Loss: 202937.6615, Test Loss: 201920.1858
Epoch 23, Train Loss: 203237.4288, Test Loss: 202850.7205
Epoch 24, Train Loss: 203290.8681, Test Loss: 200806.6580
Epoch 25, Train Loss: 201171.2413, Test Loss: 199878.5226
Epoch 26, Train Loss: 199981.5295, Test Loss: 200630.1649
Epoch 27, Train Loss: 198922.8420, Test Loss: 199346.1076
Epoch 28, Train Loss: 198114.2118, Test Loss: 196386.1840
Epoch 29, Train Loss: 197414.8542, Test Loss: 198217.2951
Epoch 30, Train Loss: 197207.6094, Test Loss: 195453.9549
Epoch 31, Train Loss: 195519.5851, Test Loss: 195507.8021
Epoch 32, Train Loss: 194710.9670, Test Loss: 195203.8941
Epoch 33, Train Loss: 194072.8837, Test Loss: 192265.7517
Epoch 34, Train Loss: 192570.7760, Test Loss: 191749.4097
Epoch 35, Train Loss: 191666.0885, Test Loss: 190575.3438
Epoch 36, Train Loss: 190747.7691, Test Loss: 190059.0972
Epoch 37, Train Loss: 190219.9792, Test Loss: 189488.5174
Epoch 38, Train Loss: 189533.3073, Test Loss: 188631.1823
Epoch 39, Train Loss: 188869.1927, Test Loss: 187750.2969
Epoch 40, Train Loss: 187938.5851, Test Loss: 188071.6059
Epoch 41, Train Loss: 188271.8003, Test Loss: 190109.3542
Epoch 42, Train Loss: 188421.0434, Test Loss: 187092.6267
Epoch 43, Train Loss: 187128.8333, Test Loss: 193508.8333
Epoch 44, Train Loss: 189291.9427, Test Loss: 185779.3872
Epoch 45, Train Loss: 185965.3698, Test Loss: 184953.5920
Epoch 46, Train Loss: 184874.7604, Test Loss: 183470.4392
Epoch 47, Train Loss: 184274.0556, Test Loss: 182666.1632
Epoch 48, Train Loss: 183143.3003, Test Loss: 182418.5781
Epoch 49, Train Loss: 183238.6007, Test Loss: 184041.5608
Epoch 50, Train Loss: 182643.6701, Test Loss: 183717.5000
Epoch 51, Train Loss: 182537.8056, Test Loss: 181771.1545
Epoch 52, Train Loss: 182190.2049, Test Loss: 181230.3472
Epoch 53, Train Loss: 182608.4670, Test Loss: 181735.9809
Epoch 54, Train Loss: 181985.8229, Test Loss: 180445.6736
Epoch 55, Train Loss: 181619.7465, Test Loss: 179323.7691
Epoch 56, Train Loss: 179166.9601, Test Loss: 178728.5833
Epoch 57, Train Loss: 178744.2396, Test Loss: 178344.6458
Epoch 58, Train Loss: 178062.3715, Test Loss: 177887.5903
Epoch 59, Train Loss: 177617.4965, Test Loss: 177005.6788
Epoch 60, Train Loss: 177508.6094, Test Loss: 176136.2049
Epoch 61, Train Loss: 176480.8247, Test Loss: 175715.5764
Epoch 62, Train Loss: 175847.6007, Test Loss: 175172.1181
Epoch 63, Train Loss: 175461.2986, Test Loss: 174548.5069
Epoch 64, Train Loss: 175105.4253, Test Loss: 174126.1215
Epoch 65, Train Loss: 174412.5243, Test Loss: 173854.7118
Epoch 66, Train Loss: 173984.0642, Test Loss: 173332.9670
Epoch 67, Train Loss: 173563.8229, Test Loss: 173473.8056
