Epoch 1, Train Loss: 1496842.6528, Test Loss: 1079570.3194
Epoch 2, Train Loss: 859927.2986, Test Loss: 629582.6736
Epoch 3, Train Loss: 520282.6771, Test Loss: 408900.8889
Epoch 4, Train Loss: 368016.5556, Test Loss: 327381.2500
Epoch 5, Train Loss: 306360.5312, Test Loss: 284560.7465
Epoch 6, Train Loss: 274267.7691, Test Loss: 260271.8229
Epoch 7, Train Loss: 254461.5365, Test Loss: 245207.8333
Epoch 8, Train Loss: 241021.8021, Test Loss: 235265.6302
Epoch 9, Train Loss: 231945.9462, Test Loss: 227858.4896
Epoch 10, Train Loss: 225823.9826, Test Loss: 222757.5903
Epoch 11, Train Loss: 221395.0851, Test Loss: 218693.2205
Epoch 12, Train Loss: 217566.9497, Test Loss: 215088.4931
Epoch 13, Train Loss: 215037.2865, Test Loss: 214153.6806
Epoch 14, Train Loss: 213789.7153, Test Loss: 211688.7361
Epoch 15, Train Loss: 211533.8611, Test Loss: 209565.7066
Epoch 16, Train Loss: 209422.2378, Test Loss: 207982.1198
Epoch 17, Train Loss: 207852.9201, Test Loss: 206459.4948
Epoch 18, Train Loss: 206930.1840, Test Loss: 205458.5486
Epoch 19, Train Loss: 205555.8455, Test Loss: 204023.6649
Epoch 20, Train Loss: 204213.0104, Test Loss: 202859.6840
Epoch 21, Train Loss: 203448.8524, Test Loss: 202947.2309
Epoch 22, Train Loss: 202035.3073, Test Loss: 201827.8299
Epoch 23, Train Loss: 201065.5677, Test Loss: 200796.9028
Epoch 24, Train Loss: 200109.6545, Test Loss: 199244.0069
Epoch 25, Train Loss: 199354.5694, Test Loss: 201537.4167
Epoch 26, Train Loss: 199917.8142, Test Loss: 197136.3177
Epoch 27, Train Loss: 197504.9948, Test Loss: 196149.6927
Epoch 28, Train Loss: 197400.8299, Test Loss: 196944.8420
Epoch 29, Train Loss: 196543.2812, Test Loss: 199692.7778
Epoch 30, Train Loss: 196232.1337, Test Loss: 195691.0104
Epoch 31, Train Loss: 194910.8819, Test Loss: 192956.6806
Epoch 32, Train Loss: 193033.7014, Test Loss: 193124.7396
Epoch 33, Train Loss: 193124.2031, Test Loss: 193393.0677
Epoch 34, Train Loss: 192128.8924, Test Loss: 191559.3785
Epoch 35, Train Loss: 191702.6545, Test Loss: 194454.9062
Epoch 36, Train Loss: 192953.6858, Test Loss: 189469.5503
Epoch 37, Train Loss: 189591.5295, Test Loss: 188844.3802
Epoch 38, Train Loss: 189476.0955, Test Loss: 187405.5903
Epoch 39, Train Loss: 188326.9514, Test Loss: 186979.3212
Epoch 40, Train Loss: 187035.1024, Test Loss: 185840.4774
Epoch 41, Train Loss: 186133.8646, Test Loss: 184845.6076
Epoch 42, Train Loss: 185744.5920, Test Loss: 185310.9219
Epoch 43, Train Loss: 185197.6910, Test Loss: 184778.2188
Epoch 44, Train Loss: 184685.1111, Test Loss: 183140.8837
Epoch 45, Train Loss: 183874.2587, Test Loss: 183220.3368
Epoch 46, Train Loss: 183579.8385, Test Loss: 181913.1215
Epoch 47, Train Loss: 182286.5139, Test Loss: 181588.0226
Epoch 48, Train Loss: 181788.5382, Test Loss: 180807.3351
Epoch 49, Train Loss: 181027.8177, Test Loss: 180442.8958
Epoch 50, Train Loss: 180480.0347, Test Loss: 180282.5382
Epoch 51, Train Loss: 180047.0938, Test Loss: 179037.7205
Epoch 52, Train Loss: 179511.1319, Test Loss: 178962.1267
Epoch 53, Train Loss: 179043.3142, Test Loss: 178068.1476
Epoch 54, Train Loss: 178069.7517, Test Loss: 177017.2049
Epoch 55, Train Loss: 177706.6458, Test Loss: 177075.9149
Epoch 56, Train Loss: 177729.3976, Test Loss: 176532.8281
Epoch 57, Train Loss: 177289.8576, Test Loss: 176474.4462
Epoch 58, Train Loss: 176632.1997, Test Loss: 176277.0833
