Epoch 1, Train Loss: 1630190.7361, Test Loss: 1243323.6111
Epoch 2, Train Loss: 981181.6458, Test Loss: 719588.2847
Epoch 3, Train Loss: 591516.7188, Test Loss: 468621.5521
Epoch 4, Train Loss: 418417.4826, Test Loss: 367815.6424
Epoch 5, Train Loss: 336519.9653, Test Loss: 306548.7170
Epoch 6, Train Loss: 291576.7639, Test Loss: 274789.1771
Epoch 7, Train Loss: 265402.0938, Test Loss: 254581.0017
Epoch 8, Train Loss: 249237.6128, Test Loss: 241845.9896
Epoch 9, Train Loss: 237910.7830, Test Loss: 232418.2569
Epoch 10, Train Loss: 229754.7378, Test Loss: 225644.7708
Epoch 11, Train Loss: 224232.4583, Test Loss: 222456.4462
Epoch 12, Train Loss: 221188.2309, Test Loss: 220055.9722
Epoch 13, Train Loss: 218580.7622, Test Loss: 216858.3854
Epoch 14, Train Loss: 216011.5312, Test Loss: 214505.6181
Epoch 15, Train Loss: 214290.6597, Test Loss: 211730.0052
Epoch 16, Train Loss: 211733.8958, Test Loss: 212221.5104
Epoch 17, Train Loss: 210173.3142, Test Loss: 208533.6684
Epoch 18, Train Loss: 208825.0122, Test Loss: 206901.4427
Epoch 19, Train Loss: 206690.3021, Test Loss: 205471.8872
Epoch 20, Train Loss: 205818.8872, Test Loss: 205505.0677
Epoch 21, Train Loss: 204735.6024, Test Loss: 205616.8542
Epoch 22, Train Loss: 204389.1458, Test Loss: 205611.3576
Epoch 23, Train Loss: 204669.3160, Test Loss: 201250.9896
Epoch 24, Train Loss: 201667.1562, Test Loss: 199794.2899
Epoch 25, Train Loss: 200112.1719, Test Loss: 198822.6840
Epoch 26, Train Loss: 199471.3021, Test Loss: 199188.2257
Epoch 27, Train Loss: 199074.2326, Test Loss: 197551.3299
Epoch 28, Train Loss: 197833.2344, Test Loss: 196100.8194
Epoch 29, Train Loss: 196619.2448, Test Loss: 197460.6615
Epoch 30, Train Loss: 199033.0781, Test Loss: 197169.2413
Epoch 31, Train Loss: 195295.8125, Test Loss: 194261.8403
Epoch 32, Train Loss: 194139.5660, Test Loss: 192817.5104
Epoch 33, Train Loss: 193930.6181, Test Loss: 193302.1250
Epoch 34, Train Loss: 193644.6042, Test Loss: 193676.3490
Epoch 35, Train Loss: 194715.2656, Test Loss: 191658.0885
Epoch 36, Train Loss: 191432.3212, Test Loss: 191537.9062
Epoch 37, Train Loss: 190612.3906, Test Loss: 189680.1823
Epoch 38, Train Loss: 189884.5868, Test Loss: 188592.6962
Epoch 39, Train Loss: 188471.8976, Test Loss: 188071.7639
Epoch 40, Train Loss: 187905.8594, Test Loss: 187348.9965
Epoch 41, Train Loss: 187511.8177, Test Loss: 185479.7361
Epoch 42, Train Loss: 186043.1545, Test Loss: 184796.9028
Epoch 43, Train Loss: 185840.9410, Test Loss: 185783.7361
Epoch 44, Train Loss: 185806.5226, Test Loss: 183871.9358
Epoch 45, Train Loss: 184413.8802, Test Loss: 183175.7674
Epoch 46, Train Loss: 184970.7778, Test Loss: 184507.0747
Epoch 47, Train Loss: 183446.1597, Test Loss: 182449.2587
Epoch 48, Train Loss: 182951.2170, Test Loss: 185085.3576
Epoch 49, Train Loss: 183233.8021, Test Loss: 182049.5052
Epoch 50, Train Loss: 181308.3438, Test Loss: 180126.3385
Epoch 51, Train Loss: 179805.9323, Test Loss: 178826.6128
Epoch 52, Train Loss: 179145.0608, Test Loss: 178133.3819
Epoch 53, Train Loss: 178522.9653, Test Loss: 177847.4601
Epoch 54, Train Loss: 177940.2847, Test Loss: 177180.7899
Epoch 55, Train Loss: 177244.0399, Test Loss: 175914.8368
Epoch 56, Train Loss: 176240.2622, Test Loss: 175290.8021
Epoch 57, Train Loss: 175581.7899, Test Loss: 174383.2656
Epoch 58, Train Loss: 175004.4045, Test Loss: 174048.4132
Epoch 59, Train Loss: 174342.5017, Test Loss: 173527.1285
Epoch 60, Train Loss: 173824.1302, Test Loss: 173350.0573
Epoch 61, Train Loss: 173168.6476, Test Loss: 172025.0851
Epoch 62, Train Loss: 172271.6615, Test Loss: 171593.8767
