Epoch 1, Train Loss: 1449965.1667, Test Loss: 1021613.5208
Epoch 2, Train Loss: 786844.5972, Test Loss: 568743.7083
Epoch 3, Train Loss: 470632.9896, Test Loss: 382255.6042
Epoch 4, Train Loss: 348944.8333, Test Loss: 310042.9271
Epoch 5, Train Loss: 294662.2691, Test Loss: 277292.4097
Epoch 6, Train Loss: 267351.2465, Test Loss: 255464.6458
Epoch 7, Train Loss: 249697.3872, Test Loss: 242745.4965
Epoch 8, Train Loss: 237847.4184, Test Loss: 231982.5208
Epoch 9, Train Loss: 229163.0139, Test Loss: 224505.9410
Epoch 10, Train Loss: 223129.9670, Test Loss: 220369.4497
Epoch 11, Train Loss: 218969.9948, Test Loss: 216438.3681
Epoch 12, Train Loss: 215415.9948, Test Loss: 213519.7118
Epoch 13, Train Loss: 213133.9184, Test Loss: 210205.3507
Epoch 14, Train Loss: 211041.3628, Test Loss: 210181.0052
Epoch 15, Train Loss: 209602.5434, Test Loss: 207216.4826
Epoch 16, Train Loss: 207059.3247, Test Loss: 207284.3854
Epoch 17, Train Loss: 205680.3281, Test Loss: 203597.5903
Epoch 18, Train Loss: 204414.3924, Test Loss: 202725.8594
Epoch 19, Train Loss: 202920.7135, Test Loss: 201500.1667
Epoch 20, Train Loss: 201511.5139, Test Loss: 200529.0573
Epoch 21, Train Loss: 207012.4861, Test Loss: 204485.2413
Epoch 22, Train Loss: 205853.2413, Test Loss: 202383.1632
Epoch 23, Train Loss: 201110.7500, Test Loss: 198287.5556
Epoch 24, Train Loss: 198684.6250, Test Loss: 195440.0243
Epoch 25, Train Loss: 196500.7812, Test Loss: 197320.4826
Epoch 26, Train Loss: 195861.7257, Test Loss: 194078.4931
Epoch 27, Train Loss: 194426.0278, Test Loss: 193876.0399
Epoch 28, Train Loss: 193089.7760, Test Loss: 191551.2830
Epoch 29, Train Loss: 191866.4427, Test Loss: 191184.8316
Epoch 30, Train Loss: 190824.5226, Test Loss: 189415.0885
Epoch 31, Train Loss: 189451.1753, Test Loss: 188246.9601
Epoch 32, Train Loss: 188680.5781, Test Loss: 187496.3194
Epoch 33, Train Loss: 187726.8351, Test Loss: 186570.1771
Epoch 34, Train Loss: 187031.8056, Test Loss: 185701.9236
Epoch 35, Train Loss: 186177.5712, Test Loss: 185591.1042
Epoch 36, Train Loss: 185601.7031, Test Loss: 184144.0104
Epoch 37, Train Loss: 184714.0833, Test Loss: 183596.9653
Epoch 38, Train Loss: 183538.4115, Test Loss: 182107.1944
Epoch 39, Train Loss: 182703.1771, Test Loss: 181332.4028
Epoch 40, Train Loss: 182864.9549, Test Loss: 183766.4028
Epoch 41, Train Loss: 182622.7396, Test Loss: 180139.0990
Epoch 42, Train Loss: 180462.7934, Test Loss: 179382.6580
Epoch 43, Train Loss: 179764.1997, Test Loss: 178409.3976
Epoch 44, Train Loss: 178916.9844, Test Loss: 177795.9080
Epoch 45, Train Loss: 179065.7205, Test Loss: 182415.1944
Epoch 46, Train Loss: 180468.4410, Test Loss: 180274.0399
Epoch 47, Train Loss: 179125.2257, Test Loss: 177528.3872
Epoch 48, Train Loss: 177244.2917, Test Loss: 176893.1007
Epoch 49, Train Loss: 175991.9340, Test Loss: 174081.6024
Epoch 50, Train Loss: 174513.7847, Test Loss: 173104.3785
Epoch 51, Train Loss: 173610.5781, Test Loss: 173732.9566
Epoch 52, Train Loss: 174473.5312, Test Loss: 179423.1233
Epoch 53, Train Loss: 174517.4271, Test Loss: 172287.0972
Epoch 54, Train Loss: 173387.4965, Test Loss: 171669.7205
Epoch 55, Train Loss: 171826.5938, Test Loss: 170613.9462
Epoch 56, Train Loss: 171982.1892, Test Loss: 171573.7934
Epoch 57, Train Loss: 171258.5903, Test Loss: 169125.1979
Epoch 58, Train Loss: 170763.4740, Test Loss: 169350.3958
Epoch 59, Train Loss: 170925.9618, Test Loss: 168124.5434
Epoch 60, Train Loss: 169062.1858, Test Loss: 167027.7865
Epoch 61, Train Loss: 167527.0139, Test Loss: 166375.2604
Epoch 62, Train Loss: 166547.4080, Test Loss: 165285.8906
Epoch 63, Train Loss: 165378.8594, Test Loss: 163998.0503
Epoch 64, Train Loss: 164617.7899, Test Loss: 163975.6927
Epoch 65, Train Loss: 164064.1649, Test Loss: 163317.3316
Epoch 66, Train Loss: 163928.4358, Test Loss: 162889.4184
Epoch 67, Train Loss: 163016.2413, Test Loss: 161717.9618
Epoch 68, Train Loss: 162519.9809, Test Loss: 162509.8160
Epoch 69, Train Loss: 162224.1319, Test Loss: 162380.0799
Epoch 70, Train Loss: 161815.1753, Test Loss: 159835.8941
Epoch 71, Train Loss: 160186.7378, Test Loss: 159879.7153
Epoch 72, Train Loss: 159648.2769, Test Loss: 158403.2951
Epoch 73, Train Loss: 158989.7847, Test Loss: 158049.4262
Epoch 74, Train Loss: 158369.4878, Test Loss: 157665.8142
Epoch 75, Train Loss: 157790.0017, Test Loss: 157704.4705
Epoch 76, Train Loss: 157321.1519, Test Loss: 157020.2917
Epoch 77, Train Loss: 156803.9826, Test Loss: 156484.0573
Epoch 78, Train Loss: 156534.3958, Test Loss: 155572.5347
Epoch 79, Train Loss: 156273.0365, Test Loss: 157173.1562
Epoch 80, Train Loss: 157418.1007, Test Loss: 157970.2205
Epoch 81, Train Loss: 156548.7830, Test Loss: 154664.4453
Epoch 82, Train Loss: 155546.9896, Test Loss: 156151.1233
Epoch 83, Train Loss: 154268.6302, Test Loss: 152907.8967
Epoch 84, Train Loss: 153402.4965, Test Loss: 151726.9722
