Epoch 1, Train Loss: 1480932.8056, Test Loss: 999241.1875
Epoch 2, Train Loss: 752774.1736, Test Loss: 520214.4965
Epoch 3, Train Loss: 432372.6424, Test Loss: 360988.2812
Epoch 4, Train Loss: 328881.4618, Test Loss: 303646.1111
Epoch 5, Train Loss: 288428.5868, Test Loss: 271191.0052
Epoch 6, Train Loss: 262651.9722, Test Loss: 251829.6667
Epoch 7, Train Loss: 246831.2726, Test Loss: 239704.6580
Epoch 8, Train Loss: 236333.1146, Test Loss: 230066.0000
Epoch 9, Train Loss: 227063.4375, Test Loss: 221835.7552
Epoch 10, Train Loss: 220283.0972, Test Loss: 216896.4566
Epoch 11, Train Loss: 215882.6424, Test Loss: 213013.5590
Epoch 12, Train Loss: 212405.8229, Test Loss: 210858.5347
Epoch 13, Train Loss: 209793.5347, Test Loss: 207995.5781
Epoch 14, Train Loss: 207683.1128, Test Loss: 206576.1042
Epoch 15, Train Loss: 206126.3767, Test Loss: 204358.4201
Epoch 16, Train Loss: 204921.4566, Test Loss: 205301.6476
Epoch 17, Train Loss: 203923.2170, Test Loss: 203119.9931
Epoch 18, Train Loss: 202401.4948, Test Loss: 201030.5920
Epoch 19, Train Loss: 200744.0434, Test Loss: 199538.5434
Epoch 20, Train Loss: 201918.5087, Test Loss: 201007.1250
Epoch 21, Train Loss: 199240.0816, Test Loss: 197568.8212
Epoch 22, Train Loss: 197551.5486, Test Loss: 196461.0295
Epoch 23, Train Loss: 196443.8611, Test Loss: 194843.7552
Epoch 24, Train Loss: 195533.8628, Test Loss: 194712.3837
Epoch 25, Train Loss: 194310.0000, Test Loss: 192865.9618
Epoch 26, Train Loss: 193620.4392, Test Loss: 191889.3854
Epoch 27, Train Loss: 193287.8299, Test Loss: 190692.3229
Epoch 28, Train Loss: 191221.6424, Test Loss: 189673.5972
Epoch 29, Train Loss: 191150.4896, Test Loss: 189064.5729
Epoch 30, Train Loss: 189889.6962, Test Loss: 189538.6059
Epoch 31, Train Loss: 189441.0972, Test Loss: 188825.9844
Epoch 32, Train Loss: 187491.7153, Test Loss: 187345.1198
Epoch 33, Train Loss: 187047.7205, Test Loss: 186037.6354
Epoch 34, Train Loss: 185695.7708, Test Loss: 185014.6736
Epoch 35, Train Loss: 184958.3299, Test Loss: 183825.7326
Epoch 36, Train Loss: 184075.2326, Test Loss: 182435.5174
Epoch 37, Train Loss: 183362.2153, Test Loss: 181899.8333
Epoch 38, Train Loss: 182700.8802, Test Loss: 181840.1233
Epoch 39, Train Loss: 183108.5590, Test Loss: 180733.5052
Epoch 40, Train Loss: 181507.3385, Test Loss: 179747.0781
Epoch 41, Train Loss: 182861.2795, Test Loss: 181627.9323
Epoch 42, Train Loss: 180204.7830, Test Loss: 179085.8958
Epoch 43, Train Loss: 179124.1788, Test Loss: 178255.4861
Epoch 44, Train Loss: 178009.6267, Test Loss: 177475.7066
Epoch 45, Train Loss: 177962.0312, Test Loss: 176738.7535
Epoch 46, Train Loss: 176964.5990, Test Loss: 175132.7309
Epoch 47, Train Loss: 175261.3906, Test Loss: 175534.2951
Epoch 48, Train Loss: 174838.1979, Test Loss: 173610.3038
Epoch 49, Train Loss: 173972.4167, Test Loss: 172044.6319
Epoch 50, Train Loss: 172437.5833, Test Loss: 171618.4392
Epoch 51, Train Loss: 171633.7170, Test Loss: 170825.3160
Epoch 52, Train Loss: 171050.0260, Test Loss: 170927.8837
Epoch 53, Train Loss: 170299.4983, Test Loss: 169084.5781
Epoch 54, Train Loss: 170037.1979, Test Loss: 171180.1128
Epoch 55, Train Loss: 170457.0868, Test Loss: 168452.3611
Epoch 56, Train Loss: 169135.7708, Test Loss: 167657.3385
Epoch 57, Train Loss: 167429.8247, Test Loss: 166411.0660
Epoch 58, Train Loss: 166656.6267, Test Loss: 165282.0017
Epoch 59, Train Loss: 166040.4774, Test Loss: 165881.6944
Epoch 60, Train Loss: 165834.7240, Test Loss: 163651.1163
Epoch 61, Train Loss: 164155.2778, Test Loss: 163469.0399
Epoch 62, Train Loss: 163485.5885, Test Loss: 162592.1007
Epoch 63, Train Loss: 163185.5773, Test Loss: 162173.5712
Epoch 64, Train Loss: 162917.2587, Test Loss: 161111.7257
Epoch 65, Train Loss: 162533.1719, Test Loss: 161809.8351
Epoch 66, Train Loss: 161789.6823, Test Loss: 160591.3438
Epoch 67, Train Loss: 161817.0035, Test Loss: 159144.4028
Epoch 68, Train Loss: 162398.9809, Test Loss: 163062.5642
Epoch 69, Train Loss: 161889.2066, Test Loss: 159131.2969
Epoch 70, Train Loss: 160560.6372, Test Loss: 159300.1233
Epoch 71, Train Loss: 159069.2292, Test Loss: 157806.8247
Epoch 72, Train Loss: 158407.1181, Test Loss: 156573.9375
Epoch 73, Train Loss: 158326.0842, Test Loss: 155913.1562
Epoch 74, Train Loss: 158120.3464, Test Loss: 155435.2622
Epoch 75, Train Loss: 157026.9097, Test Loss: 155214.7292
Epoch 76, Train Loss: 156718.4306, Test Loss: 154173.9444
Epoch 77, Train Loss: 156095.4410, Test Loss: 155946.2726
Epoch 78, Train Loss: 156307.2240, Test Loss: 152369.2274
Epoch 79, Train Loss: 153802.1823, Test Loss: 153468.1372
Epoch 80, Train Loss: 154069.9479, Test Loss: 153328.6997
Epoch 81, Train Loss: 153668.0017, Test Loss: 151237.0000
Epoch 82, Train Loss: 151346.6562, Test Loss: 150257.7361
Epoch 83, Train Loss: 150560.3247, Test Loss: 149980.0677
Epoch 84, Train Loss: 149639.8021, Test Loss: 148741.6667
Epoch 85, Train Loss: 148711.7830, Test Loss: 148361.7812
Epoch 86, Train Loss: 149033.8733, Test Loss: 148335.8377
Epoch 87, Train Loss: 148803.8394, Test Loss: 147833.0451
Epoch 88, Train Loss: 148146.5330, Test Loss: 147761.1267
Epoch 89, Train Loss: 149151.9358, Test Loss: 146187.5434
Epoch 90, Train Loss: 146426.4479, Test Loss: 145082.2726
Epoch 91, Train Loss: 145469.1649, Test Loss: 144192.4427
Epoch 92, Train Loss: 144526.1198, Test Loss: 144041.5408
Epoch 93, Train Loss: 144162.3906, Test Loss: 143637.7743
Epoch 94, Train Loss: 143816.8915, Test Loss: 144212.3924
Epoch 95, Train Loss: 143566.0078, Test Loss: 144105.8950
Epoch 96, Train Loss: 143295.7674, Test Loss: 145343.0191
Epoch 97, Train Loss: 145204.7188, Test Loss: 141207.6884
Epoch 98, Train Loss: 142967.8003, Test Loss: 142714.0069
Epoch 99, Train Loss: 142485.0825, Test Loss: 140877.5278
Epoch 100, Train Loss: 141364.4340, Test Loss: 140292.5304
Epoch 101, Train Loss: 141487.3333, Test Loss: 140243.1745
Epoch 102, Train Loss: 140821.8455, Test Loss: 139151.7396
Epoch 103, Train Loss: 139690.4800, Test Loss: 139752.5938
Epoch 104, Train Loss: 139259.3602, Test Loss: 138451.6970
Epoch 105, Train Loss: 139457.9965, Test Loss: 137476.4288
Epoch 106, Train Loss: 138000.9523, Test Loss: 139165.5868
Epoch 107, Train Loss: 140408.1068, Test Loss: 139690.8767
Epoch 108, Train Loss: 142757.6337, Test Loss: 137883.1198
Epoch 109, Train Loss: 140643.9609, Test Loss: 146403.9219
Epoch 110, Train Loss: 146225.8368, Test Loss: 148679.2205
Epoch 111, Train Loss: 153407.4844, Test Loss: 153520.0347
Epoch 112, Train Loss: 146708.5521, Test Loss: 140880.3151
Epoch 113, Train Loss: 143127.6372, Test Loss: 139552.6146
Epoch 114, Train Loss: 138991.1155, Test Loss: 137255.4488
Epoch 115, Train Loss: 137145.6753, Test Loss: 136440.9193
Epoch 116, Train Loss: 135910.1163, Test Loss: 134061.8021
Epoch 117, Train Loss: 134608.5842, Test Loss: 135630.1372
Epoch 118, Train Loss: 134367.0833, Test Loss: 132454.6155
Epoch 119, Train Loss: 132876.5703, Test Loss: 131929.0226
Epoch 120, Train Loss: 133303.3151, Test Loss: 132246.8585
Epoch 121, Train Loss: 133243.6632, Test Loss: 136903.1606
Epoch 122, Train Loss: 133961.2587, Test Loss: 136797.2865
Epoch 123, Train Loss: 133862.4688, Test Loss: 136125.2214
Epoch 124, Train Loss: 134123.5825, Test Loss: 130158.9444
Epoch 125, Train Loss: 132023.8845, Test Loss: 130043.5720
Epoch 126, Train Loss: 130845.2882, Test Loss: 129489.6406
Epoch 127, Train Loss: 129516.3464, Test Loss: 128644.8715
Epoch 128, Train Loss: 128903.4844, Test Loss: 128158.0911
Epoch 129, Train Loss: 128314.0512, Test Loss: 127449.9045
Epoch 130, Train Loss: 128083.1823, Test Loss: 127230.3151
Epoch 131, Train Loss: 127792.1684, Test Loss: 126970.1710
Epoch 132, Train Loss: 127319.7483, Test Loss: 126627.7734
Epoch 133, Train Loss: 126906.1406, Test Loss: 126405.0052
Epoch 134, Train Loss: 126858.0382, Test Loss: 126101.6997
Epoch 135, Train Loss: 126678.8602, Test Loss: 125541.6155
Epoch 136, Train Loss: 125994.1467, Test Loss: 125169.7778
Epoch 137, Train Loss: 125683.3264, Test Loss: 124889.1736
Epoch 138, Train Loss: 125098.6250, Test Loss: 124406.5434
Epoch 139, Train Loss: 124652.1328, Test Loss: 123684.2839
Epoch 140, Train Loss: 124145.5347, Test Loss: 123757.6927
Epoch 141, Train Loss: 124070.9557, Test Loss: 123461.5234
Epoch 142, Train Loss: 123700.1623, Test Loss: 122847.6250
Epoch 143, Train Loss: 123091.5043, Test Loss: 122662.5564
Epoch 144, Train Loss: 122881.6936, Test Loss: 122204.9071
Epoch 145, Train Loss: 122711.5964, Test Loss: 121738.1424
Epoch 146, Train Loss: 122219.6641, Test Loss: 121516.1250
Epoch 147, Train Loss: 121932.5356, Test Loss: 122415.1745
Epoch 148, Train Loss: 121892.7873, Test Loss: 121523.3212
Epoch 149, Train Loss: 121815.5920, Test Loss: 121592.0686
Epoch 150, Train Loss: 122452.4661, Test Loss: 124136.9714
Epoch 151, Train Loss: 122975.5990, Test Loss: 121324.9488
Epoch 152, Train Loss: 122461.9991, Test Loss: 121294.4193
Epoch 153, Train Loss: 121972.5382, Test Loss: 123074.3698
Epoch 154, Train Loss: 123486.0677, Test Loss: 124103.2977
Epoch 155, Train Loss: 125668.0512, Test Loss: 123571.3325
Epoch 156, Train Loss: 125123.8681, Test Loss: 128480.7604
Epoch 157, Train Loss: 128230.7891, Test Loss: 127573.4852
Epoch 158, Train Loss: 130376.0885, Test Loss: 143374.7622
Epoch 159, Train Loss: 142689.8550, Test Loss: 127267.6884
Epoch 160, Train Loss: 129656.5095, Test Loss: 125891.1658
Epoch 161, Train Loss: 126291.8125, Test Loss: 122258.8872
Epoch 162, Train Loss: 122285.3142, Test Loss: 120343.0547
Epoch 163, Train Loss: 119955.7821, Test Loss: 118538.7639
Epoch 164, Train Loss: 118792.7292, Test Loss: 117694.4835
Epoch 165, Train Loss: 117993.9253, Test Loss: 117782.3802
Epoch 166, Train Loss: 117386.0790, Test Loss: 116510.8186
Epoch 167, Train Loss: 116799.9375, Test Loss: 115840.0799
Epoch 168, Train Loss: 116289.3160, Test Loss: 115370.0946
Epoch 169, Train Loss: 115848.8299, Test Loss: 115106.3420
Epoch 170, Train Loss: 115257.7448, Test Loss: 114663.3655
Epoch 171, Train Loss: 114859.6962, Test Loss: 114187.8368
Epoch 172, Train Loss: 114520.3151, Test Loss: 113985.2370
Epoch 173, Train Loss: 114256.1163, Test Loss: 113922.7648
Epoch 174, Train Loss: 114035.3455, Test Loss: 113639.1276
Epoch 175, Train Loss: 113834.8255, Test Loss: 113418.5833
Epoch 176, Train Loss: 113902.1866, Test Loss: 113056.1102
Epoch 177, Train Loss: 113443.2075, Test Loss: 112727.5885
Epoch 178, Train Loss: 113086.4705, Test Loss: 112339.5174
Epoch 179, Train Loss: 112845.4757, Test Loss: 112428.8611
Epoch 180, Train Loss: 112430.3750, Test Loss: 111925.9141
Epoch 181, Train Loss: 112169.8394, Test Loss: 111805.2205
Epoch 182, Train Loss: 111903.6528, Test Loss: 111281.3125
Epoch 183, Train Loss: 111648.1571, Test Loss: 110961.5946
Epoch 184, Train Loss: 111342.0825, Test Loss: 110719.3003
Epoch 185, Train Loss: 111001.5781, Test Loss: 110388.8741
Epoch 186, Train Loss: 110793.2656, Test Loss: 110350.0061
Epoch 187, Train Loss: 110535.8785, Test Loss: 109951.3906
Epoch 188, Train Loss: 110198.0043, Test Loss: 109582.6710
Epoch 189, Train Loss: 110037.9089, Test Loss: 109618.5929
Epoch 190, Train Loss: 110161.1562, Test Loss: 109533.3394
Epoch 191, Train Loss: 109980.4991, Test Loss: 109644.4349
Epoch 192, Train Loss: 109913.5503, Test Loss: 109101.2734
Epoch 193, Train Loss: 109712.4358, Test Loss: 109205.1918
Epoch 194, Train Loss: 109893.0503, Test Loss: 109947.5312
Epoch 195, Train Loss: 109804.0616, Test Loss: 108366.9852
Epoch 196, Train Loss: 109120.5069, Test Loss: 109240.6016
Epoch 197, Train Loss: 108879.1597, Test Loss: 108210.8368
Epoch 198, Train Loss: 109186.8837, Test Loss: 108222.3385
Epoch 199, Train Loss: 109356.3793, Test Loss: 108577.4314
Epoch 200, Train Loss: 109074.1259, Test Loss: 108917.4175
Epoch 201, Train Loss: 109045.0339, Test Loss: 107784.9323
Epoch 202, Train Loss: 107624.8533, Test Loss: 106776.2934
Epoch 203, Train Loss: 107152.5356, Test Loss: 106561.1128
Epoch 204, Train Loss: 106845.6328, Test Loss: 105994.6979
Epoch 205, Train Loss: 106365.4332, Test Loss: 105975.2795
Epoch 206, Train Loss: 106170.8585, Test Loss: 106249.2951
Epoch 207, Train Loss: 106389.7578, Test Loss: 105772.4470
Epoch 208, Train Loss: 106423.1502, Test Loss: 106349.9141
Epoch 209, Train Loss: 107646.0573, Test Loss: 107150.2413
Epoch 210, Train Loss: 108879.1493, Test Loss: 105824.5477
Epoch 211, Train Loss: 108785.8238, Test Loss: 109448.0530
Epoch 212, Train Loss: 108875.5712, Test Loss: 112200.1163
Epoch 213, Train Loss: 109378.7951, Test Loss: 106450.2257
Epoch 214, Train Loss: 106789.0052, Test Loss: 105859.7613
Epoch 215, Train Loss: 106449.8941, Test Loss: 104769.4149
Epoch 216, Train Loss: 105762.9314, Test Loss: 104475.7595
Epoch 217, Train Loss: 105048.2248, Test Loss: 104569.0877
Epoch 218, Train Loss: 104393.8108, Test Loss: 104672.3620
Epoch 219, Train Loss: 104399.2448, Test Loss: 103275.2422
Epoch 220, Train Loss: 103755.3906, Test Loss: 103185.6311
Epoch 221, Train Loss: 103509.5391, Test Loss: 102928.9010
Epoch 222, Train Loss: 103172.2769, Test Loss: 102730.0373
Epoch 223, Train Loss: 103190.5990, Test Loss: 102547.9332
Epoch 224, Train Loss: 103414.4167, Test Loss: 103559.9774
Epoch 225, Train Loss: 103305.6684, Test Loss: 102733.5764
Epoch 226, Train Loss: 102966.4158, Test Loss: 102151.3342
Epoch 227, Train Loss: 102826.2552, Test Loss: 101952.1884
Epoch 228, Train Loss: 102534.9913, Test Loss: 102155.2639
Epoch 229, Train Loss: 102580.5252, Test Loss: 102890.3464
Epoch 230, Train Loss: 103227.3759, Test Loss: 102358.3646
Epoch 231, Train Loss: 102885.5955, Test Loss: 101844.9262
Epoch 232, Train Loss: 103209.6007, Test Loss: 105060.7951
Epoch 233, Train Loss: 105037.7031, Test Loss: 103682.6727
Epoch 234, Train Loss: 104035.5043, Test Loss: 103243.0590
Epoch 235, Train Loss: 104125.0547, Test Loss: 103829.7161
Epoch 236, Train Loss: 104054.9349, Test Loss: 103494.8125
Epoch 237, Train Loss: 102608.9323, Test Loss: 100895.7717
Epoch 238, Train Loss: 101290.3056, Test Loss: 100269.8498
Epoch 239, Train Loss: 100891.3759, Test Loss: 101046.1450
Epoch 240, Train Loss: 101175.1797, Test Loss: 100102.8828
Epoch 241, Train Loss: 100687.7934, Test Loss: 99457.0885
Epoch 242, Train Loss: 101024.4297, Test Loss: 100157.0816
Epoch 243, Train Loss: 100960.8490, Test Loss: 100276.2014
Epoch 244, Train Loss: 101854.1814, Test Loss: 100808.3733
Epoch 245, Train Loss: 104890.8576, Test Loss: 103092.1285
Epoch 246, Train Loss: 102972.7205, Test Loss: 101104.4219
Epoch 247, Train Loss: 102034.4497, Test Loss: 100799.1311
Epoch 248, Train Loss: 101734.5738, Test Loss: 99992.9948
Epoch 249, Train Loss: 101422.7995, Test Loss: 99836.9852
Epoch 250, Train Loss: 100267.3767, Test Loss: 99565.7491
