Epoch 1, Train Loss: 1399638.4931, Test Loss: 894080.9097
Epoch 2, Train Loss: 671556.8125, Test Loss: 485870.6424
Epoch 3, Train Loss: 418018.6806, Test Loss: 352693.3056
Epoch 4, Train Loss: 320753.4479, Test Loss: 288265.0035
Epoch 5, Train Loss: 273938.9306, Test Loss: 259554.1788
Epoch 6, Train Loss: 249410.4427, Test Loss: 238783.5503
Epoch 7, Train Loss: 234717.3056, Test Loss: 229692.5000
Epoch 8, Train Loss: 225487.3264, Test Loss: 221789.4635
Epoch 9, Train Loss: 219767.7205, Test Loss: 216125.0000
Epoch 10, Train Loss: 214941.0069, Test Loss: 212140.0208
Epoch 11, Train Loss: 212026.3194, Test Loss: 209872.6493
Epoch 12, Train Loss: 209244.0538, Test Loss: 206867.7465
Epoch 13, Train Loss: 207610.2222, Test Loss: 205915.3837
Epoch 14, Train Loss: 206838.0833, Test Loss: 205352.2778
Epoch 15, Train Loss: 204697.3333, Test Loss: 202384.5226
Epoch 16, Train Loss: 202108.6753, Test Loss: 200088.4983
Epoch 17, Train Loss: 200260.2604, Test Loss: 198657.8056
Epoch 18, Train Loss: 198821.1875, Test Loss: 197592.9549
Epoch 19, Train Loss: 197834.5556, Test Loss: 195688.4948
Epoch 20, Train Loss: 196002.7205, Test Loss: 194606.9931
Epoch 21, Train Loss: 195675.3073, Test Loss: 193039.8090
Epoch 22, Train Loss: 194113.9306, Test Loss: 192359.9028
Epoch 23, Train Loss: 192465.0625, Test Loss: 190699.7483
Epoch 24, Train Loss: 191198.0312, Test Loss: 189082.4531
Epoch 25, Train Loss: 189845.6562, Test Loss: 188279.2795
Epoch 26, Train Loss: 188832.1406, Test Loss: 187786.3403
Epoch 27, Train Loss: 187795.1753, Test Loss: 185990.4080
Epoch 28, Train Loss: 187887.8212, Test Loss: 188446.5156
Epoch 29, Train Loss: 186948.9288, Test Loss: 185043.6406
Epoch 30, Train Loss: 184770.0035, Test Loss: 183840.7552
Epoch 31, Train Loss: 183875.1441, Test Loss: 182742.9861
Epoch 32, Train Loss: 182982.3507, Test Loss: 181528.1007
Epoch 33, Train Loss: 181514.8941, Test Loss: 180153.6094
Epoch 34, Train Loss: 180654.0990, Test Loss: 179077.6076
Epoch 35, Train Loss: 179539.3125, Test Loss: 178425.4983
Epoch 36, Train Loss: 178823.7691, Test Loss: 178507.6858
Epoch 37, Train Loss: 179086.7170, Test Loss: 176259.7708
Epoch 38, Train Loss: 176821.2500, Test Loss: 177004.5399
Epoch 39, Train Loss: 175990.4705, Test Loss: 174499.3229
Epoch 40, Train Loss: 177029.0920, Test Loss: 175726.4097
Epoch 41, Train Loss: 175697.8490, Test Loss: 175501.0000
Epoch 42, Train Loss: 175311.2795, Test Loss: 175045.7483
Epoch 43, Train Loss: 173674.4444, Test Loss: 174155.8872
Epoch 44, Train Loss: 173729.1927, Test Loss: 174052.5260
Epoch 45, Train Loss: 172051.9132, Test Loss: 170601.1424
Epoch 46, Train Loss: 171609.4861, Test Loss: 170835.6007
Epoch 47, Train Loss: 169866.3889, Test Loss: 168251.1997
Epoch 48, Train Loss: 168609.3229, Test Loss: 168264.5243
Epoch 49, Train Loss: 167830.6979, Test Loss: 166866.0920
Epoch 50, Train Loss: 166954.2205, Test Loss: 166226.2309
