Epoch 1, Train Loss: 1448955.2222, Test Loss: 887313.4167
Epoch 2, Train Loss: 658807.3472, Test Loss: 462704.0556
Epoch 3, Train Loss: 396421.0104, Test Loss: 337781.8403
Epoch 4, Train Loss: 315033.4983, Test Loss: 288460.6997
Epoch 5, Train Loss: 277094.8142, Test Loss: 263559.0990
Epoch 6, Train Loss: 257177.1059, Test Loss: 248806.8108
Epoch 7, Train Loss: 243424.3333, Test Loss: 237165.9392
Epoch 8, Train Loss: 233071.7031, Test Loss: 228093.6424
Epoch 9, Train Loss: 224847.8594, Test Loss: 221221.1875
Epoch 10, Train Loss: 219493.8906, Test Loss: 216391.5729
Epoch 11, Train Loss: 216144.2708, Test Loss: 212732.0243
Epoch 12, Train Loss: 212403.9514, Test Loss: 209823.4913
Epoch 13, Train Loss: 209948.1892, Test Loss: 208085.0903
Epoch 14, Train Loss: 208116.5434, Test Loss: 207192.5955
Epoch 15, Train Loss: 206833.1580, Test Loss: 206380.2083
Epoch 16, Train Loss: 205084.9583, Test Loss: 204666.8941
Epoch 17, Train Loss: 205943.9601, Test Loss: 203768.9392
Epoch 18, Train Loss: 207011.4045, Test Loss: 203037.9410
Epoch 19, Train Loss: 203811.3403, Test Loss: 201963.7812
Epoch 20, Train Loss: 201203.7135, Test Loss: 202247.2917
Epoch 21, Train Loss: 201199.7135, Test Loss: 198106.7917
Epoch 22, Train Loss: 198091.9965, Test Loss: 196122.9844
Epoch 23, Train Loss: 196740.8698, Test Loss: 195281.8108
Epoch 24, Train Loss: 195424.9149, Test Loss: 194868.7448
Epoch 25, Train Loss: 194235.3767, Test Loss: 192513.9462
Epoch 26, Train Loss: 192656.7986, Test Loss: 191295.2483
Epoch 27, Train Loss: 191281.3142, Test Loss: 190154.6337
Epoch 28, Train Loss: 190303.6198, Test Loss: 188937.9514
Epoch 29, Train Loss: 189887.8854, Test Loss: 188189.2205
Epoch 30, Train Loss: 188404.3958, Test Loss: 187012.2708
Epoch 31, Train Loss: 187156.1649, Test Loss: 185184.3976
Epoch 32, Train Loss: 186021.3906, Test Loss: 185778.1111
