Epoch 1, Train Loss: 1427047.2500, Test Loss: 925027.1319
Epoch 2, Train Loss: 688239.3403, Test Loss: 473724.5451
Epoch 3, Train Loss: 395466.0104, Test Loss: 333325.8646
Epoch 4, Train Loss: 306198.8229, Test Loss: 278063.8837
Epoch 5, Train Loss: 269136.5243, Test Loss: 256089.1840
Epoch 6, Train Loss: 249716.7326, Test Loss: 240526.9323
Epoch 7, Train Loss: 235849.5399, Test Loss: 230668.4549
Epoch 8, Train Loss: 227441.2153, Test Loss: 223627.6927
Epoch 9, Train Loss: 222584.7396, Test Loss: 218360.8403
Epoch 10, Train Loss: 218043.4028, Test Loss: 214583.0816
Epoch 11, Train Loss: 213803.0069, Test Loss: 212431.3594
Epoch 12, Train Loss: 211286.7656, Test Loss: 209799.6007
Epoch 13, Train Loss: 209118.4774, Test Loss: 207009.7309
Epoch 14, Train Loss: 206844.9705, Test Loss: 204691.3993
Epoch 15, Train Loss: 205181.0920, Test Loss: 203513.4653
Epoch 16, Train Loss: 205264.0521, Test Loss: 202386.3247
Epoch 17, Train Loss: 206138.6580, Test Loss: 204708.1163
Epoch 18, Train Loss: 204277.4497, Test Loss: 205401.3611
Epoch 19, Train Loss: 204931.8906, Test Loss: 199706.5764
Epoch 20, Train Loss: 200301.4566, Test Loss: 198273.8003
Epoch 21, Train Loss: 197895.1076, Test Loss: 197386.0677
Epoch 22, Train Loss: 197135.9097, Test Loss: 194827.5139
Epoch 23, Train Loss: 196177.8455, Test Loss: 194828.3837
Epoch 24, Train Loss: 194096.8368, Test Loss: 192329.5260
Epoch 25, Train Loss: 192221.1302, Test Loss: 190572.9757
Epoch 26, Train Loss: 190522.4167, Test Loss: 188970.3976
Epoch 27, Train Loss: 189201.0799, Test Loss: 187557.9653
Epoch 28, Train Loss: 187926.2240, Test Loss: 186454.6042
Epoch 29, Train Loss: 186757.9444, Test Loss: 185136.7188
Epoch 30, Train Loss: 185229.9167, Test Loss: 183929.0087
Epoch 31, Train Loss: 183869.5938, Test Loss: 182290.3854
Epoch 32, Train Loss: 182646.2014, Test Loss: 181658.8351
Epoch 33, Train Loss: 181911.1615, Test Loss: 180936.7795
Epoch 34, Train Loss: 182630.5764, Test Loss: 181332.8455
Epoch 35, Train Loss: 181936.7899, Test Loss: 181704.4271
Epoch 36, Train Loss: 180492.5990, Test Loss: 179750.9340
Epoch 37, Train Loss: 178845.5017, Test Loss: 175972.7049
Epoch 38, Train Loss: 176450.2708, Test Loss: 175260.2812
Epoch 39, Train Loss: 175206.1458, Test Loss: 173680.0312
Epoch 40, Train Loss: 173967.9462, Test Loss: 173386.3819
Epoch 41, Train Loss: 173547.3802, Test Loss: 171513.5694
Epoch 42, Train Loss: 172346.4236, Test Loss: 172826.1076
Epoch 43, Train Loss: 171633.4184, Test Loss: 170271.7986
Epoch 44, Train Loss: 170420.7101, Test Loss: 169077.3906
Epoch 45, Train Loss: 169524.7326, Test Loss: 170426.9323
Epoch 46, Train Loss: 169217.6198, Test Loss: 168041.3889
Epoch 47, Train Loss: 167497.4392, Test Loss: 165471.8646
Epoch 48, Train Loss: 166801.0260, Test Loss: 164804.2552
Epoch 49, Train Loss: 165050.5399, Test Loss: 164083.1632
Epoch 50, Train Loss: 164343.5590, Test Loss: 162734.6111
Epoch 51, Train Loss: 163283.1615, Test Loss: 161491.7222
Epoch 52, Train Loss: 162198.3837, Test Loss: 164215.2691
Epoch 53, Train Loss: 164510.5781, Test Loss: 161758.0035
Epoch 54, Train Loss: 161798.8090, Test Loss: 165667.4062
Epoch 55, Train Loss: 161427.6944, Test Loss: 158903.8090
Epoch 56, Train Loss: 161436.4653, Test Loss: 165432.4809
Epoch 57, Train Loss: 166061.2153, Test Loss: 162156.8021
Epoch 58, Train Loss: 160461.3090, Test Loss: 159720.7552
Epoch 59, Train Loss: 158606.6858, Test Loss: 156521.2986
Epoch 60, Train Loss: 156323.4236, Test Loss: 156479.0156
Epoch 61, Train Loss: 157239.0347, Test Loss: 156397.2622
Epoch 62, Train Loss: 155320.3611, Test Loss: 153732.3229
Epoch 63, Train Loss: 153334.5642, Test Loss: 151783.9089
Epoch 64, Train Loss: 152222.6389, Test Loss: 150811.9844
