Epoch 1, Train Loss: 1403458.6806, Test Loss: 842507.8194
Epoch 2, Train Loss: 616368.3229, Test Loss: 425521.8368
Epoch 3, Train Loss: 378786.0451, Test Loss: 318570.5799
Epoch 4, Train Loss: 309302.3628, Test Loss: 284014.8976
Epoch 5, Train Loss: 281056.0122, Test Loss: 272803.5469
Epoch 6, Train Loss: 267646.6198, Test Loss: 262616.4115
Epoch 7, Train Loss: 258359.2465, Test Loss: 251197.8212
Epoch 8, Train Loss: 248702.7153, Test Loss: 240889.6649
Epoch 9, Train Loss: 237853.4809, Test Loss: 232194.6094
Epoch 10, Train Loss: 229370.8733, Test Loss: 225280.7743
Epoch 11, Train Loss: 224102.6997, Test Loss: 219721.2031
Epoch 12, Train Loss: 218738.2674, Test Loss: 215631.4167
Epoch 13, Train Loss: 215321.2257, Test Loss: 212566.1319
Epoch 14, Train Loss: 212324.3559, Test Loss: 210470.0816
Epoch 15, Train Loss: 210015.5295, Test Loss: 208023.8542
Epoch 16, Train Loss: 207794.6632, Test Loss: 205965.5764
Epoch 17, Train Loss: 205899.6181, Test Loss: 204726.9896
Epoch 18, Train Loss: 204662.5556, Test Loss: 202719.0799
Epoch 19, Train Loss: 202983.9132, Test Loss: 201822.1007
Epoch 20, Train Loss: 201917.7431, Test Loss: 199897.0833
Epoch 21, Train Loss: 200281.6927, Test Loss: 199491.1719
Epoch 22, Train Loss: 199166.9861, Test Loss: 197346.0660
Epoch 23, Train Loss: 198178.1042, Test Loss: 196398.0260
Epoch 24, Train Loss: 196691.5920, Test Loss: 194883.3767
Epoch 25, Train Loss: 195107.4392, Test Loss: 193817.4826
Epoch 26, Train Loss: 194043.9062, Test Loss: 192264.1615
Epoch 27, Train Loss: 192381.1198, Test Loss: 190843.0608
Epoch 28, Train Loss: 191306.4618, Test Loss: 190021.5052
Epoch 29, Train Loss: 189713.6632, Test Loss: 188155.5486
Epoch 30, Train Loss: 189024.5486, Test Loss: 188285.5312
Epoch 31, Train Loss: 189489.1632, Test Loss: 187277.2604
Epoch 32, Train Loss: 187159.5347, Test Loss: 185383.3733
Epoch 33, Train Loss: 185825.1806, Test Loss: 185998.6927
Epoch 34, Train Loss: 185043.5799, Test Loss: 182763.0990
Epoch 35, Train Loss: 183132.0000, Test Loss: 183656.7865
Epoch 36, Train Loss: 183612.6181, Test Loss: 180747.8681
Epoch 37, Train Loss: 180922.1562, Test Loss: 179884.6128
Epoch 38, Train Loss: 180437.6267, Test Loss: 178055.5417
Epoch 39, Train Loss: 178910.8715, Test Loss: 177801.0035
Epoch 40, Train Loss: 179830.3212, Test Loss: 187616.1146
Epoch 41, Train Loss: 180067.4375, Test Loss: 176009.7517
Epoch 42, Train Loss: 176808.8958, Test Loss: 174053.8889
Epoch 43, Train Loss: 175511.2240, Test Loss: 173663.9965
Epoch 44, Train Loss: 173471.4948, Test Loss: 171606.5920
Epoch 45, Train Loss: 171603.0729, Test Loss: 174487.1632
Epoch 46, Train Loss: 173410.2465, Test Loss: 170877.1528
Epoch 47, Train Loss: 172192.7847, Test Loss: 176843.6962
Epoch 48, Train Loss: 173227.7396, Test Loss: 179864.3958
Epoch 49, Train Loss: 174064.5503, Test Loss: 170053.9028
Epoch 50, Train Loss: 171398.1233, Test Loss: 170687.6736
Epoch 51, Train Loss: 168811.1267, Test Loss: 166570.6128
Epoch 52, Train Loss: 169591.0590, Test Loss: 165811.6597
Epoch 53, Train Loss: 165096.6753, Test Loss: 163351.9774
Epoch 54, Train Loss: 163290.9531, Test Loss: 161951.3247
Epoch 55, Train Loss: 161822.3733, Test Loss: 160356.9062
Epoch 56, Train Loss: 160609.7014, Test Loss: 158885.9201
Epoch 57, Train Loss: 159418.8976, Test Loss: 157715.2969
Epoch 58, Train Loss: 158476.0538, Test Loss: 156925.7344
Epoch 59, Train Loss: 157464.6267, Test Loss: 155950.1727
Epoch 60, Train Loss: 156251.8125, Test Loss: 154873.6806
Epoch 61, Train Loss: 155246.3872, Test Loss: 153903.1684
Epoch 62, Train Loss: 154374.1285, Test Loss: 152979.1163
Epoch 63, Train Loss: 153354.9479, Test Loss: 152025.9740
Epoch 64, Train Loss: 152438.2760, Test Loss: 152417.4826
Epoch 65, Train Loss: 151834.1667, Test Loss: 150904.2474
Epoch 66, Train Loss: 150847.1146, Test Loss: 150333.7066
Epoch 67, Train Loss: 149917.6016, Test Loss: 148898.8698
Epoch 68, Train Loss: 150527.3854, Test Loss: 150751.8073
Epoch 69, Train Loss: 150106.5208, Test Loss: 147747.8976
Epoch 70, Train Loss: 148161.7101, Test Loss: 146303.6806
Epoch 71, Train Loss: 146882.3247, Test Loss: 145423.2378
Epoch 72, Train Loss: 146069.6493, Test Loss: 144638.6589
Epoch 73, Train Loss: 144916.1458, Test Loss: 144265.5000
Epoch 74, Train Loss: 144239.0382, Test Loss: 142712.3472
Epoch 75, Train Loss: 147243.2595, Test Loss: 143776.5425
Epoch 76, Train Loss: 145763.8316, Test Loss: 144826.7674
Epoch 77, Train Loss: 146483.6120, Test Loss: 143014.8342
Epoch 78, Train Loss: 144813.3420, Test Loss: 143840.8160
Epoch 79, Train Loss: 147294.0503, Test Loss: 144621.4497
Epoch 80, Train Loss: 144797.1675, Test Loss: 142154.2344
Epoch 81, Train Loss: 141467.4219, Test Loss: 139166.6701
Epoch 82, Train Loss: 140129.1128, Test Loss: 141931.1641
Epoch 83, Train Loss: 140878.4931, Test Loss: 141599.9479
Epoch 84, Train Loss: 141340.5712, Test Loss: 145859.0833
Epoch 85, Train Loss: 147827.2708, Test Loss: 164236.2344
Epoch 86, Train Loss: 157568.9062, Test Loss: 143620.9757
Epoch 87, Train Loss: 145376.9583, Test Loss: 148078.2795
Epoch 88, Train Loss: 141508.3394, Test Loss: 138051.4141
Epoch 89, Train Loss: 138903.9167, Test Loss: 136579.2830
Epoch 90, Train Loss: 136141.9983, Test Loss: 134319.5339
Epoch 91, Train Loss: 134185.0885, Test Loss: 133107.3333
Epoch 92, Train Loss: 132909.4323, Test Loss: 131692.3802
Epoch 93, Train Loss: 132382.5104, Test Loss: 131129.2656
Epoch 94, Train Loss: 131431.9332, Test Loss: 130297.2960
Epoch 95, Train Loss: 130643.5417, Test Loss: 129398.1076
Epoch 96, Train Loss: 129845.5443, Test Loss: 128739.9010
Epoch 97, Train Loss: 129151.3863, Test Loss: 128638.6502
Epoch 98, Train Loss: 128539.5955, Test Loss: 127471.7083
Epoch 99, Train Loss: 128439.7422, Test Loss: 126941.1250
Epoch 100, Train Loss: 127573.8438, Test Loss: 126309.8932
Epoch 101, Train Loss: 126897.3984, Test Loss: 125863.2769
Epoch 102, Train Loss: 126425.2995, Test Loss: 125471.4696
Epoch 103, Train Loss: 125673.0642, Test Loss: 124818.3950
Epoch 104, Train Loss: 125308.6840, Test Loss: 125929.4193
Epoch 105, Train Loss: 125616.8976, Test Loss: 124789.6970
Epoch 106, Train Loss: 124180.9097, Test Loss: 123019.4280
Epoch 107, Train Loss: 123289.5955, Test Loss: 122974.5069
Epoch 108, Train Loss: 122825.2309, Test Loss: 121742.5165
Epoch 109, Train Loss: 122159.7092, Test Loss: 121212.4505
Epoch 110, Train Loss: 122156.2769, Test Loss: 122914.7135
Epoch 111, Train Loss: 121872.7865, Test Loss: 120600.4670
Epoch 112, Train Loss: 121608.1962, Test Loss: 120382.1849
Epoch 113, Train Loss: 121043.8976, Test Loss: 120065.9714
Epoch 114, Train Loss: 121534.9366, Test Loss: 119176.2552
Epoch 115, Train Loss: 121318.6753, Test Loss: 121742.1163
Epoch 116, Train Loss: 120635.9878, Test Loss: 120381.6927
Epoch 117, Train Loss: 119747.8819, Test Loss: 121890.7500
Epoch 118, Train Loss: 125237.3950, Test Loss: 125551.2821
Epoch 119, Train Loss: 123257.8229, Test Loss: 125559.1424
Epoch 120, Train Loss: 120957.8672, Test Loss: 118109.8012
Epoch 121, Train Loss: 118114.9913, Test Loss: 116980.0634
Epoch 122, Train Loss: 117609.9401, Test Loss: 115720.7821
Epoch 123, Train Loss: 116784.4922, Test Loss: 115572.9410
Epoch 124, Train Loss: 116261.5408, Test Loss: 117480.0200
Epoch 125, Train Loss: 116913.2231, Test Loss: 115491.1849
Epoch 126, Train Loss: 115451.4601, Test Loss: 124357.8446
Epoch 127, Train Loss: 117858.7691, Test Loss: 115501.9349
Epoch 128, Train Loss: 118038.7535, Test Loss: 115842.2839
Epoch 129, Train Loss: 116213.5391, Test Loss: 114862.5625
Epoch 130, Train Loss: 115248.2257, Test Loss: 113176.3351
Epoch 131, Train Loss: 113831.3819, Test Loss: 112862.8620
Epoch 132, Train Loss: 114635.7960, Test Loss: 112510.1467
Epoch 133, Train Loss: 113463.1441, Test Loss: 114461.8490
Epoch 134, Train Loss: 113457.2917, Test Loss: 113877.1337
Epoch 135, Train Loss: 112400.2708, Test Loss: 110093.0564
Epoch 136, Train Loss: 110894.5773, Test Loss: 109565.9288
Epoch 137, Train Loss: 109532.8715, Test Loss: 108424.5955
Epoch 138, Train Loss: 109166.7118, Test Loss: 109042.0998
Epoch 139, Train Loss: 109600.9002, Test Loss: 107845.7248
Epoch 140, Train Loss: 108064.0521, Test Loss: 107312.5000
Epoch 141, Train Loss: 108327.9245, Test Loss: 108780.5929
Epoch 142, Train Loss: 108799.6580, Test Loss: 113019.4627
Epoch 143, Train Loss: 109473.0425, Test Loss: 107886.4488
Epoch 144, Train Loss: 108191.2326, Test Loss: 107782.1102
Epoch 145, Train Loss: 107654.7561, Test Loss: 107133.4557
Epoch 146, Train Loss: 108269.8611, Test Loss: 105638.5208
Epoch 147, Train Loss: 106832.1970, Test Loss: 104521.0799
Epoch 148, Train Loss: 105873.2734, Test Loss: 104609.8238
Epoch 149, Train Loss: 104937.8542, Test Loss: 104688.3290
Epoch 150, Train Loss: 104310.2925, Test Loss: 103070.6554
Epoch 151, Train Loss: 103372.7760, Test Loss: 102361.6224
Epoch 152, Train Loss: 102699.5200, Test Loss: 102075.5174
Epoch 153, Train Loss: 102299.5208, Test Loss: 101819.5712
Epoch 154, Train Loss: 101679.5035, Test Loss: 101977.8359
Epoch 155, Train Loss: 102121.2908, Test Loss: 101700.9158
Epoch 156, Train Loss: 102947.7326, Test Loss: 106069.4401
Epoch 157, Train Loss: 103212.9688, Test Loss: 100809.2795
Epoch 158, Train Loss: 100983.7474, Test Loss: 100108.5738
Epoch 159, Train Loss: 100078.5503, Test Loss: 99613.5503
Epoch 160, Train Loss: 100516.0512, Test Loss: 99825.8142
Epoch 161, Train Loss: 100158.5174, Test Loss: 99413.8594
Epoch 162, Train Loss: 99472.3950, Test Loss: 99695.4635
Epoch 163, Train Loss: 99225.6450, Test Loss: 97933.1641
Epoch 164, Train Loss: 100458.2847, Test Loss: 100787.2569
