Epoch 1, Train Loss: 1333880.7083, Test Loss: 738851.7222
Epoch 2, Train Loss: 537882.3750, Test Loss: 365397.4479
Epoch 3, Train Loss: 323841.4340, Test Loss: 287996.9774
Epoch 4, Train Loss: 274755.2899, Test Loss: 263796.8646
Epoch 5, Train Loss: 253079.7274, Test Loss: 240518.8247
Epoch 6, Train Loss: 235992.6840, Test Loss: 229645.3993
Epoch 7, Train Loss: 228933.5590, Test Loss: 227886.1771
Epoch 8, Train Loss: 224931.1285, Test Loss: 221194.2049
Epoch 9, Train Loss: 218556.8958, Test Loss: 215185.1979
Epoch 10, Train Loss: 215281.4392, Test Loss: 212232.9878
Epoch 11, Train Loss: 211694.2587, Test Loss: 209742.3403
Epoch 12, Train Loss: 209238.8976, Test Loss: 207408.9757
Epoch 13, Train Loss: 207284.5538, Test Loss: 207599.8663
Epoch 14, Train Loss: 207064.8438, Test Loss: 203926.2552
Epoch 15, Train Loss: 204722.4271, Test Loss: 202640.3385
Epoch 16, Train Loss: 203001.5903, Test Loss: 201949.8316
Epoch 17, Train Loss: 201597.7830, Test Loss: 200431.2569
Epoch 18, Train Loss: 200457.9583, Test Loss: 198842.5139
Epoch 19, Train Loss: 199430.8316, Test Loss: 196928.0833
Epoch 20, Train Loss: 197688.5399, Test Loss: 196081.8524
Epoch 21, Train Loss: 195743.5833, Test Loss: 193940.9167
Epoch 22, Train Loss: 194007.9358, Test Loss: 192685.5799
Epoch 23, Train Loss: 192708.3212, Test Loss: 191449.5000
Epoch 24, Train Loss: 191480.5156, Test Loss: 191189.5694
Epoch 25, Train Loss: 190929.4028, Test Loss: 188787.7222
Epoch 26, Train Loss: 189997.1059, Test Loss: 188513.5590
Epoch 27, Train Loss: 190597.7014, Test Loss: 192254.9219
Epoch 28, Train Loss: 188259.5104, Test Loss: 186618.1701
Epoch 29, Train Loss: 186016.9583, Test Loss: 183481.3559
Epoch 30, Train Loss: 184151.4045, Test Loss: 184356.3681
Epoch 31, Train Loss: 183959.6771, Test Loss: 180883.9497
Epoch 32, Train Loss: 181692.5174, Test Loss: 179717.2118
Epoch 33, Train Loss: 180038.1840, Test Loss: 178640.7014
Epoch 34, Train Loss: 179022.6146, Test Loss: 178300.0503
Epoch 35, Train Loss: 178211.4462, Test Loss: 176455.1684
Epoch 36, Train Loss: 176981.6701, Test Loss: 175953.4219
Epoch 37, Train Loss: 175771.8924, Test Loss: 175004.8924
Epoch 38, Train Loss: 174965.8351, Test Loss: 176369.4774
Epoch 39, Train Loss: 176515.4427, Test Loss: 178599.5486
Epoch 40, Train Loss: 175349.9618, Test Loss: 172679.3385
Epoch 41, Train Loss: 172716.6146, Test Loss: 171649.1684
Epoch 42, Train Loss: 171395.8403, Test Loss: 168542.2743
Epoch 43, Train Loss: 171034.5851, Test Loss: 172787.4410
Epoch 44, Train Loss: 172859.9948, Test Loss: 174643.4010
Epoch 45, Train Loss: 169844.1823, Test Loss: 170087.9861
Epoch 46, Train Loss: 167595.6128, Test Loss: 164908.4913
Epoch 47, Train Loss: 166210.7344, Test Loss: 165064.9097
Epoch 48, Train Loss: 165116.8455, Test Loss: 163081.0781
Epoch 49, Train Loss: 162564.6302, Test Loss: 160739.9740
Epoch 50, Train Loss: 160998.2665, Test Loss: 159703.4358
Epoch 51, Train Loss: 159931.6111, Test Loss: 158072.3142
Epoch 52, Train Loss: 158521.6406, Test Loss: 156997.7031
Epoch 53, Train Loss: 157509.8299, Test Loss: 155932.5981
Epoch 54, Train Loss: 156924.5347, Test Loss: 159308.1545
Epoch 55, Train Loss: 156911.5868, Test Loss: 156807.7552
Epoch 56, Train Loss: 161128.5469, Test Loss: 185850.7222
Epoch 57, Train Loss: 175836.8507, Test Loss: 178868.5191
Epoch 58, Train Loss: 173336.4705, Test Loss: 161985.3924
Epoch 59, Train Loss: 162379.2986, Test Loss: 165921.3160
Epoch 60, Train Loss: 163830.5833, Test Loss: 173468.6771
Epoch 61, Train Loss: 165831.0625, Test Loss: 176614.4219
Epoch 62, Train Loss: 166132.1337, Test Loss: 167384.9097
Epoch 63, Train Loss: 162314.8056, Test Loss: 161469.1545
Epoch 64, Train Loss: 155879.2431, Test Loss: 151695.5573
Epoch 65, Train Loss: 152534.2396, Test Loss: 151478.0590
Epoch 66, Train Loss: 150270.9141, Test Loss: 148651.0694
Epoch 67, Train Loss: 148873.2283, Test Loss: 146199.3898
Epoch 68, Train Loss: 147030.6137, Test Loss: 145914.4957
Epoch 69, Train Loss: 145846.6354, Test Loss: 144185.6285
Epoch 70, Train Loss: 144625.6944, Test Loss: 143667.1328
Epoch 71, Train Loss: 143716.5330, Test Loss: 142526.8568
Epoch 72, Train Loss: 142785.9497, Test Loss: 141767.2691
Epoch 73, Train Loss: 141944.8134, Test Loss: 141307.5764
Epoch 74, Train Loss: 141510.5009, Test Loss: 140507.6094
Epoch 75, Train Loss: 140761.9661, Test Loss: 140032.6250
Epoch 76, Train Loss: 140763.1441, Test Loss: 139797.7726
Epoch 77, Train Loss: 141056.7700, Test Loss: 140292.8915
Epoch 78, Train Loss: 139766.3073, Test Loss: 139999.8967
Epoch 79, Train Loss: 140076.6667, Test Loss: 140648.2691
Epoch 80, Train Loss: 139632.4505, Test Loss: 138148.7161
Epoch 81, Train Loss: 138117.5078, Test Loss: 136638.8576
Epoch 82, Train Loss: 137121.7569, Test Loss: 135915.1832
Epoch 83, Train Loss: 136683.9271, Test Loss: 135656.3394
Epoch 84, Train Loss: 136335.9844, Test Loss: 134487.9635
Epoch 85, Train Loss: 134712.8524, Test Loss: 134300.9288
Epoch 86, Train Loss: 134238.2569, Test Loss: 132780.9939
Epoch 87, Train Loss: 134064.0434, Test Loss: 134641.7274
Epoch 88, Train Loss: 135539.1719, Test Loss: 135069.9557
Epoch 89, Train Loss: 134508.5920, Test Loss: 136350.8212
Epoch 90, Train Loss: 135770.5703, Test Loss: 131864.9861
Epoch 91, Train Loss: 132593.3394, Test Loss: 130337.9861
Epoch 92, Train Loss: 131463.0764, Test Loss: 130400.9297
Epoch 93, Train Loss: 130442.1102, Test Loss: 129075.5339
Epoch 94, Train Loss: 129564.6736, Test Loss: 128767.2908
Epoch 95, Train Loss: 128520.5720, Test Loss: 126780.7934
Epoch 96, Train Loss: 127420.2309, Test Loss: 127524.6198
Epoch 97, Train Loss: 127416.3854, Test Loss: 126020.5148
Epoch 98, Train Loss: 126654.7205, Test Loss: 125219.5564
Epoch 99, Train Loss: 125723.7405, Test Loss: 124973.8351
Epoch 100, Train Loss: 125383.8681, Test Loss: 124073.9323
Epoch 101, Train Loss: 124788.3160, Test Loss: 123813.6363
Epoch 102, Train Loss: 124467.4922, Test Loss: 122962.7465
Epoch 103, Train Loss: 124013.6172, Test Loss: 122313.7422
Epoch 104, Train Loss: 123031.8264, Test Loss: 121792.1727
Epoch 105, Train Loss: 122336.2639, Test Loss: 121227.4948
Epoch 106, Train Loss: 123507.4358, Test Loss: 122063.7943
Epoch 107, Train Loss: 122621.0477, Test Loss: 121188.1693
Epoch 108, Train Loss: 121610.3733, Test Loss: 120568.3811
Epoch 109, Train Loss: 123987.5816, Test Loss: 120332.7387
Epoch 110, Train Loss: 124431.3524, Test Loss: 120449.2917
Epoch 111, Train Loss: 121515.6701, Test Loss: 120180.8802
Epoch 112, Train Loss: 121006.7352, Test Loss: 120023.9366
Epoch 113, Train Loss: 120356.8802, Test Loss: 119704.4115
Epoch 114, Train Loss: 119240.2413, Test Loss: 116990.6241
Epoch 115, Train Loss: 117815.1840, Test Loss: 116052.4488
Epoch 116, Train Loss: 117012.5851, Test Loss: 116334.4149
Epoch 117, Train Loss: 116840.2882, Test Loss: 117015.8108
Epoch 118, Train Loss: 116020.9991, Test Loss: 114599.5156
Epoch 119, Train Loss: 115290.5417, Test Loss: 113917.1623
Epoch 120, Train Loss: 115675.3932, Test Loss: 114676.8264
Epoch 121, Train Loss: 115190.0547, Test Loss: 113663.3845
Epoch 122, Train Loss: 114077.9349, Test Loss: 114181.4722
Epoch 123, Train Loss: 113415.1510, Test Loss: 112365.8090
Epoch 124, Train Loss: 112206.3889, Test Loss: 111469.1250
Epoch 125, Train Loss: 111957.9227, Test Loss: 111049.6788
Epoch 126, Train Loss: 112246.8142, Test Loss: 115168.6667
Epoch 127, Train Loss: 114337.9792, Test Loss: 114275.9870
Epoch 128, Train Loss: 116894.3715, Test Loss: 113541.3134
Epoch 129, Train Loss: 116488.3186, Test Loss: 118788.4132
Epoch 130, Train Loss: 118103.8854, Test Loss: 121018.1597
Epoch 131, Train Loss: 122671.5642, Test Loss: 116009.3125
Epoch 132, Train Loss: 125513.3611, Test Loss: 118082.4644
Epoch 133, Train Loss: 116583.3056, Test Loss: 111653.0825
Epoch 134, Train Loss: 113455.9931, Test Loss: 110492.7717
Epoch 135, Train Loss: 111410.8950, Test Loss: 109604.4115
Epoch 136, Train Loss: 109012.4106, Test Loss: 107589.5833
Epoch 137, Train Loss: 107981.0694, Test Loss: 106202.1050
Epoch 138, Train Loss: 106297.6797, Test Loss: 105482.5938
