Epoch 1, Train Loss: 1371349.3750, Test Loss: 791080.4306
Epoch 2, Train Loss: 568604.1528, Test Loss: 396599.1771
Epoch 3, Train Loss: 350720.2465, Test Loss: 306255.1389
Epoch 4, Train Loss: 289011.0451, Test Loss: 273798.4566
Epoch 5, Train Loss: 266321.4028, Test Loss: 255256.6146
Epoch 6, Train Loss: 250779.8385, Test Loss: 243247.6267
Epoch 7, Train Loss: 238762.9913, Test Loss: 232730.1615
Epoch 8, Train Loss: 230129.9149, Test Loss: 224879.8160
Epoch 9, Train Loss: 222525.2396, Test Loss: 218472.4809
Epoch 10, Train Loss: 217209.3924, Test Loss: 213942.8611
Epoch 11, Train Loss: 213851.0573, Test Loss: 211543.9618
Epoch 12, Train Loss: 211098.0677, Test Loss: 209107.6111
Epoch 13, Train Loss: 209545.7465, Test Loss: 208046.1545
Epoch 14, Train Loss: 207626.3420, Test Loss: 206565.2309
Epoch 15, Train Loss: 205826.7222, Test Loss: 204633.8576
Epoch 16, Train Loss: 205249.8628, Test Loss: 203171.2639
Epoch 17, Train Loss: 203335.1476, Test Loss: 201134.6684
Epoch 18, Train Loss: 202171.7309, Test Loss: 200574.2049
Epoch 19, Train Loss: 201626.5747, Test Loss: 201324.7257
Epoch 20, Train Loss: 201138.5799, Test Loss: 197593.7500
Epoch 21, Train Loss: 198824.2934, Test Loss: 196920.0104
Epoch 22, Train Loss: 197309.7708, Test Loss: 194810.7240
Epoch 23, Train Loss: 196959.3924, Test Loss: 196386.2274
Epoch 24, Train Loss: 194642.2917, Test Loss: 193217.3281
Epoch 25, Train Loss: 193479.6962, Test Loss: 191429.2431
Epoch 26, Train Loss: 191891.7257, Test Loss: 192183.8698
Epoch 27, Train Loss: 191660.0990, Test Loss: 188387.6753
Epoch 28, Train Loss: 189098.6458, Test Loss: 187561.2865
Epoch 29, Train Loss: 187618.0851, Test Loss: 185663.8663
Epoch 30, Train Loss: 185644.2708, Test Loss: 183835.4965
Epoch 31, Train Loss: 185574.0330, Test Loss: 186961.2500
Epoch 32, Train Loss: 186990.6927, Test Loss: 186202.7830
Epoch 33, Train Loss: 184990.4219, Test Loss: 182060.4809
Epoch 34, Train Loss: 181488.5642, Test Loss: 181564.6962
Epoch 35, Train Loss: 181382.4184, Test Loss: 177194.9219
Epoch 36, Train Loss: 178582.8837, Test Loss: 176297.9531
Epoch 37, Train Loss: 176732.8264, Test Loss: 173863.8715
Epoch 38, Train Loss: 174521.8056, Test Loss: 174602.1962
Epoch 39, Train Loss: 173663.7483, Test Loss: 171499.7517
Epoch 40, Train Loss: 171188.0104, Test Loss: 170163.1302
Epoch 41, Train Loss: 170355.1146, Test Loss: 170852.1406
Epoch 42, Train Loss: 170646.5399, Test Loss: 171651.4653
Epoch 43, Train Loss: 171725.0694, Test Loss: 177482.8351
Epoch 44, Train Loss: 172332.4497, Test Loss: 168206.4931
Epoch 45, Train Loss: 166622.1944, Test Loss: 164030.9878
Epoch 46, Train Loss: 164741.8420, Test Loss: 163191.3090
Epoch 47, Train Loss: 163343.6736, Test Loss: 160788.3906
Epoch 48, Train Loss: 160983.1450, Test Loss: 159771.4549
Epoch 49, Train Loss: 160417.2083, Test Loss: 157887.3889
Epoch 50, Train Loss: 158446.8160, Test Loss: 158019.1181
Epoch 51, Train Loss: 157503.4427, Test Loss: 155862.1701
Epoch 52, Train Loss: 155731.1892, Test Loss: 154227.7656
Epoch 53, Train Loss: 155755.8924, Test Loss: 154887.4271
Epoch 54, Train Loss: 155523.8611, Test Loss: 154049.4167
Epoch 55, Train Loss: 153452.6545, Test Loss: 151390.3281
Epoch 56, Train Loss: 154659.2691, Test Loss: 153936.4931
Epoch 57, Train Loss: 153826.0938, Test Loss: 154221.5260
Epoch 58, Train Loss: 154939.9583, Test Loss: 151558.0061
Epoch 59, Train Loss: 156483.1146, Test Loss: 165677.7396
Epoch 60, Train Loss: 156711.4167, Test Loss: 153187.6562
Epoch 61, Train Loss: 150863.2101, Test Loss: 149160.5773
Epoch 62, Train Loss: 148684.4627, Test Loss: 150043.3559
Epoch 63, Train Loss: 148570.6215, Test Loss: 146643.8932
Epoch 64, Train Loss: 147925.8628, Test Loss: 157339.0417
Epoch 65, Train Loss: 151227.0017, Test Loss: 144333.1311
Epoch 66, Train Loss: 149717.7274, Test Loss: 149439.7986
Epoch 67, Train Loss: 148119.8472, Test Loss: 145865.1571
Epoch 68, Train Loss: 143838.2778, Test Loss: 141637.7769
Epoch 69, Train Loss: 141596.4800, Test Loss: 140959.3828
Epoch 70, Train Loss: 140174.6684, Test Loss: 138662.5347
Epoch 71, Train Loss: 138748.0139, Test Loss: 137474.0556
Epoch 72, Train Loss: 137947.1944, Test Loss: 136754.9635
Epoch 73, Train Loss: 137048.0460, Test Loss: 135731.3924
Epoch 74, Train Loss: 136463.0712, Test Loss: 135250.4757
Epoch 75, Train Loss: 135796.9575, Test Loss: 134518.1962
Epoch 76, Train Loss: 135204.5061, Test Loss: 134817.0009
Epoch 77, Train Loss: 134923.1970, Test Loss: 135874.0443
Epoch 78, Train Loss: 135487.0564, Test Loss: 133860.9679
Epoch 79, Train Loss: 136066.4297, Test Loss: 134744.2839
Epoch 80, Train Loss: 134844.3090, Test Loss: 132629.7153
Epoch 81, Train Loss: 133723.7873, Test Loss: 131290.3524
Epoch 82, Train Loss: 133676.9783, Test Loss: 135642.6276
Epoch 83, Train Loss: 135006.6502, Test Loss: 134233.0009
Epoch 84, Train Loss: 134170.2604, Test Loss: 130180.7326
Epoch 85, Train Loss: 134380.8576, Test Loss: 132949.1745
Epoch 86, Train Loss: 133024.6858, Test Loss: 134949.7413
Epoch 87, Train Loss: 133142.5929, Test Loss: 132566.2760
Epoch 88, Train Loss: 130830.0095, Test Loss: 129010.1484
Epoch 89, Train Loss: 129319.1398, Test Loss: 127254.6562
Epoch 90, Train Loss: 127431.8785, Test Loss: 126097.6050
Epoch 91, Train Loss: 126627.3924, Test Loss: 125614.3021
Epoch 92, Train Loss: 126180.1536, Test Loss: 124977.0773
Epoch 93, Train Loss: 125971.9757, Test Loss: 125468.2908
Epoch 94, Train Loss: 124958.4592, Test Loss: 123749.6215
Epoch 95, Train Loss: 125424.5269, Test Loss: 124524.2552
Epoch 96, Train Loss: 128486.0252, Test Loss: 124979.5599
Epoch 97, Train Loss: 129453.9757, Test Loss: 139733.8351
