Epoch 1, Train Loss: 1322683.7014, Test Loss: 725576.7431
Epoch 2, Train Loss: 531027.2847, Test Loss: 376156.0035
Epoch 3, Train Loss: 334561.2326, Test Loss: 297427.2170
Epoch 4, Train Loss: 283002.2760, Test Loss: 267475.3333
Epoch 5, Train Loss: 259677.4688, Test Loss: 251752.9132
Epoch 6, Train Loss: 243538.1337, Test Loss: 235269.7274
Epoch 7, Train Loss: 231347.0972, Test Loss: 224606.1562
Epoch 8, Train Loss: 223557.9826, Test Loss: 218738.9809
Epoch 9, Train Loss: 217026.6979, Test Loss: 214115.2483
Epoch 10, Train Loss: 213312.4705, Test Loss: 209605.5365
Epoch 11, Train Loss: 210067.4722, Test Loss: 207809.7066
Epoch 12, Train Loss: 207702.3767, Test Loss: 205760.6406
Epoch 13, Train Loss: 205477.7170, Test Loss: 204115.7066
Epoch 14, Train Loss: 203630.5243, Test Loss: 202627.4080
Epoch 15, Train Loss: 201917.0486, Test Loss: 200528.9045
Epoch 16, Train Loss: 199532.9479, Test Loss: 197680.7760
Epoch 17, Train Loss: 198089.2031, Test Loss: 198590.1649
Epoch 18, Train Loss: 198531.7274, Test Loss: 197456.1424
Epoch 19, Train Loss: 195918.2535, Test Loss: 193189.0851
Epoch 20, Train Loss: 193136.6111, Test Loss: 191899.5399
Epoch 21, Train Loss: 191031.7795, Test Loss: 188646.4861
Epoch 22, Train Loss: 189303.1858, Test Loss: 188838.1406
Epoch 23, Train Loss: 187920.3993, Test Loss: 186394.8785
Epoch 24, Train Loss: 186221.2361, Test Loss: 183566.3924
Epoch 25, Train Loss: 183913.6823, Test Loss: 182093.8125
Epoch 26, Train Loss: 181903.7726, Test Loss: 181207.3785
Epoch 27, Train Loss: 180659.3889, Test Loss: 179117.0191
Epoch 28, Train Loss: 179291.4549, Test Loss: 178043.4062
Epoch 29, Train Loss: 178222.8333, Test Loss: 176521.7083
Epoch 30, Train Loss: 177099.8490, Test Loss: 174891.4444
Epoch 31, Train Loss: 175410.2865, Test Loss: 173746.9462
Epoch 32, Train Loss: 173866.0764, Test Loss: 171965.5868
Epoch 33, Train Loss: 174439.7135, Test Loss: 178807.7396
Epoch 34, Train Loss: 174546.1076, Test Loss: 170889.3542
Epoch 35, Train Loss: 172431.2483, Test Loss: 171726.4705
Epoch 36, Train Loss: 174201.7153, Test Loss: 168023.1562
Epoch 37, Train Loss: 170270.1997, Test Loss: 169274.5087
Epoch 38, Train Loss: 168049.5243, Test Loss: 165366.1719
Epoch 39, Train Loss: 165530.3594, Test Loss: 163409.3403
Epoch 40, Train Loss: 163596.9410, Test Loss: 161587.9201
Epoch 41, Train Loss: 162208.2188, Test Loss: 160163.5556
Epoch 42, Train Loss: 161241.4826, Test Loss: 159246.4028
Epoch 43, Train Loss: 161343.7656, Test Loss: 159449.9427
Epoch 44, Train Loss: 160482.4045, Test Loss: 159383.5052
Epoch 45, Train Loss: 159967.6510, Test Loss: 157908.6788
Epoch 46, Train Loss: 160030.3264, Test Loss: 158255.7847
Epoch 47, Train Loss: 158425.9931, Test Loss: 156144.8698
Epoch 48, Train Loss: 156347.3594, Test Loss: 153544.2517
Epoch 49, Train Loss: 155489.9427, Test Loss: 152314.7431
Epoch 50, Train Loss: 153740.5469, Test Loss: 150756.6840
Epoch 51, Train Loss: 151663.0260, Test Loss: 150018.2283
Epoch 52, Train Loss: 150350.1554, Test Loss: 148687.2760
Epoch 53, Train Loss: 150503.9062, Test Loss: 147920.5295
Epoch 54, Train Loss: 149248.8872, Test Loss: 147499.2943
Epoch 55, Train Loss: 148039.4852, Test Loss: 148171.0868
Epoch 56, Train Loss: 148614.5269, Test Loss: 146374.1363
Epoch 57, Train Loss: 148951.2500, Test Loss: 148826.7465
Epoch 58, Train Loss: 147468.2344, Test Loss: 145125.4583
Epoch 59, Train Loss: 145361.0694, Test Loss: 142268.2943
Epoch 60, Train Loss: 144335.2092, Test Loss: 142095.2413
Epoch 61, Train Loss: 142058.3438, Test Loss: 141944.3333
Epoch 62, Train Loss: 141074.9314, Test Loss: 141823.4905
Epoch 63, Train Loss: 140372.6866, Test Loss: 138333.9722
Epoch 64, Train Loss: 138941.8490, Test Loss: 137717.9401
Epoch 65, Train Loss: 138518.7708, Test Loss: 136855.3906
Epoch 66, Train Loss: 137697.8967, Test Loss: 136281.3863
Epoch 67, Train Loss: 136709.2344, Test Loss: 135365.3047
Epoch 68, Train Loss: 135630.1172, Test Loss: 135835.5252
Epoch 69, Train Loss: 136317.1293, Test Loss: 134851.9280
Epoch 70, Train Loss: 136658.8533, Test Loss: 137477.9609
Epoch 71, Train Loss: 135855.4479, Test Loss: 135202.5009
Epoch 72, Train Loss: 141811.4974, Test Loss: 143527.1493
Epoch 73, Train Loss: 148007.9497, Test Loss: 146611.1215
Epoch 74, Train Loss: 142150.4418, Test Loss: 136797.5200
Epoch 75, Train Loss: 138238.6120, Test Loss: 137749.5981
Epoch 76, Train Loss: 136589.8047, Test Loss: 133801.0069
Epoch 77, Train Loss: 133395.3012, Test Loss: 134415.9731
Epoch 78, Train Loss: 131626.7830, Test Loss: 129076.4635
Epoch 79, Train Loss: 129322.3090, Test Loss: 128399.3924
Epoch 80, Train Loss: 128579.5903, Test Loss: 126929.0130
Epoch 81, Train Loss: 127577.5998, Test Loss: 126647.6997
Epoch 82, Train Loss: 126309.2743, Test Loss: 124975.7014
Epoch 83, Train Loss: 125350.9653, Test Loss: 124455.9106
Epoch 84, Train Loss: 124837.2960, Test Loss: 124766.5286
Epoch 85, Train Loss: 124438.2977, Test Loss: 123364.1406
Epoch 86, Train Loss: 124244.7326, Test Loss: 123341.3958
Epoch 87, Train Loss: 123839.3429, Test Loss: 123780.5460
Epoch 88, Train Loss: 122942.5391, Test Loss: 122398.0382
Epoch 89, Train Loss: 122464.3385, Test Loss: 120153.6111
Epoch 90, Train Loss: 124054.7153, Test Loss: 121563.3602
Epoch 91, Train Loss: 123271.1146, Test Loss: 123735.8281
Epoch 92, Train Loss: 123513.7335, Test Loss: 124772.1510
Epoch 93, Train Loss: 122543.8385, Test Loss: 122466.3472
Epoch 94, Train Loss: 122337.4497, Test Loss: 118692.8455
Epoch 95, Train Loss: 120661.5017, Test Loss: 120471.2283
Epoch 96, Train Loss: 120420.2231, Test Loss: 118579.5929
Epoch 97, Train Loss: 119327.6450, Test Loss: 117344.8542
Epoch 98, Train Loss: 118855.8142, Test Loss: 115991.7795
Epoch 99, Train Loss: 117003.1068, Test Loss: 116394.1267
Epoch 100, Train Loss: 116423.9991, Test Loss: 115796.3394
Epoch 101, Train Loss: 116175.6684, Test Loss: 114008.2917
Epoch 102, Train Loss: 115729.4974, Test Loss: 116063.8194
Epoch 103, Train Loss: 116213.1788, Test Loss: 116242.3160
Epoch 104, Train Loss: 118496.8212, Test Loss: 116133.8524
Epoch 105, Train Loss: 117304.9288, Test Loss: 116405.9601
Epoch 106, Train Loss: 114975.7491, Test Loss: 112048.0486
Epoch 107, Train Loss: 113494.5512, Test Loss: 112661.9557
Epoch 108, Train Loss: 112663.1840, Test Loss: 110272.2700
Epoch 109, Train Loss: 110616.6771, Test Loss: 109656.7969
Epoch 110, Train Loss: 109595.3993, Test Loss: 108038.7014
Epoch 111, Train Loss: 108768.5304, Test Loss: 107418.9575
Epoch 112, Train Loss: 108214.7812, Test Loss: 106889.1953
Epoch 113, Train Loss: 107415.3090, Test Loss: 106163.4531
Epoch 114, Train Loss: 106891.7222, Test Loss: 105971.4540
Epoch 115, Train Loss: 106475.0208, Test Loss: 105756.3559
Epoch 116, Train Loss: 106307.0451, Test Loss: 105207.6441
Epoch 117, Train Loss: 105577.3750, Test Loss: 107959.8845
Epoch 118, Train Loss: 106372.3845, Test Loss: 107332.1302
Epoch 119, Train Loss: 105871.3047, Test Loss: 107437.6450
Epoch 120, Train Loss: 105894.7205, Test Loss: 104486.5217
Epoch 121, Train Loss: 104405.2240, Test Loss: 104822.2318
Epoch 122, Train Loss: 103388.1163, Test Loss: 103081.9740
Epoch 123, Train Loss: 103432.4688, Test Loss: 104939.6701
Epoch 124, Train Loss: 103290.8030, Test Loss: 101661.3090
Epoch 125, Train Loss: 107004.9106, Test Loss: 106226.6528
Epoch 126, Train Loss: 107144.9748, Test Loss: 106225.4097
Epoch 127, Train Loss: 104761.3602, Test Loss: 103261.6311
Epoch 128, Train Loss: 107479.6215, Test Loss: 104459.8490
Epoch 129, Train Loss: 107286.3655, Test Loss: 110595.7396
Epoch 130, Train Loss: 106331.3047, Test Loss: 101656.9193
Epoch 131, Train Loss: 103089.5373, Test Loss: 100591.7170
Epoch 132, Train Loss: 102510.4887, Test Loss: 100851.7899
Epoch 133, Train Loss: 100552.0495, Test Loss: 98624.2969
Epoch 134, Train Loss: 99041.8906, Test Loss: 97348.2283
Epoch 135, Train Loss: 97765.7656, Test Loss: 96521.9427
Epoch 136, Train Loss: 96818.8420, Test Loss: 98219.8177
Epoch 137, Train Loss: 96716.5434, Test Loss: 95300.1927
Epoch 138, Train Loss: 96001.5642, Test Loss: 94888.7535
Epoch 139, Train Loss: 95119.9731, Test Loss: 94446.4054
Epoch 140, Train Loss: 94853.2283, Test Loss: 93388.5938
Epoch 141, Train Loss: 93853.2648, Test Loss: 92623.8168
Epoch 142, Train Loss: 93569.3073, Test Loss: 93470.7413
Epoch 143, Train Loss: 93040.0200, Test Loss: 91703.7830
Epoch 144, Train Loss: 92185.1970, Test Loss: 91704.6936
Epoch 145, Train Loss: 92372.0573, Test Loss: 91093.4314
Epoch 146, Train Loss: 91610.1189, Test Loss: 91029.2378
Epoch 147, Train Loss: 91721.8038, Test Loss: 90218.3047
Epoch 148, Train Loss: 91128.1988, Test Loss: 91869.4436
Epoch 149, Train Loss: 92151.0122, Test Loss: 90067.5460
Epoch 150, Train Loss: 90557.8264, Test Loss: 89169.3420
Epoch 151, Train Loss: 89729.5156, Test Loss: 89514.2431
Epoch 152, Train Loss: 89722.4097, Test Loss: 90024.6033
Epoch 153, Train Loss: 90449.7856, Test Loss: 91709.6380
Epoch 154, Train Loss: 90399.3585, Test Loss: 89952.4410
Epoch 155, Train Loss: 91473.1354, Test Loss: 99234.3724
Epoch 156, Train Loss: 91925.1892, Test Loss: 92959.6649
Epoch 157, Train Loss: 90569.6406, Test Loss: 88182.0312
Epoch 158, Train Loss: 92744.9028, Test Loss: 89732.0972
Epoch 159, Train Loss: 90994.5347, Test Loss: 87856.5130
Epoch 160, Train Loss: 92615.1354, Test Loss: 88113.3116
Epoch 161, Train Loss: 91498.1606, Test Loss: 89873.7248
Epoch 162, Train Loss: 90064.2839, Test Loss: 88432.2795
Epoch 163, Train Loss: 89247.9141, Test Loss: 86934.5738
